Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JVLAGRO,EQ,2014-12-04,19.05,19.60,19.75,18.95,19.20,19.10,19.47,122355,23.83,251,106989,87.44
JVLAGRO,EQ,2014-12-05,19.10,19.20,19.50,18.65,18.65,18.75,18.94,29250,5.54,98,19767,67.58
JVLAGRO,EQ,2014-12-08,18.75,19.00,19.50,18.50,19.10,19.00,19.16,84564,16.20,321,60536,71.59
JVLAGRO,EQ,2014-12-09,19.00,18.80,19.35,18.80,19.00,19.00,19.03,35334,6.73,131,27968,79.15
JVLAGRO,EQ,2014-12-10,19.00,19.00,21.95,18.95,20.60,20.50,20.90,257655,53.86,1106,149577,58.05
JVLAGRO,EQ,2014-12-11,20.50,20.40,21.75,20.20,21.05,20.95,21.10,189479,39.99,1178,90985,48.02
JVLAGRO,EQ,2014-12-12,20.95,21.90,22.95,21.10,21.85,21.55,22.19,536959,119.16,2037,316133,58.87
JVLAGRO,EQ,2014-12-15,21.55,21.65,22.45,21.00,21.60,21.70,21.82,216626,47.27,903,117171,54.09
JVLAGRO,EQ,2014-12-16,21.70,21.40,21.50,19.60,20.15,19.90,20.31,134211,27.25,722,75991,56.62
JVLAGRO,EQ,2014-12-17,19.90,20.25,20.25,18.05,19.80,19.50,19.22,111455,21.42,933,55703,49.98
JVLAGRO,EQ,2014-12-18,19.50,19.60,20.50,19.60,20.00,20.05,20.10,59160,11.89,329,37317,63.08
JVLAGRO,EQ,2014-12-19,20.05,20.15,20.75,19.65,19.70,19.80,20.13,64997,13.09,382,32856,50.55
JVLAGRO,EQ,2014-12-22,19.80,20.00,20.40,19.25,19.80,19.65,19.71,59902,11.80,271,29175,48.70
JVLAGRO,EQ,2014-12-23,19.65,19.75,20.05,19.30,19.45,19.50,19.65,55878,10.98,425,35346,63.26
JVLAGRO,EQ,2014-12-24,19.50,19.30,19.80,19.15,19.20,19.25,19.32,50455,9.75,258,26834,53.18
JVLAGRO,EQ,2014-12-26,19.25,19.25,20.35,19.25,20.00,19.75,19.75,63899,12.62,302,34817,54.49
JVLAGRO,EQ,2014-12-29,19.75,20.95,20.95,19.55,19.75,19.85,20.10,64579,12.98,297,43300,67.05
JVLAGRO,EQ,2014-12-30,19.85,20.20,20.70,19.75,20.00,19.90,20.04,48144,9.65,234,29435,61.14
JVLAGRO,EQ,2014-12-31,19.90,20.00,20.25,19.80,20.20,20.10,20.07,51734,10.38,168,38494,74.41
JVLAGRO,EQ,2015-01-01,20.10,19.95,21.65,19.80,21.20,21.25,20.79,109030,22.67,474,55906,51.28
JVLAGRO,EQ,2015-01-02,21.25,21.75,22.00,21.00,21.50,21.50,21.60,112693,24.34,510,81647,72.45
JVLAGRO,EQ,2015-01-05,21.50,22.45,22.45,21.00,21.20,21.10,21.43,89659,19.21,349,64528,71.97
JVLAGRO,EQ,2015-01-06,21.10,21.10,21.10,20.25,20.45,20.50,20.56,65893,13.55,292,35630,54.07
JVLAGRO,EQ,2015-01-07,20.50,20.15,20.65,20.00,20.25,20.15,20.26,46217,9.37,234,29995,64.90
JVLAGRO,EQ,2015-01-08,20.15,20.30,20.75,20.15,20.50,20.40,20.46,40631,8.31,164,27883,68.62
JVLAGRO,EQ,2015-01-09,20.40,21.00,21.00,20.10,20.15,20.20,20.30,43078,8.74,136,31830,73.89
JVLAGRO,EQ,2015-01-12,20.20,20.65,20.65,20.10,20.40,20.25,20.31,55548,11.28,233,43023,77.45
JVLAGRO,EQ,2015-01-13,20.25,20.25,20.45,19.85,19.95,19.95,20.02,75003,15.01,240,52608,70.14
JVLAGRO,EQ,2015-01-14,19.95,20.00,20.10,19.75,20.00,19.85,19.90,32696,6.51,137,25248,77.22
JVLAGRO,EQ,2015-01-15,19.85,20.00,20.35,19.20,19.60,19.65,19.67,49373,9.71,215,38105,77.18
JVLAGRO,EQ,2015-01-16,19.65,20.50,20.50,19.40,19.75,19.90,19.93,35649,7.11,154,25336,71.07
JVLAGRO,EQ,2015-01-19,19.90,19.75,21.25,19.55,20.25,20.20,20.06,128941,25.86,412,80951,62.78
JVLAGRO,EQ,2015-01-20,20.20,20.30,20.35,19.70,19.90,19.95,20.11,42634,8.57,322,24601,57.70
JVLAGRO,EQ,2015-01-21,19.95,19.95,20.25,19.75,19.85,19.95,19.94,73685,14.69,231,53057,72.01
JVLAGRO,EQ,2015-01-22,19.95,19.85,20.85,19.75,19.90,19.85,20.14,60625,12.21,276,44505,73.41
JVLAGRO,EQ,2015-01-23,19.85,20.05,20.05,19.70,19.80,19.75,19.92,54730,10.90,154,41629,76.06
JVLAGRO,EQ,2015-01-27,19.75,20.45,20.45,19.60,19.90,19.85,19.94,51109,10.19,269,35287,69.04
JVLAGRO,EQ,2015-01-28,19.85,20.00,20.35,19.50,19.80,19.75,19.89,107898,21.46,316,71200,65.99
JVLAGRO,EQ,2015-01-29,19.75,19.70,20.05,19.70,19.85,19.95,19.87,60376,12.00,178,46175,76.48
JVLAGRO,EQ,2015-01-30,19.95,20.00,20.00,19.70,19.70,19.75,19.80,43377,8.59,112,36990,85.28
JVLAGRO,EQ,2015-02-02,19.75,20.20,21.40,19.95,20.80,20.75,20.79,102245,21.25,430,72243,70.66
JVLAGRO,EQ,2015-02-03,20.75,21.50,21.50,20.80,20.90,20.85,21.07,94583,19.93,397,59423,62.83
JVLAGRO,EQ,2015-02-04,20.85,21.15,21.25,20.45,20.85,20.75,20.90,68461,14.31,259,49400,72.16
JVLAGRO,EQ,2015-02-05,20.75,20.60,21.90,20.60,21.00,21.05,21.36,126207,26.96,464,75880,60.12
JVLAGRO,EQ,2015-02-06,21.05,21.45,21.50,20.50,20.50,20.60,20.87,31863,6.65,192,21498,67.47
JVLAGRO,EQ,2015-02-09,20.60,20.85,20.85,20.10,20.35,20.20,20.39,46321,9.45,275,33141,71.55
JVLAGRO,EQ,2015-02-10,20.20,20.20,20.20,18.05,18.60,18.45,18.67,146286,27.31,580,90090,61.58
JVLAGRO,EQ,2015-02-11,18.45,18.45,19.00,18.25,18.50,18.60,18.57,52280,9.71,228,33114,63.34
JVLAGRO,EQ,2015-02-12,18.60,19.00,19.00,17.80,18.15,18.20,18.22,51986,9.47,278,36081,69.41
JVLAGRO,EQ,2015-02-13,18.20,18.70,19.50,18.00,18.50,18.75,18.85,60035,11.32,352,45073,75.08
JVLAGRO,EQ,2015-02-16,18.75,19.20,19.20,18.10,18.10,18.25,18.49,39330,7.27,220,22475,57.14
JVLAGRO,EQ,2015-02-18,18.25,18.50,18.65,17.85,18.00,18.00,18.12,85349,15.46,310,64894,76.03
JVLAGRO,EQ,2015-02-19,18.00,18.15,18.15,17.50,17.50,17.60,17.72,91360,16.18,308,71928,78.73
JVLAGRO,EQ,2015-02-20,17.60,17.80,17.80,17.00,17.30,17.20,17.21,112722,19.40,371,82601,73.28
JVLAGRO,EQ,2015-02-23,17.20,17.60,17.80,17.00,17.45,17.30,17.26,36913,6.37,163,26199,70.97
JVLAGRO,EQ,2015-02-24,17.30,17.40,17.55,17.00,17.30,17.35,17.22,41393,7.13,222,28802,69.58
JVLAGRO,EQ,2015-02-25,17.35,17.40,18.25,17.30,17.75,17.55,17.83,91778,16.36,250,69949,76.22
JVLAGRO,EQ,2015-02-26,17.55,17.75,17.95,17.00,17.05,17.25,17.36,77343,13.43,320,32531,42.06
JVLAGRO,EQ,2015-02-27,17.25,17.20,17.65,17.00,17.05,17.15,17.24,105896,18.26,172,97098,91.69
JVLAGRO,EQ,2015-02-28,17.15,17.00,17.50,17.00,17.05,17.00,17.19,58081,9.98,147,45010,77.50
JVLAGRO,EQ,2015-03-02,17.00,17.05,17.45,16.80,17.05,17.00,17.07,121244,20.70,255,82711,68.22
JVLAGRO,EQ,2015-03-03,17.00,17.05,17.35,16.10,17.20,17.10,16.91,71381,12.07,463,42910,60.11
JVLAGRO,EQ,2015-03-04,17.10,17.10,17.75,16.85,17.00,16.95,17.29,34735,6.00,199,27576,79.39
JVLAGRO,EQ,2015-03-05,16.95,17.25,17.50,16.90,17.30,17.30,17.09,80709,13.79,193,72097,89.33
JVLAGRO,EQ,2015-03-09,17.30,17.40,17.45,17.00,17.15,17.25,17.27,41128,7.10,189,34387,83.61
JVLAGRO,EQ,2015-03-10,17.25,17.50,17.50,16.15,17.00,16.65,16.77,61434,10.30,275,37312,60.74
JVLAGRO,EQ,2015-03-11,16.65,16.50,17.20,16.20,17.00,16.95,16.87,56311,9.50,169,45592,80.96
JVLAGRO,EQ,2015-03-12,16.95,17.00,17.60,16.70,16.95,16.90,17.20,51121,8.79,205,34534,67.55
JVLAGRO,EQ,2015-03-13,16.90,17.30,17.30,14.65,16.40,16.05,15.80,293625,46.38,1005,202941,69.12
JVLAGRO,EQ,2015-03-16,16.05,16.15,16.15,15.00,15.95,15.60,15.35,117345,18.01,558,80728,68.80
JVLAGRO,EQ,2015-03-17,15.60,15.75,16.20,15.50,15.55,15.60,15.62,47878,7.48,172,40934,85.50
JVLAGRO,EQ,2015-03-18,15.60,15.90,15.90,15.00,15.00,15.10,15.19,69451,10.55,257,49116,70.72
JVLAGRO,EQ,2015-03-19,15.10,15.25,15.45,14.45,14.45,14.60,14.84,148961,22.11,342,116808,78.42
JVLAGRO,EQ,2015-03-20,14.60,14.50,14.60,13.90,14.35,14.10,14.18,116214,16.48,327,84424,72.65
