Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KANORICHEM,EQ,2014-12-04,39.50,40.00,40.45,39.15,39.15,39.20,39.68,32416,12.86,249,25657,79.15
KANORICHEM,EQ,2014-12-05,39.20,39.80,39.90,37.60,38.10,38.00,38.27,67290,25.75,1132,46287,68.79
KANORICHEM,EQ,2014-12-08,38.00,38.45,38.45,35.70,36.05,36.15,36.90,74632,27.54,610,56125,75.20
KANORICHEM,EQ,2014-12-09,36.15,35.80,37.70,35.30,35.70,35.65,36.32,33854,12.30,360,21250,62.77
KANORICHEM,EQ,2014-12-10,35.65,35.70,36.85,35.10,36.25,36.40,36.31,13132,4.77,180,8305,63.24
KANORICHEM,EQ,2014-12-11,36.40,36.25,36.40,34.95,36.25,36.20,36.10,37079,13.39,441,28168,75.97
KANORICHEM,EQ,2014-12-12,36.20,36.95,37.30,35.05,36.00,35.55,36.22,36774,13.32,533,17676,48.07
KANORICHEM,EQ,2014-12-15,35.55,35.85,36.15,34.45,34.45,34.60,35.21,27838,9.80,329,17097,61.42
KANORICHEM,EQ,2014-12-16,34.60,34.05,34.45,32.30,33.60,33.30,33.58,23040,7.74,359,14732,63.94
KANORICHEM,EQ,2014-12-17,33.30,33.15,33.75,31.50,33.00,32.90,32.86,19947,6.55,350,11993,60.12
KANORICHEM,EQ,2014-12-18,32.90,33.50,34.20,33.20,34.20,34.05,33.84,18779,6.35,199,13647,72.67
KANORICHEM,EQ,2014-12-19,34.05,33.90,34.70,33.80,34.00,34.00,34.03,16730,5.69,212,12484,74.62
KANORICHEM,EQ,2014-12-22,34.00,34.25,34.80,33.90,34.80,34.60,34.33,11320,3.89,164,7632,67.42
KANORICHEM,EQ,2014-12-23,34.60,34.30,35.70,34.00,35.10,35.40,35.08,23904,8.38,253,17375,72.69
KANORICHEM,EQ,2014-12-24,35.40,35.00,35.80,34.85,35.70,35.35,35.16,9301,3.27,173,5551,59.68
KANORICHEM,EQ,2014-12-26,35.35,35.45,36.00,34.50,36.00,35.30,35.35,67888,24.00,221,62797,92.50
KANORICHEM,EQ,2014-12-29,35.30,35.50,36.90,35.50,35.70,35.85,35.99,14679,5.28,162,9308,63.41
KANORICHEM,EQ,2014-12-30,35.85,35.45,36.20,35.10,35.70,35.65,35.63,9002,3.21,182,6327,70.28
KANORICHEM,EQ,2014-12-31,35.65,35.35,35.80,34.20,34.85,34.80,34.74,27597,9.59,356,17135,62.09
KANORICHEM,EQ,2015-01-01,34.80,36.05,36.05,34.25,35.00,34.80,34.83,27677,9.64,391,19468,70.34
KANORICHEM,EQ,2015-01-02,34.80,34.50,37.30,34.45,36.45,36.65,36.52,28701,10.48,497,19800,68.99
KANORICHEM,EQ,2015-01-05,36.65,37.00,38.20,36.60,37.20,37.20,37.43,23956,8.97,321,17546,73.24
KANORICHEM,EQ,2015-01-06,37.20,36.55,36.55,34.75,35.00,34.95,35.35,27590,9.75,338,20991,76.08
KANORICHEM,EQ,2015-01-07,34.95,35.45,36.55,33.70,34.40,34.30,34.95,33039,11.55,578,23071,69.83
KANORICHEM,EQ,2015-01-08,34.30,36.30,36.30,35.00,35.00,35.20,35.45,13664,4.84,264,9066,66.35
KANORICHEM,EQ,2015-01-09,35.20,35.75,35.90,35.25,35.35,35.40,35.47,11502,4.08,201,8227,71.53
KANORICHEM,EQ,2015-01-12,35.40,35.40,35.55,34.65,35.00,35.10,35.10,11276,3.96,110,7685,68.15
KANORICHEM,EQ,2015-01-13,35.10,34.95,37.45,34.90,37.40,37.00,36.41,34447,12.54,353,26554,77.09
KANORICHEM,EQ,2015-01-14,37.00,37.40,39.45,36.70,38.55,38.65,38.13,35564,13.56,456,21329,59.97
KANORICHEM,EQ,2015-01-15,38.65,38.95,39.65,37.25,39.00,39.00,38.79,48327,18.75,399,36351,75.22
KANORICHEM,EQ,2015-01-16,39.00,39.10,39.10,38.40,38.40,38.50,38.72,15383,5.96,96,11050,71.83
KANORICHEM,EQ,2015-01-19,38.50,38.20,38.50,37.70,38.05,38.10,38.00,14981,5.69,178,10642,71.04
KANORICHEM,EQ,2015-01-20,38.10,38.45,39.55,38.25,39.20,38.45,38.59,55273,21.33,595,45366,82.08
KANORICHEM,EQ,2015-01-21,38.45,39.65,40.70,37.15,38.00,37.95,39.10,36042,14.09,467,21041,58.38
KANORICHEM,EQ,2015-01-22,37.95,38.05,38.45,36.70,36.80,36.85,37.24,22495,8.38,274,13856,61.60
KANORICHEM,EQ,2015-01-23,36.85,38.05,38.10,35.70,35.85,35.85,36.21,26236,9.50,341,19592,74.68
KANORICHEM,EQ,2015-01-27,35.85,38.60,38.60,35.65,36.15,36.10,36.38,23198,8.44,303,16404,70.71
KANORICHEM,EQ,2015-01-28,36.10,36.75,36.75,35.55,35.80,35.85,35.99,16844,6.06,87,15241,90.48
KANORICHEM,EQ,2015-01-29,35.85,36.50,36.55,35.30,35.75,35.95,35.98,14578,5.25,144,11668,80.04
KANORICHEM,EQ,2015-01-30,35.95,37.15,37.30,35.25,36.00,35.90,35.96,51652,18.58,344,38601,74.73
KANORICHEM,EQ,2015-02-02,35.90,36.35,37.70,35.80,37.25,37.25,36.48,29691,10.83,359,21598,72.74
KANORICHEM,EQ,2015-02-03,37.25,37.40,38.90,37.15,38.00,38.10,38.03,66277,25.21,479,55899,84.34
KANORICHEM,EQ,2015-02-04,38.10,37.95,38.80,37.10,37.40,37.85,38.06,42160,16.05,356,33985,80.61
KANORICHEM,EQ,2015-02-05,37.85,37.85,45.40,37.85,42.65,42.65,44.10,853171,376.27,7489,261094,30.60
KANORICHEM,EQ,2015-02-06,42.65,44.00,45.00,41.10,42.40,42.50,43.11,235647,101.58,2792,113390,48.12
KANORICHEM,EQ,2015-02-09,42.50,42.95,42.95,39.50,40.00,39.85,40.68,59355,24.15,870,39295,66.20
KANORICHEM,EQ,2015-02-10,39.85,40.70,42.35,39.00,39.35,39.50,40.62,99757,40.52,1290,56335,56.47
KANORICHEM,EQ,2015-02-11,39.50,41.35,41.40,38.60,38.65,39.25,39.91,106938,42.68,1374,71508,66.87
KANORICHEM,EQ,2015-02-12,39.25,39.25,40.80,35.10,38.35,38.50,38.21,155852,59.55,1752,91814,58.91
KANORICHEM,EQ,2015-02-13,38.50,38.90,39.80,37.80,37.95,38.05,38.67,50234,19.43,637,34139,67.96
KANORICHEM,EQ,2015-02-16,38.05,38.00,38.65,36.15,36.80,36.60,37.12,83176,30.87,787,67631,81.31
KANORICHEM,EQ,2015-02-18,36.60,37.00,39.35,36.15,36.95,37.00,37.33,77032,28.76,912,51989,67.49
KANORICHEM,EQ,2015-02-19,37.00,37.40,38.95,36.75,37.40,37.40,37.69,69169,26.07,734,43229,62.50
KANORICHEM,EQ,2015-02-20,37.40,37.15,41.45,37.15,40.00,40.20,39.60,190003,75.24,1513,133609,70.32
KANORICHEM,EQ,2015-02-23,40.20,40.75,41.40,38.10,39.10,38.65,39.46,138495,54.66,1156,91797,66.28
KANORICHEM,EQ,2015-02-24,38.65,39.15,39.70,38.05,39.00,38.90,38.68,52770,20.41,351,37729,71.50
KANORICHEM,EQ,2015-02-25,38.90,39.20,40.70,38.25,40.00,39.55,39.62,66475,26.34,761,35861,53.95
KANORICHEM,EQ,2015-02-26,39.55,40.15,40.95,38.15,38.55,38.70,39.30,34243,13.46,516,22506,65.72
KANORICHEM,EQ,2015-02-27,38.70,39.15,39.80,38.20,39.00,38.65,38.69,59159,22.89,518,44223,74.75
KANORICHEM,EQ,2015-02-28,38.65,39.80,40.40,37.50,37.50,37.65,38.54,64380,24.81,715,38246,59.41
KANORICHEM,EQ,2015-03-02,37.65,38.25,38.40,37.00,37.75,38.00,37.64,56645,21.32,631,38039,67.15
KANORICHEM,EQ,2015-03-03,38.00,37.25,39.30,37.25,38.60,38.70,38.70,97584,37.76,602,74252,76.09
KANORICHEM,EQ,2015-03-04,38.70,39.80,39.80,37.50,38.70,38.05,38.76,72844,28.23,678,55128,75.68
KANORICHEM,EQ,2015-03-05,38.05,39.05,39.10,37.15,37.55,37.90,37.91,65185,24.71,641,51566,79.11
KANORICHEM,EQ,2015-03-09,37.90,37.55,38.20,37.20,38.00,37.90,37.95,34983,13.27,231,28412,81.22
KANORICHEM,EQ,2015-03-10,37.90,37.70,39.90,37.65,38.35,38.35,38.60,86487,33.38,595,53911,62.33
KANORICHEM,EQ,2015-03-11,38.35,38.45,38.90,38.00,38.10,38.25,38.48,64359,24.77,643,49523,76.95
KANORICHEM,EQ,2015-03-12,38.25,38.30,38.60,37.50,38.05,37.75,38.16,65395,24.96,387,54486,83.32
KANORICHEM,EQ,2015-03-13,37.75,38.00,38.10,37.00,37.30,37.15,37.54,40300,15.13,330,34057,84.51
KANORICHEM,EQ,2015-03-16,37.15,36.35,38.00,36.35,36.60,36.70,37.00,34477,12.76,395,26787,77.70
KANORICHEM,EQ,2015-03-17,36.70,37.65,38.00,35.50,36.25,36.20,37.03,47172,17.47,391,29029,61.54
