Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KEC,EQ,2014-12-04,99.85,99.10,106.80,99.10,104.50,104.50,103.94,748377,777.88,8097,352323,47.08
KEC,EQ,2014-12-05,104.50,105.70,106.90,104.05,104.40,104.80,105.68,816828,863.20,4919,594882,72.83
KEC,EQ,2014-12-08,104.80,105.00,105.00,99.50,100.95,100.05,101.44,296528,300.81,3707,136792,46.13
KEC,EQ,2014-12-09,100.05,100.05,102.90,98.50,99.00,99.25,100.66,289760,291.68,5012,190688,65.81
KEC,EQ,2014-12-10,99.25,98.60,99.80,97.50,98.30,98.20,98.53,152058,149.83,1611,107810,70.90
KEC,EQ,2014-12-11,98.20,98.50,99.50,97.05,97.85,97.75,98.33,750185,737.67,1478,691192,92.14
KEC,EQ,2014-12-12,97.75,97.85,99.90,97.00,98.20,97.45,98.51,633844,624.39,1723,572193,90.27
KEC,EQ,2014-12-15,97.45,97.00,97.90,94.90,95.25,95.35,96.44,106211,102.43,1390,49928,47.01
KEC,EQ,2014-12-16,95.35,96.60,101.40,90.20,90.50,91.40,95.86,483655,463.65,6144,151307,31.28
KEC,EQ,2014-12-17,91.40,91.65,93.00,84.00,84.70,85.15,88.24,260798,230.13,3327,127407,48.85
KEC,EQ,2014-12-18,85.15,86.25,89.50,86.25,88.40,88.65,88.55,217543,192.63,4111,137380,63.15
KEC,EQ,2014-12-19,88.65,89.90,92.50,88.00,88.65,88.45,90.05,149071,134.23,1972,77266,51.83
KEC,EQ,2014-12-22,88.45,88.30,93.30,87.30,93.30,92.30,89.63,453891,406.82,3502,309763,68.25
KEC,EQ,2014-12-23,92.30,93.20,94.00,90.00,90.75,90.60,91.67,82804,75.91,1202,44207,53.39
KEC,EQ,2014-12-24,90.60,89.75,91.60,87.55,88.50,88.65,88.70,203164,180.20,1930,148013,72.85
KEC,EQ,2014-12-26,88.65,88.75,90.80,88.50,89.40,89.30,89.15,237125,211.40,975,208290,87.84
KEC,EQ,2014-12-29,89.30,90.00,92.10,89.00,89.00,89.10,90.05,1000243,900.72,2767,867872,86.77
KEC,EQ,2014-12-30,89.10,90.75,91.60,89.10,90.10,90.40,91.15,624840,569.55,1931,517355,82.80
KEC,EQ,2014-12-31,90.40,97.00,99.80,93.20,93.75,94.00,95.91,2172118,2083.33,18719,605846,27.89
KEC,EQ,2015-01-01,94.00,93.50,95.00,92.40,94.85,94.60,94.25,351019,330.83,3357,115393,32.87
KEC,EQ,2015-01-02,94.60,94.60,95.90,94.25,94.75,94.90,94.89,678525,643.85,4682,396256,58.40
KEC,EQ,2015-01-05,94.90,95.00,95.65,93.15,93.55,93.55,94.15,138249,130.17,1391,79512,57.51
KEC,EQ,2015-01-06,93.55,93.00,93.00,88.10,90.40,89.00,89.73,1284437,1152.56,2154,1200445,93.46
KEC,EQ,2015-01-07,89.00,90.50,91.90,88.75,91.80,90.95,90.35,220367,199.11,2614,96886,43.97
KEC,EQ,2015-01-08,90.95,91.90,93.40,91.55,92.55,92.20,92.28,162888,150.31,1556,78736,48.34
KEC,EQ,2015-01-09,92.20,92.20,93.80,91.10,91.60,91.35,92.39,160314,148.11,1644,82547,51.49
KEC,EQ,2015-01-12,91.35,91.60,93.45,91.35,93.35,92.90,92.57,140087,129.68,1753,80990,57.81
KEC,EQ,2015-01-13,92.90,92.50,94.20,92.30,93.30,93.35,93.41,129624,121.09,1170,82995,64.03
KEC,EQ,2015-01-14,93.35,93.00,94.00,91.45,91.50,91.55,92.31,136380,125.90,1412,90846,66.61
