Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KEI,EQ,2014-12-04,44.75,44.90,48.25,44.60,48.00,47.70,47.05,394721,185.72,1852,201454,51.04
KEI,EQ,2014-12-05,47.70,48.70,49.40,46.40,46.45,47.15,48.24,424500,204.78,3060,202389,47.68
KEI,EQ,2014-12-08,47.15,47.95,48.40,46.00,46.65,46.30,46.90,246417,115.56,1082,149187,60.54
KEI,EQ,2014-12-09,46.30,46.00,47.50,43.70,45.10,45.55,45.31,161663,73.26,910,98794,61.11
KEI,EQ,2014-12-10,45.55,45.30,46.10,44.40,46.00,45.80,45.25,115598,52.31,695,79355,68.65
KEI,EQ,2014-12-11,45.80,50.30,51.00,44.55,44.70,45.05,47.56,934306,444.33,4784,517077,55.34
KEI,EQ,2014-12-12,45.05,46.40,46.60,45.00,45.40,45.45,45.73,278644,127.42,1071,206633,74.16
KEI,EQ,2014-12-15,45.45,44.90,46.25,44.50,45.55,45.65,45.73,137632,62.94,770,87743,63.75
KEI,EQ,2014-12-16,45.65,45.25,45.75,43.25,43.65,44.20,43.99,262261,115.36,1092,194506,74.17
KEI,EQ,2014-12-17,44.20,44.10,44.95,40.20,42.25,42.10,41.99,249314,104.69,1291,152961,61.35
KEI,EQ,2014-12-18,42.10,42.85,44.50,42.85,43.90,43.85,43.83,92749,40.65,731,55054,59.36
KEI,EQ,2014-12-19,43.85,44.25,45.20,41.15,43.35,42.90,43.04,274743,118.25,1661,168320,61.26
KEI,EQ,2014-12-22,42.90,43.20,44.70,43.00,43.85,43.85,43.81,163387,71.57,860,111164,68.04
KEI,EQ,2014-12-23,43.85,44.20,44.95,42.60,43.50,43.45,43.56,375777,163.68,950,315711,84.02
KEI,EQ,2014-12-24,43.45,43.00,44.25,43.00,43.45,43.60,43.82,78553,34.42,400,55017,70.04
KEI,EQ,2014-12-26,43.60,43.30,46.20,42.90,45.90,44.85,44.07,162765,71.72,753,87629,53.84
KEI,EQ,2014-12-29,44.85,45.60,46.45,44.95,45.65,45.55,45.80,145039,66.43,886,103194,71.15
KEI,EQ,2014-12-30,45.55,47.50,47.50,45.50,46.60,46.75,46.49,138209,64.26,758,99191,71.77
KEI,EQ,2014-12-31,46.75,46.65,49.90,46.25,48.50,48.30,48.42,345408,167.26,1960,177998,51.53
KEI,EQ,2015-01-01,48.30,48.60,49.90,47.95,49.50,49.70,49.28,298318,147.02,1518,150186,50.34
KEI,EQ,2015-01-02,49.70,50.00,54.60,49.50,52.90,52.45,52.53,1084276,569.61,5688,432733,39.91
KEI,EQ,2015-01-05,52.45,52.85,54.00,51.10,52.40,52.00,52.81,310536,163.99,1965,176832,56.94
KEI,EQ,2015-01-06,52.00,50.35,53.80,50.00,50.95,51.10,51.54,458559,236.35,2343,216024,47.11
KEI,EQ,2015-01-07,51.10,52.40,52.40,49.50,50.80,50.90,51.00,306569,156.35,1977,137103,44.72
KEI,EQ,2015-01-08,50.90,51.70,56.70,51.40,55.90,55.75,54.64,934485,510.57,5769,408044,43.67
KEI,EQ,2015-01-09,55.75,56.15,56.30,53.25,54.00,54.00,54.68,355376,194.33,2678,150840,42.45
KEI,EQ,2015-01-12,54.00,54.30,55.65,52.65,54.00,54.15,54.15,222703,120.60,1438,111537,50.08
KEI,EQ,2015-01-13,54.15,55.00,55.00,53.20,53.75,53.80,53.75,223751,120.27,1085,128006,57.21
KEI,EQ,2015-01-14,53.80,54.00,54.30,52.70,52.80,53.00,53.42,164132,87.68,797,109573,66.76
KEI,EQ,2015-01-15,53.00,54.00,55.50,53.05,54.00,54.20,54.47,206463,112.46,1284,110509,53.52
KEI,EQ,2015-01-16,54.20,54.50,55.45,53.50,54.25,53.85,54.55,163012,88.93,878,81946,50.27
KEI,EQ,2015-01-19,53.85,55.00,57.80,54.55,56.90,57.00,56.66,718079,406.90,4447,352083,49.03
KEI,EQ,2015-01-20,57.00,57.40,58.65,56.80,57.00,56.90,57.49,345904,198.85,1902,205656,59.45
KEI,EQ,2015-01-21,56.90,56.90,57.60,55.10,56.10,56.35,56.31,181956,102.46,807,121394,66.72
KEI,EQ,2015-01-22,56.35,57.40,57.40,55.95,56.00,56.05,56.18,117361,65.93,500,92274,78.62
KEI,EQ,2015-01-23,56.05,56.05,57.40,54.20,54.60,54.80,55.69,201011,111.93,981,139940,69.62
KEI,EQ,2015-01-27,54.80,55.80,55.80,52.25,53.15,53.50,53.48,161018,86.11,949,101665,63.14
KEI,EQ,2015-01-28,53.50,54.00,54.00,51.45,52.20,52.05,52.04,226331,117.78,1250,145808,64.42
KEI,EQ,2015-01-29,52.05,51.85,58.70,51.40,56.90,57.25,57.00,1014135,578.01,7095,426053,42.01
KEI,EQ,2015-01-30,57.25,56.90,59.25,55.45,58.00,57.40,57.45,546061,313.74,3777,263121,48.19
KEI,EQ,2015-02-02,57.40,57.45,61.20,57.40,60.30,60.25,59.76,659138,393.92,3689,297086,45.07
KEI,EQ,2015-02-03,60.25,60.50,61.70,59.00,59.00,59.45,60.10,328792,197.62,1653,193730,58.92
KEI,EQ,2015-02-04,59.45,59.80,61.35,59.55,59.75,59.85,60.31,274013,165.25,1972,135322,49.39
KEI,EQ,2015-02-05,59.85,60.20,60.20,57.40,59.05,58.75,59.07,196085,115.83,949,124329,63.41
KEI,EQ,2015-02-06,58.75,59.00,59.75,56.50,57.50,57.55,57.59,173061,99.66,1148,77517,44.79
KEI,EQ,2015-02-09,57.55,57.95,58.80,56.10,58.80,57.50,57.44,155907,89.55,966,97664,62.64
KEI,EQ,2015-02-10,57.50,57.95,59.85,55.50,58.20,58.20,57.79,316810,183.09,2180,176109,55.59
KEI,EQ,2015-02-11,58.20,60.35,60.80,54.50,58.00,57.65,56.92,953956,542.96,7745,463417,48.58
KEI,EQ,2015-02-12,57.65,58.50,59.50,56.20,56.75,57.35,57.59,306103,176.27,2424,168919,55.18
KEI,EQ,2015-02-13,57.35,57.50,58.20,56.00,56.65,56.90,57.11,172107,98.30,1201,115967,67.38
KEI,EQ,2015-02-16,56.90,56.90,57.55,55.55,56.90,56.90,56.93,138674,78.95,950,92675,66.83
KEI,EQ,2015-02-18,56.90,56.40,57.45,56.20,56.40,56.50,56.69,146026,82.78,750,95489,65.39
KEI,EQ,2015-02-19,56.50,57.15,57.25,55.50,55.65,56.05,56.03,98713,55.31,626,60637,61.43
KEI,EQ,2015-02-20,56.05,56.00,58.80,56.00,57.20,57.25,57.91,345822,200.28,1562,172711,49.94
KEI,EQ,2015-02-23,57.25,58.30,58.50,56.00,56.45,56.30,57.02,139473,79.52,649,94242,67.57
KEI,EQ,2015-02-24,56.30,56.50,57.20,55.40,56.25,56.05,56.36,126057,71.04,673,81853,64.93
KEI,EQ,2015-02-25,56.05,56.15,57.00,56.00,56.05,56.30,56.35,94199,53.09,483,62123,65.95
KEI,EQ,2015-02-26,56.30,55.50,56.95,55.50,56.40,56.30,56.15,95223,53.47,432,53350,56.03
KEI,EQ,2015-02-27,56.30,56.35,57.00,56.00,56.35,56.60,56.35,82826,46.68,380,57750,69.72
KEI,EQ,2015-02-28,56.60,57.45,57.45,55.75,55.80,56.10,56.23,126905,71.35,584,84301,66.43
KEI,EQ,2015-03-02,56.10,56.70,61.25,56.10,60.50,60.30,59.40,606199,360.06,2712,368127,60.73
KEI,EQ,2015-03-03,60.30,61.00,69.95,60.80,67.55,68.20,65.94,1954313,1288.65,11944,711807,36.42
KEI,EQ,2015-03-04,68.20,68.50,72.00,65.35,65.80,65.95,69.20,1252883,866.96,8228,584622,46.66
KEI,EQ,2015-03-05,65.95,65.80,67.70,65.10,66.30,66.30,66.38,424910,282.04,2351,219007,51.54
KEI,EQ,2015-03-09,66.30,65.95,65.95,62.50,63.55,63.60,63.73,451821,287.95,2247,210630,46.62
KEI,EQ,2015-03-10,63.60,64.00,66.80,63.10,65.25,65.15,65.11,282805,184.13,2484,121329,42.90
KEI,EQ,2015-03-11,65.15,65.30,66.05,63.80,65.30,64.90,64.88,155508,100.90,1447,68183,43.85
KEI,EQ,2015-03-12,64.90,65.00,67.90,64.15,67.20,67.05,66.41,467446,310.43,2723,264467,56.58
KEI,EQ,2015-03-13,67.05,67.75,68.85,64.35,65.90,65.40,66.64,338536,225.61,1678,204073,60.28
KEI,EQ,2015-03-16,65.40,64.05,67.00,63.20,63.60,63.75,64.37,206383,132.85,1394,141643,68.63
KEI,EQ,2015-03-17,63.75,64.35,65.00,63.00,63.50,63.60,63.98,184820,118.25,1014,117067,63.34
KEI,EQ,2015-03-18,63.60,63.50,63.80,62.25,62.75,63.05,63.07,149615,94.36,689,88216,58.96
KEI,EQ,2015-03-19,63.05,63.70,64.85,61.55,62.00,61.95,63.31,124184,78.62,585,83020,66.85
KEI,EQ,2015-03-20,61.95,62.00,62.70,60.65,60.65,61.05,61.55,114107,70.23,761,72631,63.65
KEI,EQ,2015-03-23,61.05,61.15,62.00,57.75,58.70,58.80,59.34,187279,111.13,1501,111496,59.53
KEI,EQ,2015-03-24,58.80,59.70,59.70,57.60,58.85,58.65,58.55,109672,64.22,824,70669,64.44
KEI,EQ,2015-03-25,58.65,59.10,59.20,57.15,57.30,57.45,57.84,189158,109.40,526,160101,84.64
KEI,EQ,2015-03-26,57.45,57.05,57.80,56.10,56.90,56.50,56.96,95705,54.52,481,71457,74.66
KEI,EQ,2015-03-27,56.50,63.00,63.00,55.65,56.50,57.65,57.83,518227,299.71,876,462343,89.22
