Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KELLTONTEC,EQ,2016-03-02,177.70,186.55,186.55,186.55,186.55,186.55,186.55,1160,2.16,15,1160,100.00
KELLTONTEC,EQ,2016-03-03,186.55,195.85,195.85,194.00,195.85,195.85,195.80,49956,97.81,188,41068,82.21
KELLTONTEC,EQ,2016-03-04,195.85,213.00,215.40,203.10,215.40,215.40,212.28,74657,158.48,851,48486,64.95
KELLTONTEC,EQ,2016-03-08,215.40,229.00,236.90,223.25,229.25,227.75,231.53,255858,592.40,3722,115836,45.27
KELLTONTEC,EQ,2016-03-09,227.75,229.25,246.50,220.00,228.65,228.35,227.87,110153,251.01,2631,57692,52.37
KELLTONTEC,EQ,2016-03-10,228.35,225.00,230.90,224.10,227.00,226.85,227.40,58964,134.08,1000,31397,53.25
KELLTONTEC,EQ,2016-03-11,226.85,226.60,236.00,226.00,229.55,229.20,230.71,107730,248.54,1648,63509,58.95
KELLTONTEC,EQ,2016-03-14,229.20,235.00,236.00,223.60,225.80,225.95,229.94,93577,215.17,1441,51789,55.34
KELLTONTEC,EQ,2016-03-15,225.95,225.15,232.00,224.00,226.00,225.60,228.74,70399,161.03,978,44337,62.98
KELLTONTEC,EQ,2016-03-16,225.60,227.00,229.70,206.00,223.85,224.45,222.63,67904,151.17,1051,28229,41.57
KELLTONTEC,EQ,2016-03-17,224.45,227.85,229.90,215.95,218.50,217.80,223.11,76617,170.94,1079,48369,63.13
KELLTONTEC,EQ,2016-03-18,217.80,220.00,225.95,210.60,215.90,214.20,215.03,36408,78.29,801,18685,51.32
KELLTONTEC,EQ,2016-03-21,214.20,215.95,223.90,210.00,216.00,216.90,216.86,56769,123.11,919,33316,58.69
KELLTONTEC,EQ,2016-03-22,216.90,213.05,225.55,213.05,219.90,219.20,220.67,57829,127.61,1026,29607,51.20
KELLTONTEC,EQ,2016-03-23,219.20,221.00,223.90,215.15,218.50,219.00,220.09,67781,149.18,994,42645,62.92
KELLTONTEC,EQ,2016-03-28,219.00,215.70,222.30,215.10,216.50,216.75,218.38,33267,72.65,485,21978,66.07
KELLTONTEC,EQ,2016-03-29,216.75,218.25,220.95,213.25,214.00,216.40,216.90,42381,91.92,522,31853,75.16
KELLTONTEC,EQ,2016-03-30,216.40,220.45,220.45,216.15,219.80,217.65,218.62,24104,52.70,456,14626,60.68
KELLTONTEC,EQ,2016-03-31,217.65,219.95,220.00,213.00,213.50,214.30,215.59,20902,45.06,431,12865,61.55
KELLTONTEC,EQ,2016-04-01,214.30,230.00,232.00,212.05,228.20,227.60,227.09,94368,214.30,1540,48047,50.91
KELLTONTEC,EQ,2016-04-04,227.60,227.90,234.00,220.00,224.90,224.55,226.76,40895,92.73,851,22319,54.58
KELLTONTEC,EQ,2016-04-05,224.55,223.85,228.05,217.10,220.00,220.15,222.47,39356,87.56,728,22099,56.15
KELLTONTEC,EQ,2016-04-06,220.15,222.75,226.50,215.10,218.00,217.20,217.37,50062,108.82,698,33763,67.44
