Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KESORAMIND,EQ,2014-12-04,108.65,112.80,116.00,112.00,113.75,113.80,113.96,1084444,1235.88,8710,447301,41.25
KESORAMIND,EQ,2014-12-05,113.80,114.20,114.75,106.50,106.70,107.35,110.70,455873,504.64,3653,282147,61.89
KESORAMIND,EQ,2014-12-08,107.35,107.00,111.90,107.00,108.95,108.60,109.56,341052,373.65,2951,141337,41.44
KESORAMIND,EQ,2014-12-09,108.60,108.40,111.00,106.50,110.30,109.00,108.88,267138,290.86,2296,135618,50.77
KESORAMIND,EQ,2014-12-10,109.00,109.40,112.90,108.20,110.55,110.70,111.23,330952,368.12,2875,146019,44.12
KESORAMIND,EQ,2014-12-11,110.70,111.30,111.45,107.65,109.50,109.10,109.18,176534,192.73,1202,97753,55.37
KESORAMIND,EQ,2014-12-12,109.10,110.00,110.00,104.00,106.00,104.85,107.14,138567,148.46,1616,79481,57.36
KESORAMIND,EQ,2014-12-15,104.85,104.00,105.20,99.00,102.30,102.75,102.80,194120,199.56,1922,91100,46.93
KESORAMIND,EQ,2014-12-16,102.75,102.00,103.45,96.65,97.50,97.75,99.07,219280,217.24,2590,111721,50.95
KESORAMIND,EQ,2014-12-17,97.75,97.10,100.70,91.00,94.20,95.05,95.32,214654,204.61,2122,100950,47.03
KESORAMIND,EQ,2014-12-18,95.05,96.55,99.90,96.55,97.40,97.60,97.92,180149,176.40,1633,109468,60.77
KESORAMIND,EQ,2014-12-19,97.60,98.15,103.00,98.15,100.00,99.45,100.74,189622,191.02,2121,81463,42.96
KESORAMIND,EQ,2014-12-22,99.45,105.40,106.50,101.05,101.80,101.50,102.64,277145,284.45,3271,93981,33.91
KESORAMIND,EQ,2014-12-23,101.50,101.75,102.35,98.05,99.60,99.35,100.37,150814,151.37,1714,72489,48.07
KESORAMIND,EQ,2014-12-24,99.35,100.00,100.10,95.50,96.60,96.65,97.25,203778,198.17,2037,118198,58.00
KESORAMIND,EQ,2014-12-26,96.65,97.40,97.85,96.10,96.80,96.70,96.91,97848,94.82,976,57763,59.03
KESORAMIND,EQ,2014-12-29,96.70,97.00,99.80,96.50,97.00,97.05,97.94,200164,196.05,1573,101216,50.57
