Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KIRLOSIND,EQ,2014-12-04,629.80,620.85,634.50,620.85,634.50,634.50,631.32,611,3.86,48,496,81.18
KIRLOSIND,EQ,2014-12-05,634.50,634.60,638.00,628.10,635.00,635.00,632.23,500,3.16,37,385,77.00
KIRLOSIND,EQ,2014-12-08,635.00,640.00,650.00,622.60,628.15,628.15,634.20,1317,8.35,58,563,42.75
KIRLOSIND,EQ,2014-12-09,628.15,626.25,639.00,620.00,629.90,624.95,625.10,1429,8.93,72,1272,89.01
KIRLOSIND,EQ,2014-12-10,624.95,629.90,629.90,616.40,625.00,624.35,624.52,1367,8.54,64,1197,87.56
KIRLOSIND,EQ,2014-12-11,624.35,632.35,632.35,616.65,625.00,624.95,623.93,231,1.44,29,166,71.86
KIRLOSIND,EQ,2014-12-12,624.95,611.00,624.50,611.00,617.00,618.70,620.92,221,1.37,41,187,84.62
KIRLOSIND,EQ,2014-12-15,618.70,624.95,624.95,605.10,605.10,607.15,608.75,337,2.05,48,196,58.16
KIRLOSIND,EQ,2014-12-16,607.15,606.00,610.00,601.50,603.00,606.25,606.35,1493,9.05,65,1316,88.14
KIRLOSIND,EQ,2014-12-17,606.25,601.70,605.00,584.00,584.00,587.10,590.93,919,5.43,60,725,78.89
KIRLOSIND,EQ,2014-12-18,587.10,581.20,610.05,581.20,609.00,604.25,605.80,660,4.00,36,389,58.94
KIRLOSIND,EQ,2014-12-19,604.25,595.10,602.00,595.10,599.10,599.10,599.11,91,0.55,12,84,92.31
KIRLOSIND,EQ,2014-12-22,599.10,591.15,601.85,547.95,565.00,568.55,570.28,1917,10.93,101,1683,87.79
KIRLOSIND,EQ,2014-12-23,568.55,568.55,575.00,556.00,565.40,565.40,566.31,557,3.15,92,487,87.43
KIRLOSIND,EQ,2014-12-24,565.40,582.15,582.15,570.30,580.00,576.45,577.57,125,0.72,22,90,72.00
KIRLOSIND,EQ,2014-12-26,576.45,580.05,584.05,570.25,570.40,571.85,573.54,124,0.71,17,68,54.84
KIRLOSIND,EQ,2014-12-29,571.85,560.35,580.05,560.35,580.00,579.90,574.57,470,2.70,25,355,75.53
KIRLOSIND,EQ,2014-12-30,579.90,580.00,580.00,568.00,568.05,568.00,578.03,406,2.35,14,404,99.51
KIRLOSIND,EQ,2014-12-31,568.00,567.15,585.05,567.15,580.00,580.00,581.73,207,1.20,12,187,90.34
KIRLOSIND,EQ,2015-01-01,580.00,574.35,585.00,570.00,570.00,574.35,574.88,293,1.68,21,223,76.11
KIRLOSIND,EQ,2015-01-02,574.35,571.30,580.00,571.25,580.00,580.00,576.46,348,2.01,39,222,63.79
KIRLOSIND,EQ,2015-01-05,580.00,574.05,620.00,574.05,618.00,617.95,609.19,1339,8.16,80,1184,88.42
KIRLOSIND,EQ,2015-01-06,617.95,604.40,634.95,600.00,600.00,601.45,606.22,447,2.71,27,401,89.71
KIRLOSIND,EQ,2015-01-07,601.45,605.00,612.70,599.00,599.00,605.95,607.93,369,2.24,25,244,66.12
KIRLOSIND,EQ,2015-01-08,605.95,606.00,610.00,595.05,602.00,606.75,603.53,120,0.72,16,86,71.67
KIRLOSIND,EQ,2015-01-09,606.75,584.25,620.00,584.25,620.00,617.20,616.05,157,0.97,16,101,64.33
KIRLOSIND,EQ,2015-01-12,617.20,617.95,617.95,601.00,601.00,601.10,603.31,284,1.71,18,173,60.92
KIRLOSIND,EQ,2015-01-13,601.10,579.00,614.35,561.10,585.05,585.35,588.28,635,3.74,46,494,77.80
KIRLOSIND,EQ,2015-01-14,585.35,590.10,597.90,575.00,575.00,578.00,584.10,192,1.12,27,137,71.35
KIRLOSIND,EQ,2015-01-15,578.00,563.70,599.95,561.60,561.60,579.50,580.43,415,2.41,35,390,93.98
KIRLOSIND,EQ,2015-01-16,579.50,587.00,587.00,570.05,575.05,575.05,575.13,42,0.24,15,29,69.05
KIRLOSIND,EQ,2015-01-19,575.05,590.00,590.00,571.50,575.60,576.55,582.95,131,0.76,15,97,74.05
KIRLOSIND,EQ,2015-01-20,576.55,576.65,605.00,571.10,600.00,599.95,590.04,1500,8.85,35,1485,99.00
