Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KITEX,EQ,2014-12-04,529.10,525.25,537.75,511.90,512.00,513.60,518.21,87256,452.17,2689,51385,58.89
KITEX,EQ,2014-12-05,513.60,514.05,521.90,512.10,514.50,514.90,516.14,51433,265.47,1612,33867,65.85
KITEX,EQ,2014-12-08,514.90,514.00,523.85,508.40,515.20,514.00,514.42,36734,188.97,1449,25998,70.77
KITEX,EQ,2014-12-09,514.00,506.00,514.20,499.10,502.40,500.65,504.27,51670,260.56,1737,35364,68.44
KITEX,EQ,2014-12-10,500.65,500.00,546.50,441.80,546.50,543.40,531.22,282274,1499.49,7694,102576,36.34
KITEX,EQ,2014-12-11,543.40,546.00,546.00,523.20,525.15,526.85,531.99,93212,495.88,3085,35968,38.59
KITEX,EQ,2014-12-12,526.85,523.00,552.00,523.00,541.50,540.25,544.72,251524,1370.10,7383,128160,50.95
KITEX,EQ,2014-12-15,540.25,534.80,534.90,522.00,524.00,526.20,527.65,60087,317.05,2813,24641,41.01
KITEX,EQ,2014-12-16,526.20,523.00,527.95,495.00,507.40,507.95,506.98,103006,522.22,4100,54563,52.97
KITEX,EQ,2014-12-17,507.95,505.00,509.80,468.00,492.00,493.70,495.27,112840,558.86,3969,56483,50.06
KITEX,EQ,2014-12-18,493.70,508.95,519.00,501.90,511.00,509.50,510.19,44712,228.12,2171,18406,41.17
KITEX,EQ,2014-12-19,509.50,513.20,524.35,496.55,513.00,508.45,515.71,54088,278.94,2395,12995,24.03
KITEX,EQ,2014-12-22,508.45,505.30,518.00,502.20,509.00,508.55,511.57,32716,167.37,2181,12659,38.69
KITEX,EQ,2014-12-23,508.55,507.30,515.80,499.20,503.00,501.65,507.11,43324,219.70,3279,20512,47.35
KITEX,EQ,2014-12-24,501.65,504.95,513.00,492.75,504.00,506.05,502.47,164203,825.06,2250,139641,85.04
