Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KKCL,EQ,2014-12-04,1813.25,1800.00,1829.00,1800.00,1810.00,1810.15,1808.87,212,3.83,40,166,78.30
KKCL,EQ,2014-12-05,1810.15,1785.00,1845.00,1785.00,1825.00,1827.00,1826.90,367,6.70,41,351,95.64
KKCL,EQ,2014-12-08,1827.00,1825.00,1840.00,1825.00,1825.40,1830.85,1826.30,293,5.35,48,260,88.74
KKCL,EQ,2014-12-09,1830.85,1850.00,1875.00,1831.00,1840.00,1833.35,1832.31,424,7.77,47,395,93.16
KKCL,EQ,2014-12-10,1833.35,1871.90,1895.00,1782.10,1879.95,1876.15,1851.71,734,13.59,156,425,57.90
KKCL,EQ,2014-12-11,1876.15,1898.00,1937.95,1876.15,1900.00,1899.95,1900.36,67341,1279.72,477,66432,98.65
KKCL,EQ,2014-12-12,1899.95,1899.95,1939.95,1855.00,1925.00,1920.75,1897.77,2148,40.76,160,1956,91.06
KKCL,EQ,2014-12-15,1920.75,2000.00,2000.00,1909.05,1944.85,1936.70,1958.10,1917,37.54,232,1241,64.74
KKCL,EQ,2014-12-16,1936.70,1944.85,1950.05,1845.00,1875.00,1866.00,1906.52,1518,28.94,237,858,56.52
KKCL,EQ,2014-12-17,1866.00,1854.00,1895.00,1725.00,1790.00,1801.45,1806.51,885,15.99,237,512,57.85
KKCL,EQ,2014-12-18,1801.45,1813.00,1850.25,1801.10,1840.00,1818.70,1821.49,147,2.68,47,123,83.67
KKCL,EQ,2014-12-19,1818.70,1830.00,1850.00,1723.00,1745.00,1744.50,1778.76,983,17.49,174,798,81.18
KKCL,EQ,2014-12-22,1744.50,1755.00,1949.85,1755.00,1932.00,1925.35,1899.24,4569,86.78,858,1751,38.32
KKCL,EQ,2014-12-23,1925.35,1936.95,1950.05,1790.00,1950.05,1926.05,1905.17,4559,86.86,481,3446,75.59
KKCL,EQ,2014-12-24,1926.05,1914.00,1924.00,1840.00,1842.00,1864.05,1876.07,354,6.64,99,230,64.97
KKCL,EQ,2014-12-26,1864.05,1864.05,1874.00,1835.00,1840.00,1849.75,1852.59,295,5.47,53,207,70.17
KKCL,EQ,2014-12-29,1849.75,1838.00,1899.00,1811.10,1875.00,1878.15,1844.48,819,15.11,68,721,88.03
KKCL,EQ,2014-12-30,1878.15,1890.00,1930.00,1883.05,1900.00,1901.80,1906.72,2235,42.62,180,1887,84.43
KKCL,EQ,2014-12-31,1901.80,1904.00,1951.00,1890.00,1947.00,1945.35,1933.86,7305,141.27,332,7023,96.14
KKCL,EQ,2015-01-01,1945.35,1958.00,1958.00,1905.05,1905.05,1914.75,1930.19,224,4.32,60,130,58.04
KKCL,EQ,2015-01-02,1914.75,1926.95,1951.00,1926.95,1950.00,1950.00,1949.87,31392,612.10,292,29012,92.42
KKCL,EQ,2015-01-05,1950.00,1962.00,1990.00,1890.00,1892.00,1893.30,1928.34,761,14.67,133,414,54.40
KKCL,EQ,2015-01-06,1893.30,1881.00,1944.90,1847.05,1929.90,1916.35,1902.54,547,10.41,113,369,67.46
KKCL,EQ,2015-01-07,1916.35,1935.00,1935.00,1845.00,1919.95,1918.70,1891.41,472,8.93,139,93,19.70
KKCL,EQ,2015-01-08,1918.70,1938.75,1938.95,1905.00,1910.00,1910.50,1924.21,301,5.79,90,209,69.44
KKCL,EQ,2015-01-09,1910.50,1920.00,1920.00,1865.00,1883.95,1878.15,1886.82,468,8.83,122,390,83.33
KKCL,EQ,2015-01-12,1878.15,1930.00,1949.75,1880.00,1931.20,1933.40,1913.78,228,4.36,45,114,50.00
KKCL,EQ,2015-01-13,1933.40,1940.05,1940.05,1881.95,1926.00,1902.60,1903.74,422,8.03,146,296,70.14
KKCL,EQ,2015-01-14,1902.60,1944.90,1944.95,1881.10,1909.95,1893.55,1904.62,86,1.64,51,67,77.91
KKCL,EQ,2015-01-15,1893.55,1893.60,1920.00,1890.00,1890.05,1894.55,1897.21,187,3.55,52,127,67.91
KKCL,EQ,2015-01-16,1894.55,1920.35,1920.35,1885.10,1885.10,1887.35,1893.94,70,1.33,26,54,77.14
KKCL,EQ,2015-01-19,1887.35,1970.00,1970.00,1866.25,1895.00,1902.30,1903.22,1361,25.90,176,906,66.57
KKCL,EQ,2015-01-20,1902.30,1925.00,1975.80,1893.60,1951.00,1944.65,1945.71,1903,37.03,312,931,48.92
KKCL,EQ,2015-01-21,1944.65,1975.00,1975.00,1918.35,1920.00,1920.10,1924.41,526,10.12,87,470,89.35
KKCL,EQ,2015-01-22,1920.10,1890.00,1947.90,1882.00,1934.75,1920.35,1914.92,1650,31.60,136,1007,61.03
KKCL,EQ,2015-01-23,1920.35,1910.00,1935.00,1910.00,1920.00,1920.00,1924.56,478,9.20,40,193,40.38
KKCL,EQ,2015-01-27,1920.00,1920.00,1950.00,1895.00,1895.20,1895.00,1908.15,284,5.42,50,257,90.49
KKCL,EQ,2015-01-28,1895.00,1895.00,1900.00,1895.00,1895.00,1895.00,1895.76,277,5.25,47,269,97.11
KKCL,EQ,2015-01-29,1895.00,1907.00,1909.00,1885.10,1887.50,1887.50,1899.98,15555,295.54,18,15539,99.90
KKCL,EQ,2015-01-30,1887.50,1959.95,1959.95,1870.00,1925.00,1918.70,1900.15,7234,137.46,72,7178,99.23
KKCL,EQ,2015-02-02,1918.70,1870.05,1943.00,1749.95,1760.00,1769.00,1835.18,3206,58.84,823,1824,56.89
KKCL,EQ,2015-02-03,1769.00,1799.05,1830.00,1750.00,1818.00,1802.85,1777.69,3002,53.37,486,1988,66.22
KKCL,EQ,2015-02-04,1802.85,1942.75,1942.75,1750.00,1800.00,1800.55,1797.48,2317,41.65,425,1550,66.90
KKCL,EQ,2015-02-05,1800.55,1800.00,1800.00,1781.10,1798.35,1791.45,1794.05,245,4.40,126,88,35.92
KKCL,EQ,2015-02-06,1791.45,1800.25,1934.95,1728.00,1769.50,1755.40,1771.22,2967,52.55,401,2344,79.00
KKCL,EQ,2015-02-09,1755.40,1765.05,1784.95,1650.00,1661.20,1675.35,1705.17,1470,25.07,232,801,54.49
KKCL,EQ,2015-02-10,1675.35,1745.00,1820.00,1675.00,1691.00,1690.35,1722.96,753,12.97,128,375,49.80
KKCL,EQ,2015-02-11,1690.35,1681.00,1750.05,1681.00,1704.60,1705.15,1697.85,408,6.93,47,334,81.86
KKCL,EQ,2015-02-12,1705.15,1691.55,1770.00,1691.50,1735.00,1715.20,1716.28,1125,19.31,173,991,88.09
KKCL,EQ,2015-02-13,1715.20,1749.00,1818.10,1730.20,1752.00,1756.15,1751.17,2373,41.56,113,1989,83.82
KKCL,EQ,2015-02-16,1756.15,1755.95,1775.00,1755.95,1775.00,1773.55,1769.35,171,3.03,25,154,90.06
KKCL,EQ,2015-02-18,1773.55,1775.00,1785.00,1769.90,1785.00,1775.25,1774.99,7061,125.33,218,6932,98.17
KKCL,EQ,2015-02-19,1775.25,1775.00,1785.05,1769.95,1775.00,1775.00,1773.31,1796,31.85,122,1761,98.05
KKCL,EQ,2015-02-20,1775.00,1775.00,1775.05,1750.00,1774.85,1772.15,1768.45,1664,29.43,405,1417,85.16
KKCL,EQ,2015-02-23,1772.15,1745.20,1775.00,1745.00,1773.50,1773.90,1772.87,1896,33.61,102,1843,97.20
KKCL,EQ,2015-02-24,1773.90,1750.05,1789.45,1731.00,1749.95,1752.55,1759.73,4015,70.65,99,3906,97.29
KKCL,EQ,2015-02-25,1752.55,1778.10,1810.00,1732.00,1785.00,1785.20,1777.35,356,6.33,145,188,52.81
KKCL,EQ,2015-02-26,1785.20,1746.50,1821.00,1701.15,1809.95,1776.40,1778.98,412,7.33,139,277,67.23
KKCL,EQ,2015-02-27,1776.40,1755.00,1823.20,1755.00,1814.00,1800.65,1785.93,357,6.38,85,260,72.83
KKCL,EQ,2015-02-28,1800.65,1838.10,1838.15,1795.00,1831.00,1824.70,1818.46,167,3.04,52,138,82.63
KKCL,EQ,2015-03-02,1824.70,1787.00,1890.00,1787.00,1850.00,1851.80,1859.85,1025,19.06,99,970,94.63
KKCL,EQ,2015-03-03,1851.80,1889.00,1889.00,1815.15,1850.05,1850.05,1850.13,948,17.54,92,861,90.82
KKCL,EQ,2015-03-04,1850.05,1874.00,1874.00,1821.00,1865.00,1865.00,1859.95,489,9.10,82,452,92.43
KKCL,EQ,2015-03-05,1865.00,1865.00,1880.00,1851.30,1880.00,1875.70,1874.49,579,10.85,30,553,95.51
KKCL,EQ,2015-03-09,1875.70,1870.00,1920.00,1802.15,1876.00,1916.75,1896.44,1821,34.53,96,1112,61.07
KKCL,EQ,2015-03-10,1916.75,1935.00,1996.00,1865.00,1918.00,1918.45,1920.58,6508,124.99,134,5972,91.76
KKCL,EQ,2015-03-11,1918.45,1937.95,2180.00,1862.00,2180.00,1982.85,1980.43,2183,43.23,179,2024,92.72
KKCL,EQ,2015-03-12,1982.85,2026.00,2095.00,2000.00,2030.00,2012.90,2024.21,481,9.74,108,384,79.83
KKCL,EQ,2015-03-13,2012.90,1993.00,2050.00,1975.05,2050.00,2036.30,2029.12,240,4.87,54,171,71.25
KKCL,EQ,2015-03-16,2036.30,2039.95,2040.00,1952.00,1952.00,1955.80,1967.95,368,7.24,87,262,71.20
KKCL,EQ,2015-03-17,1955.80,1995.00,1999.95,1899.00,1978.50,1940.25,1928.86,11195,215.94,151,10900,97.36
KKCL,EQ,2015-03-18,1940.25,1927.00,2050.00,1905.65,1999.95,2009.45,1977.75,5990,118.47,303,5692,95.03
KKCL,EQ,2015-03-19,2009.45,1981.65,2039.95,1950.00,2039.95,2027.20,1996.88,1039,20.75,370,710,68.33
KKCL,EQ,2015-03-20,2027.20,1951.15,2058.00,1951.00,2050.00,2049.00,2046.15,5142,105.21,123,5026,97.74
KKCL,EQ,2015-03-23,2049.00,2044.95,2050.00,2000.00,2038.50,2028.35,2033.22,202,4.11,41,136,67.33
KKCL,EQ,2015-03-24,2028.35,1961.00,2049.95,1930.00,2045.00,2031.75,2014.31,735,14.81,190,508,69.12
KKCL,EQ,2015-03-25,2031.75,2000.30,2065.00,2000.00,2010.00,2010.15,2038.19,3750,76.43,151,3608,96.21
KKCL,EQ,2015-03-26,2010.15,2015.05,2024.95,1962.00,2019.90,2015.20,2014.80,9849,198.44,115,9749,98.98
KKCL,EQ,2015-03-27,2015.20,1970.00,2033.00,1950.05,1982.00,1981.25,1999.17,6398,127.91,175,6134,95.87
KKCL,EQ,2015-03-30,1981.25,2035.95,2125.00,1962.00,2119.95,2093.45,2069.57,1042,21.56,135,1015,97.41
KKCL,EQ,2015-03-31,2093.45,2055.00,2150.00,2055.00,2140.00,2125.80,2124.61,4224,89.74,1080,3137,74.27
KKCL,EQ,2015-04-01,2125.80,2125.00,2150.00,2085.00,2145.00,2122.35,2123.48,2073,44.02,337,1929,93.05
KKCL,EQ,2015-04-06,2122.35,2189.00,2189.00,2100.00,2125.00,2105.20,2117.20,444,9.40,139,247,55.63
KKCL,EQ,2015-04-07,2105.20,2060.15,2139.90,2060.15,2090.00,2123.35,2103.02,189,3.97,51,138,73.02
KKCL,EQ,2015-04-08,2123.35,2100.05,2161.10,2035.50,2070.00,2081.45,2082.96,940,19.58,98,729,77.55
KKCL,EQ,2015-04-09,2081.45,2070.00,2090.00,2070.00,2080.00,2080.00,2079.37,334,6.95,19,304,91.02
KKCL,EQ,2015-04-10,2080.00,2011.00,2110.00,2011.00,2050.00,2050.85,2067.95,141,2.92,17,104,73.76
KKCL,EQ,2015-04-13,2050.85,2001.00,2085.00,2001.00,2068.90,2010.30,2011.31,2193,44.11,78,2013,91.79
KKCL,EQ,2015-04-15,2010.30,2115.00,2115.00,2036.00,2100.00,2085.10,2076.39,148,3.07,56,111,75.00
KKCL,EQ,2015-04-16,2085.10,2011.10,2080.00,2011.10,2075.00,2075.00,2073.26,221,4.58,23,216,97.74
KKCL,EQ,2015-04-17,2075.00,2030.00,2094.95,2010.00,2050.00,2049.60,2049.61,1415,29.00,62,1347,95.19
KKCL,EQ,2015-04-20,2049.60,2060.00,2075.00,2010.00,2075.00,2074.55,2051.92,297,6.09,40,274,92.26
KKCL,EQ,2015-04-21,2074.55,1980.80,2110.20,1980.80,2080.00,2080.00,2059.55,33,0.68,24,13,39.39
KKCL,EQ,2015-04-22,2080.00,2080.00,2091.00,2050.00,2050.00,2050.00,2069.16,34,0.70,24,33,97.06
KKCL,EQ,2015-04-23,2050.00,2074.90,2074.95,2005.10,2074.00,2048.00,2036.16,428,8.71,60,387,90.42
KKCL,EQ,2015-04-24,2048.00,2038.05,2050.05,2010.00,2014.00,2011.85,2015.52,145,2.92,30,122,84.14
KKCL,EQ,2015-04-27,2011.85,1930.05,1980.00,1925.00,1980.00,1980.00,1948.52,308,6.00,47,271,87.99
KKCL,EQ,2015-04-28,1980.00,1931.00,1995.00,1931.00,1995.00,1994.75,1979.45,48,0.95,11,39,81.25
KKCL,EQ,2015-04-29,1994.75,1990.00,1996.00,1931.00,1996.00,1992.30,1960.21,63,1.23,37,26,41.27
KKCL,EQ,2015-04-30,1992.30,1936.10,2380.00,1914.00,2225.00,2225.40,2217.86,9379,208.01,373,7234,77.13
KKCL,EQ,2015-05-04,2225.40,2299.00,2300.05,2025.10,2144.00,2109.25,2165.02,1601,34.66,209,810,50.59
KKCL,EQ,2015-05-05,2109.25,2149.95,2195.00,2064.00,2195.00,2181.80,2151.19,297,6.39,139,125,42.09
KKCL,EQ,2015-05-06,2181.80,2105.00,2215.10,2105.00,2163.00,2163.85,2176.43,143,3.11,98,33,23.08
KKCL,EQ,2015-05-07,2163.85,2152.00,2240.00,2152.00,2239.95,2228.55,2216.57,823,18.24,107,678,82.38
KKCL,EQ,2015-05-08,2228.55,2234.95,2240.00,2121.00,2240.00,2230.60,2220.98,144,3.20,37,81,56.25
KKCL,EQ,2015-05-11,2230.60,2186.00,2249.00,2160.00,2200.00,2220.90,2207.96,125,2.76,63,54,43.20
KKCL,EQ,2015-05-12,2220.90,2198.95,2247.95,2180.00,2243.35,2237.85,2223.46,2473,54.99,159,2380,96.24
KKCL,EQ,2015-05-13,2237.85,2249.95,2249.95,2211.50,2249.80,2249.45,2246.70,271,6.09,41,245,90.41
KKCL,EQ,2015-05-14,2249.45,2249.85,2249.90,2181.50,2242.00,2242.85,2239.67,156,3.49,32,126,80.77
KKCL,EQ,2015-05-15,2242.85,2140.00,2250.00,2140.00,2200.00,2193.10,2202.55,569,12.53,108,308,54.13
KKCL,EQ,2015-05-18,2193.10,2232.00,2245.00,2191.05,2245.00,2230.80,2229.88,663,14.78,175,234,35.29
KKCL,EQ,2015-05-19,2230.80,2249.95,2249.95,2234.00,2235.00,2243.30,2246.07,105,2.36,24,79,75.24
KKCL,EQ,2015-05-20,2243.30,2200.00,2249.95,2175.05,2240.00,2206.95,2217.08,187,4.15,56,93,49.73
KKCL,EQ,2015-05-21,2206.95,2180.00,2240.00,2180.00,2220.00,2217.45,2211.64,170,3.76,103,68,40.00
KKCL,EQ,2015-05-22,2217.45,2225.00,2239.95,2105.10,2200.00,2167.90,2184.18,105,2.29,49,78,74.29
KKCL,EQ,2015-05-25,2167.90,2200.00,2235.00,2150.00,2150.00,2172.45,2194.92,81,1.78,54,57,70.37
KKCL,EQ,2015-05-26,2172.45,2200.40,2220.00,2090.00,2137.00,2117.60,2134.56,142,3.03,68,100,70.42
KKCL,EQ,2015-05-27,2117.60,2160.00,2160.00,2056.05,2100.00,2066.85,2096.49,158,3.31,80,134,84.81
KKCL,EQ,2015-05-28,2066.85,2100.00,2100.00,2021.00,2059.65,2051.85,2060.47,136,2.80,66,95,69.85
KKCL,EQ,2015-05-29,2051.85,2055.00,2055.00,1960.05,2029.95,1995.60,2011.58,370,7.44,148,271,73.24
KKCL,EQ,2015-06-01,1995.60,2040.00,2040.00,1995.30,2013.00,2037.50,2027.26,94,1.91,50,52,55.32
KKCL,EQ,2015-06-02,2037.50,2210.00,2210.00,1995.00,2025.00,2017.80,2025.00,279,5.65,111,83,29.75
KKCL,EQ,2015-06-03,2017.80,1980.00,2007.00,1960.05,1971.15,1995.85,1994.69,49,0.98,39,32,65.31
KKCL,EQ,2015-06-04,1995.85,1971.00,2080.00,1957.00,2050.00,2050.00,2030.68,410,8.33,146,225,54.88
KKCL,EQ,2015-06-05,2050.00,1995.00,2185.00,1995.00,2101.10,2104.40,2098.08,457,9.59,161,203,44.42
KKCL,EQ,2015-06-08,2104.40,2055.00,2160.00,2050.15,2150.00,2150.85,2114.74,179,3.79,73,106,59.22
KKCL,EQ,2015-06-09,2150.85,2200.00,2245.15,2150.00,2245.15,2226.15,2210.83,1426,31.53,153,633,44.39
KKCL,EQ,2015-06-10,2226.15,2245.10,2250.00,2200.00,2245.00,2247.35,2237.16,1159,25.93,77,1142,98.53
KKCL,EQ,2015-06-11,2247.35,2245.05,2245.05,2200.00,2220.00,2220.00,2222.27,659,14.64,73,542,82.25
KKCL,EQ,2015-06-12,2220.00,2220.00,2220.00,2200.00,2200.00,2200.00,2202.68,112,2.47,12,112,100.00
KKCL,EQ,2015-06-15,2200.00,2200.00,2225.00,2180.00,2200.00,2200.00,2200.40,139,3.06,9,139,100.00
KKCL,EQ,2015-06-16,2200.00,2199.95,2244.00,2131.00,2137.00,2142.45,2177.29,1333,29.02,190,646,48.46
KKCL,EQ,2015-06-17,2142.45,2150.00,2250.00,2130.00,2148.95,2139.65,2157.41,954,20.58,205,652,68.34
KKCL,EQ,2015-06-18,2139.65,2169.00,2219.95,2169.00,2182.00,2196.65,2178.37,693,15.10,60,552,79.65
KKCL,EQ,2015-06-19,2196.65,2230.00,2230.00,2195.00,2195.00,2201.35,2204.49,213,4.70,36,128,60.09
KKCL,EQ,2015-06-22,2201.35,2239.90,2252.95,2220.00,2250.00,2249.75,2249.27,7557,169.98,171,7384,97.71
KKCL,EQ,2015-06-23,2249.75,2230.05,2255.00,2230.00,2230.00,2249.95,2246.86,89,2.00,26,47,52.81
KKCL,EQ,2015-06-24,2249.95,2169.50,2250.00,2169.50,2234.00,2233.45,2231.08,626,13.97,66,204,32.59
KKCL,EQ,2015-06-25,2233.45,2200.00,2230.50,2180.00,2180.00,2195.65,2205.20,355,7.83,56,61,17.18
KKCL,EQ,2015-06-26,2195.65,2248.95,2248.95,2161.00,2200.30,2200.25,2184.36,646,14.11,98,14,2.17
KKCL,EQ,2015-06-29,2200.25,2090.20,2175.00,2075.00,2150.00,2149.60,2149.02,985,21.17,112,191,19.39
KKCL,EQ,2015-06-30,2149.60,2115.00,2159.95,2060.30,2121.00,2116.80,2115.54,1793,37.93,121,952,53.10
KKCL,EQ,2015-07-01,2116.80,2148.95,2163.95,2100.00,2120.80,2111.00,2119.68,705,14.94,81,285,40.43
KKCL,EQ,2015-07-02,2111.00,2128.05,2135.05,2097.00,2105.00,2105.00,2111.21,886,18.71,66,431,48.65
KKCL,EQ,2015-07-03,2105.00,2088.95,2139.95,2080.00,2095.05,2096.45,2096.05,1200,25.15,59,657,54.75
KKCL,EQ,2015-07-06,2096.45,2075.05,2100.00,2021.00,2070.00,2065.45,2061.57,1746,36.00,147,921,52.75
KKCL,EQ,2015-07-07,2065.45,2051.95,2090.90,1995.00,1999.00,2006.15,2019.88,1596,32.24,174,1021,63.97
