Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KMSUGAR,EQ,2014-12-04,4.10,3.90,4.15,3.90,4.15,4.15,4.01,34881,1.40,42,26490,75.94
KMSUGAR,EQ,2014-12-05,4.15,4.00,4.10,3.85,4.10,4.10,3.91,10712,0.42,17,8710,81.31
KMSUGAR,EQ,2014-12-08,4.10,3.80,4.50,3.80,4.10,4.30,4.33,81545,3.53,63,69017,84.64
KMSUGAR,EQ,2014-12-09,4.30,4.15,4.45,4.15,4.40,4.25,4.29,10595,0.45,13,6985,65.93
KMSUGAR,EQ,2014-12-10,4.25,4.00,4.45,4.00,4.20,4.10,4.13,18181,0.75,25,14539,79.97
KMSUGAR,EQ,2014-12-11,4.10,4.40,4.40,3.95,4.00,4.05,4.22,49878,2.11,55,37899,75.98
KMSUGAR,EQ,2014-12-12,4.05,4.00,4.30,3.85,4.20,4.20,4.05,116981,4.73,69,92602,79.16
KMSUGAR,EQ,2014-12-15,4.20,3.90,4.25,3.90,4.05,4.00,4.06,24705,1.00,21,12705,51.43
KMSUGAR,EQ,2014-12-16,4.00,3.90,4.00,3.60,3.60,3.60,3.68,64919,2.39,43,63970,98.54
KMSUGAR,EQ,2014-12-17,3.60,3.45,3.55,3.25,3.55,3.55,3.35,79922,2.68,60,56619,70.84
KMSUGAR,EQ,2014-12-18,3.55,3.60,3.80,3.35,3.75,3.75,3.64,32693,1.19,31,20943,64.06
KMSUGAR,EQ,2014-12-19,3.75,3.95,3.95,3.70,3.90,3.90,3.85,11820,0.45,12,10720,90.69
KMSUGAR,EQ,2014-12-22,3.90,3.90,3.95,3.90,3.90,3.90,3.90,6050,0.24,14,5600,92.56
KMSUGAR,EQ,2014-12-23,3.90,3.70,3.90,3.70,3.90,3.90,3.78,19551,0.74,16,19500,99.74
KMSUGAR,EQ,2014-12-24,3.90,3.75,3.90,3.70,3.70,3.75,3.74,17036,0.64,20,15970,93.74
KMSUGAR,EQ,2014-12-26,3.75,3.50,3.85,3.50,3.55,3.60,3.59,10944,0.39,30,10944,100.00
KMSUGAR,EQ,2014-12-29,3.60,3.55,3.80,3.55,3.80,3.60,3.62,13184,0.48,26,9184,69.66
KMSUGAR,EQ,2014-12-30,3.60,3.50,3.80,3.50,3.80,3.80,3.59,10480,0.38,13,10180,97.14
KMSUGAR,EQ,2014-12-31,3.80,3.50,3.80,3.50,3.80,3.65,3.67,13085,0.48,18,9985,76.31
KMSUGAR,EQ,2015-01-01,3.65,3.45,3.85,3.40,3.75,3.75,3.67,21995,0.81,36,10470,47.60
KMSUGAR,EQ,2015-01-02,3.75,3.70,4.25,3.45,4.10,4.20,3.95,85962,3.39,64,67929,79.02
KMSUGAR,EQ,2015-01-05,4.20,4.30,4.30,3.85,4.15,4.10,4.10,28372,1.16,37,24271,85.55
KMSUGAR,EQ,2015-01-06,4.10,3.80,4.35,3.80,4.00,4.00,4.09,32103,1.31,56,24205,75.40
KMSUGAR,EQ,2015-01-07,4.00,4.00,4.10,3.90,3.95,3.95,3.94,20214,0.80,41,19267,95.32
KMSUGAR,EQ,2015-01-08,3.95,3.85,4.15,3.85,3.95,3.95,3.97,69264,2.75,38,64206,92.70
KMSUGAR,EQ,2015-01-09,3.95,4.00,4.30,4.00,4.15,4.05,4.14,26556,1.10,30,22656,85.31
KMSUGAR,EQ,2015-01-12,4.05,4.20,4.55,3.95,4.30,4.30,4.27,212517,9.08,128,203217,95.62
KMSUGAR,EQ,2015-01-13,4.30,4.00,4.50,3.90,4.30,4.30,4.30,3982,0.17,16,3225,80.99
KMSUGAR,EQ,2015-01-14,4.30,4.50,4.50,4.05,4.15,4.20,4.17,30011,1.25,36,27353,91.14
KMSUGAR,EQ,2015-01-15,4.20,4.60,4.60,4.10,4.15,4.15,4.31,8740,0.38,17,7915,90.56
KMSUGAR,EQ,2015-01-16,4.15,4.50,4.50,4.10,4.40,4.40,4.27,11750,0.50,28,8650,73.62
KMSUGAR,EQ,2015-01-19,4.40,4.25,4.40,4.20,4.40,4.30,4.27,7130,0.30,13,5130,71.95
KMSUGAR,EQ,2015-01-20,4.30,4.20,4.50,4.10,4.15,4.20,4.23,40811,1.73,53,32299,79.14
KMSUGAR,EQ,2015-01-21,4.20,4.20,4.30,4.10,4.15,4.15,4.19,8300,0.35,14,8300,100.00
KMSUGAR,EQ,2015-01-22,4.15,4.05,4.40,4.05,4.25,4.25,4.22,8946,0.38,16,7549,84.38
KMSUGAR,EQ,2015-01-23,4.25,4.00,4.10,3.90,4.00,4.00,4.00,36381,1.46,70,35481,97.53
KMSUGAR,EQ,2015-01-27,4.00,4.00,4.10,4.00,4.00,4.10,4.01,21322,0.85,18,20722,97.19
KMSUGAR,EQ,2015-01-28,4.10,4.20,4.20,4.00,4.10,4.10,4.08,30699,1.25,23,25583,83.33
KMSUGAR,EQ,2015-01-29,4.10,3.85,4.25,3.80,4.25,4.20,4.14,20770,0.86,26,14710,70.82
KMSUGAR,EQ,2015-01-30,4.20,4.35,4.35,3.85,4.10,4.10,4.11,25960,1.07,29,21260,81.90
KMSUGAR,EQ,2015-02-02,4.10,3.90,4.10,3.30,3.75,3.65,3.70,46531,1.72,65,41577,89.35
KMSUGAR,EQ,2015-02-03,3.65,3.75,4.25,3.65,4.15,4.05,3.85,40664,1.57,48,26359,64.82
