Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KOTAKGOLD,EQ,2014-12-04,2426.30,2426.80,2434.50,2420.00,2420.10,2421.65,2425.15,1207,29.27,309,683,56.59
KOTAKGOLD,EQ,2014-12-05,2421.65,2420.00,2428.35,2404.00,2420.00,2422.50,2421.68,1845,44.68,260,1133,61.41
KOTAKGOLD,EQ,2014-12-08,2422.50,2419.95,2424.80,2390.00,2412.00,2413.10,2414.72,2371,57.25,426,988,41.67
KOTAKGOLD,EQ,2014-12-09,2413.10,2420.00,2432.95,2412.50,2430.00,2429.40,2422.37,1988,48.16,265,1212,60.97
KOTAKGOLD,EQ,2014-12-10,2429.40,2456.05,2490.00,2454.00,2475.00,2474.60,2472.16,5875,145.24,521,3634,61.86
KOTAKGOLD,EQ,2014-12-11,2474.60,2484.85,2484.85,2452.25,2463.80,2458.25,2467.19,1739,42.90,270,1126,64.75
KOTAKGOLD,EQ,2014-12-12,2458.25,2461.00,2475.00,2460.25,2470.10,2471.55,2468.29,3303,81.53,380,1825,55.25
KOTAKGOLD,EQ,2014-12-15,2471.55,2470.00,2483.20,2453.00,2465.00,2468.35,2472.30,2133,52.73,354,1158,54.29
KOTAKGOLD,EQ,2014-12-16,2468.35,2461.55,2481.00,2455.15,2475.05,2472.60,2466.19,4134,101.95,359,2158,52.20
KOTAKGOLD,EQ,2014-12-17,2472.60,2466.05,2479.95,2460.65,2469.90,2465.55,2469.53,3166,78.19,426,1814,57.30
KOTAKGOLD,EQ,2014-12-18,2465.55,2473.95,2474.00,2450.25,2450.25,2459.60,2460.87,2339,57.56,218,1636,69.94
KOTAKGOLD,EQ,2014-12-19,2459.60,2443.25,2465.00,2440.10,2460.05,2457.30,2452.71,1726,42.33,240,1156,66.98
KOTAKGOLD,EQ,2014-12-22,2457.30,2466.00,2479.80,2451.05,2464.60,2466.10,2465.13,1482,36.53,268,946,63.83
KOTAKGOLD,EQ,2014-12-23,2466.10,2449.75,2455.00,2430.00,2432.10,2439.70,2431.95,12634,307.25,286,11481,90.87
KOTAKGOLD,EQ,2014-12-24,2439.70,2430.75,2443.95,2425.05,2426.05,2431.10,2436.05,1026,24.99,210,671,65.40
KOTAKGOLD,EQ,2014-12-26,2431.10,2430.15,2466.00,2425.00,2460.00,2456.20,2447.03,2701,66.09,305,1771,65.57
KOTAKGOLD,EQ,2014-12-29,2456.20,2458.85,2477.50,2457.60,2465.00,2462.05,2469.48,1617,39.93,300,745,46.07
KOTAKGOLD,EQ,2014-12-30,2462.05,2441.05,2463.80,2441.05,2455.20,2459.10,2455.92,1439,35.34,182,918,63.79
KOTAKGOLD,EQ,2014-12-31,2459.10,2486.00,2486.00,2451.00,2452.00,2452.10,2460.46,1965,48.35,211,1106,56.28
KOTAKGOLD,EQ,2015-01-01,2452.10,2442.00,2457.95,2433.55,2450.00,2450.50,2444.42,584,14.28,168,340,58.22
KOTAKGOLD,EQ,2015-01-02,2450.50,2400.00,2468.00,2400.00,2443.00,2442.75,2441.88,3920,95.72,301,2011,51.30
KOTAKGOLD,EQ,2015-01-05,2442.75,2451.00,2475.00,2447.60,2473.75,2472.25,2463.37,3890,95.83,438,2405,61.83
KOTAKGOLD,EQ,2015-01-06,2472.25,2475.05,2496.85,2473.05,2495.00,2495.00,2485.35,4657,115.74,354,3139,67.40
KOTAKGOLD,EQ,2015-01-07,2495.00,2524.40,2524.40,2490.10,2493.00,2492.60,2496.65,2388,59.62,319,1629,68.22
KOTAKGOLD,EQ,2015-01-08,2492.60,2484.40,2484.40,2452.60,2452.60,2458.35,2462.12,1962,48.31,237,1617,82.42
KOTAKGOLD,EQ,2015-01-09,2458.35,2460.00,2468.00,2455.00,2461.00,2460.90,2460.86,2855,70.26,219,1663,58.25
KOTAKGOLD,EQ,2015-01-12,2460.90,2462.00,2499.95,2311.20,2470.00,2475.40,2477.04,2063,51.10,325,1191,57.73
KOTAKGOLD,EQ,2015-01-13,2475.40,2483.05,2500.05,2483.00,2497.00,2496.50,2496.11,2306,57.56,272,1575,68.30
KOTAKGOLD,EQ,2015-01-14,2496.50,2484.75,2497.95,2471.05,2475.25,2489.05,2480.73,857,21.26,249,383,44.69
KOTAKGOLD,EQ,2015-01-15,2489.05,2474.00,2482.90,2460.00,2475.00,2470.90,2468.38,2089,51.56,260,1085,51.94
KOTAKGOLD,EQ,2015-01-16,2470.90,2505.10,2534.00,2502.00,2531.00,2531.05,2525.34,6806,171.87,519,4260,62.59
KOTAKGOLD,EQ,2015-01-19,2531.05,2535.15,2553.00,2532.00,2552.00,2549.70,2547.46,3910,99.61,335,2150,54.99
KOTAKGOLD,EQ,2015-01-20,2549.70,2541.05,2580.00,2534.00,2565.00,2574.85,2556.11,3542,90.54,374,2311,65.25
KOTAKGOLD,EQ,2015-01-21,2574.85,2580.15,2594.70,2575.00,2585.00,2587.80,2585.65,4277,110.59,439,2686,62.80
KOTAKGOLD,EQ,2015-01-22,2587.80,2551.05,2585.00,2551.05,2562.10,2565.50,2565.13,2997,76.88,332,1723,57.49
KOTAKGOLD,EQ,2015-01-23,2565.50,2577.00,2579.60,2566.60,2566.60,2573.15,2573.68,3854,99.19,305,2535,65.78
KOTAKGOLD,EQ,2015-01-27,2573.15,2550.00,2555.05,2531.00,2553.00,2550.70,2550.29,1478,37.69,295,834,56.43
KOTAKGOLD,EQ,2015-01-28,2550.70,2557.05,2573.00,2557.00,2569.70,2566.05,2565.71,2321,59.55,211,1342,57.82
KOTAKGOLD,EQ,2015-01-29,2566.05,2560.00,2563.00,2550.10,2551.05,2551.15,2556.06,1312,33.54,192,879,67.00
KOTAKGOLD,EQ,2015-01-30,2551.15,2538.65,2560.00,2523.60,2557.00,2553.70,2540.10,1325,33.66,202,716,54.04
KOTAKGOLD,EQ,2015-02-02,2553.70,2561.30,2579.00,2561.00,2565.05,2565.60,2570.11,1379,35.44,274,995,72.15
KOTAKGOLD,EQ,2015-02-03,2565.60,2565.00,2568.95,2555.30,2560.00,2561.05,2561.01,1980,50.71,197,1316,66.46
KOTAKGOLD,EQ,2015-02-04,2561.05,2539.00,2541.95,2525.15,2536.00,2533.40,2536.06,1163,29.49,228,615,52.88
KOTAKGOLD,EQ,2015-02-05,2533.40,2536.05,2560.00,2536.05,2560.00,2546.40,2547.52,2488,63.38,281,1448,58.20
KOTAKGOLD,EQ,2015-02-06,2546.40,2533.70,2554.45,2530.20,2550.00,2550.10,2544.29,1811,46.08,179,1415,78.13
