Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KTIL,EQ,2014-12-04,413.60,418.00,419.50,396.80,402.00,405.85,403.70,6539,26.40,340,4705,71.95
KTIL,EQ,2014-12-05,405.85,413.90,418.75,401.00,401.50,403.65,406.54,4546,18.48,302,2611,57.44
KTIL,EQ,2014-12-08,403.65,410.00,410.00,395.25,397.00,396.90,400.24,9144,36.60,576,6612,72.31
KTIL,EQ,2014-12-09,396.90,395.00,415.40,391.10,415.00,411.30,407.70,4844,19.75,269,3732,77.04
KTIL,EQ,2014-12-10,411.30,418.00,450.00,413.00,436.00,435.50,434.82,34767,151.17,1428,19733,56.76
KTIL,EQ,2014-12-11,435.50,443.95,443.95,412.00,414.50,416.40,423.74,12171,51.57,385,8576,70.46
KTIL,EQ,2014-12-12,416.40,427.95,437.70,418.10,429.30,425.90,430.37,10917,46.98,533,7494,68.65
KTIL,EQ,2014-12-15,425.90,433.00,469.60,433.00,450.00,445.25,454.23,69140,314.05,3200,31181,45.10
KTIL,EQ,2014-12-16,445.25,452.90,452.90,416.00,421.15,424.50,430.53,18845,81.13,1041,9643,51.17
KTIL,EQ,2014-12-17,424.50,428.40,428.40,394.00,418.05,418.65,410.89,18842,77.42,902,12109,64.27
KTIL,EQ,2014-12-18,418.65,428.90,440.00,423.05,426.30,427.25,429.76,10183,43.76,343,6860,67.37
KTIL,EQ,2014-12-19,427.25,433.95,434.70,418.15,419.80,420.95,427.40,7309,31.24,314,5787,79.18
KTIL,EQ,2014-12-22,420.95,424.95,436.80,412.70,414.00,415.75,420.20,6987,29.36,471,4059,58.09
KTIL,EQ,2014-12-23,415.75,428.00,440.00,416.35,430.05,428.50,428.12,12209,52.27,595,7226,59.19
KTIL,EQ,2014-12-24,428.50,425.00,509.00,424.00,466.00,463.50,481.07,177688,854.81,7545,35119,19.76
KTIL,EQ,2014-12-26,463.50,473.40,503.90,469.05,487.95,485.15,487.97,91888,448.38,4095,15464,16.83
KTIL,EQ,2014-12-29,485.15,498.40,498.40,465.10,467.00,469.95,482.61,22615,109.14,1644,10303,45.56
KTIL,EQ,2014-12-30,469.95,470.00,482.00,465.00,470.00,470.00,472.93,10767,50.92,720,4435,41.19
KTIL,EQ,2014-12-31,470.00,472.95,494.90,470.05,488.00,485.50,482.82,15017,72.51,1006,5659,37.68
KTIL,EQ,2015-01-01,485.50,482.00,489.90,464.00,479.00,475.55,479.28,6015,28.83,428,3453,57.41
KTIL,EQ,2015-01-02,475.55,479.00,488.95,472.00,473.15,474.95,478.68,5696,27.27,316,3283,57.64
KTIL,EQ,2015-01-05,474.95,479.95,519.95,477.00,492.00,492.40,500.04,24116,120.59,1308,9143,37.91
KTIL,EQ,2015-01-06,492.40,492.00,496.00,473.10,478.00,478.40,480.56,10722,51.53,675,5988,55.85
KTIL,EQ,2015-01-07,478.40,478.05,479.90,460.10,464.05,464.05,467.75,9620,45.00,719,5903,61.36
KTIL,EQ,2015-01-08,464.05,465.00,502.95,465.00,482.90,480.75,483.85,21748,105.23,1474,7106,32.67
KTIL,EQ,2015-01-09,480.75,494.00,497.00,456.40,478.35,475.40,476.79,11427,54.48,794,5970,52.24
KTIL,EQ,2015-01-12,475.40,490.00,490.00,472.05,478.95,478.95,479.63,3481,16.70,587,1544,44.36
KTIL,EQ,2015-01-13,478.95,487.40,489.00,468.15,471.00,472.40,476.87,6520,31.09,433,5031,77.16
KTIL,EQ,2015-01-14,472.40,471.00,484.95,470.00,473.00,473.70,473.71,4146,19.64,226,2977,71.80
KTIL,EQ,2015-01-15,473.70,471.30,489.00,462.00,464.00,466.30,473.32,5800,27.45,371,4041,69.67
KTIL,EQ,2015-01-16,466.30,478.50,483.00,466.00,477.70,475.50,476.80,6405,30.54,525,4102,64.04
