Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LAKPRE,EQ,2014-12-04,49.90,50.50,51.00,49.90,51.00,50.65,50.65,580,0.29,5,580,100.00
LAKPRE,EQ,2014-12-05,50.65,53.00,53.00,49.20,49.20,49.95,50.08,1208,0.60,13,1054,87.25
LAKPRE,EQ,2014-12-08,49.95,52.80,52.80,47.90,47.90,49.75,50.31,606,0.30,15,601,99.17
LAKPRE,EQ,2014-12-09,49.75,50.00,50.00,46.00,47.90,47.90,47.02,4737,2.23,40,4509,95.19
LAKPRE,EQ,2014-12-10,47.90,48.00,48.10,47.35,48.00,47.70,47.89,3874,1.86,29,3826,98.76
LAKPRE,EQ,2014-12-11,47.70,47.95,48.00,47.20,47.30,47.30,47.54,2952,1.40,13,2751,93.19
LAKPRE,EQ,2014-12-12,47.30,47.50,49.90,45.40,49.45,47.90,48.13,616,0.30,18,311,50.49
LAKPRE,EQ,2014-12-15,47.90,47.00,49.00,45.50,48.00,47.40,47.48,11907,5.65,26,9804,82.34
LAKPRE,EQ,2014-12-16,47.40,47.00,47.00,45.40,45.50,45.55,45.57,4043,1.84,36,3613,89.36
LAKPRE,EQ,2014-12-17,45.55,45.20,49.00,45.00,46.00,46.00,45.68,753,0.34,14,650,86.32
LAKPRE,EQ,2014-12-18,46.00,46.05,46.05,46.05,46.05,46.05,46.05,1,0.00,1,1,100.00
LAKPRE,EQ,2014-12-19,46.05,45.80,46.55,45.80,46.05,46.35,46.34,1225,0.57,14,950,77.55
LAKPRE,EQ,2014-12-23,46.35,46.20,49.20,46.15,49.20,49.20,46.36,801,0.37,7,700,87.39
LAKPRE,EQ,2014-12-24,49.20,48.00,48.00,46.00,46.80,46.80,46.57,729,0.34,25,587,80.52
LAKPRE,EQ,2014-12-29,46.80,46.05,48.70,46.05,48.70,48.65,47.36,200,0.09,4,150,75.00
LAKPRE,EQ,2014-12-30,48.65,48.50,48.50,46.15,46.65,46.65,46.87,953,0.45,23,850,89.19
LAKPRE,EQ,2014-12-31,46.65,46.00,46.90,45.15,46.50,46.50,46.26,2995,1.39,32,1642,54.82
LAKPRE,EQ,2015-01-01,46.50,47.00,49.75,45.45,47.00,45.85,46.92,1720,0.81,21,1442,83.84
LAKPRE,EQ,2015-01-02,45.85,47.25,47.25,46.75,47.25,47.25,47.05,1277,0.60,15,1277,100.00
