Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LAOPALA,EQ,2014-12-04,436.55,444.00,449.80,436.60,439.30,439.35,441.47,40468,178.66,1685,20662,51.06
LAOPALA,EQ,2014-12-05,439.35,439.50,447.00,436.90,437.00,438.40,441.57,24749,109.28,1364,15337,61.97
LAOPALA,EQ,2014-12-08,438.40,444.50,444.50,422.15,427.55,426.75,431.64,19441,83.91,1274,9415,48.43
LAOPALA,EQ,2014-12-09,426.75,431.90,431.90,411.50,415.00,412.95,418.01,24269,101.45,1439,11522,47.48
LAOPALA,EQ,2014-12-10,412.95,416.00,419.15,405.50,409.00,411.90,410.49,26498,108.77,1395,8799,33.21
LAOPALA,EQ,2014-12-11,411.90,419.80,419.80,392.00,402.45,402.40,401.16,39887,160.01,1587,16454,41.25
LAOPALA,EQ,2014-12-12,402.40,403.15,420.00,402.00,402.55,404.30,409.90,36056,147.79,1577,13441,37.28
LAOPALA,EQ,2014-12-15,404.30,402.00,406.50,395.00,397.90,396.25,400.76,27147,108.80,1050,11942,43.99
LAOPALA,EQ,2014-12-16,396.25,390.00,396.00,377.15,385.90,386.60,383.90,39776,152.70,1670,18833,47.35
LAOPALA,EQ,2014-12-17,386.60,386.75,395.00,382.00,394.90,392.70,387.55,28859,111.84,1090,15594,54.04
LAOPALA,EQ,2014-12-18,392.70,390.40,409.00,390.40,401.00,400.50,399.75,31378,125.43,1477,13126,41.83
LAOPALA,EQ,2014-12-19,400.50,411.40,411.95,402.00,402.15,404.10,405.64,16709,67.78,822,8505,50.90
LAOPALA,EQ,2014-12-22,404.10,401.25,473.50,401.25,457.90,457.35,456.89,473309,2162.48,18874,85505,18.07
LAOPALA,EQ,2014-12-23,457.35,459.00,471.55,451.35,454.00,455.05,460.02,213835,983.69,8792,59981,28.05
LAOPALA,EQ,2014-12-24,455.05,452.20,465.00,448.00,451.95,451.10,456.06,61599,280.93,2855,25424,41.27
LAOPALA,EQ,2014-12-26,451.10,450.00,454.05,432.55,445.00,445.40,442.38,52194,230.90,2280,27824,53.31
LAOPALA,EQ,2014-12-29,445.40,444.00,451.75,436.40,439.30,437.75,442.33,30058,132.95,1841,15774,52.48
LAOPALA,EQ,2014-12-30,437.75,440.00,471.80,435.00,455.00,453.60,455.98,90853,414.27,3545,28860,31.77
LAOPALA,EQ,2014-12-31,453.60,456.80,464.95,451.00,453.05,454.35,458.21,47251,216.51,2327,20278,42.92
LAOPALA,EQ,2015-01-01,454.35,454.35,462.00,444.00,445.00,448.20,453.37,36468,165.34,2817,15260,41.84
LAOPALA,EQ,2015-01-02,448.20,446.00,460.00,442.60,444.55,446.55,449.40,52576,236.27,2150,26627,50.64
