Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LGBFORGE,EQ,2014-12-04,3.80,3.90,3.90,3.70,3.80,3.70,3.80,13151,0.50,31,10190,77.48
LGBFORGE,EQ,2014-12-05,3.70,3.55,3.80,3.55,3.75,3.70,3.72,23020,0.86,36,20885,90.73
LGBFORGE,EQ,2014-12-08,3.70,3.70,3.85,3.50,3.50,3.55,3.60,44952,1.62,45,42752,95.11
LGBFORGE,EQ,2014-12-09,3.55,3.60,3.75,3.30,3.40,3.35,3.48,57922,2.02,47,51572,89.04
LGBFORGE,EQ,2014-12-10,3.35,3.50,3.65,3.40,3.65,3.65,3.58,15357,0.55,27,15059,98.06
LGBFORGE,EQ,2014-12-11,3.65,3.65,3.65,3.40,3.45,3.40,3.43,33826,1.16,37,28610,84.58
LGBFORGE,EQ,2014-12-12,3.40,3.45,3.60,3.40,3.60,3.50,3.45,33875,1.17,39,30865,91.11
LGBFORGE,EQ,2014-12-15,3.50,3.60,3.70,3.45,3.60,3.55,3.60,17055,0.61,28,11755,68.92
LGBFORGE,EQ,2014-12-16,3.55,3.40,3.45,3.20,3.20,3.20,3.26,36378,1.19,52,33540,92.20
LGBFORGE,EQ,2014-12-17,3.20,3.20,3.45,3.15,3.15,3.15,3.18,31788,1.01,35,30002,94.38
LGBFORGE,EQ,2014-12-18,3.15,3.40,3.40,3.25,3.25,3.25,3.29,7632,0.25,25,6706,87.87
LGBFORGE,EQ,2014-12-19,3.25,3.20,3.30,3.15,3.25,3.20,3.20,51357,1.64,45,46534,90.61
LGBFORGE,EQ,2014-12-22,3.20,3.15,3.25,3.15,3.25,3.15,3.17,2642,0.08,9,2542,96.21
LGBFORGE,EQ,2014-12-23,3.15,3.15,3.25,3.15,3.25,3.25,3.17,36121,1.15,19,35221,97.51
LGBFORGE,EQ,2014-12-24,3.25,3.25,3.30,3.15,3.15,3.15,3.19,6220,0.20,17,5220,83.92
LGBFORGE,EQ,2014-12-26,3.15,3.15,3.25,3.15,3.25,3.25,3.20,4009,0.13,15,3859,96.26
LGBFORGE,EQ,2014-12-29,3.25,3.30,3.35,3.20,3.35,3.35,3.26,6599,0.22,19,6599,100.00
LGBFORGE,EQ,2014-12-30,3.35,3.35,3.55,3.25,3.50,3.50,3.46,19543,0.68,36,16318,83.50
LGBFORGE,EQ,2014-12-31,3.50,3.40,3.85,3.40,3.50,3.55,3.65,63151,2.30,106,45579,72.17
