Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LINDEINDIA,EQ,2014-12-04,429.30,435.95,439.00,430.00,434.95,435.40,434.70,5956,25.89,221,4690,78.74
LINDEINDIA,EQ,2014-12-05,435.40,439.00,439.90,421.00,429.50,431.10,434.19,10073,43.74,467,7083,70.32
LINDEINDIA,EQ,2014-12-08,431.10,431.00,437.60,418.30,424.05,424.85,430.19,7568,32.56,444,4327,57.17
LINDEINDIA,EQ,2014-12-09,424.85,428.65,444.45,428.00,432.95,432.65,436.69,30479,133.10,791,23122,75.86
LINDEINDIA,EQ,2014-12-10,432.65,432.65,446.85,431.05,444.00,441.30,444.01,14023,62.26,1053,9436,67.29
LINDEINDIA,EQ,2014-12-11,441.30,443.00,448.95,437.05,441.05,444.40,445.17,16757,74.60,1043,10132,60.46
LINDEINDIA,EQ,2014-12-12,444.40,444.30,450.00,426.00,427.35,427.90,439.58,8487,37.31,981,3959,46.65
LINDEINDIA,EQ,2014-12-15,427.90,430.00,431.05,415.50,418.00,422.00,423.61,6596,27.94,368,2643,40.07
LINDEINDIA,EQ,2014-12-16,422.00,411.00,419.65,399.00,412.90,409.10,406.94,19248,78.33,816,14885,77.33
LINDEINDIA,EQ,2014-12-17,409.10,406.00,419.05,397.10,419.00,415.60,413.35,25853,106.86,1349,17467,67.56
LINDEINDIA,EQ,2014-12-18,415.60,416.25,434.00,412.90,429.00,425.80,424.01,12849,54.48,920,7545,58.72
LINDEINDIA,EQ,2014-12-19,425.80,429.00,438.30,422.15,425.15,430.75,430.89,11803,50.86,685,5605,47.49
LINDEINDIA,EQ,2014-12-22,430.75,414.00,447.50,414.00,439.00,438.95,441.58,21905,96.73,1063,12327,56.27
LINDEINDIA,EQ,2014-12-23,438.95,438.60,441.00,423.00,437.00,435.75,434.78,6587,28.64,440,2346,35.62
LINDEINDIA,EQ,2014-12-24,435.75,436.95,446.95,434.00,434.00,436.40,441.69,17559,77.56,954,9702,55.25
LINDEINDIA,EQ,2014-12-26,436.40,436.40,444.60,433.00,437.25,439.05,441.49,10515,46.42,630,6199,58.95
LINDEINDIA,EQ,2014-12-29,439.05,441.00,443.50,437.00,440.25,441.10,440.85,5557,24.50,379,2264,40.74
LINDEINDIA,EQ,2014-12-30,441.10,441.00,447.60,430.55,443.00,443.30,441.85,19823,87.59,744,12048,60.78
LINDEINDIA,EQ,2014-12-31,443.30,443.30,445.00,430.45,442.00,443.80,443.49,26178,116.10,681,21039,80.37
LINDEINDIA,EQ,2015-01-01,443.80,441.00,446.85,432.50,437.00,436.60,438.47,4495,19.71,155,2906,64.65
LINDEINDIA,EQ,2015-01-02,436.60,439.00,439.00,422.50,422.50,424.45,429.47,10802,46.39,484,7816,72.36
LINDEINDIA,EQ,2015-01-05,424.45,426.95,438.95,423.25,431.90,429.80,430.03,23197,99.75,1054,14379,61.99
LINDEINDIA,EQ,2015-01-06,429.80,432.00,437.00,421.50,430.00,429.05,431.10,14743,63.56,726,8311,56.37
LINDEINDIA,EQ,2015-01-07,429.05,429.00,443.65,429.00,442.00,440.95,439.18,17888,78.56,852,11586,64.77
LINDEINDIA,EQ,2015-01-08,440.95,443.90,476.95,437.30,455.65,457.35,464.20,54825,254.50,2505,17406,31.75
LINDEINDIA,EQ,2015-01-09,457.35,459.00,469.95,445.30,448.05,447.70,455.50,11276,51.36,1048,3772,33.45
LINDEINDIA,EQ,2015-01-12,447.70,450.00,457.50,431.55,445.00,443.75,447.23,6704,29.98,485,2516,37.53
LINDEINDIA,EQ,2015-01-13,443.75,440.15,447.00,382.30,433.45,431.35,427.61,22035,94.22,1089,8139,36.94
LINDEINDIA,EQ,2015-01-14,431.35,429.80,435.70,427.75,431.65,430.25,431.25,5897,25.43,284,2638,44.73
LINDEINDIA,EQ,2015-01-15,430.25,436.70,448.80,429.20,442.50,447.50,443.57,15350,68.09,706,10924,71.17
LINDEINDIA,EQ,2015-01-16,447.50,445.00,445.20,435.00,437.00,436.25,439.64,6709,29.50,381,3315,49.41
LINDEINDIA,EQ,2015-01-19,436.25,441.40,447.95,436.65,440.00,441.05,443.75,4430,19.66,379,3224,72.78
LINDEINDIA,EQ,2015-01-20,441.05,438.15,456.10,432.25,445.75,445.85,450.57,8814,39.71,788,4729,53.65
LINDEINDIA,EQ,2015-01-21,445.85,447.20,451.85,435.00,440.00,439.15,439.95,5908,25.99,478,2539,42.98
LINDEINDIA,EQ,2015-01-22,439.15,437.25,444.75,435.00,435.05,435.85,438.89,5910,25.94,386,2233,37.78
LINDEINDIA,EQ,2015-01-23,435.85,444.95,446.70,432.10,434.00,435.15,439.15,7097,31.17,582,4934,69.52
LINDEINDIA,EQ,2015-01-27,435.15,438.35,454.50,435.75,443.00,446.65,439.41,60252,264.75,751,9122,15.14
LINDEINDIA,EQ,2015-01-28,446.65,443.00,464.00,441.00,447.00,445.05,447.73,106065,474.88,2012,8938,8.43
LINDEINDIA,EQ,2015-01-29,445.05,425.05,454.90,425.05,440.75,442.20,446.09,7533,33.60,521,3804,50.50
LINDEINDIA,EQ,2015-01-30,442.20,441.65,449.00,432.00,434.05,436.30,442.65,5588,24.74,422,2781,49.77
LINDEINDIA,EQ,2015-02-02,436.30,444.00,450.50,435.15,442.00,442.00,442.01,312120,1379.60,638,6562,2.10
LINDEINDIA,EQ,2015-02-03,442.00,448.00,448.10,434.35,439.05,442.40,441.96,13722,60.65,530,10087,73.51
LINDEINDIA,EQ,2015-02-04,442.40,438.55,447.40,435.25,436.05,437.40,442.91,11676,51.71,633,8014,68.64
LINDEINDIA,EQ,2015-02-05,437.40,441.95,454.90,438.00,438.40,440.25,447.71,18470,82.69,680,10714,58.01
LINDEINDIA,EQ,2015-02-06,440.25,443.35,444.60,429.10,441.70,439.90,438.94,7397,32.47,559,5033,68.04
