Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LLOYDELENG,EQ,2014-12-04,129.95,129.95,137.20,129.95,134.75,134.25,133.92,205877,275.71,2862,82904,40.27
LLOYDELENG,EQ,2014-12-05,134.25,135.25,137.20,130.15,130.25,130.65,133.77,159578,213.47,2298,97695,61.22
LLOYDELENG,EQ,2014-12-08,130.65,131.70,132.25,128.05,129.00,128.95,129.78,113347,147.10,1682,75147,66.30
LLOYDELENG,EQ,2014-12-09,128.95,129.65,132.00,125.55,126.00,126.45,128.69,97465,125.43,1813,63226,64.87
LLOYDELENG,EQ,2014-12-10,126.45,126.50,130.50,126.05,129.00,128.45,128.34,81396,104.46,1861,40729,50.04
LLOYDELENG,EQ,2014-12-11,128.45,127.65,142.70,127.00,141.05,139.45,137.09,529056,725.26,7351,210895,39.86
LLOYDELENG,EQ,2014-12-12,139.45,142.05,143.25,131.15,131.75,132.50,138.19,258767,357.60,3360,132200,51.09
LLOYDELENG,EQ,2014-12-15,132.50,131.00,131.70,127.35,128.50,129.30,129.28,135587,175.29,1834,86498,63.80
LLOYDELENG,EQ,2014-12-16,129.30,130.75,132.70,125.20,125.75,126.25,128.30,176357,226.27,3086,76736,43.51
LLOYDELENG,EQ,2014-12-17,126.25,127.30,129.80,119.40,121.65,122.75,122.58,175425,215.03,3456,84654,48.26
LLOYDELENG,EQ,2014-12-18,122.75,126.80,128.30,123.00,125.00,125.70,125.34,125400,157.17,1796,62682,49.99
LLOYDELENG,EQ,2014-12-19,125.70,126.80,130.70,126.30,127.15,127.35,128.47,132076,169.68,1826,64117,48.55
LLOYDELENG,EQ,2014-12-22,127.35,128.60,129.85,126.95,127.00,127.35,128.16,51968,66.60,1076,27879,53.65
LLOYDELENG,EQ,2014-12-23,127.35,128.50,130.55,123.40,125.00,124.05,127.12,136389,173.38,2212,63662,46.68
LLOYDELENG,EQ,2014-12-24,124.05,125.00,126.35,117.45,119.30,119.20,119.59,154231,184.45,2534,79865,51.78
LLOYDELENG,EQ,2014-12-26,119.20,120.20,121.15,112.90,116.35,115.40,115.59,239521,276.87,2815,152269,63.57
LLOYDELENG,EQ,2014-12-29,115.40,116.00,122.20,115.10,119.65,119.30,119.46,221810,264.97,3204,112225,50.60
LLOYDELENG,EQ,2014-12-30,119.30,119.70,125.15,118.45,123.00,123.25,123.26,164330,202.56,2974,77029,46.87
LLOYDELENG,EQ,2014-12-31,123.25,124.15,124.15,118.00,119.20,119.85,121.09,95403,115.53,1665,62963,66.00
LLOYDELENG,EQ,2015-01-01,119.85,118.70,124.25,118.60,122.35,122.25,122.24,78305,95.72,1178,44665,57.04
LLOYDELENG,EQ,2015-01-02,122.25,120.40,125.50,119.35,119.75,119.75,122.45,157703,193.10,2779,91847,58.24
LLOYDELENG,EQ,2015-01-05,119.75,119.00,138.15,119.00,134.00,134.75,131.86,986341,1300.61,12667,290644,29.47
LLOYDELENG,EQ,2015-01-06,134.75,133.20,133.20,126.45,129.60,129.00,129.54,381194,493.82,5321,169300,44.41
LLOYDELENG,EQ,2015-01-07,129.00,131.75,131.75,126.05,127.50,127.55,128.46,125039,160.63,2099,62565,50.04
LLOYDELENG,EQ,2015-01-08,127.55,129.45,140.45,129.45,136.50,136.10,136.88,639317,875.09,8773,243864,38.14
LLOYDELENG,EQ,2015-01-09,136.10,137.35,148.70,136.85,145.00,144.20,144.13,1014237,1461.77,13678,322000,31.75
LLOYDELENG,EQ,2015-01-12,144.20,146.90,150.95,144.30,149.00,148.60,148.22,608463,901.86,9641,221715,36.44
LLOYDELENG,EQ,2015-01-13,148.60,150.45,151.05,140.30,143.40,142.65,145.74,273032,397.92,4103,154344,56.53
LLOYDELENG,EQ,2015-01-14,142.65,142.70,144.70,138.30,139.50,140.00,140.42,145111,203.77,2303,77568,53.45
LLOYDELENG,EQ,2015-01-15,140.00,143.80,143.80,136.25,141.65,141.95,140.84,164623,231.86,2370,80727,49.04
LLOYDELENG,EQ,2015-01-16,141.95,141.80,153.30,139.75,150.80,151.00,149.15,496906,741.16,6606,261393,52.60
LLOYDELENG,EQ,2015-01-19,151.00,152.20,161.00,151.25,157.50,156.80,156.29,532654,832.47,7355,233502,43.84
LLOYDELENG,EQ,2015-01-20,156.80,157.00,160.35,151.55,153.20,153.00,155.40,219901,341.72,3090,107884,49.06
LLOYDELENG,EQ,2015-01-21,153.00,156.40,157.00,150.10,153.50,153.65,153.74,211869,325.74,3484,101687,48.00
LLOYDELENG,EQ,2015-01-22,153.65,155.00,157.65,153.50,155.15,154.80,155.30,112250,174.33,1773,60034,53.48
LLOYDELENG,EQ,2015-01-23,154.80,155.60,160.60,147.15,148.00,149.25,154.71,172972,267.60,2314,97698,56.48
LLOYDELENG,EQ,2015-01-27,149.25,147.50,154.00,147.50,151.15,150.60,150.83,136533,205.94,2216,60520,44.33
