Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LYKALABS,BE,2014-12-04,28.00,28.50,28.50,27.00,27.00,27.10,27.40,16740,4.59,83,-,-
LYKALABS,BE,2014-12-05,27.10,27.50,27.55,26.50,27.55,27.35,27.19,13008,3.54,64,-,-
LYKALABS,BE,2014-12-08,27.35,26.90,28.70,26.90,27.85,28.00,28.48,84130,23.96,295,-,-
LYKALABS,EQ,2014-12-09,28.00,28.20,28.50,26.60,26.60,26.65,27.10,36954,10.02,139,28664,77.57
LYKALABS,EQ,2014-12-10,26.65,27.00,27.95,26.10,27.95,27.95,27.60,64348,17.76,149,38500,59.83
LYKALABS,EQ,2014-12-11,27.95,29.30,29.30,27.00,27.60,27.85,28.55,142182,40.60,397,61376,43.17
LYKALABS,EQ,2014-12-12,27.85,28.50,28.50,26.50,27.05,27.10,27.46,62340,17.12,235,29554,47.41
LYKALABS,EQ,2014-12-15,27.10,27.70,28.25,27.20,27.60,27.85,27.83,85166,23.70,429,34768,40.82
LYKALABS,EQ,2014-12-16,27.85,28.80,28.80,26.50,26.50,26.50,26.63,18827,5.01,97,16014,85.06
LYKALABS,EQ,2014-12-17,26.50,25.60,26.30,25.20,25.20,25.20,25.59,50021,12.80,187,36955,73.88
LYKALABS,EQ,2014-12-18,25.20,26.00,26.45,24.00,25.60,25.35,25.41,39317,9.99,204,19157,48.72
LYKALABS,EQ,2014-12-19,25.35,26.00,26.60,25.55,26.35,26.50,26.37,68479,18.06,282,40237,58.76
LYKALABS,EQ,2014-12-22,26.50,26.00,26.45,25.50,25.95,25.70,25.86,21152,5.47,121,16171,76.45
LYKALABS,EQ,2014-12-23,25.70,25.75,25.95,25.40,25.95,25.70,25.67,12875,3.30,49,9545,74.14
LYKALABS,EQ,2014-12-24,25.70,25.15,25.90,24.45,25.20,25.30,24.86,43988,10.94,154,25345,57.62
LYKALABS,EQ,2014-12-26,25.30,25.30,26.20,24.60,25.00,25.00,25.03,37179,9.31,137,31212,83.95
LYKALABS,EQ,2014-12-29,25.00,25.00,26.25,25.00,26.25,26.25,26.02,25169,6.55,94,19363,76.93
LYKALABS,EQ,2014-12-30,26.25,27.55,27.55,25.90,26.45,26.30,27.14,175250,47.56,829,58799,33.55
LYKALABS,EQ,2014-12-31,26.30,26.50,26.55,25.30,25.60,25.85,25.85,46968,12.14,211,28478,60.63
LYKALABS,EQ,2015-01-01,25.85,25.55,27.10,25.50,27.10,27.10,26.84,25180,6.76,135,22133,87.90
LYKALABS,EQ,2015-01-02,27.10,28.30,29.20,27.40,29.00,28.90,28.55,166062,47.41,481,125880,75.80
LYKALABS,EQ,2015-01-05,28.90,29.00,31.75,29.00,31.75,31.75,31.35,361184,113.22,1149,188464,52.18
LYKALABS,EQ,2015-01-06,31.75,31.75,32.70,29.60,30.70,30.65,31.33,343676,107.69,1372,184298,53.63
LYKALABS,EQ,2015-01-07,30.65,30.95,31.20,28.60,29.85,29.70,30.33,78078,23.68,544,43520,55.74
LYKALABS,EQ,2015-01-08,29.70,30.50,32.05,30.00,30.00,30.40,30.98,50397,15.61,354,26067,51.72
LYKALABS,EQ,2015-01-09,30.40,30.65,31.50,29.50,30.80,30.60,30.53,47808,14.60,302,28782,60.20
LYKALABS,EQ,2015-01-12,30.60,32.35,32.35,30.25,31.40,31.70,31.42,50912,16.00,352,30075,59.07
LYKALABS,EQ,2015-01-13,31.70,31.75,32.50,30.55,30.90,30.95,31.51,34235,10.79,210,19779,57.77
LYKALABS,EQ,2015-01-14,30.95,31.30,31.40,30.00,30.25,30.30,30.37,49191,14.94,237,42895,87.20
LYKALABS,EQ,2015-01-15,30.30,30.25,31.10,29.95,30.50,30.55,30.40,25223,7.67,219,18020,71.44
LYKALABS,EQ,2015-01-16,30.55,31.25,33.60,30.95,33.60,33.60,33.35,419468,139.91,1420,241501,57.57
LYKALABS,EQ,2015-01-19,33.60,33.85,36.95,33.85,36.95,36.95,35.70,258318,92.21,1300,154608,59.85
LYKALABS,EQ,2015-01-20,36.95,38.75,40.60,37.25,38.80,38.55,39.88,858657,342.47,3962,261490,30.45
LYKALABS,EQ,2015-01-21,38.55,38.75,39.35,35.00,36.10,36.40,36.83,184445,67.92,1567,89016,48.26
LYKALABS,EQ,2015-01-22,36.40,36.60,40.00,36.45,39.80,39.60,39.48,565761,223.35,2392,208635,36.88
LYKALABS,EQ,2015-01-23,39.60,39.10,40.75,37.65,37.65,37.85,38.24,283458,108.39,1333,163995,57.86
LYKALABS,EQ,2015-01-27,37.85,38.50,38.95,36.15,36.70,36.85,37.97,119827,45.50,712,64786,54.07
LYKALABS,EQ,2015-01-28,36.85,36.05,36.45,35.05,35.45,35.20,35.38,94214,33.34,459,72326,76.77
LYKALABS,EQ,2015-01-29,35.20,33.80,35.80,33.50,34.50,34.75,34.28,105857,36.28,704,61844,58.42
LYKALABS,EQ,2015-01-30,34.75,33.60,35.90,33.60,35.60,35.05,35.28,62118,21.91,448,38655,62.23
LYKALABS,EQ,2015-02-02,35.05,36.00,36.80,35.25,36.80,36.80,36.71,432903,158.92,1401,175257,40.48
LYKALABS,EQ,2015-02-03,36.80,37.90,38.60,37.60,38.60,38.60,38.39,388073,149.00,1201,165780,42.72
LYKALABS,EQ,2015-02-04,38.60,39.70,40.50,38.05,40.50,40.50,39.96,338946,135.43,1168,225401,66.50
LYKALABS,EQ,2015-02-05,40.50,41.25,41.25,38.50,38.50,38.50,39.58,225289,89.16,1041,132845,58.97
LYKALABS,EQ,2015-02-06,38.50,38.50,38.50,36.60,36.60,36.60,36.94,84696,31.29,536,57226,67.57
LYKALABS,EQ,2015-02-09,36.60,36.30,38.40,34.90,38.40,38.10,37.79,91020,34.40,570,62280,68.42
LYKALABS,EQ,2015-02-10,38.10,37.60,40.00,37.60,39.60,39.20,39.60,183575,72.69,681,125217,68.21
LYKALABS,EQ,2015-02-11,39.20,40.50,41.15,39.50,41.15,41.15,40.91,131975,53.99,669,105585,80.00
LYKALABS,EQ,2015-02-12,41.15,42.40,43.20,41.00,43.00,43.10,42.73,270088,115.40,1037,169424,62.73
LYKALABS,EQ,2015-02-13,43.10,43.90,45.00,42.40,42.40,43.35,44.23,247452,109.46,908,162583,65.70
LYKALABS,EQ,2015-02-16,43.35,41.25,45.50,41.25,45.20,45.25,44.84,370687,166.20,1665,199832,53.91
LYKALABS,EQ,2015-02-18,45.25,44.90,46.60,43.25,44.50,44.70,45.45,252308,114.68,986,163972,64.99
LYKALABS,EQ,2015-02-19,44.70,45.20,45.80,43.75,44.45,44.35,44.45,99462,44.21,385,72121,72.51
LYKALABS,EQ,2015-02-20,44.35,44.25,44.85,43.00,44.65,44.25,43.96,107032,47.05,442,70499,65.87
LYKALABS,EQ,2015-02-23,44.25,43.60,45.75,43.60,44.05,44.15,44.57,74450,33.18,373,55733,74.86
