Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MADHAV,EQ,2014-12-04,45.60,47.40,47.40,45.10,45.10,45.45,46.13,3665,1.69,48,2715,74.08
MADHAV,EQ,2014-12-05,45.45,44.00,46.95,43.70,45.20,45.30,45.42,4100,1.86,74,1870,45.61
MADHAV,EQ,2014-12-08,45.30,45.30,47.40,44.60,47.10,45.50,45.58,7796,3.55,52,5096,65.37
MADHAV,EQ,2014-12-09,45.50,44.55,46.45,42.55,43.00,43.25,43.98,6794,2.99,95,4839,71.22
MADHAV,EQ,2014-12-10,43.25,44.00,44.75,42.10,43.50,43.65,43.34,8074,3.50,67,6603,81.78
MADHAV,EQ,2014-12-11,43.65,43.50,44.70,43.05,43.15,43.15,43.42,3181,1.38,32,3180,99.97
MADHAV,EQ,2014-12-12,43.15,43.55,45.95,42.70,43.00,43.25,43.66,8053,3.52,51,5353,66.47
MADHAV,EQ,2014-12-15,43.25,43.25,43.85,40.40,43.80,43.35,43.15,5252,2.27,58,4057,77.25
MADHAV,EQ,2014-12-16,43.35,44.90,44.90,41.05,41.15,41.45,41.96,7640,3.21,56,6785,88.81
MADHAV,EQ,2014-12-17,41.45,40.30,40.95,39.00,39.50,39.90,39.78,7174,2.85,100,5243,73.08
MADHAV,EQ,2014-12-18,39.90,40.25,42.00,40.00,41.90,40.85,40.69,13993,5.69,136,8202,58.62
MADHAV,EQ,2014-12-19,40.85,44.45,46.95,40.10,40.65,41.25,42.01,3081,1.29,58,2042,66.28
MADHAV,EQ,2014-12-22,41.25,40.20,44.90,40.20,41.00,41.05,40.99,1106,0.45,27,948,85.71
MADHAV,EQ,2014-12-23,41.05,44.15,46.00,41.55,41.65,42.25,42.88,2721,1.17,25,1761,64.72
MADHAV,EQ,2014-12-24,42.25,40.70,43.50,40.60,42.10,43.10,42.67,4401,1.88,55,2727,61.96
MADHAV,EQ,2014-12-26,43.10,41.75,42.40,41.25,42.40,41.50,41.58,1222,0.51,18,1110,90.83
MADHAV,EQ,2014-12-29,41.50,43.65,43.65,41.45,43.35,42.30,42.38,3340,1.42,53,1843,55.18
MADHAV,EQ,2014-12-30,42.30,42.40,43.95,39.25,41.85,41.45,41.04,6832,2.80,134,4250,62.21
MADHAV,EQ,2014-12-31,41.45,40.00,41.75,38.50,41.55,41.50,40.57,2467,1.00,33,1561,63.28
MADHAV,EQ,2015-01-01,41.50,43.00,43.45,40.10,42.15,42.95,42.21,2752,1.16,32,2470,89.75
MADHAV,EQ,2015-01-02,42.95,43.50,45.00,42.50,42.70,44.80,44.26,6638,2.94,58,5223,78.68
MADHAV,EQ,2015-01-05,44.80,46.80,46.80,44.00,44.05,44.05,44.50,3363,1.50,37,3002,89.27
MADHAV,EQ,2015-01-06,44.05,43.00,44.65,41.50,42.10,41.75,42.43,4804,2.04,39,4468,93.01
MADHAV,EQ,2015-01-07,41.75,40.60,43.50,40.40,43.00,43.00,42.40,4792,2.03,35,4630,96.62
MADHAV,EQ,2015-01-08,43.00,42.20,44.00,41.55,42.55,42.50,42.25,3374,1.43,45,2400,71.13
MADHAV,EQ,2015-01-09,42.50,44.70,44.75,42.50,44.20,44.20,43.46,4815,2.09,37,1730,35.93
MADHAV,EQ,2015-01-12,44.20,45.80,45.80,41.65,42.85,42.50,42.79,5484,2.35,74,3395,61.91
MADHAV,EQ,2015-01-13,42.50,44.65,44.65,42.50,43.50,43.50,43.37,2755,1.19,47,2138,77.60
MADHAV,EQ,2015-01-14,43.50,43.00,43.50,42.15,42.50,42.60,42.76,1136,0.49,32,1051,92.52
MADHAV,EQ,2015-01-15,42.60,45.80,45.80,42.00,43.75,42.35,42.89,2699,1.16,51,2307,85.48
MADHAV,EQ,2015-01-16,42.35,42.05,44.40,42.05,42.50,42.50,42.71,926,0.40,35,834,90.06
MADHAV,EQ,2015-01-19,42.50,43.75,43.85,42.60,43.65,43.25,43.07,1726,0.74,28,1670,96.76
MADHAV,EQ,2015-01-20,43.25,43.40,43.80,41.60,43.40,43.35,42.85,15843,6.79,146,13316,84.05
MADHAV,EQ,2015-01-21,43.35,43.35,44.65,43.00,43.50,43.05,43.17,10382,4.48,70,9560,92.08
MADHAV,EQ,2015-01-22,43.05,42.25,44.15,42.25,42.60,42.90,42.76,1924,0.82,29,1416,73.60
MADHAV,EQ,2015-01-23,42.90,42.35,43.95,42.00,42.10,42.15,42.53,6526,2.78,72,4708,72.14
MADHAV,EQ,2015-01-27,42.15,40.60,46.60,40.60,41.75,41.45,41.97,9183,3.85,85,9145,99.59
MADHAV,EQ,2015-01-28,41.45,45.00,45.00,41.05,41.15,41.15,41.23,1341,0.55,40,1123,83.74
MADHAV,EQ,2015-01-29,41.15,40.50,41.30,40.50,41.30,40.60,40.64,1166,0.47,21,820,70.33
MADHAV,EQ,2015-01-30,40.60,40.10,41.30,40.00,41.30,41.30,40.34,2413,0.97,47,1586,65.73
MADHAV,EQ,2015-02-02,41.30,42.00,42.00,40.05,40.50,40.50,40.62,5443,2.21,82,2865,52.64
MADHAV,EQ,2015-02-03,40.50,40.50,41.90,38.70,41.85,40.80,40.96,2483,1.02,76,1335,53.77
MADHAV,EQ,2015-02-04,40.80,40.00,43.00,39.00,41.80,41.25,40.83,1755,0.72,55,806,45.93
MADHAV,EQ,2015-02-05,41.25,41.80,41.80,40.50,40.50,40.50,40.57,262,0.11,6,262,100.00
MADHAV,EQ,2015-02-06,40.50,40.60,41.60,38.30,39.65,39.65,40.15,9557,3.84,119,4940,51.69
MADHAV,EQ,2015-02-09,39.65,39.00,40.50,39.00,40.15,39.75,39.64,856,0.34,18,685,80.02
MADHAV,EQ,2015-02-10,39.75,39.00,39.80,38.00,38.50,38.55,38.99,6411,2.50,51,4485,69.96
MADHAV,EQ,2015-02-11,38.55,37.95,41.50,37.65,41.50,40.95,40.29,1488,0.60,40,1130,75.94
MADHAV,EQ,2015-02-12,40.95,40.50,44.00,40.50,42.30,41.90,42.22,856,0.36,23,710,82.94
MADHAV,EQ,2015-02-13,41.90,40.90,43.90,40.85,43.90,43.90,41.48,1954,0.81,19,1752,89.66
MADHAV,EQ,2015-02-16,43.90,43.90,43.90,41.50,42.10,42.25,42.38,7035,2.98,73,3869,55.00
