Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MAGNUM,EQ,2014-12-04,3.30,3.15,3.45,3.15,3.45,3.45,3.28,1900,0.06,10,1100,57.89
MAGNUM,EQ,2014-12-05,3.45,3.60,3.60,3.30,3.30,3.35,3.40,9746,0.33,31,9244,94.85
MAGNUM,EQ,2014-12-08,3.35,3.20,3.20,3.20,3.20,3.20,3.20,100,0.00,1,100,100.00
MAGNUM,EQ,2014-12-09,3.20,3.05,3.35,3.05,3.35,3.35,3.25,2116,0.07,9,2116,100.00
MAGNUM,EQ,2014-12-10,3.35,3.20,3.45,3.20,3.30,3.30,3.34,4727,0.16,13,3727,78.84
MAGNUM,EQ,2014-12-11,3.30,3.15,3.45,3.15,3.45,3.45,3.20,6423,0.21,13,4223,65.75
MAGNUM,EQ,2014-12-12,3.45,3.30,3.30,3.30,3.30,3.30,3.30,6000,0.20,5,6000,100.00
MAGNUM,EQ,2014-12-15,3.30,3.15,3.25,3.15,3.20,3.20,3.18,7704,0.25,7,7704,100.00
MAGNUM,EQ,2014-12-18,3.20,3.30,3.30,3.05,3.05,3.05,3.06,7080,0.22,12,7080,100.00
MAGNUM,EQ,2014-12-19,3.05,3.00,3.05,2.90,3.05,3.05,3.00,2100,0.06,7,2100,100.00
MAGNUM,EQ,2014-12-22,3.05,3.00,3.00,3.00,3.00,3.00,3.00,269,0.01,3,200,74.35
MAGNUM,EQ,2014-12-23,3.00,2.85,2.95,2.85,2.95,2.95,2.90,1290,0.04,3,1290,100.00
MAGNUM,EQ,2014-12-24,2.95,2.85,2.95,2.85,2.95,2.95,2.93,1190,0.03,7,1190,100.00
MAGNUM,EQ,2014-12-26,2.95,2.85,3.00,2.85,2.90,2.90,2.94,6637,0.20,23,6637,100.00
MAGNUM,EQ,2014-12-30,2.90,2.95,3.00,2.95,3.00,3.00,3.00,9650,0.29,12,9650,100.00
MAGNUM,EQ,2014-12-31,3.00,3.00,3.00,2.85,2.90,2.85,2.88,5545,0.16,9,3520,63.48
MAGNUM,EQ,2015-01-01,2.85,2.95,2.95,2.80,2.85,2.85,2.91,1389,0.04,11,1387,99.86
MAGNUM,EQ,2015-01-02,2.85,2.85,2.95,2.80,2.95,2.95,2.90,1300,0.04,5,1300,100.00
MAGNUM,EQ,2015-01-05,2.95,2.85,3.05,2.85,3.05,3.05,2.95,2101,0.06,9,1500,71.39
MAGNUM,EQ,2015-01-06,3.05,3.00,3.00,3.00,3.00,3.00,3.00,200,0.01,3,200,100.00
MAGNUM,EQ,2015-01-07,3.00,2.85,3.15,2.85,3.15,3.15,3.05,1821,0.06,13,1250,68.64
MAGNUM,EQ,2015-01-08,3.15,3.00,3.30,3.00,3.30,3.30,3.22,2097,0.07,11,1796,85.65
MAGNUM,EQ,2015-01-09,3.30,3.15,3.45,3.15,3.40,3.40,3.22,562,0.02,5,562,100.00
MAGNUM,EQ,2015-01-12,3.40,3.40,3.45,3.30,3.35,3.35,3.37,11415,0.38,11,11415,100.00
MAGNUM,EQ,2015-01-13,3.35,3.25,3.50,3.20,3.30,3.30,3.27,2601,0.08,9,2090,80.35
MAGNUM,EQ,2015-01-15,3.30,3.15,3.15,3.15,3.15,3.15,3.15,250,0.01,2,250,100.00
MAGNUM,EQ,2015-01-16,3.15,3.15,3.15,3.05,3.05,3.10,3.13,1228,0.04,3,1228,100.00
MAGNUM,EQ,2015-01-19,3.10,3.05,3.05,3.05,3.05,3.05,3.05,209,0.01,2,209,100.00
MAGNUM,EQ,2015-01-20,3.05,2.90,2.90,2.90,2.90,2.90,2.90,25,0.00,1,25,100.00
MAGNUM,EQ,2015-01-21,2.90,2.90,2.90,2.90,2.90,2.90,2.90,1540,0.04,5,1540,100.00
MAGNUM,EQ,2015-01-22,2.90,2.85,2.90,2.85,2.85,2.85,2.88,1859,0.05,7,1859,100.00
MAGNUM,EQ,2015-01-23,2.85,2.75,2.95,2.75,2.95,2.95,2.92,2640,0.08,6,2640,100.00
MAGNUM,EQ,2015-01-27,2.95,2.90,3.05,2.85,3.05,3.05,2.94,1305,0.04,8,805,61.69
MAGNUM,EQ,2015-01-28,3.05,2.90,2.95,2.90,2.95,2.95,2.93,410,0.01,6,260,63.41
MAGNUM,EQ,2015-01-29,2.95,3.00,3.05,2.95,3.05,3.05,3.01,1250,0.04,6,1035,82.80
MAGNUM,EQ,2015-01-30,3.05,2.90,2.90,2.90,2.90,2.90,2.90,200,0.01,2,200,100.00
MAGNUM,EQ,2015-02-02,2.90,2.85,2.90,2.80,2.85,2.85,2.85,4299,0.12,6,4099,95.35
MAGNUM,EQ,2015-02-03,2.85,2.85,2.85,2.80,2.85,2.85,2.84,1273,0.04,5,1273,100.00
MAGNUM,EQ,2015-02-04,2.85,2.90,2.90,2.90,2.90,2.90,2.90,276,0.01,5,276,100.00
MAGNUM,EQ,2015-02-05,2.90,3.00,3.00,3.00,3.00,3.00,3.00,220,0.01,2,220,100.00
MAGNUM,EQ,2015-02-06,3.00,2.70,2.80,2.70,2.80,2.80,2.77,1602,0.04,7,1002,62.55
MAGNUM,EQ,2015-02-09,2.80,2.80,2.85,2.80,2.85,2.85,2.83,400,0.01,2,400,100.00
MAGNUM,EQ,2015-02-10,2.85,2.75,2.75,2.75,2.75,2.75,2.75,4,0.00,1,4,100.00
MAGNUM,EQ,2015-02-11,2.75,2.65,2.80,2.65,2.80,2.80,2.73,400,0.01,2,200,50.00
MAGNUM,EQ,2015-02-12,2.80,2.55,3.05,2.55,3.05,3.05,3.03,4330,0.13,14,4330,100.00
MAGNUM,EQ,2015-02-13,3.05,3.35,3.35,3.35,3.35,3.35,3.35,3000,0.10,6,2000,66.67
MAGNUM,EQ,2015-02-16,3.35,3.10,3.10,3.10,3.10,3.10,3.10,100,0.00,1,100,100.00
MAGNUM,EQ,2015-02-18,3.10,2.95,3.40,2.90,3.30,3.25,3.05,4352,0.13,10,3150,72.38
MAGNUM,EQ,2015-02-19,3.25,3.00,3.55,3.00,3.55,3.50,3.15,7023,0.22,18,6294,89.62
MAGNUM,EQ,2015-02-20,3.50,3.30,3.50,3.20,3.50,3.50,3.48,8970,0.31,13,8420,93.87
MAGNUM,EQ,2015-02-23,3.50,3.15,3.60,3.15,3.60,3.40,3.37,1807,0.06,9,1517,83.95
MAGNUM,EQ,2015-02-24,3.40,3.25,3.25,3.20,3.25,3.25,3.24,2500,0.08,4,2500,100.00
MAGNUM,EQ,2015-02-25,3.25,3.15,3.35,2.95,3.35,3.35,3.04,5101,0.16,11,5100,99.98
MAGNUM,EQ,2015-02-26,3.35,3.05,3.35,3.05,3.35,3.35,3.05,1006,0.03,4,1000,99.40
MAGNUM,EQ,2015-02-27,3.35,3.10,3.10,3.10,3.10,3.10,3.10,2564,0.08,3,2564,100.00
MAGNUM,EQ,2015-02-28,3.10,3.10,3.40,3.00,3.05,3.05,3.08,2978,0.09,11,1502,50.44
MAGNUM,EQ,2015-03-02,3.05,2.90,3.35,2.90,3.25,3.25,3.04,8568,0.26,30,5739,66.98
MAGNUM,EQ,2015-03-03,3.25,3.00,3.05,3.00,3.00,3.00,3.03,4217,0.13,8,4117,97.63
MAGNUM,EQ,2015-03-04,3.00,2.95,2.95,2.70,2.90,2.90,2.85,19697,0.56,35,14320,72.70
MAGNUM,EQ,2015-03-05,2.90,2.80,3.00,2.75,2.80,2.80,2.91,5941,0.17,14,5541,93.27
MAGNUM,EQ,2015-03-09,2.80,2.75,3.15,2.65,2.85,2.85,2.78,4200,0.12,6,4100,97.62
MAGNUM,EQ,2015-03-10,2.85,3.00,3.00,3.00,3.00,3.00,3.00,1000,0.03,1,1000,100.00
MAGNUM,EQ,2015-03-11,3.00,2.80,2.80,2.80,2.80,2.80,2.80,400,0.01,1,400,100.00
