Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MANAKINDST,BE,2015-03-30,125.25,18.80,18.80,17.90,17.90,17.90,18.78,9600,1.80,13,-,-
MANAKINDST,BE,2015-03-31,17.90,17.05,17.05,17.05,17.05,17.05,17.05,4201,0.72,4,-,-
MANAKINDST,BE,2015-04-01,17.05,16.20,16.20,16.20,16.20,16.20,16.20,4000,0.65,1,-,-
MANAKINDST,BE,2015-04-07,16.20,15.40,15.40,15.40,15.40,15.40,15.40,1,0.00,1,-,-
MANAKINDST,BE,2015-04-08,15.40,14.65,14.65,14.65,14.65,14.65,14.65,1726,0.25,7,-,-
MANAKINDST,BE,2015-04-09,14.65,13.95,13.95,13.95,13.95,13.95,13.95,3035,0.42,7,-,-
MANAKINDST,BE,2015-04-10,13.95,13.30,13.30,13.30,13.30,13.30,13.30,851,0.11,4,-,-
MANAKINDST,BE,2015-04-13,13.30,12.65,13.95,12.65,13.85,13.85,13.00,30996,4.03,46,-,-
MANAKINDST,BE,2015-04-15,13.85,13.20,14.50,13.20,13.20,13.20,13.82,3812,0.53,19,-,-
MANAKINDST,EQ,2015-04-16,13.20,10.80,14.50,10.80,12.50,12.25,12.22,2645,0.32,47,2356,89.07
MANAKINDST,EQ,2015-04-17,12.25,11.10,14.70,11.10,13.05,13.40,13.93,18741,2.61,74,15752,84.05
MANAKINDST,EQ,2015-04-20,13.40,12.60,13.30,10.75,10.75,10.95,11.21,11051,1.24,60,9374,84.82
MANAKINDST,EQ,2015-04-21,10.95,10.25,11.65,9.55,10.40,10.40,10.44,6415,0.67,50,4213,65.67
MANAKINDST,EQ,2015-04-22,10.40,11.60,12.45,11.00,12.05,12.20,12.20,34809,4.25,99,25620,73.60
MANAKINDST,EQ,2015-04-23,12.20,12.85,12.85,10.00,10.00,10.20,10.77,12543,1.35,92,8498,67.75
MANAKINDST,EQ,2015-04-24,10.20,10.00,10.40,8.60,9.35,8.80,9.57,14611,1.40,62,10341,70.78
MANAKINDST,EQ,2015-04-27,8.80,9.50,9.65,8.05,8.10,8.10,8.68,22554,1.96,66,13420,59.50
MANAKINDST,EQ,2015-04-28,8.10,8.10,8.90,7.55,8.75,8.35,8.58,22262,1.91,65,11066,49.71
MANAKINDST,EQ,2015-04-29,8.35,8.90,9.15,8.50,8.50,8.65,9.12,18648,1.70,22,15974,85.66
MANAKINDST,EQ,2015-04-30,8.65,8.50,9.45,8.50,9.45,8.90,8.55,2846,0.24,12,2792,98.10
MANAKINDST,EQ,2015-05-04,8.90,8.55,9.00,8.50,8.50,8.50,8.65,1789,0.15,12,1381,77.19
MANAKINDST,EQ,2015-05-05,8.50,8.50,9.35,8.20,8.55,8.55,9.12,3116,0.28,22,2419,77.63
MANAKINDST,EQ,2015-05-06,8.55,8.55,9.20,7.70,7.70,7.70,7.97,11185,0.89,38,10142,90.68
MANAKINDST,EQ,2015-05-07,7.70,7.95,7.95,6.95,6.95,6.95,7.06,11371,0.80,39,8970,78.88
MANAKINDST,EQ,2015-05-08,6.95,7.45,7.45,6.50,6.60,6.55,6.72,13834,0.93,21,11025,79.69
MANAKINDST,EQ,2015-05-11,6.55,6.50,6.85,6.25,6.50,6.35,6.38,13414,0.86,56,6832,50.93
MANAKINDST,EQ,2015-05-12,6.35,6.35,6.65,6.05,6.40,6.15,6.31,28177,1.78,39,24976,88.64
MANAKINDST,EQ,2015-05-13,6.15,6.25,6.30,5.85,5.85,5.85,5.92,10040,0.59,22,8939,89.03
MANAKINDST,EQ,2015-05-14,5.85,5.80,6.00,5.60,5.60,5.60,5.76,14617,0.84,40,8357,57.17
MANAKINDST,EQ,2015-05-15,5.60,5.45,5.45,5.35,5.35,5.35,5.35,9655,0.52,19,9184,95.12
MANAKINDST,EQ,2015-05-18,5.35,5.25,5.25,5.10,5.10,5.10,5.21,706,0.04,5,706,100.00
MANAKINDST,EQ,2015-05-19,5.10,5.35,5.35,5.30,5.30,5.30,5.35,14917,0.80,23,11318,75.87
MANAKINDST,EQ,2015-05-20,5.30,5.10,5.55,5.05,5.55,5.50,5.17,29160,1.51,48,27351,93.80
MANAKINDST,EQ,2015-05-21,5.50,5.75,5.75,5.75,5.75,5.75,5.75,1000,0.06,2,1000,100.00
MANAKINDST,EQ,2015-05-22,5.75,6.00,6.00,5.65,6.00,5.90,5.94,1923,0.11,13,1000,52.00
MANAKINDST,EQ,2015-05-25,5.90,6.15,6.15,5.65,5.90,5.90,5.80,2205,0.13,9,1606,72.83
MANAKINDST,EQ,2015-05-26,5.90,5.65,5.80,5.65,5.80,5.80,5.76,710,0.04,4,710,100.00
MANAKINDST,EQ,2015-05-27,5.80,5.55,5.80,5.55,5.75,5.75,5.63,1749,0.10,11,1749,100.00
MANAKINDST,EQ,2015-05-28,5.75,5.55,5.70,5.50,5.50,5.50,5.53,692,0.04,8,592,85.55
MANAKINDST,EQ,2015-05-29,5.50,5.25,5.70,5.25,5.30,5.35,5.61,3778,0.21,21,3525,93.30
MANAKINDST,EQ,2015-06-01,5.35,5.60,5.60,5.60,5.60,5.60,5.60,6692,0.37,9,6191,92.51
MANAKINDST,EQ,2015-06-02,5.60,5.85,5.85,5.85,5.85,5.85,5.85,210,0.01,2,210,100.00
MANAKINDST,EQ,2015-06-03,5.85,6.10,6.10,5.70,6.00,6.00,5.77,5001,0.29,16,4900,97.98
MANAKINDST,EQ,2015-06-04,6.00,5.75,5.80,5.70,5.70,5.70,5.74,1550,0.09,4,1050,67.74
MANAKINDST,EQ,2015-06-05,5.70,5.35,6.25,5.35,6.25,6.25,6.23,3406,0.21,13,2900,85.14
MANAKINDST,EQ,2015-06-08,6.25,6.85,6.85,6.10,6.85,6.85,6.71,15456,1.04,27,11799,76.34
MANAKINDST,EQ,2015-06-09,6.85,6.35,7.25,6.35,6.75,6.75,6.75,3225,0.22,10,3025,93.80
MANAKINDST,EQ,2015-06-10,6.75,6.55,7.40,6.55,7.40,7.40,7.36,3810,0.28,16,3810,100.00
MANAKINDST,EQ,2015-06-11,7.40,7.20,7.20,7.05,7.05,7.05,7.17,2161,0.16,19,1872,86.63
MANAKINDST,EQ,2015-06-12,7.05,7.35,7.40,6.75,6.85,7.35,7.31,4802,0.35,18,4692,97.71
MANAKINDST,EQ,2015-06-15,7.35,7.70,7.70,7.00,7.70,7.70,7.52,1193,0.09,13,998,83.65
MANAKINDST,EQ,2015-06-16,7.70,7.45,8.05,7.35,8.05,8.05,7.86,3198,0.25,18,2932,91.68
MANAKINDST,EQ,2015-06-17,8.05,8.20,8.20,7.65,7.65,7.65,7.88,757,0.06,8,756,99.87
MANAKINDST,EQ,2015-06-18,7.65,7.50,7.50,7.30,7.30,7.30,7.36,1236,0.09,16,1236,100.00
MANAKINDST,EQ,2015-06-19,7.30,7.65,7.65,6.95,6.95,6.95,6.97,7736,0.54,12,7735,99.99
MANAKINDST,EQ,2015-06-22,6.95,6.80,7.20,6.65,6.65,6.65,6.68,1462,0.10,11,1452,99.32
MANAKINDST,EQ,2015-06-23,6.65,6.95,6.95,6.35,6.35,6.35,6.36,8958,0.57,18,8957,99.99
