Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MANAKSIA,BE,2014-12-04,125.25,45.00,47.25,42.75,47.25,47.25,44.20,77173,34.11,73,-,-
MANAKSIA,BE,2014-12-05,47.25,49.60,49.60,49.60,49.60,49.60,49.60,3521,1.75,15,-,-
MANAKSIA,BE,2014-12-08,49.60,52.05,52.05,52.05,52.05,52.05,52.05,2868,1.49,20,-,-
MANAKSIA,BE,2014-12-09,52.05,54.65,54.65,54.65,54.65,54.65,54.65,1678,0.92,7,-,-
MANAKSIA,BE,2014-12-10,54.65,57.35,57.35,57.35,57.35,57.35,57.35,433,0.25,11,-,-
MANAKSIA,BE,2014-12-11,57.35,60.20,60.20,60.20,60.20,60.20,60.20,3574,2.15,9,-,-
MANAKSIA,BE,2014-12-12,60.20,63.20,63.20,59.90,63.20,63.20,62.81,194571,122.20,451,-,-
MANAKSIA,BE,2014-12-15,63.20,63.40,66.35,60.05,64.70,64.90,63.76,103779,66.17,471,-,-
MANAKSIA,BE,2014-12-16,64.90,64.70,65.00,61.70,62.40,62.25,63.32,78374,49.63,294,-,-
MANAKSIA,BE,2014-12-17,62.25,63.80,65.35,62.00,65.35,65.20,64.49,51667,33.32,224,-,-
MANAKSIA,EQ,2014-12-18,65.20,69.00,71.70,61.50,70.30,70.10,69.27,100457,69.59,790,47354,47.14
MANAKSIA,EQ,2014-12-19,70.10,72.35,73.30,67.60,69.00,70.05,71.49,38428,27.47,408,24522,63.81
MANAKSIA,EQ,2014-12-22,70.05,70.05,71.95,63.05,63.20,63.15,64.77,64508,41.78,533,40096,62.16
MANAKSIA,EQ,2014-12-23,63.15,63.10,66.00,56.85,57.20,56.95,57.41,148583,85.30,527,105091,70.73
MANAKSIA,EQ,2014-12-24,56.95,57.25,58.80,54.40,57.90,57.45,57.45,117262,67.37,816,61035,52.05
MANAKSIA,EQ,2014-12-26,57.45,55.20,58.95,55.00,58.50,58.10,56.50,9001,5.09,134,5154,57.26
MANAKSIA,EQ,2014-12-29,58.10,58.10,58.30,55.00,56.30,56.05,56.05,222587,124.76,242,216632,97.32
MANAKSIA,EQ,2014-12-30,56.05,56.05,57.30,55.20,57.30,56.20,55.77,6506,3.63,121,4881,75.02
MANAKSIA,EQ,2014-12-31,56.20,54.60,57.10,54.60,56.00,55.50,55.51,411697,228.54,106,409882,99.56
MANAKSIA,EQ,2015-01-01,55.50,56.00,56.50,55.00,55.00,55.10,55.43,16489,9.14,171,9626,58.38
MANAKSIA,EQ,2015-01-02,55.10,58.90,58.90,54.55,55.30,55.00,55.71,40962,22.82,381,24133,58.92
MANAKSIA,EQ,2015-01-05,55.00,55.40,56.90,54.00,55.45,55.05,55.47,94871,52.62,528,38829,40.93
MANAKSIA,EQ,2015-01-06,55.05,54.25,56.70,53.60,54.00,53.90,54.50,320680,174.77,286,316124,98.58
MANAKSIA,EQ,2015-01-07,53.90,54.70,54.70,52.70,52.70,52.90,52.99,7515,3.98,116,6241,83.05
MANAKSIA,EQ,2015-01-08,52.90,54.15,54.85,53.00,53.85,53.55,53.72,424623,228.10,303,416347,98.05
MANAKSIA,EQ,2015-01-09,53.55,54.95,54.95,53.10,53.50,53.35,53.62,25930,13.90,287,12254,47.26
MANAKSIA,EQ,2015-01-12,53.35,53.00,53.00,51.10,51.30,51.90,52.42,30311,15.89,294,21359,70.47
MANAKSIA,EQ,2015-01-13,51.90,51.45,52.75,51.00,51.25,51.35,51.98,304669,158.36,377,291641,95.72
MANAKSIA,EQ,2015-01-14,51.35,49.10,52.00,49.10,50.60,50.25,50.54,15070,7.62,264,6450,42.80
MANAKSIA,EQ,2015-01-15,50.25,50.00,52.75,49.00,52.75,51.70,50.96,15440,7.87,360,7013,45.42
MANAKSIA,EQ,2015-01-16,51.70,52.20,54.75,52.05,53.50,53.20,53.11,10641,5.65,212,5526,51.93
MANAKSIA,EQ,2015-01-19,53.20,51.05,54.65,51.05,53.55,52.90,53.54,29353,15.71,192,18426,62.77
MANAKSIA,EQ,2015-01-20,52.90,52.50,53.95,52.00,52.05,52.05,52.96,6652,3.52,209,3495,52.54
