Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MANDHANA,EQ,2014-12-04,295.70,292.55,300.20,290.05,291.00,290.90,293.80,21891,64.32,354,18493,84.48
MANDHANA,EQ,2014-12-05,290.90,294.90,294.90,286.15,286.15,288.55,290.42,43382,125.99,340,39858,91.88
MANDHANA,EQ,2014-12-08,288.55,291.30,294.00,286.15,287.75,287.95,288.52,13761,39.70,297,10480,76.16
MANDHANA,EQ,2014-12-09,287.95,290.00,294.60,285.00,287.00,285.85,288.53,33248,95.93,368,25190,75.76
MANDHANA,EQ,2014-12-10,285.85,288.85,292.90,287.00,290.00,289.30,289.46,27497,79.59,262,23948,87.09
MANDHANA,EQ,2014-12-11,289.30,292.00,292.00,285.25,287.40,286.75,288.61,12820,37.00,312,4862,37.93
MANDHANA,EQ,2014-12-12,286.75,289.00,291.00,283.00,283.00,284.50,285.04,77503,220.91,501,54205,69.94
MANDHANA,EQ,2014-12-15,284.50,288.00,288.00,280.00,281.25,282.85,283.06,30898,87.46,342,18711,60.56
MANDHANA,EQ,2014-12-16,282.85,284.80,284.80,277.00,278.40,279.55,279.73,40997,114.68,403,21446,52.31
MANDHANA,EQ,2014-12-17,279.55,282.70,282.70,274.00,278.00,277.10,277.68,69617,193.31,247,55936,80.35
MANDHANA,EQ,2014-12-18,277.10,279.00,297.35,279.00,282.00,281.95,282.07,15183,42.83,194,9679,63.75
MANDHANA,EQ,2014-12-19,281.95,285.00,300.00,282.70,288.00,286.70,287.51,41894,120.45,241,25699,61.34
MANDHANA,EQ,2014-12-22,286.70,289.00,295.00,282.00,282.00,286.85,288.12,89184,256.95,315,85667,96.06
MANDHANA,EQ,2014-12-23,286.85,286.00,286.95,277.95,284.00,280.55,284.32,168658,479.52,461,165070,97.87
MANDHANA,EQ,2014-12-24,280.55,284.00,284.80,277.25,284.00,279.70,279.30,25476,71.16,232,23689,92.99
