Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MANGCHEFER,EQ,2014-12-04,86.35,87.10,87.10,85.00,86.00,86.40,85.99,40186,34.56,603,21573,53.68
MANGCHEFER,EQ,2014-12-05,86.40,94.70,99.90,90.20,90.70,91.30,94.23,2607409,2457.07,18210,821780,31.52
MANGCHEFER,EQ,2014-12-08,91.30,90.80,91.65,89.10,89.40,89.40,89.84,175502,157.68,1667,85654,48.81
MANGCHEFER,EQ,2014-12-09,89.40,89.95,90.45,89.10,89.60,89.30,89.44,144856,129.56,979,77160,53.27
MANGCHEFER,EQ,2014-12-10,89.30,89.15,89.70,88.85,89.00,89.00,89.11,263947,235.22,937,227520,86.20
MANGCHEFER,EQ,2014-12-11,89.00,88.50,89.65,87.70,88.05,88.55,88.73,598235,530.79,1687,500359,83.64
MANGCHEFER,EQ,2014-12-12,88.55,88.25,89.20,87.80,89.00,89.00,88.70,222940,197.75,1758,205476,92.17
MANGCHEFER,EQ,2014-12-15,89.00,89.20,89.45,88.75,89.40,89.10,89.01,93127,82.90,1400,86551,92.94
MANGCHEFER,EQ,2014-12-16,89.10,88.75,90.50,88.00,89.75,89.15,89.04,447226,398.19,1549,392215,87.70
MANGCHEFER,EQ,2014-12-17,89.15,89.05,89.50,89.00,89.30,89.15,89.06,85533,76.17,1492,80498,94.11
MANGCHEFER,EQ,2014-12-18,89.15,89.10,90.25,89.10,89.25,89.35,89.39,57597,51.48,174,48694,84.54
MANGCHEFER,EQ,2014-12-19,89.35,89.40,89.70,89.25,89.30,89.30,89.32,29172,26.06,203,27477,94.19
MANGCHEFER,EQ,2014-12-22,89.30,89.10,89.90,89.10,89.35,89.55,89.37,46442,41.51,382,45385,97.72
MANGCHEFER,EQ,2014-12-23,89.55,89.50,90.15,89.30,89.45,89.50,89.64,425776,381.64,712,422268,99.18
MANGCHEFER,EQ,2014-12-24,89.50,89.90,89.95,89.35,89.45,89.50,89.51,21725,19.45,410,20415,93.97
MANGCHEFER,EQ,2014-12-26,89.50,89.00,89.95,89.00,89.40,89.40,89.33,23172,20.70,172,21893,94.48
MANGCHEFER,EQ,2014-12-29,89.40,89.30,89.90,89.30,89.55,89.65,89.61,41566,37.25,146,40193,96.70
MANGCHEFER,EQ,2014-12-30,89.65,89.50,89.95,89.45,89.65,89.70,89.67,36251,32.50,279,33985,93.75
MANGCHEFER,EQ,2014-12-31,89.70,92.60,97.30,90.00,90.25,90.40,92.98,1349980,1255.20,9714,422688,31.31
MANGCHEFER,EQ,2015-01-01,90.40,90.25,91.60,89.75,90.00,89.95,90.24,175580,158.44,1920,109748,62.51
MANGCHEFER,EQ,2015-01-02,89.95,89.45,91.00,89.35,89.85,89.95,89.75,173851,156.04,974,160729,92.45
MANGCHEFER,EQ,2015-01-05,89.95,89.95,90.50,88.85,89.50,89.65,89.71,492358,441.69,2340,438799,89.12
MANGCHEFER,EQ,2015-01-06,89.65,89.50,89.50,88.30,89.10,89.05,88.96,115324,102.60,2589,105096,91.13
MANGCHEFER,EQ,2015-01-07,89.05,88.50,93.00,88.10,90.40,89.95,89.53,333893,298.94,4116,142308,42.62
MANGCHEFER,EQ,2015-01-08,89.95,91.00,91.00,89.95,90.10,90.10,90.23,49100,44.30,945,39566,80.58
MANGCHEFER,EQ,2015-01-09,90.10,89.50,91.60,89.20,91.60,90.50,90.35,135921,122.80,626,129561,95.32
MANGCHEFER,EQ,2015-01-12,90.50,90.05,91.55,88.70,90.50,90.50,90.29,151785,137.05,466,136223,89.75
MANGCHEFER,EQ,2015-01-13,90.50,92.00,92.00,90.00,90.10,90.10,90.23,24653,22.25,470,22365,90.72
MANGCHEFER,EQ,2015-01-14,90.10,90.05,90.50,89.75,90.50,90.45,90.25,68554,61.87,622,66456,96.94
MANGCHEFER,EQ,2015-01-15,90.45,90.50,90.50,90.30,90.50,90.45,90.43,53370,48.26,748,51521,96.54
MANGCHEFER,EQ,2015-01-16,90.45,91.05,91.05,90.00,90.45,90.45,90.28,54267,48.99,834,51076,94.12
MANGCHEFER,EQ,2015-01-19,90.45,90.45,90.50,89.90,89.95,89.95,90.09,56274,50.70,548,52496,93.29
MANGCHEFER,EQ,2015-01-20,89.95,90.50,90.50,89.90,90.45,90.35,90.09,22023,19.84,358,20555,93.33
MANGCHEFER,EQ,2015-01-21,90.35,89.25,90.95,89.25,90.65,90.70,90.52,97684,88.42,708,94454,96.69
MANGCHEFER,EQ,2015-01-22,90.70,90.20,90.90,90.10,90.90,90.70,90.63,24687,22.37,390,23678,95.91
MANGCHEFER,EQ,2015-01-23,90.70,91.50,93.50,89.25,91.25,91.00,91.08,66126,60.23,1639,25047,37.88
MANGCHEFER,EQ,2015-01-27,91.00,90.95,91.20,90.00,90.55,90.30,90.71,23683,21.48,388,20223,85.39
MANGCHEFER,EQ,2015-01-28,90.30,90.05,90.75,90.05,90.25,90.30,90.34,11044,9.98,264,9515,86.16
MANGCHEFER,EQ,2015-01-29,90.30,90.00,90.75,88.05,89.75,90.30,89.90,30087,27.05,1247,23406,77.79
MANGCHEFER,EQ,2015-01-30,90.30,90.00,91.80,90.00,90.30,90.30,90.31,20624,18.63,654,18907,91.67
