Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MANINDS,EQ,2014-12-04,78.05,77.35,78.85,76.30,77.30,77.85,77.15,312120,240.82,1295,221775,71.05
MANINDS,EQ,2014-12-05,77.85,77.55,79.20,75.90,76.00,76.35,77.35,138540,107.16,1302,68027,49.10
MANINDS,EQ,2014-12-08,76.35,76.00,77.05,72.60,73.40,73.40,74.11,214316,158.82,1530,141684,66.11
MANINDS,EQ,2014-12-09,73.40,72.70,74.90,70.15,70.80,70.95,72.19,147730,106.64,1413,83912,56.80
MANINDS,EQ,2014-12-10,70.95,71.45,73.00,70.00,72.35,72.00,71.54,239120,171.07,2042,87848,36.74
MANINDS,EQ,2014-12-11,72.00,71.35,71.90,68.40,71.80,71.60,70.89,144742,102.61,1703,67478,46.62
MANINDS,EQ,2014-12-12,71.60,70.80,74.30,68.65,69.75,69.95,72.00,217866,156.87,1712,80787,37.08
MANINDS,EQ,2014-12-15,69.95,69.35,69.95,68.05,68.30,68.50,69.04,59626,41.17,685,31357,52.59
MANINDS,EQ,2014-12-16,68.50,68.40,68.50,62.20,63.35,63.35,64.22,201346,129.30,1720,96082,47.72
MANINDS,EQ,2014-12-17,63.35,61.70,64.95,60.40,61.00,60.90,62.15,285812,177.62,1909,183153,64.08
MANINDS,EQ,2014-12-18,60.90,62.70,65.95,62.00,64.00,63.95,63.82,357244,227.99,1809,211798,59.29
MANINDS,EQ,2014-12-19,63.95,64.50,64.95,62.00,62.10,62.50,63.78,162808,103.84,1127,80281,49.31
MANINDS,EQ,2014-12-22,62.50,63.95,63.95,61.50,62.60,62.70,62.54,120266,75.21,808,73134,60.81
MANINDS,EQ,2014-12-23,62.70,63.15,64.10,60.60,61.00,61.10,61.90,226105,139.95,890,145535,64.37
MANINDS,EQ,2014-12-24,61.10,61.05,61.65,59.50,60.70,60.05,60.52,132497,80.19,782,105931,79.95
MANINDS,EQ,2014-12-26,60.05,60.00,62.65,59.75,61.00,60.90,61.41,136866,84.04,951,76551,55.93
MANINDS,EQ,2014-12-29,60.90,61.25,62.85,59.50,60.70,60.30,60.64,163254,99.01,1120,121259,74.28
MANINDS,EQ,2014-12-30,60.30,60.65,61.20,59.50,60.05,60.25,60.21,162402,97.78,722,114455,70.48
MANINDS,EQ,2014-12-31,60.25,60.85,61.90,60.05,61.00,61.20,61.27,204537,125.32,826,144828,70.81
MANINDS,EQ,2015-01-01,61.20,61.20,63.40,61.00,62.40,62.35,62.42,183555,114.57,1337,100443,54.72
MANINDS,EQ,2015-01-02,62.35,62.95,64.80,62.65,63.55,63.75,63.75,172606,110.04,1222,84067,48.70
MANINDS,EQ,2015-01-05,63.75,63.55,65.95,63.55,65.50,65.55,65.14,246543,160.59,1472,148972,60.42
MANINDS,EQ,2015-01-06,65.55,64.90,64.90,62.50,62.50,62.75,63.86,323831,206.81,1177,213155,65.82
MANINDS,EQ,2015-01-07,62.75,62.10,63.30,59.60,59.90,60.10,60.69,170578,103.53,967,108520,63.62
MANINDS,EQ,2015-01-08,60.10,60.25,61.75,60.10,60.50,60.70,60.88,155850,94.88,737,99948,64.13
MANINDS,EQ,2015-01-09,60.70,61.85,61.85,59.30,59.90,59.60,60.16,108662,65.38,604,63467,58.41
MANINDS,EQ,2015-01-12,59.60,59.60,60.65,59.10,59.30,59.30,59.81,136568,81.69,676,109656,80.29
