Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MARATHON,EQ,2016-09-29,263.65,273.90,278.00,216.05,239.00,232.95,251.81,15284,38.49,262,10622,69.50
MARATHON,EQ,2016-09-30,232.95,247.55,255.00,230.00,255.00,249.00,243.53,2668,6.50,96,1280,47.98
MARATHON,EQ,2016-10-03,249.00,238.00,264.40,238.00,255.00,257.90,256.64,1512,3.88,72,1396,92.33
MARATHON,EQ,2016-10-04,257.90,250.00,261.00,250.00,260.00,260.00,259.69,29,0.08,5,27,93.10
MARATHON,EQ,2016-10-05,260.00,254.00,254.00,251.00,253.00,253.00,252.15,768,1.94,11,768,100.00
MARATHON,EQ,2016-10-06,253.00,253.00,259.00,248.00,258.00,248.80,251.63,1305,3.28,41,1008,77.24
MARATHON,EQ,2016-10-07,248.80,268.00,268.00,241.00,253.00,246.75,247.36,11347,28.07,177,7949,70.05
MARATHON,EQ,2016-10-10,246.75,246.00,250.00,242.25,242.25,242.30,245.21,763,1.87,23,711,93.18
MARATHON,EQ,2016-10-13,242.30,242.30,258.90,234.00,251.65,240.25,238.61,571,1.36,31,407,71.28
MARATHON,EQ,2016-10-14,240.25,240.00,259.50,240.00,248.90,248.90,250.53,556,1.39,24,394,70.86
MARATHON,EQ,2016-10-17,248.90,248.75,254.00,237.00,240.50,241.90,242.99,1641,3.99,34,822,50.09
MARATHON,EQ,2016-10-18,241.90,240.00,249.00,240.00,245.00,241.30,245.42,1178,2.89,68,1172,99.49
MARATHON,EQ,2016-10-19,241.30,243.60,250.00,243.55,249.95,245.20,245.47,1752,4.30,45,1536,87.67
MARATHON,EQ,2016-10-20,245.20,245.00,248.50,239.30,239.30,239.30,244.96,432,1.06,8,432,100.00
MARATHON,EQ,2016-10-21,239.30,239.25,259.00,239.25,250.00,249.60,249.06,1484,3.70,50,1211,81.60
MARATHON,EQ,2016-10-24,249.60,249.50,284.50,249.50,276.90,275.00,270.23,22148,59.85,224,18941,85.52
MARATHON,EQ,2016-10-25,275.00,299.45,299.50,270.00,279.95,274.75,277.43,22483,62.37,218,19472,86.61
MARATHON,EQ,2016-10-26,274.75,274.50,274.50,255.50,270.00,263.10,264.79,11762,31.15,109,11140,94.71
MARATHON,EQ,2016-10-27,263.10,253.05,270.00,247.50,257.70,256.55,254.92,12098,30.84,101,11213,92.68
MARATHON,EQ,2016-10-28,256.55,256.50,263.90,249.95,263.70,251.05,250.87,16183,40.60,83,15815,97.73
