Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MBLINFRA,EQ,2014-12-04,391.05,380.00,395.00,379.00,385.00,385.20,387.69,77425,300.17,775,58523,75.59
MBLINFRA,EQ,2014-12-05,385.20,385.80,404.45,385.30,393.30,394.10,396.62,126946,503.49,1295,100175,78.91
MBLINFRA,EQ,2014-12-08,394.10,394.50,401.85,382.50,385.90,384.75,388.05,16308,63.28,579,10110,61.99
MBLINFRA,EQ,2014-12-09,384.75,381.30,384.35,372.10,377.00,376.85,379.35,24492,92.91,616,14472,59.09
MBLINFRA,EQ,2014-12-10,376.85,378.75,386.35,372.15,380.50,380.55,380.05,11132,42.31,400,8026,72.10
MBLINFRA,EQ,2014-12-11,380.55,382.10,387.00,371.10,384.00,384.40,381.62,11054,42.18,504,5904,53.41
MBLINFRA,EQ,2014-12-12,384.40,383.00,386.90,366.30,372.00,373.00,379.62,218707,830.26,1228,168560,77.07
MBLINFRA,EQ,2014-12-15,373.00,376.00,379.95,356.40,370.00,371.25,369.52,19730,72.91,350,16696,84.62
MBLINFRA,EQ,2014-12-16,371.25,370.00,370.00,357.60,360.00,362.15,364.17,31106,113.28,1277,25125,80.77
MBLINFRA,EQ,2014-12-17,362.15,360.30,363.05,341.00,357.75,354.15,356.42,26097,93.01,541,17774,68.11
MBLINFRA,EQ,2014-12-18,354.15,370.00,372.50,357.10,360.00,361.25,363.14,26715,97.01,390,17151,64.20
MBLINFRA,EQ,2014-12-19,361.25,362.25,371.85,362.20,369.90,370.60,368.86,11505,42.44,318,9019,78.39
MBLINFRA,EQ,2014-12-22,370.60,368.00,373.80,361.50,369.05,371.60,369.61,6785,25.08,389,3599,53.04
MBLINFRA,EQ,2014-12-23,371.60,369.00,381.50,369.00,373.15,378.60,376.00,14651,55.09,424,10261,70.04
MBLINFRA,EQ,2014-12-24,378.60,376.00,387.20,372.50,386.00,384.85,383.31,18280,70.07,460,14394,78.74
MBLINFRA,EQ,2014-12-26,384.85,389.65,395.70,383.95,391.90,391.25,391.79,21161,82.91,471,16269,76.88
MBLINFRA,EQ,2014-12-29,391.25,393.00,400.10,390.70,394.00,395.75,396.62,19029,75.47,512,13480,70.84
MBLINFRA,EQ,2014-12-30,395.75,394.05,400.05,394.00,395.00,395.00,395.64,41087,162.56,2943,35436,86.25
MBLINFRA,EQ,2014-12-31,395.00,399.90,417.95,398.05,404.75,405.40,410.81,59731,245.38,4954,34331,57.48
MBLINFRA,EQ,2015-01-01,405.40,408.00,414.95,404.20,414.00,412.40,406.56,116053,471.82,596,108531,93.52
MBLINFRA,EQ,2015-01-02,412.40,411.90,444.90,411.90,435.00,432.60,432.91,75091,325.08,2153,50762,67.60
MBLINFRA,EQ,2015-01-05,432.60,436.00,441.90,424.00,433.00,431.00,431.23,62350,268.87,774,56079,89.94
MBLINFRA,EQ,2015-01-06,431.00,428.00,431.60,415.00,420.00,423.40,423.87,26036,110.36,515,21774,83.63
MBLINFRA,EQ,2015-01-07,423.40,426.00,426.00,404.35,422.85,419.05,414.22,23513,97.39,565,16276,69.22
MBLINFRA,EQ,2015-01-08,419.05,411.50,438.35,411.50,435.00,433.15,432.28,11775,50.90,386,8381,71.18
MBLINFRA,EQ,2015-01-09,433.15,428.80,439.80,428.80,434.75,434.05,435.63,15182,66.14,443,11075,72.95
MBLINFRA,EQ,2015-01-12,434.05,429.70,454.00,427.50,449.95,450.45,444.35,30985,137.68,847,24016,77.51
MBLINFRA,EQ,2015-01-13,450.45,464.00,464.00,442.05,446.50,446.55,455.39,13479,61.38,472,8642,64.11
MBLINFRA,EQ,2015-01-14,446.55,452.90,452.90,446.50,448.85,448.40,447.51,6064,27.14,255,3546,58.48
MBLINFRA,EQ,2015-01-15,448.40,439.45,449.00,439.45,444.75,444.15,446.64,14042,62.72,445,11016,78.45
MBLINFRA,EQ,2015-01-16,444.15,450.00,450.00,440.10,441.00,441.05,441.99,4024,17.79,182,2888,71.77
MBLINFRA,EQ,2015-01-19,441.05,447.75,462.35,443.00,443.85,445.65,451.15,18427,83.13,548,12364,67.10
MBLINFRA,EQ,2015-01-20,445.65,449.90,452.00,446.80,450.00,450.00,450.14,27092,121.95,430,24270,89.58
MBLINFRA,EQ,2015-01-21,450.00,450.00,451.90,440.10,446.00,441.50,445.02,114468,509.40,297,108177,94.50
MBLINFRA,EQ,2015-01-22,441.50,445.00,446.00,441.20,446.00,445.05,444.94,33126,147.39,2264,30824,93.05
MBLINFRA,EQ,2015-01-23,445.05,449.90,449.90,437.55,442.90,441.35,441.78,5922,26.16,214,4136,69.84
MBLINFRA,EQ,2015-01-27,441.35,450.05,451.00,444.00,445.00,447.05,448.81,27755,124.57,668,22657,81.63
MBLINFRA,EQ,2015-01-28,447.05,447.20,457.00,442.10,442.50,444.20,448.45,34787,156.00,938,13682,39.33
MBLINFRA,EQ,2015-01-29,444.20,468.85,469.00,441.05,445.00,449.50,449.74,32440,145.90,621,25250,77.84
MBLINFRA,EQ,2015-01-30,449.50,450.00,450.00,431.00,437.25,436.25,438.75,10812,47.44,533,5789,53.54
MBLINFRA,EQ,2015-02-02,436.25,450.00,450.00,437.00,439.10,440.10,439.16,8479,37.24,382,5272,62.18
MBLINFRA,EQ,2015-02-03,440.10,450.95,450.95,438.00,441.00,444.45,444.45,18176,80.78,707,10772,59.26
MBLINFRA,EQ,2015-02-04,444.45,440.15,450.00,434.65,443.10,444.80,445.21,8870,39.49,333,8157,91.96
MBLINFRA,EQ,2015-02-05,444.80,447.50,447.50,434.90,435.00,439.05,440.65,8270,36.44,288,6029,72.90
MBLINFRA,EQ,2015-02-06,439.05,442.00,442.00,418.05,440.00,434.70,434.08,159070,690.49,11396,125089,78.64
MBLINFRA,EQ,2015-02-09,434.70,437.95,437.95,424.50,432.00,431.50,430.79,70408,303.31,2504,67821,96.33
MBLINFRA,EQ,2015-02-10,431.50,434.30,439.90,410.00,430.00,419.65,429.51,27090,116.35,2499,15992,59.03
