Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MEGASOFT,EQ,2014-12-04,7.00,7.00,7.10,6.70,7.05,7.05,7.03,11782,0.83,45,9726,82.55
MEGASOFT,EQ,2014-12-05,7.05,7.00,7.10,6.65,6.70,6.75,6.84,17671,1.21,66,16713,94.58
MEGASOFT,EQ,2014-12-08,6.75,6.75,7.25,6.70,6.70,6.70,6.96,22993,1.60,44,21992,95.65
MEGASOFT,EQ,2014-12-09,6.70,6.50,7.15,5.75,6.40,6.20,6.45,39124,2.52,114,31874,81.47
MEGASOFT,EQ,2014-12-10,6.20,6.60,6.75,5.85,5.95,6.00,6.00,85985,5.16,188,75005,87.23
MEGASOFT,EQ,2014-12-11,6.00,6.00,6.20,5.35,5.40,5.45,5.56,181672,10.10,187,158719,87.37
MEGASOFT,EQ,2014-12-12,5.45,5.80,5.95,4.95,5.15,5.00,5.36,114592,6.14,183,100256,87.49
MEGASOFT,EQ,2014-12-15,5.00,5.30,5.45,4.95,4.95,5.00,5.16,68490,3.54,208,61728,90.13
MEGASOFT,EQ,2014-12-16,5.00,4.80,5.55,4.75,5.00,4.95,5.06,73566,3.72,216,50836,69.10
MEGASOFT,EQ,2014-12-17,4.95,5.00,5.30,4.90,4.90,5.10,5.05,30163,1.52,88,23382,77.52
MEGASOFT,EQ,2014-12-18,5.10,5.00,5.30,4.95,5.00,5.00,5.04,184006,9.27,176,140615,76.42
MEGASOFT,EQ,2014-12-19,5.00,4.95,5.15,4.95,5.00,5.00,5.09,38178,1.94,34,30753,80.55
MEGASOFT,EQ,2014-12-22,5.00,5.00,5.00,4.70,4.95,4.80,4.95,25141,1.24,49,25139,99.99
MEGASOFT,EQ,2014-12-23,4.80,4.90,5.15,4.05,4.30,4.20,4.50,236876,10.65,237,196497,82.95
MEGASOFT,EQ,2014-12-24,4.20,4.45,4.60,4.45,4.60,4.60,4.59,19040,0.87,45,16210,85.14
MEGASOFT,EQ,2014-12-26,4.60,4.90,5.05,4.90,5.05,5.05,5.03,37057,1.86,47,32053,86.50
MEGASOFT,EQ,2014-12-29,5.05,5.55,5.55,5.50,5.55,5.55,5.54,77457,4.29,145,66065,85.29
MEGASOFT,EQ,2014-12-30,5.55,5.55,5.80,5.30,5.80,5.75,5.70,103177,5.88,312,88069,85.36
MEGASOFT,EQ,2014-12-31,5.75,5.90,5.95,5.55,5.80,5.80,5.78,48146,2.78,126,34465,71.58
MEGASOFT,EQ,2015-01-01,5.80,5.75,6.05,5.70,6.05,6.05,5.88,36743,2.16,56,30644,83.40
MEGASOFT,EQ,2015-01-02,6.05,6.35,6.35,6.25,6.35,6.35,6.34,19771,1.25,56,18421,93.17
MEGASOFT,EQ,2015-01-05,6.35,6.50,6.65,6.05,6.20,6.20,6.35,54117,3.43,279,36629,67.68
MEGASOFT,EQ,2015-01-06,6.20,5.90,6.25,5.90,5.90,5.90,5.91,24321,1.44,60,23960,98.52
MEGASOFT,EQ,2015-01-07,5.90,5.80,5.90,5.65,5.65,5.65,5.73,18432,1.06,78,13896,75.39
MEGASOFT,EQ,2015-01-08,5.65,5.90,5.90,5.45,5.70,5.75,5.76,20318,1.17,153,13948,68.65
MEGASOFT,EQ,2015-01-09,5.75,5.95,6.00,5.50,5.50,5.50,5.61,42042,2.36,137,31120,74.02
MEGASOFT,EQ,2015-01-12,5.50,5.60,5.75,5.25,5.75,5.70,5.65,8006,0.45,38,6903,86.22
MEGASOFT,EQ,2015-01-13,5.70,5.50,5.85,5.45,5.85,5.75,5.60,19058,1.07,100,9544,50.08
MEGASOFT,EQ,2015-01-14,5.75,5.95,5.95,5.50,5.55,5.55,5.60,18150,1.02,153,13855,76.34
MEGASOFT,EQ,2015-01-15,5.55,5.80,5.80,5.45,5.60,5.70,5.76,28976,1.67,158,25986,89.68
MEGASOFT,EQ,2015-01-16,5.70,5.85,5.95,5.60,5.70,5.75,5.88,34753,2.04,104,22369,64.37
MEGASOFT,EQ,2015-01-19,5.75,5.85,5.90,5.50,5.50,5.50,5.59,25908,1.45,55,23788,91.82
MEGASOFT,EQ,2015-01-20,5.50,5.50,5.65,5.35,5.50,5.55,5.47,14641,0.80,58,11545,78.85
MEGASOFT,EQ,2015-01-21,5.55,5.35,5.65,5.35,5.45,5.50,5.53,9533,0.53,41,7719,80.97
MEGASOFT,EQ,2015-01-22,5.50,5.70,5.75,5.30,5.35,5.35,5.48,29356,1.61,69,21922,74.68
MEGASOFT,EQ,2015-01-23,5.35,5.35,5.55,5.25,5.35,5.35,5.36,26019,1.40,31,25218,96.92
MEGASOFT,EQ,2015-01-27,5.35,5.30,5.60,5.30,5.55,5.55,5.52,19035,1.05,56,11535,60.60
MEGASOFT,EQ,2015-01-28,5.55,5.40,5.65,5.30,5.30,5.30,5.33,39149,2.09,71,29024,74.14
MEGASOFT,EQ,2015-01-29,5.30,5.20,5.35,5.05,5.15,5.10,5.10,31136,1.59,65,27459,88.19
MEGASOFT,EQ,2015-01-30,5.10,5.00,5.35,4.90,5.35,5.35,5.24,12781,0.67,45,11443,89.53
MEGASOFT,EQ,2015-02-02,5.35,5.40,5.60,5.15,5.45,5.55,5.55,24543,1.36,75,23514,95.81
MEGASOFT,EQ,2015-02-03,5.55,5.40,5.80,5.30,5.30,5.30,5.34,27347,1.46,68,23269,85.09
