Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
METKORE,EQ,2014-12-04,8.85,8.70,8.90,8.55,8.55,8.85,8.67,6254,0.54,34,6249,99.92
METKORE,EQ,2014-12-05,8.85,8.75,8.75,7.15,8.10,8.25,8.11,26458,2.15,159,15873,59.99
METKORE,EQ,2014-12-08,8.25,8.25,8.65,7.60,8.40,8.40,8.07,4639,0.37,62,2413,52.02
METKORE,EQ,2014-12-09,8.40,8.05,8.50,8.05,8.30,8.30,8.35,5008,0.42,19,3505,69.99
METKORE,EQ,2014-12-10,8.30,8.00,8.45,7.15,8.00,8.10,7.80,11915,0.93,74,5586,46.88
METKORE,EQ,2014-12-11,8.10,8.00,8.55,8.00,8.10,8.10,8.47,2108,0.18,12,2107,99.95
METKORE,EQ,2014-12-12,8.10,8.00,9.00,7.65,8.30,8.30,8.43,22657,1.91,103,18332,80.91
METKORE,EQ,2014-12-15,8.30,8.00,9.15,7.95,8.50,8.40,8.71,11749,1.02,82,9601,81.72
METKORE,EQ,2014-12-16,8.40,8.05,8.15,8.00,8.15,8.15,8.08,5185,0.42,14,4534,87.44
METKORE,EQ,2014-12-17,8.15,8.00,8.50,7.15,8.05,8.05,7.40,15787,1.17,42,10001,63.35
METKORE,EQ,2014-12-18,8.05,9.00,9.00,8.00,8.30,8.35,8.34,10722,0.89,48,6819,63.60
METKORE,EQ,2014-12-19,8.35,8.10,8.70,8.10,8.20,8.25,8.33,8702,0.73,20,7751,89.07
METKORE,EQ,2014-12-22,8.25,8.00,8.45,7.95,8.00,8.00,8.12,5473,0.44,35,5169,94.45
METKORE,EQ,2014-12-23,8.00,8.75,8.75,7.85,7.85,7.85,8.07,5847,0.47,54,4130,70.63
METKORE,EQ,2014-12-24,7.85,8.75,8.75,7.95,8.50,8.45,8.39,3721,0.31,26,3362,90.35
METKORE,EQ,2014-12-26,8.45,8.20,8.75,7.75,8.70,8.35,8.42,5333,0.45,30,5317,99.70
METKORE,EQ,2014-12-29,8.35,8.20,8.85,8.00,8.70,8.70,8.41,6067,0.51,38,4833,79.66
METKORE,EQ,2014-12-30,8.70,8.50,8.95,8.00,8.95,8.35,8.22,12050,0.99,125,8882,73.71
METKORE,EQ,2014-12-31,8.35,8.85,8.85,8.15,8.50,8.45,8.38,2106,0.18,25,1768,83.95
METKORE,EQ,2015-01-01,8.45,8.05,8.80,8.05,8.40,8.25,8.34,2505,0.21,37,2073,82.75
METKORE,EQ,2015-01-02,8.25,8.00,8.65,8.00,8.40,8.25,8.18,8066,0.66,50,4986,61.82
METKORE,EQ,2015-01-05,8.25,8.00,8.80,8.00,8.50,8.50,8.30,3216,0.27,58,2825,87.84
METKORE,EQ,2015-01-06,8.50,8.00,8.95,8.00,8.80,8.75,8.45,3079,0.26,23,3069,99.68
