Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MAX,EQ,2014-12-04,398.35,406.00,406.90,395.70,400.00,399.90,400.07,318768,1275.28,21210,190960,59.91
MAX,EQ,2014-12-05,399.90,402.70,402.70,394.00,395.00,395.85,396.59,130536,517.69,6093,91499,70.09
MAX,EQ,2014-12-08,395.85,402.00,403.00,379.00,382.80,384.80,395.05,451425,1783.37,12749,279342,61.88
MAX,EQ,2014-12-09,384.80,397.80,402.00,384.15,391.80,388.30,395.66,519446,2055.23,13252,161648,31.12
MAX,EQ,2014-12-10,388.30,392.00,424.00,391.10,405.90,407.00,411.65,2659351,10947.34,50391,723796,27.22
MAX,EQ,2014-12-11,407.00,408.15,413.25,396.20,399.50,399.45,404.73,802947,3249.79,16515,173146,21.56
MAX,EQ,2014-12-12,399.45,401.00,404.45,382.10,383.90,385.50,394.32,459113,1810.37,14549,168267,36.65
MAX,EQ,2014-12-15,385.50,385.50,396.95,377.00,394.00,392.20,390.43,399603,1560.16,11244,122134,30.56
MAX,EQ,2014-12-16,392.20,389.45,391.25,362.10,370.00,368.35,376.88,418205,1576.14,7574,204724,48.95
MAX,EQ,2014-12-17,368.35,365.00,375.95,357.85,361.40,361.70,367.76,296468,1090.30,8950,129911,43.82
MAX,EQ,2014-12-18,361.70,368.55,384.00,363.10,368.55,367.70,370.75,267993,993.57,6933,115468,43.09
MAX,EQ,2014-12-19,367.70,373.00,377.80,368.00,371.00,370.05,371.84,320301,1190.99,6984,132186,41.27
MAX,EQ,2014-12-22,370.05,371.20,388.00,371.20,380.45,378.65,380.59,535071,2036.43,13309,184020,34.39
MAX,EQ,2014-12-23,378.65,379.00,388.00,369.50,383.45,380.45,378.75,463489,1755.49,9714,167049,36.04
MAX,EQ,2014-12-24,380.45,379.05,400.00,375.25,387.55,387.45,391.52,1502283,5881.70,29293,433575,28.86
MAX,EQ,2014-12-26,387.45,388.00,390.85,378.10,380.60,382.30,383.73,475607,1825.07,10549,107697,22.64
MAX,EQ,2014-12-29,382.30,380.10,388.80,380.10,385.35,385.15,385.37,223128,859.86,6135,120895,54.18
MAX,EQ,2014-12-30,385.15,388.90,391.00,383.10,387.80,387.55,386.51,206838,799.45,4598,106385,51.43
MAX,EQ,2014-12-31,387.55,387.00,398.65,385.00,396.00,396.00,393.51,353419,1390.75,11388,228608,64.68
MAX,EQ,2015-01-01,396.00,397.50,397.90,389.20,390.30,390.85,392.88,75762,297.65,2302,32136,42.42
MAX,EQ,2015-01-02,390.85,392.40,395.30,386.05,386.55,387.50,391.02,119076,465.61,3143,59324,49.82
MAX,EQ,2015-01-05,387.50,385.20,415.60,385.20,391.50,393.15,403.11,1717309,6922.60,31012,400752,23.34
MAX,EQ,2015-01-06,393.15,391.00,395.80,383.00,383.05,384.95,388.05,473381,1836.95,10106,187484,39.61
MAX,EQ,2015-01-07,384.95,387.80,393.40,381.20,385.00,386.00,387.27,181727,703.77,4890,50174,27.61
MAX,EQ,2015-01-08,386.00,388.90,394.80,388.90,389.30,390.30,390.75,258021,1008.21,6409,161681,62.66
MAX,EQ,2015-01-09,390.30,392.95,395.00,388.40,391.50,392.00,391.34,263367,1030.66,5871,172000,65.31
MAX,EQ,2015-01-12,392.00,390.15,406.00,384.15,395.95,396.75,396.84,551774,2189.67,12861,211042,38.25
MAX,EQ,2015-01-13,396.75,396.00,408.00,396.00,405.80,405.10,403.00,293186,1181.55,7132,155654,53.09
MAX,EQ,2015-01-14,405.10,420.20,423.95,405.60,408.00,407.80,411.55,726041,2988.03,14944,346365,47.71
MAX,EQ,2015-01-15,407.80,411.90,411.90,399.00,401.10,400.15,402.05,190030,764.03,5872,113850,59.91
MAX,EQ,2015-01-16,400.15,401.10,409.00,400.90,406.50,406.10,406.07,125772,510.73,2932,58499,46.51
MAX,EQ,2015-01-19,406.10,406.10,411.80,401.00,403.90,404.30,406.25,407987,1657.45,10629,165481,40.56
MAX,EQ,2015-01-20,404.30,405.90,425.40,405.05,417.60,418.05,419.14,890214,3731.24,22715,474724,53.33
MAX,EQ,2015-01-21,418.05,420.00,428.95,415.95,425.50,427.30,424.00,984509,4174.36,24232,549200,55.78
MAX,EQ,2015-01-22,427.30,428.95,428.95,420.00,420.15,421.45,422.79,359354,1519.33,8830,254477,70.82
MAX,EQ,2015-01-23,421.45,424.95,469.90,423.05,459.00,454.05,444.99,3098152,13786.43,41381,1159826,37.44
MAX,EQ,2015-01-27,454.05,463.40,505.90,463.00,495.00,492.25,491.59,6453544,31724.71,97872,2519513,39.04
MAX,EQ,2015-01-28,492.25,496.20,521.85,492.60,500.00,498.25,503.88,2666279,13434.80,50022,1394546,52.30
MAX,EQ,2015-01-29,498.25,499.00,501.35,479.60,484.25,485.60,486.14,672099,3267.32,26518,381823,56.81
MAX,EQ,2015-01-30,485.60,485.90,488.00,468.10,473.00,474.55,474.84,717638,3407.64,16996,502556,70.03
