Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MIC,EQ,2014-12-04,5.50,5.75,5.75,5.75,5.75,5.75,5.75,56955,3.27,65,56955,100.00
MIC,EQ,2014-12-05,5.75,6.30,6.30,6.30,6.30,6.30,6.30,341310,21.50,123,283310,83.01
MIC,EQ,2014-12-08,6.30,6.90,6.90,6.90,6.90,6.90,6.90,154641,10.67,97,154638,100.00
MIC,EQ,2014-12-09,6.90,7.55,7.55,7.55,7.55,7.55,7.55,223335,16.86,147,223332,100.00
MIC,EQ,2014-12-10,7.55,7.90,7.90,7.65,7.90,7.90,7.89,2873057,226.80,1821,1216857,42.35
MIC,EQ,2014-12-11,7.90,8.25,8.25,8.25,8.25,8.25,8.25,246350,20.32,262,159584,64.78
MIC,EQ,2014-12-12,8.25,8.65,8.65,8.65,8.65,8.65,8.65,152778,13.22,88,152778,100.00
MIC,EQ,2014-12-15,8.65,9.05,9.05,8.25,8.25,8.25,8.74,2857737,249.75,6081,1138242,39.83
MIC,EQ,2014-12-16,8.25,7.95,8.20,7.85,7.85,7.85,7.89,259157,20.45,324,191512,73.90
MIC,EQ,2014-12-17,7.85,7.50,7.50,7.50,7.50,7.50,7.50,156073,11.71,176,137051,87.81
MIC,EQ,2014-12-18,7.50,7.50,7.85,7.20,7.85,7.85,7.65,1440854,110.24,2038,529198,36.73
MIC,EQ,2014-12-19,7.85,7.90,8.20,7.55,7.60,7.80,7.95,704693,56.03,1034,363939,51.65
MIC,EQ,2014-12-22,7.80,7.45,7.70,7.45,7.45,7.45,7.48,307560,23.02,427,175102,56.93
MIC,EQ,2014-12-23,7.45,7.35,7.50,7.10,7.15,7.15,7.21,457580,32.97,593,205815,44.98
MIC,EQ,2014-12-24,7.15,7.20,7.50,7.00,7.50,7.50,7.42,198741,14.75,275,130603,65.72
MIC,EQ,2014-12-26,7.50,7.65,7.85,7.30,7.85,7.85,7.81,244553,19.09,339,135281,55.32
MIC,EQ,2014-12-29,7.85,7.85,8.20,7.80,8.20,8.20,8.16,537449,43.87,827,332518,61.87
MIC,EQ,2014-12-30,8.20,8.30,8.60,8.20,8.60,8.60,8.57,310609,26.62,494,230332,74.15
