Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MINDACORP,BE,2014-12-04,742.50,743.00,743.00,730.00,730.00,730.00,740.12,45,0.33,6,-,-
MINDACORP,BE,2014-12-05,730.00,740.00,740.00,693.50,740.00,739.85,709.45,3101,22.00,73,-,-
MINDACORP,BE,2014-12-08,739.85,760.00,776.75,760.00,769.00,769.00,770.15,1170,9.01,33,-,-
MINDACORP,BE,2014-12-09,769.00,801.00,801.00,733.00,789.80,741.45,772.78,603,4.66,26,-,-
MINDACORP,BE,2014-12-10,741.45,776.95,778.50,776.95,778.50,778.50,777.88,932,7.25,25,-,-
MINDACORP,BE,2014-12-11,778.50,815.00,815.00,765.00,790.00,788.50,786.17,350,2.75,20,-,-
MINDACORP,BE,2014-12-12,788.50,818.50,818.50,770.00,770.00,773.05,787.59,505,3.98,37,-,-
MINDACORP,BE,2014-12-15,773.05,760.00,799.00,753.00,799.00,799.00,766.19,175,1.34,8,-,-
MINDACORP,BE,2014-12-16,799.00,765.00,810.00,760.00,760.00,760.00,792.46,466,3.69,23,-,-
MINDACORP,BE,2014-12-17,760.00,722.05,735.00,722.00,722.05,722.05,724.11,272,1.97,24,-,-
MINDACORP,BE,2014-12-18,722.05,757.75,757.95,720.00,725.00,731.65,732.84,632,4.63,20,-,-
MINDACORP,BE,2014-12-19,731.65,730.00,737.80,721.00,725.00,723.90,727.48,215,1.56,16,-,-
MINDACORP,BE,2014-12-22,723.90,718.80,755.00,718.80,755.00,755.00,751.71,110,0.83,2,-,-
MINDACORP,BE,2014-12-23,755.00,730.00,775.00,720.00,750.00,750.00,737.70,395,2.91,26,-,-
MINDACORP,BE,2014-12-24,750.00,775.00,775.00,720.00,731.00,731.10,742.86,484,3.60,40,-,-
MINDACORP,BE,2014-12-26,731.10,746.80,752.80,720.00,750.00,749.80,743.28,522,3.88,32,-,-
MINDACORP,BE,2014-12-29,749.80,763.00,773.60,759.00,769.00,769.65,762.75,203,1.55,49,-,-
MINDACORP,BE,2014-12-30,769.65,769.00,800.00,769.00,794.00,790.10,785.83,351,2.76,44,-,-
MINDACORP,BE,2014-12-31,790.10,825.00,829.40,792.00,829.40,826.60,816.17,991,8.09,115,-,-
MINDACORP,BE,2015-01-01,826.60,865.40,867.90,840.05,867.90,867.90,865.44,610,5.28,52,-,-
