Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MOHITIND,EQ,2014-12-04,48.20,50.00,50.45,48.00,48.20,48.50,48.56,39967,19.41,168,14679,36.73
MOHITIND,EQ,2014-12-05,48.50,48.40,49.20,47.50,48.20,48.25,48.42,47550,23.02,186,21303,44.80
MOHITIND,EQ,2014-12-08,48.25,52.00,52.00,48.10,49.20,49.05,49.37,39479,19.49,222,7475,18.93
MOHITIND,EQ,2014-12-09,49.05,48.50,50.45,45.00,45.95,45.55,47.58,36901,17.56,286,7382,20.00
MOHITIND,EQ,2014-12-10,45.55,47.45,47.45,46.15,47.00,47.00,46.90,22440,10.52,137,2400,10.70
MOHITIND,EQ,2014-12-11,47.00,46.30,46.40,44.00,45.00,44.20,45.62,27009,12.32,158,6279,23.25
MOHITIND,EQ,2014-12-12,44.20,44.30,47.40,42.00,42.00,42.20,44.27,32829,14.53,177,12412,37.81
MOHITIND,EQ,2014-12-15,42.20,42.50,42.85,41.00,41.80,41.80,41.79,40293,16.84,102,20212,50.16
MOHITIND,EQ,2014-12-16,41.80,42.10,42.50,37.15,37.15,38.15,39.99,24941,9.97,137,441,1.77
MOHITIND,EQ,2014-12-17,38.15,38.80,41.50,37.50,40.00,40.00,38.61,20856,8.05,56,250,1.20
MOHITIND,EQ,2014-12-18,40.00,39.85,44.80,39.40,44.00,44.05,41.81,24215,10.12,61,2963,12.24
MOHITIND,EQ,2014-12-19,44.05,51.90,51.90,45.90,45.90,46.90,46.44,22202,10.31,56,1273,5.73
MOHITIND,EQ,2014-12-22,46.90,47.10,47.35,43.50,45.50,45.35,46.32,22870,10.59,82,1500,6.56
MOHITIND,EQ,2014-12-23,45.35,47.50,47.50,42.50,42.50,43.15,45.11,23353,10.53,176,1517,6.50
MOHITIND,EQ,2014-12-24,43.15,43.00,45.25,43.00,43.30,43.65,44.72,21020,9.40,54,448,2.13
MOHITIND,EQ,2014-12-26,43.65,44.00,46.00,43.80,45.85,45.85,45.23,30600,13.84,84,3475,11.36
MOHITIND,EQ,2014-12-29,45.85,46.00,49.00,45.55,48.40,46.60,47.26,25550,12.08,74,4441,17.38
MOHITIND,EQ,2014-12-30,46.60,51.60,51.60,46.60,48.50,48.60,48.25,22727,10.97,159,1919,8.44
MOHITIND,EQ,2014-12-31,48.60,49.35,50.70,48.00,49.40,49.85,49.24,45352,22.33,181,13320,29.37
MOHITIND,EQ,2015-01-01,49.85,49.40,49.70,47.00,48.50,48.50,48.99,22129,10.84,190,2054,9.28
MOHITIND,EQ,2015-01-02,48.50,48.60,49.50,47.00,47.55,47.55,48.85,13921,6.80,73,3300,23.71
MOHITIND,EQ,2015-01-05,47.55,48.00,49.70,47.30,48.00,48.00,47.85,25123,12.02,149,4485,17.85
MOHITIND,EQ,2015-01-06,48.00,48.00,49.00,45.50,46.00,45.90,47.02,22456,10.56,116,1860,8.28
MOHITIND,EQ,2015-01-07,45.90,45.50,47.85,43.00,46.50,46.45,46.07,21908,10.09,138,1203,5.49
MOHITIND,EQ,2015-01-08,46.45,48.40,50.80,48.15,50.00,49.85,49.01,25453,12.48,142,5040,19.80
MOHITIND,EQ,2015-01-09,49.85,49.10,51.30,48.00,50.00,50.35,49.89,22991,11.47,132,1888,8.21
MOHITIND,EQ,2015-01-12,50.35,50.10,51.00,49.00,50.85,50.65,49.59,23999,11.90,109,3036,12.65
MOHITIND,EQ,2015-01-13,50.65,50.50,50.55,49.05,50.40,50.15,49.80,22025,10.97,143,643,2.92
MOHITIND,EQ,2015-01-14,50.15,50.50,51.00,49.55,51.00,50.80,50.16,23151,11.61,117,2455,10.60
MOHITIND,EQ,2015-01-15,50.80,58.90,58.90,50.50,51.00,51.45,51.24,25646,13.14,144,3759,14.66
MOHITIND,EQ,2015-01-16,51.45,55.95,55.95,48.10,52.00,52.10,51.92,27213,14.13,92,6866,25.23
MOHITIND,EQ,2015-01-19,52.10,51.00,54.00,49.40,51.80,51.85,52.87,33883,17.91,177,10549,31.13
MOHITIND,EQ,2015-01-20,51.85,52.00,53.00,49.90,50.00,50.35,52.27,25902,13.54,215,7304,28.20
MOHITIND,EQ,2015-01-21,50.35,50.80,52.70,49.00,50.20,50.60,50.89,37082,18.87,185,14055,37.90
MOHITIND,EQ,2015-01-22,50.60,50.10,52.00,50.10,50.75,50.90,50.73,21192,10.75,85,898,4.24
MOHITIND,EQ,2015-01-23,50.90,50.40,51.05,49.35,50.85,50.85,50.44,24722,12.47,111,3901,15.78
MOHITIND,EQ,2015-01-27,50.85,50.95,50.95,48.50,48.50,49.45,50.08,29593,14.82,194,8324,28.13
MOHITIND,EQ,2015-01-28,49.45,50.95,50.95,45.10,45.55,46.95,47.37,26913,12.75,191,4627,17.19
MOHITIND,EQ,2015-01-29,46.95,46.45,49.70,45.10,48.90,48.90,47.61,26520,12.63,231,3123,11.78
MOHITIND,EQ,2015-01-30,48.90,49.50,49.50,48.75,48.85,48.85,48.94,20360,9.96,81,326,1.60
MOHITIND,EQ,2015-02-02,48.85,49.40,50.55,48.95,50.40,50.40,49.48,28496,14.10,140,8345,29.28
MOHITIND,EQ,2015-02-03,50.40,50.50,50.50,46.00,48.95,47.80,49.42,32346,15.99,279,10152,31.39
MOHITIND,EQ,2015-02-04,47.80,47.70,48.90,44.00,48.90,47.85,47.14,23150,10.91,303,2276,9.83
MOHITIND,EQ,2015-02-05,47.85,46.50,47.50,45.00,46.75,46.55,46.55,21318,9.92,189,710,3.33
MOHITIND,EQ,2015-02-06,46.55,46.00,46.70,43.10,45.50,44.90,45.11,25319,11.42,97,2480,9.80
MOHITIND,EQ,2015-02-09,44.90,45.50,47.85,42.25,42.55,42.65,44.37,20582,9.13,179,1175,5.71
MOHITIND,EQ,2015-02-10,42.65,42.95,43.60,40.00,42.95,41.50,42.91,20876,8.96,90,103,0.49
MOHITIND,EQ,2015-02-11,41.50,42.00,43.95,38.65,42.80,41.75,42.09,23480,9.88,165,2054,8.75
MOHITIND,EQ,2015-02-12,41.75,48.40,48.40,41.00,42.45,42.85,42.97,21913,9.42,205,11,0.05
MOHITIND,EQ,2015-02-13,42.85,42.70,49.60,42.05,46.00,45.90,44.31,29193,12.94,238,5513,18.88
MOHITIND,EQ,2015-02-16,45.90,46.00,47.00,45.15,47.00,47.00,46.02,21822,10.04,71,1722,7.89
MOHITIND,EQ,2015-02-18,47.00,46.20,48.05,44.00,46.00,45.70,45.91,23232,10.67,279,608,2.62
MOHITIND,EQ,2015-02-19,45.70,46.00,46.55,44.25,45.20,44.30,45.81,20745,9.50,63,234,1.13
MOHITIND,EQ,2015-02-20,44.30,44.00,46.85,41.90,46.00,46.00,44.28,20662,9.15,92,285,1.38
MOHITIND,EQ,2015-02-23,46.00,46.10,46.90,43.00,46.90,45.60,44.95,22771,10.24,142,913,4.01
MOHITIND,EQ,2015-02-24,45.60,45.00,46.40,43.20,46.40,45.40,44.63,21672,9.67,103,781,3.60
MOHITIND,EQ,2015-02-25,45.40,46.00,46.30,43.60,45.00,45.00,45.51,21122,9.61,40,1070,5.07
MOHITIND,EQ,2015-02-26,45.00,44.20,46.25,42.20,42.55,42.95,44.28,21614,9.57,75,1142,5.28
MOHITIND,EQ,2015-02-27,42.95,43.00,44.85,42.75,42.85,42.85,43.77,20410,8.93,51,270,1.32
MOHITIND,EQ,2015-02-28,42.85,46.00,48.95,40.10,44.50,44.50,44.42,22858,10.15,108,1979,8.66
MOHITIND,EQ,2015-03-02,44.50,44.60,47.95,44.20,47.00,47.65,45.98,16541,7.61,53,4123,24.93
MOHITIND,EQ,2015-03-03,47.65,47.00,49.70,44.00,44.70,44.45,44.48,41637,18.52,130,26656,64.02
