Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MONNETISPA,EQ,2014-12-04,71.90,72.05,73.40,71.60,71.75,71.90,72.14,117462,84.74,829,79679,67.83
MONNETISPA,EQ,2014-12-05,71.90,71.70,73.75,71.65,72.65,72.45,72.85,148618,108.26,1371,63474,42.71
MONNETISPA,EQ,2014-12-08,72.45,71.85,73.45,71.35,72.05,71.80,72.31,74616,53.95,856,43742,58.62
MONNETISPA,EQ,2014-12-09,71.80,71.50,72.05,68.60,68.80,69.15,70.06,98562,69.06,966,62332,63.24
MONNETISPA,EQ,2014-12-10,69.15,68.35,75.40,68.00,72.30,72.20,72.43,419821,304.09,4114,128565,30.62
MONNETISPA,EQ,2014-12-11,72.20,71.50,72.10,69.30,69.60,69.55,70.11,130652,91.60,1154,87394,66.89
MONNETISPA,EQ,2014-12-12,69.55,69.45,70.15,67.55,67.55,68.00,68.60,127548,87.50,800,70972,55.64
MONNETISPA,EQ,2014-12-15,68.00,67.30,67.90,66.00,66.65,66.45,66.87,62457,41.76,787,28338,45.37
MONNETISPA,EQ,2014-12-16,66.45,65.00,66.05,60.80,62.35,62.25,62.85,198259,124.60,1748,136720,68.96
MONNETISPA,EQ,2014-12-17,62.25,61.55,63.85,59.00,61.50,62.15,61.80,122260,75.55,1669,57605,47.12
MONNETISPA,EQ,2014-12-18,62.15,62.70,64.50,62.50,62.60,62.75,63.13,139166,87.86,1170,90221,64.83
MONNETISPA,EQ,2014-12-19,62.75,63.00,65.20,62.70,63.00,63.10,63.92,124994,79.90,1061,60670,48.54
MONNETISPA,EQ,2014-12-22,63.10,63.20,65.00,63.10,64.25,64.40,64.22,109671,70.44,1123,48006,43.77
MONNETISPA,EQ,2014-12-23,64.40,64.25,65.90,63.05,63.05,63.40,64.65,95964,62.04,1206,32238,33.59
MONNETISPA,EQ,2014-12-24,63.40,63.15,64.90,62.65,63.45,63.45,63.76,134441,85.71,941,83360,62.00
MONNETISPA,EQ,2014-12-26,63.45,63.25,64.85,63.00,63.50,63.75,63.73,69397,44.23,864,27317,39.36
MONNETISPA,EQ,2014-12-29,63.75,65.00,69.00,63.15,65.80,65.85,66.95,419797,281.06,4176,106520,25.37
MONNETISPA,EQ,2014-12-30,65.85,65.90,68.10,65.10,66.00,65.90,66.66,123471,82.31,1640,43408,35.16
MONNETISPA,EQ,2014-12-31,65.90,66.00,69.40,65.85,67.00,67.35,67.77,246124,166.79,2856,52458,21.31
MONNETISPA,EQ,2015-01-01,67.35,67.65,72.25,66.75,70.25,70.30,69.82,374437,261.45,3884,105357,28.14
MONNETISPA,EQ,2015-01-02,70.30,71.00,72.95,70.10,70.45,70.45,71.70,179989,129.06,2281,78626,43.68
MONNETISPA,EQ,2015-01-05,70.45,71.35,72.80,70.40,70.85,70.90,71.62,114452,81.97,1501,48312,42.21
MONNETISPA,EQ,2015-01-06,70.90,70.00,70.10,66.55,66.55,67.00,67.94,124189,84.38,1126,70982,57.16
MONNETISPA,EQ,2015-01-07,67.00,66.55,67.95,66.25,66.55,66.90,67.20,83579,56.17,843,43448,51.98
MONNETISPA,EQ,2015-01-08,66.90,67.50,69.70,67.05,67.05,67.20,67.77,104373,70.73,1058,55543,53.22
MONNETISPA,EQ,2015-01-09,67.20,67.75,68.00,65.30,65.75,65.75,66.37,130338,86.51,942,100354,77.00
