Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MOREPENLAB,EQ,2014-12-04,9.75,10.00,10.20,9.90,10.20,10.20,10.16,761802,77.37,1060,370878,48.68
MOREPENLAB,EQ,2014-12-05,10.20,10.65,10.65,9.70,9.70,9.75,10.07,720173,72.54,1403,501086,69.58
MOREPENLAB,EQ,2014-12-08,9.75,9.90,9.95,9.60,9.85,9.80,9.79,347166,33.99,542,271601,78.23
MOREPENLAB,EQ,2014-12-09,9.80,9.95,9.95,9.35,9.60,9.45,9.66,429282,41.47,599,235696,54.90
MOREPENLAB,EQ,2014-12-10,9.45,9.45,9.50,9.10,9.20,9.20,9.24,456972,42.24,849,242994,53.17
MOREPENLAB,EQ,2014-12-11,9.20,9.10,9.15,8.75,8.85,8.90,8.93,457598,40.87,765,319473,69.82
MOREPENLAB,EQ,2014-12-12,8.90,9.00,9.25,8.55,8.60,8.60,8.78,515144,45.20,977,314971,61.14
MOREPENLAB,EQ,2014-12-15,8.60,8.50,8.75,8.20,8.20,8.20,8.35,935087,78.04,1189,454348,48.59
MOREPENLAB,EQ,2014-12-16,8.20,8.20,8.40,7.80,8.00,7.95,7.91,1141796,90.30,1473,605675,53.05
MOREPENLAB,EQ,2014-12-17,7.95,7.90,7.90,7.60,7.65,7.60,7.71,699376,53.93,911,344112,49.20
MOREPENLAB,EQ,2014-12-18,7.60,7.70,7.95,7.70,7.95,7.95,7.93,161629,12.81,206,118459,73.29
MOREPENLAB,EQ,2014-12-19,7.95,8.10,8.30,8.10,8.30,8.30,8.28,58293,4.83,81,52269,89.67
MOREPENLAB,EQ,2014-12-22,8.30,8.50,8.70,8.00,8.70,8.65,8.42,572535,48.20,985,299571,52.32
MOREPENLAB,EQ,2014-12-23,8.65,8.60,9.05,8.60,8.90,8.95,8.91,511864,45.60,905,327268,63.94
MOREPENLAB,EQ,2014-12-24,8.95,9.20,9.25,8.85,9.05,8.95,9.07,352038,31.94,657,233217,66.25
MOREPENLAB,EQ,2014-12-26,8.95,9.00,9.30,8.75,8.80,8.95,9.08,459206,41.69,983,261973,57.05
MOREPENLAB,EQ,2014-12-29,8.95,8.95,9.10,8.70,8.75,8.75,8.81,210332,18.54,561,146205,69.51
MOREPENLAB,EQ,2014-12-30,8.75,8.70,9.15,8.65,9.15,9.15,8.91,245315,21.85,621,167261,68.18
MOREPENLAB,EQ,2014-12-31,9.15,9.10,9.35,8.90,8.90,9.05,9.20,451228,41.51,739,287807,63.78
MOREPENLAB,EQ,2015-01-01,9.05,9.25,9.50,8.85,9.50,9.50,9.37,341535,31.99,478,284159,83.20
MOREPENLAB,EQ,2015-01-02,9.50,9.80,10.45,9.65,10.45,10.45,10.12,905726,91.68,1786,597036,65.92
MOREPENLAB,EQ,2015-01-05,10.45,10.90,11.45,10.55,10.80,10.95,11.20,2843961,318.61,5734,983344,34.58
MOREPENLAB,EQ,2015-01-06,10.95,10.75,11.00,10.00,10.70,10.60,10.61,809524,85.90,1686,423339,52.29
MOREPENLAB,EQ,2015-01-07,10.60,10.85,11.05,10.35,10.75,10.70,10.65,486106,51.78,1122,272308,56.02
MOREPENLAB,EQ,2015-01-08,10.70,10.75,11.25,10.60,10.90,10.90,10.96,584333,64.02,1463,320237,54.80
MOREPENLAB,EQ,2015-01-09,10.90,11.10,11.10,10.50,10.65,10.60,10.71,486474,52.09,1076,282308,58.03
MOREPENLAB,EQ,2015-01-12,10.60,10.40,11.00,10.30,10.65,10.60,10.61,317886,33.74,891,184111,57.92
MOREPENLAB,EQ,2015-01-13,10.60,10.85,11.00,10.50,10.60,10.60,10.70,380926,40.78,786,195936,51.44
MOREPENLAB,EQ,2015-01-14,10.60,10.35,10.70,9.90,10.30,10.20,10.20,580416,59.18,1695,264785,45.62
MOREPENLAB,EQ,2015-01-15,10.20,10.70,10.70,10.15,10.35,10.50,10.35,458018,47.38,1035,237225,51.79
MOREPENLAB,EQ,2015-01-16,10.50,10.70,10.70,10.00,10.05,10.05,10.20,392273,39.99,880,218546,55.71
MOREPENLAB,EQ,2015-01-19,10.05,10.10,10.45,9.80,9.90,9.95,10.08,563937,56.86,1162,384079,68.11
MOREPENLAB,EQ,2015-01-20,9.95,10.15,10.90,9.80,10.90,10.90,10.70,493418,52.80,576,417585,84.63
MOREPENLAB,EQ,2015-01-21,10.90,11.20,11.40,10.15,10.25,10.30,10.62,984330,104.52,2633,517999,52.62
MOREPENLAB,EQ,2015-01-22,10.30,10.05,10.75,10.05,10.20,10.25,10.36,394690,40.89,1064,189458,48.00
MOREPENLAB,EQ,2015-01-23,10.25,10.30,10.50,9.70,9.90,9.80,9.96,592998,59.09,1807,418469,70.57
