Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MOSERBAER,EQ,2014-12-04,8.65,8.50,9.20,8.50,8.95,8.95,8.99,903798,81.24,1953,429717,47.55
MOSERBAER,EQ,2014-12-05,8.95,8.95,9.15,8.65,8.75,8.75,8.86,482035,42.69,821,276274,57.31
MOSERBAER,EQ,2014-12-08,8.75,8.60,9.20,8.60,9.00,9.05,8.89,855036,76.04,1032,554320,64.83
MOSERBAER,EQ,2014-12-09,9.05,9.00,9.05,8.65,8.65,8.70,8.83,492606,43.51,758,325425,66.06
MOSERBAER,EQ,2014-12-10,8.70,8.60,8.85,8.60,8.60,8.65,8.73,352881,30.81,584,199009,56.40
MOSERBAER,EQ,2014-12-11,8.65,8.65,8.85,8.35,8.55,8.50,8.56,756621,64.78,868,441058,58.29
MOSERBAER,EQ,2014-12-12,8.50,8.90,8.90,8.35,8.45,8.45,8.69,811598,70.56,1052,331297,40.82
MOSERBAER,EQ,2014-12-15,8.45,8.50,8.65,8.10,8.25,8.25,8.35,389065,32.50,592,190364,48.93
MOSERBAER,EQ,2014-12-16,8.25,8.15,8.30,7.60,7.70,7.70,7.82,800087,62.57,1156,484986,60.62
MOSERBAER,EQ,2014-12-17,7.70,7.95,8.10,7.00,8.00,7.90,7.58,744089,56.40,1325,339459,45.62
MOSERBAER,EQ,2014-12-18,7.90,7.90,8.25,7.70,8.15,8.10,8.08,383533,31.00,684,260858,68.01
MOSERBAER,EQ,2014-12-19,8.10,8.30,8.35,8.00,8.05,8.10,8.20,431343,35.38,894,201582,46.73
MOSERBAER,EQ,2014-12-22,8.10,8.30,8.30,7.80,8.00,8.05,8.08,303980,24.58,542,188677,62.07
MOSERBAER,EQ,2014-12-23,8.05,8.10,8.20,7.90,8.10,8.00,8.02,183501,14.71,462,113969,62.11
MOSERBAER,EQ,2014-12-24,8.00,8.10,8.15,7.95,8.00,8.00,8.03,184310,14.80,349,130940,71.04
MOSERBAER,EQ,2014-12-26,8.00,8.15,8.20,7.75,7.80,7.80,7.93,772403,61.22,938,309805,40.11
MOSERBAER,EQ,2014-12-29,7.80,8.00,8.05,7.35,7.50,7.55,7.70,824917,63.48,1069,584269,70.83
MOSERBAER,EQ,2014-12-30,7.55,7.60,7.80,7.50,7.65,7.70,7.69,370858,28.52,545,200327,54.02
MOSERBAER,EQ,2014-12-31,7.70,7.75,7.85,7.55,7.75,7.75,7.78,520230,40.46,700,318854,61.29
MOSERBAER,EQ,2015-01-01,7.75,7.80,9.30,7.70,8.85,8.90,8.84,2409208,212.99,3193,1141461,47.38
MOSERBAER,EQ,2015-01-02,8.90,9.00,10.45,8.60,10.05,10.15,9.62,5270806,507.06,7545,1930433,36.63
MOSERBAER,EQ,2015-01-05,10.15,10.40,10.50,9.80,9.95,10.00,10.16,2529454,256.99,4687,1386391,54.81
MOSERBAER,EQ,2015-01-06,10.00,9.80,9.85,9.20,9.25,9.30,9.48,1822406,172.80,2998,944325,51.82
MOSERBAER,EQ,2015-01-07,9.30,9.15,10.25,9.05,10.05,10.00,9.91,3028848,300.14,6037,1067996,35.26
MOSERBAER,EQ,2015-01-08,10.00,10.00,10.75,10.00,10.30,10.25,10.38,2618828,271.95,5270,1270757,48.52
MOSERBAER,EQ,2015-01-09,10.25,10.50,10.65,9.75,9.90,9.85,10.17,1347986,137.08,3513,720414,53.44
MOSERBAER,EQ,2015-01-12,9.85,9.65,10.25,9.65,10.00,10.00,10.04,1018018,102.19,1773,515510,50.64
