Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MOTHERSUMI,EQ,2014-12-04,432.55,435.00,436.25,424.25,425.15,425.90,426.84,1921340,8201.08,47443,1355757,70.56
MOTHERSUMI,EQ,2014-12-05,425.90,425.90,429.40,420.55,423.00,423.15,423.85,1315512,5575.79,34308,866208,65.85
MOTHERSUMI,EQ,2014-12-08,423.15,421.35,427.20,417.85,424.00,424.40,422.19,750202,3167.28,15404,356453,47.51
MOTHERSUMI,EQ,2014-12-09,424.40,420.20,429.00,411.15,417.55,416.35,421.19,861926,3630.32,17072,320114,37.14
MOTHERSUMI,EQ,2014-12-10,416.35,414.05,425.00,401.00,422.15,423.30,415.59,1796453,7465.94,45967,746726,41.57
MOTHERSUMI,EQ,2014-12-11,423.30,420.00,423.60,410.00,414.50,414.10,414.11,1178330,4879.61,22574,528355,44.84
MOTHERSUMI,EQ,2014-12-12,414.10,415.05,421.80,410.55,416.60,414.65,416.70,687394,2864.38,18501,256354,37.29
MOTHERSUMI,EQ,2014-12-15,414.65,410.50,415.95,402.75,403.25,403.90,406.82,924519,3761.12,19830,445690,48.21
MOTHERSUMI,EQ,2014-12-16,403.90,416.20,419.90,407.10,412.00,412.65,412.55,2233714,9215.09,35720,836969,37.47
MOTHERSUMI,EQ,2014-12-17,412.65,411.00,413.70,394.00,407.40,408.10,406.66,1828343,7435.20,55527,849206,46.45
MOTHERSUMI,EQ,2014-12-18,408.10,416.50,439.00,412.00,437.95,433.95,426.20,2195628,9357.72,52237,988410,45.02
MOTHERSUMI,EQ,2014-12-19,433.95,440.40,455.00,428.80,429.95,432.90,444.19,2952684,13115.42,56151,992034,33.60
MOTHERSUMI,EQ,2014-12-22,432.90,434.65,443.80,430.10,438.50,439.75,438.23,1144869,5017.18,40083,585789,51.17
MOTHERSUMI,EQ,2014-12-23,439.75,443.15,443.60,428.80,430.30,430.90,434.42,774482,3364.48,15524,304797,39.35
MOTHERSUMI,EQ,2014-12-24,430.90,430.30,437.65,425.00,427.50,428.60,429.15,3991283,17128.69,11964,3581206,89.73
MOTHERSUMI,EQ,2014-12-26,428.60,429.60,431.90,426.50,429.90,429.10,428.78,351177,1505.79,7014,145186,41.34
MOTHERSUMI,EQ,2014-12-29,429.10,434.00,451.40,431.50,449.20,448.80,445.41,1806383,8045.90,36171,611558,33.86
