Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MRO-TEK,EQ,2014-12-04,14.05,14.75,14.80,13.10,13.15,13.35,13.73,10862,1.49,223,6188,56.97
MRO-TEK,EQ,2014-12-05,13.35,13.50,14.20,13.05,13.05,13.25,13.54,10946,1.48,84,9061,82.78
MRO-TEK,EQ,2014-12-08,13.25,13.05,13.95,13.00,13.45,13.30,13.49,8743,1.18,61,6652,76.08
MRO-TEK,EQ,2014-12-09,13.30,13.25,14.20,13.25,13.60,13.70,13.60,12549,1.71,77,10849,86.45
MRO-TEK,EQ,2014-12-10,13.70,14.00,14.00,13.50,13.80,13.80,13.62,14561,1.98,51,11850,81.38
MRO-TEK,EQ,2014-12-11,13.80,15.00,15.75,13.75,15.00,14.95,15.04,55806,8.39,475,35176,63.03
MRO-TEK,EQ,2014-12-12,14.95,15.30,17.40,15.20,17.00,16.40,16.49,158291,26.10,1065,89675,56.65
MRO-TEK,EQ,2014-12-15,16.40,15.85,19.65,15.85,19.65,19.65,18.36,323531,59.40,2010,126446,39.08
MRO-TEK,EQ,2014-12-16,19.65,20.40,21.40,18.50,20.00,20.20,20.00,820223,164.08,3846,171440,20.90
MRO-TEK,EQ,2014-12-17,20.20,21.00,21.20,18.55,19.15,19.15,19.40,104983,20.37,1343,50822,48.41
MRO-TEK,EQ,2014-12-18,19.15,19.00,20.00,18.70,19.20,19.05,19.17,40583,7.78,400,27931,68.82
MRO-TEK,EQ,2014-12-19,19.05,20.00,20.00,17.65,18.25,18.40,19.09,74604,14.24,326,54816,73.48
MRO-TEK,EQ,2014-12-22,18.40,19.00,19.00,16.70,16.95,17.05,17.22,66131,11.39,562,44994,68.04
MRO-TEK,EQ,2014-12-23,17.05,16.80,17.25,15.35,16.05,16.25,16.18,67869,10.98,521,32866,48.43
MRO-TEK,EQ,2014-12-24,16.25,16.05,17.80,16.00,17.80,17.50,17.26,44565,7.69,454,17666,39.64
MRO-TEK,EQ,2014-12-26,17.50,17.30,18.50,17.15,17.55,17.60,17.86,27822,4.97,657,14962,53.78
MRO-TEK,EQ,2014-12-29,17.60,19.00,19.00,17.55,17.60,17.90,17.86,15849,2.83,100,12867,81.18
MRO-TEK,EQ,2014-12-30,17.90,18.00,18.40,17.00,17.40,17.25,17.44,14034,2.45,98,9180,65.41
MRO-TEK,EQ,2014-12-31,17.25,16.90,17.80,16.90,17.40,17.25,17.16,14969,2.57,108,10737,71.73
MRO-TEK,EQ,2015-01-01,17.25,17.00,17.70,17.00,17.65,17.45,17.21,9923,1.71,57,8910,89.79
MRO-TEK,EQ,2015-01-02,17.45,18.25,18.75,17.05,17.85,18.10,17.78,36645,6.52,198,25348,69.17
MRO-TEK,EQ,2015-01-05,18.10,18.45,20.95,17.55,18.25,18.25,18.87,55090,10.40,624,23473,42.61
MRO-TEK,EQ,2015-01-06,18.25,18.50,18.50,17.20,17.50,17.35,17.62,24616,4.34,194,17697,71.89
MRO-TEK,EQ,2015-01-07,17.35,17.25,17.90,16.50,17.00,16.95,16.94,18283,3.10,131,13549,74.11
MRO-TEK,EQ,2015-01-08,16.95,16.90,20.30,16.60,19.20,19.25,19.50,174427,34.02,845,58273,33.41
MRO-TEK,EQ,2015-01-09,19.25,19.70,19.70,18.20,18.30,18.50,18.78,47626,8.94,277,31885,66.95
MRO-TEK,EQ,2015-01-12,18.50,18.35,19.00,18.05,18.20,18.25,18.43,20494,3.78,397,9368,45.71
MRO-TEK,EQ,2015-01-13,18.25,18.10,18.40,17.80,17.90,18.00,18.06,10752,1.94,61,8998,83.69
MRO-TEK,EQ,2015-01-14,18.00,18.40,18.40,17.05,17.40,17.40,17.57,18345,3.22,100,14472,78.89
MRO-TEK,EQ,2015-01-15,17.40,17.30,17.85,17.05,17.45,17.20,17.44,9786,1.71,75,7984,81.59
MRO-TEK,EQ,2015-01-16,17.20,17.25,18.00,16.90,17.15,17.45,17.30,14650,2.54,90,9941,67.86
MRO-TEK,EQ,2015-01-19,17.45,17.55,18.90,17.55,17.60,17.85,18.17,23454,4.26,258,13338,56.87
MRO-TEK,EQ,2015-01-20,17.85,18.25,18.45,17.10,17.20,17.35,17.76,20389,3.62,211,12438,61.00
MRO-TEK,EQ,2015-01-21,17.35,17.25,17.75,15.45,16.65,16.70,16.72,36309,6.07,395,23431,64.53
MRO-TEK,EQ,2015-01-22,16.70,17.00,17.40,16.20,16.60,16.70,16.77,9539,1.60,106,6270,65.73
MRO-TEK,EQ,2015-01-23,16.70,17.00,17.00,16.25,16.50,16.50,16.44,20699,3.40,123,15338,74.10
MRO-TEK,EQ,2015-01-27,16.50,16.40,16.80,15.55,16.30,16.65,16.48,37494,6.18,198,33739,89.99
MRO-TEK,EQ,2015-01-28,16.65,16.35,18.50,15.55,16.15,16.25,17.11,202900,34.71,1274,126303,62.25
MRO-TEK,EQ,2015-01-29,16.25,16.15,16.80,15.55,16.00,16.00,16.12,25703,4.14,165,16586,64.53
MRO-TEK,EQ,2015-01-30,16.00,15.70,16.20,15.20,15.85,15.80,15.82,16957,2.68,86,15441,91.06
MRO-TEK,EQ,2015-02-02,15.80,15.75,16.00,15.60,15.65,15.70,15.72,7968,1.25,35,7400,92.87
MRO-TEK,EQ,2015-02-03,15.70,15.75,16.00,15.20,15.70,15.55,15.67,8196,1.28,78,5924,72.28
MRO-TEK,EQ,2015-02-04,15.55,15.25,15.70,15.00,15.35,15.20,15.30,12875,1.97,99,8249,64.07
MRO-TEK,EQ,2015-02-05,15.20,14.85,16.00,14.25,14.45,14.30,14.75,30174,4.45,345,16208,53.72
MRO-TEK,EQ,2015-02-06,14.30,14.15,14.45,13.10,13.70,13.50,13.44,32617,4.38,446,16271,49.89
MRO-TEK,EQ,2015-02-09,13.50,13.15,14.50,12.35,14.20,13.85,13.17,35293,4.65,336,21886,62.01
MRO-TEK,EQ,2015-02-10,13.85,13.90,14.90,13.60,14.40,14.30,14.33,15730,2.25,136,10283,65.37
MRO-TEK,EQ,2015-02-11,14.30,15.25,15.25,13.60,14.60,14.65,14.46,5485,0.79,60,4384,79.93
MRO-TEK,EQ,2015-02-12,14.65,14.25,15.00,14.25,15.00,14.90,14.82,18360,2.72,131,13411,73.04
MRO-TEK,EQ,2015-02-13,14.90,15.00,15.40,14.30,14.90,14.50,14.94,14135,2.11,98,8881,62.83
MRO-TEK,EQ,2015-02-16,14.50,14.35,15.20,14.35,14.80,14.90,14.96,5881,0.88,43,3888,66.11
MRO-TEK,EQ,2015-02-18,14.90,14.80,15.10,14.60,15.10,14.75,14.79,3395,0.50,46,1937,57.05
MRO-TEK,EQ,2015-02-19,14.75,15.00,17.35,14.40,17.30,16.80,16.33,121679,19.87,781,54228,44.57
MRO-TEK,EQ,2015-02-20,16.80,17.00,19.80,17.00,19.50,19.45,18.81,116077,21.83,1327,62936,54.22
MRO-TEK,EQ,2015-02-23,19.45,19.90,21.00,19.00,19.75,19.80,20.14,115720,23.31,838,63138,54.56
MRO-TEK,EQ,2015-02-24,19.80,19.85,20.30,18.00,18.50,18.30,18.78,54916,10.31,519,34944,63.63
MRO-TEK,EQ,2015-02-25,18.30,18.50,18.80,18.10,18.10,18.10,18.33,9080,1.66,67,7613,83.84
MRO-TEK,EQ,2015-02-26,18.10,18.25,18.25,17.15,17.20,17.25,17.55,20357,3.57,314,10711,52.62
MRO-TEK,EQ,2015-02-27,17.25,17.25,18.00,16.95,17.15,17.25,17.51,13748,2.41,164,10697,77.81
MRO-TEK,EQ,2015-02-28,17.25,17.30,17.75,16.55,17.00,16.90,17.18,7305,1.25,85,5405,73.99
MRO-TEK,EQ,2015-03-02,16.90,17.30,17.30,16.25,16.35,16.45,16.81,40367,6.78,186,33806,83.75
MRO-TEK,EQ,2015-03-03,16.45,17.35,17.35,16.00,16.50,16.65,16.49,13414,2.21,89,10387,77.43
MRO-TEK,EQ,2015-03-04,16.65,17.00,17.00,15.60,15.60,15.95,16.29,18480,3.01,132,12087,65.41
MRO-TEK,EQ,2015-03-05,15.95,16.00,16.20,15.75,15.75,15.80,16.02,5739,0.92,45,4949,86.23
MRO-TEK,EQ,2015-03-09,15.80,15.65,16.70,15.10,16.00,15.55,15.73,8820,1.39,151,6343,71.92
MRO-TEK,EQ,2015-03-10,15.55,16.50,16.50,15.30,15.35,15.35,15.61,6833,1.07,39,5827,85.28
MRO-TEK,EQ,2015-03-11,15.35,15.25,15.90,15.15,15.20,15.25,15.50,5779,0.90,83,4779,82.70
MRO-TEK,EQ,2015-03-12,15.25,15.25,16.50,14.85,16.50,16.10,15.84,14590,2.31,115,12210,83.69
MRO-TEK,EQ,2015-03-13,16.10,15.90,15.90,15.25,15.55,15.45,15.61,8874,1.38,71,7230,81.47
MRO-TEK,EQ,2015-03-16,15.45,15.30,15.95,15.30,15.70,15.70,15.58,7037,1.10,42,5429,77.15
MRO-TEK,EQ,2015-03-17,15.70,15.50,16.40,15.25,15.50,15.35,15.73,14912,2.35,115,11706,78.50
MRO-TEK,EQ,2015-03-18,15.35,15.35,15.80,14.75,14.75,15.10,15.24,23020,3.51,253,13765,59.80
MRO-TEK,EQ,2015-03-19,15.10,14.95,15.70,14.80,15.10,15.05,15.19,5348,0.81,52,3080,57.59
MRO-TEK,EQ,2015-03-20,15.05,15.00,15.00,14.60,14.75,14.75,14.84,3056,0.45,53,1605,52.52
MRO-TEK,EQ,2015-03-23,14.75,15.20,15.20,14.10,14.55,14.50,14.62,4154,0.61,39,2824,67.98
MRO-TEK,EQ,2015-03-24,14.50,14.30,14.70,13.85,13.90,14.15,14.24,6887,0.98,56,6233,90.50
MRO-TEK,EQ,2015-03-25,14.15,14.00,14.00,13.25,13.40,13.35,13.70,8128,1.11,69,7200,88.58
MRO-TEK,EQ,2015-03-26,13.35,13.35,13.95,13.30,13.80,13.40,13.53,5364,0.73,51,4635,86.41
MRO-TEK,EQ,2015-03-27,13.40,13.95,14.45,13.60,14.45,14.00,13.89,4190,0.58,42,3388,80.86
MRO-TEK,EQ,2015-03-30,14.00,14.20,14.85,14.00,14.50,14.70,14.27,9443,1.35,62,7335,77.68
MRO-TEK,EQ,2015-03-31,14.70,15.00,15.75,15.00,15.40,15.45,15.50,6563,1.02,85,5846,89.08
MRO-TEK,EQ,2015-04-01,15.45,15.00,16.25,15.00,15.50,15.85,15.56,3311,0.52,23,1098,33.16
MRO-TEK,EQ,2015-04-06,15.85,15.70,15.85,15.35,15.35,15.70,15.75,9774,1.54,60,6397,65.45
MRO-TEK,EQ,2015-04-07,15.70,15.60,15.80,15.30,15.50,15.50,15.58,2075,0.32,29,1900,91.57
MRO-TEK,EQ,2015-04-08,15.50,15.60,16.50,15.35,15.40,15.75,15.80,4994,0.79,81,2998,60.03
MRO-TEK,EQ,2015-04-09,15.75,15.80,17.00,15.25,15.25,15.45,15.94,6934,1.10,88,4598,66.31
MRO-TEK,EQ,2015-04-10,15.45,15.50,18.50,15.45,18.50,18.50,18.16,247909,45.01,1052,98525,39.74
MRO-TEK,EQ,2015-04-13,18.50,18.80,19.40,16.05,16.45,16.50,17.67,98395,17.38,812,62486,63.51
MRO-TEK,EQ,2015-04-15,16.50,16.60,16.95,15.30,15.50,15.70,16.10,55175,8.89,341,37517,68.00
MRO-TEK,EQ,2015-04-16,15.70,15.50,15.75,14.90,14.90,15.10,15.25,27647,4.22,199,18068,65.35
MRO-TEK,EQ,2015-04-17,15.10,15.00,15.90,14.75,15.10,15.00,15.01,25543,3.83,74,19545,76.52
MRO-TEK,EQ,2015-04-20,15.00,15.10,15.10,14.50,15.00,14.55,14.70,8612,1.27,59,7619,88.47
MRO-TEK,EQ,2015-04-21,14.55,14.95,14.95,14.10,14.45,14.45,14.46,4825,0.70,52,3202,66.36
MRO-TEK,EQ,2015-04-22,14.45,14.25,15.00,14.10,14.25,14.25,14.47,20694,2.99,92,18885,91.26
MRO-TEK,EQ,2015-04-23,14.25,14.35,14.80,14.30,14.40,14.40,14.56,9600,1.40,97,7071,73.66
MRO-TEK,EQ,2015-04-24,14.40,14.75,14.75,13.75,13.75,13.85,13.97,14517,2.03,124,8120,55.93
MRO-TEK,EQ,2015-04-27,13.85,13.80,14.30,13.50,13.95,13.75,13.79,18322,2.53,79,12020,65.60
MRO-TEK,EQ,2015-04-28,13.75,13.60,14.55,13.55,14.00,14.15,14.02,9603,1.35,60,8479,88.30
MRO-TEK,EQ,2015-04-29,14.15,14.40,14.80,14.15,14.70,14.60,14.54,4925,0.72,57,3409,69.22
