Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MRPL,EQ,2014-12-04,54.15,54.10,55.20,54.05,54.35,54.40,54.57,235645,128.59,1963,124953,53.03
MRPL,EQ,2014-12-05,54.40,54.50,55.00,53.40,53.75,53.65,54.43,191719,104.35,1675,88482,46.15
MRPL,EQ,2014-12-08,53.65,54.90,55.60,53.00,53.45,53.15,54.07,332534,179.80,2283,142981,43.00
MRPL,EQ,2014-12-09,53.15,53.10,53.90,50.75,51.40,51.70,52.57,235804,123.97,1742,139230,59.04
MRPL,EQ,2014-12-10,51.70,51.80,52.20,51.40,52.10,51.90,51.85,150164,77.86,1298,87557,58.31
MRPL,EQ,2014-12-11,51.90,52.50,52.50,50.55,51.15,50.80,51.19,179650,91.96,1404,114644,63.82
MRPL,EQ,2014-12-12,50.80,49.30,50.70,48.30,48.60,48.95,49.83,308359,153.65,2627,184439,59.81
MRPL,EQ,2014-12-15,48.95,48.45,48.80,47.30,47.50,47.50,47.96,220058,105.55,1908,125413,56.99
MRPL,EQ,2014-12-16,47.50,47.50,47.75,45.55,45.65,45.70,46.30,291491,134.97,3315,187889,64.46
MRPL,EQ,2014-12-17,45.70,45.80,46.45,45.10,45.85,45.80,45.78,270171,123.70,2767,151700,56.15
MRPL,EQ,2014-12-18,45.80,46.45,47.35,46.25,47.10,47.05,46.94,201940,94.79,1900,106527,52.75
MRPL,EQ,2014-12-19,47.05,47.80,50.50,47.65,47.85,48.25,49.17,588448,289.32,4580,191659,32.57
MRPL,EQ,2014-12-22,48.25,48.05,48.65,46.80,47.90,47.90,47.85,248589,118.94,2061,137223,55.20
MRPL,EQ,2014-12-23,47.90,47.60,48.30,47.30,47.35,47.65,47.71,115762,55.23,1126,68610,59.27
MRPL,EQ,2014-12-24,47.65,47.75,47.95,46.60,47.35,47.05,47.29,135159,63.92,1434,65323,48.33
MRPL,EQ,2014-12-26,47.05,47.00,47.85,46.70,47.00,47.00,47.19,100907,47.62,1406,52442,51.97
MRPL,EQ,2014-12-29,47.00,46.60,48.00,46.60,47.15,47.05,47.40,230604,109.30,1641,140101,60.75
MRPL,EQ,2014-12-30,47.05,47.15,47.60,46.80,47.00,47.05,47.18,133285,62.88,1007,75524,56.66
MRPL,EQ,2014-12-31,47.05,47.25,47.75,46.90,47.10,47.05,47.25,159565,75.40,1078,90935,56.99
MRPL,EQ,2015-01-01,47.05,47.25,48.50,47.05,47.75,47.85,47.90,298211,142.85,2045,119657,40.12
MRPL,EQ,2015-01-02,47.85,47.60,49.30,47.60,48.25,48.45,48.50,292873,142.05,2056,182012,62.15
MRPL,EQ,2015-01-05,48.45,48.25,49.50,48.25,48.75,48.75,48.88,196563,96.09,1519,107526,54.70
MRPL,EQ,2015-01-06,48.75,48.80,48.80,46.90,46.95,47.00,47.38,159594,75.61,1435,101168,63.39
MRPL,EQ,2015-01-07,47.00,46.55,47.60,46.05,46.60,46.30,46.61,150332,70.06,1546,80184,53.34
