Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MTNL,EQ,2014-12-04,28.95,29.00,29.30,28.10,28.60,28.60,28.54,2157810,615.94,7142,619565,28.71
MTNL,EQ,2014-12-05,28.60,28.65,29.40,28.30,28.45,28.55,28.85,1681996,485.33,6604,372596,22.15
MTNL,EQ,2014-12-08,28.55,28.30,29.40,28.05,28.65,28.55,28.76,1468637,422.35,5449,371785,25.31
MTNL,EQ,2014-12-09,28.55,28.30,28.85,27.55,27.80,27.75,28.05,972378,272.71,3547,419424,43.13
MTNL,EQ,2014-12-10,27.75,27.50,28.45,27.40,28.15,28.25,27.96,1255815,351.15,3950,400378,31.88
MTNL,EQ,2014-12-11,28.25,28.00,28.40,27.50,27.65,27.60,27.86,808812,225.35,3297,305769,37.80
MTNL,EQ,2014-12-12,27.60,27.40,27.85,26.60,26.90,26.80,27.23,659516,179.57,3063,284836,43.19
MTNL,EQ,2014-12-15,26.80,26.50,27.20,26.20,26.60,26.65,26.75,654497,175.05,3687,234064,35.76
MTNL,EQ,2014-12-16,26.65,26.40,26.50,25.05,25.35,25.15,25.75,1066548,274.67,4230,613805,57.55
MTNL,EQ,2014-12-17,25.15,25.00,26.00,24.10,25.30,25.30,25.15,1249166,314.13,5320,364917,29.21
MTNL,EQ,2014-12-18,25.30,25.50,26.60,25.50,26.30,26.15,26.07,1022441,266.53,4560,404700,39.58
MTNL,EQ,2014-12-19,26.15,26.25,26.80,25.15,25.20,25.40,25.85,1267316,327.59,3901,673480,53.14
MTNL,EQ,2014-12-22,25.40,25.50,26.20,25.50,25.90,25.85,25.89,543909,140.83,3069,230519,42.38
MTNL,EQ,2014-12-23,25.85,25.90,26.35,25.35,25.65,25.45,25.74,506647,130.43,2376,247068,48.77
MTNL,EQ,2014-12-24,25.45,26.45,29.25,25.95,28.75,28.55,27.89,7063617,1970.19,19774,1974480,27.95
MTNL,EQ,2014-12-26,28.55,28.30,28.30,27.15,27.45,27.45,27.57,2047364,564.49,7178,635764,31.05
MTNL,EQ,2014-12-29,27.45,27.50,28.15,27.05,27.25,27.20,27.58,1087450,299.95,4958,417960,38.43
MTNL,EQ,2014-12-30,27.20,27.25,27.90,27.05,27.10,27.15,27.30,1151003,314.25,4580,593488,51.56
MTNL,EQ,2014-12-31,27.15,27.05,27.80,26.80,27.35,27.30,27.27,2501435,682.17,5609,1292242,51.66
MTNL,EQ,2015-01-01,27.30,27.30,27.95,27.05,27.75,27.65,27.59,943459,260.32,4389,278850,29.56
MTNL,EQ,2015-01-02,27.65,27.45,28.15,27.45,27.50,27.55,27.75,1964721,545.23,5473,982734,50.02
MTNL,EQ,2015-01-05,27.55,27.55,27.85,27.15,27.40,27.35,27.56,708358,195.25,3184,277371,39.16
MTNL,EQ,2015-01-06,27.35,27.50,28.15,26.50,26.75,26.75,27.47,3128666,859.40,10794,775876,24.80
MTNL,EQ,2015-01-07,26.75,27.00,27.55,26.80,27.20,27.10,27.13,991913,269.07,3993,361566,36.45
MTNL,EQ,2015-01-08,27.10,27.50,28.00,27.20,27.85,27.70,27.67,1928412,533.55,6128,545729,28.30
MTNL,EQ,2015-01-09,27.70,28.20,28.20,27.05,27.40,27.30,27.41,1097767,300.86,4344,450309,41.02
MTNL,EQ,2015-01-12,27.30,27.40,27.85,27.25,27.30,27.40,27.48,945209,259.77,3679,248921,26.34
MTNL,EQ,2015-01-13,27.40,27.65,29.05,27.30,28.10,28.00,28.21,4048237,1141.96,12632,1051517,25.97
MTNL,EQ,2015-01-14,28.00,28.30,29.15,28.10,28.60,28.55,28.68,2676331,767.70,10414,644955,24.10
MTNL,EQ,2015-01-15,28.55,28.75,28.95,27.85,28.15,28.20,28.37,1478429,419.42,5250,594409,40.21
MTNL,EQ,2015-01-16,28.20,28.15,28.40,27.55,27.65,27.65,28.00,1135051,317.86,4619,474249,41.78
MTNL,EQ,2015-01-19,27.65,27.65,28.75,27.65,28.15,28.20,28.21,1339977,378.05,5674,594374,44.36
MTNL,EQ,2015-01-20,28.20,28.25,29.10,28.10,28.20,28.25,28.52,2068283,589.90,6996,631192,30.52
MTNL,EQ,2015-01-21,28.25,28.30,28.65,27.65,28.10,27.95,28.12,1015140,285.45,3922,440676,43.41
MTNL,EQ,2015-01-22,27.95,28.10,28.25,27.55,27.65,27.65,27.91,543832,151.79,2669,205061,37.71
MTNL,EQ,2015-01-23,27.65,27.75,28.50,27.20,27.60,27.55,27.73,1074611,298.00,3722,292995,27.27
MTNL,EQ,2015-01-27,27.55,27.80,28.20,26.70,26.95,26.95,27.13,803120,217.88,3274,525999,65.49
MTNL,EQ,2015-01-28,26.95,26.80,28.40,26.70,28.10,28.10,27.68,1649925,456.71,6158,632109,38.31
MTNL,EQ,2015-01-29,28.10,28.90,29.25,28.30,28.65,28.70,28.80,4612554,1328.36,14973,1533939,33.26
MTNL,EQ,2015-01-30,28.70,28.80,29.50,28.55,28.70,28.90,29.05,2107314,612.11,6587,964960,45.79
MTNL,EQ,2015-02-02,28.90,28.85,29.50,28.50,28.95,29.00,29.13,1672231,487.20,5950,755837,45.20
MTNL,EQ,2015-02-03,29.00,29.05,29.25,28.25,28.45,28.35,28.63,948802,271.61,2736,517418,54.53
MTNL,EQ,2015-02-04,28.35,28.85,30.90,28.35,30.35,30.40,29.97,6870583,2059.05,14618,2827372,41.15
MTNL,EQ,2015-02-05,30.40,30.40,30.40,28.65,28.85,28.80,29.44,2541632,748.25,6797,1227443,48.29
MTNL,EQ,2015-02-06,28.80,28.95,28.95,27.50,27.55,27.60,28.00,1370549,383.79,3916,679800,49.60
MTNL,EQ,2015-02-09,27.60,27.40,28.10,27.00,27.05,27.25,27.49,1113507,306.05,3992,401986,36.10
MTNL,EQ,2015-02-10,27.25,27.25,28.25,27.00,27.50,27.30,27.51,1011300,278.22,3061,334980,33.12
MTNL,EQ,2015-02-11,27.30,27.40,27.95,27.35,27.45,27.50,27.63,877793,242.53,2317,501908,57.18
MTNL,EQ,2015-02-12,27.50,27.75,28.70,27.50,28.20,28.25,28.16,1832901,516.19,6746,626100,34.16
MTNL,EQ,2015-02-13,28.25,27.80,28.15,27.20,27.50,27.35,27.60,769310,212.34,3709,383906,49.90
MTNL,EQ,2015-02-16,27.35,27.35,28.40,27.35,27.60,27.55,27.84,967283,269.28,3686,501594,51.86
MTNL,EQ,2015-02-18,27.55,28.50,30.45,28.15,29.65,29.65,29.64,5493903,1628.60,12019,2111926,38.44
MTNL,EQ,2015-02-19,29.65,29.90,30.45,28.75,29.05,29.05,29.49,2613807,770.74,7413,1070453,40.95
MTNL,EQ,2015-02-20,29.05,29.10,30.80,28.80,29.85,29.90,30.12,4091637,1232.26,10189,1277821,31.23
MTNL,EQ,2015-02-23,29.90,29.60,30.50,29.20,29.50,29.55,29.88,1861213,556.21,5457,873253,46.92
MTNL,EQ,2015-02-24,29.55,30.00,30.25,28.55,29.05,29.05,29.18,1428887,416.95,6063,560359,39.22
MTNL,EQ,2015-02-25,29.05,29.15,30.10,28.70,28.90,28.95,29.34,1787206,524.30,5314,654314,36.61
MTNL,EQ,2015-02-26,28.95,29.00,29.00,28.30,28.45,28.40,28.58,1005707,287.40,3818,512263,50.94
MTNL,EQ,2015-02-27,28.40,28.80,29.45,28.60,29.10,29.15,29.03,1675491,486.41,5378,644640,38.47
MTNL,EQ,2015-02-28,29.15,29.50,29.60,27.60,27.90,28.00,28.69,1885633,540.93,5454,771856,40.93
MTNL,EQ,2015-03-02,28.00,28.30,28.40,27.20,27.35,27.35,27.49,1117897,307.36,3475,653165,58.43
MTNL,EQ,2015-03-03,27.35,27.75,27.90,26.95,27.10,27.05,27.32,1598158,436.57,4919,698636,43.72
MTNL,EQ,2015-03-04,27.05,27.65,27.65,26.55,26.75,26.60,27.15,1303546,353.89,3704,658823,50.54
MTNL,EQ,2015-03-05,26.60,26.95,27.05,26.35,26.50,26.60,26.67,759181,202.45,2742,309493,40.77
MTNL,EQ,2015-03-09,26.60,26.35,26.40,25.20,25.50,25.50,25.67,1374139,352.74,4087,772735,56.23
MTNL,EQ,2015-03-10,25.50,25.60,26.90,25.55,25.90,26.00,26.17,1496280,391.55,4741,454057,30.35
MTNL,EQ,2015-03-11,26.00,25.60,25.80,20.90,21.40,21.05,21.96,12245475,2689.40,28187,4541785,37.09
MTNL,EQ,2015-03-12,21.05,22.00,22.80,21.65,22.35,22.40,22.22,4862319,1080.31,14372,1361158,27.99
MTNL,EQ,2015-03-13,22.40,22.80,23.20,22.10,22.35,22.30,22.74,2600261,591.35,6287,956528,36.79
MTNL,EQ,2015-03-16,22.30,22.25,22.45,21.10,21.30,21.30,21.67,1451056,314.44,4082,624147,43.01
MTNL,EQ,2015-03-17,21.30,21.55,21.70,19.90,20.00,20.10,20.66,2000585,413.31,6453,892504,44.61
MTNL,EQ,2015-03-18,20.10,20.35,21.60,19.60,21.00,21.15,20.86,4268669,890.38,9636,1038628,24.33
MTNL,EQ,2015-03-19,21.15,21.40,21.50,20.25,20.35,20.35,20.84,939675,195.79,2842,384378,40.91
MTNL,EQ,2015-03-20,20.35,20.10,20.30,19.00,19.25,19.25,19.59,2071679,405.93,5380,1101036,53.15
MTNL,EQ,2015-03-23,19.25,19.25,19.40,18.00,18.20,18.05,18.54,1457686,270.30,3542,899813,61.73
MTNL,EQ,2015-03-24,18.05,18.10,18.45,17.35,17.45,17.50,17.84,1034973,184.66,3103,545320,52.69
MTNL,EQ,2015-03-25,17.50,17.75,17.75,16.55,16.70,16.70,17.03,1209862,206.01,3460,610142,50.43
MTNL,EQ,2015-03-26,16.70,16.70,17.10,16.35,16.95,16.80,16.77,1225438,205.56,3539,542720,44.29
MTNL,EQ,2015-03-27,16.80,17.00,17.60,16.80,17.20,17.30,17.19,1805607,310.46,3480,906544,50.21
MTNL,EQ,2015-03-30,17.30,17.40,18.70,17.30,18.60,18.50,18.18,1339735,243.60,3412,501446,37.43
MTNL,EQ,2015-03-31,18.50,18.70,18.90,18.10,18.30,18.20,18.44,1019464,188.01,2892,454081,44.54
MTNL,EQ,2015-04-01,18.20,18.20,19.10,17.35,18.85,18.85,18.53,1198456,222.02,3269,323712,27.01
MTNL,EQ,2015-04-06,18.85,19.30,20.15,18.55,19.90,19.80,19.38,1541025,298.67,5079,438188,28.43
MTNL,EQ,2015-04-07,19.80,19.95,20.35,19.10,19.70,19.65,19.62,1045613,205.19,3592,466443,44.61
MTNL,EQ,2015-04-08,19.65,19.60,20.25,19.60,19.75,19.85,19.92,767206,152.81,2433,329952,43.01
MTNL,EQ,2015-04-09,19.85,20.00,20.45,19.55,20.00,20.00,20.04,824979,165.37,2815,305456,37.03
MTNL,EQ,2015-04-10,20.00,20.00,22.80,19.80,21.30,21.40,21.31,3220448,686.13,8401,740708,23.00
MTNL,EQ,2015-04-13,21.40,21.50,21.60,20.80,21.05,21.00,21.13,780441,164.88,2591,410577,52.61
MTNL,EQ,2015-04-15,21.00,21.05,22.15,20.70,20.85,20.95,21.29,1125453,239.61,3617,298510,26.52
MTNL,EQ,2015-04-16,20.95,21.00,21.20,20.10,20.40,20.25,20.58,629472,129.57,2120,277522,44.09
MTNL,EQ,2015-04-17,20.25,20.40,20.55,20.00,20.10,20.10,20.24,680720,137.75,1943,338950,49.79
MTNL,EQ,2015-04-20,20.10,20.10,20.20,18.90,19.55,19.35,19.51,678521,132.41,2279,324069,47.76
MTNL,EQ,2015-04-21,19.35,19.35,19.80,19.00,19.15,19.15,19.36,366463,70.95,1271,176294,48.11
MTNL,EQ,2015-04-22,19.15,19.20,19.55,18.80,19.00,19.10,19.23,573607,110.28,1685,261022,45.51
MTNL,EQ,2015-04-23,19.10,19.15,19.30,18.75,18.80,18.85,18.99,536735,101.92,1519,180027,33.54
MTNL,EQ,2015-04-24,18.85,19.00,19.25,18.20,18.40,18.30,18.68,535530,100.03,1761,329057,61.45
MTNL,EQ,2015-04-27,18.30,18.70,19.10,18.20,18.30,18.30,18.56,878023,162.92,4191,241083,27.46
MTNL,EQ,2015-04-28,18.30,18.20,18.25,17.70,18.20,18.15,18.05,791781,142.89,2323,324403,40.97
MTNL,EQ,2015-04-29,18.15,18.20,18.50,18.05,18.20,18.10,18.24,369697,67.45,1772,173905,47.04
MTNL,EQ,2015-04-30,18.10,18.00,18.60,17.85,18.05,18.15,18.22,455133,82.92,1511,210178,46.18
MTNL,EQ,2015-05-04,18.15,18.25,18.60,18.20,18.50,18.50,18.48,311439,57.55,1047,196011,62.94
MTNL,EQ,2015-05-05,18.50,18.60,19.05,18.25,18.45,18.55,18.67,702594,131.20,2046,304233,43.30
MTNL,EQ,2015-05-06,18.55,18.50,18.55,17.80,17.95,17.90,18.03,432655,78.00,1385,245475,56.74
MTNL,EQ,2015-05-07,17.90,17.95,17.95,17.25,17.40,17.45,17.61,405818,71.46,1181,246348,60.70
MTNL,EQ,2015-05-08,17.45,17.75,18.75,17.50,18.25,18.20,18.25,885677,161.68,2970,307982,34.77
MTNL,EQ,2015-05-11,18.20,18.30,18.85,18.30,18.70,18.65,18.62,391602,72.93,1511,157208,40.14
MTNL,EQ,2015-05-12,18.65,18.55,18.65,17.65,17.65,17.75,18.03,239832,43.25,902,154213,64.30
MTNL,EQ,2015-05-13,17.75,17.80,18.25,17.60,17.90,17.95,17.94,426984,76.62,1543,196329,45.98
MTNL,EQ,2015-05-14,17.95,18.20,18.20,17.60,18.00,17.80,17.77,362096,64.34,1187,168702,46.59
MTNL,EQ,2015-05-15,17.80,18.05,18.20,17.15,17.65,17.65,17.75,416992,74.00,1396,183421,43.99
MTNL,EQ,2015-05-18,17.65,17.85,18.20,17.70,17.90,17.85,17.90,337973,60.49,1034,96395,28.52
MTNL,EQ,2015-05-19,17.85,17.70,18.25,17.70,18.05,18.00,18.01,363503,65.48,1084,151930,41.80
MTNL,EQ,2015-05-20,18.00,18.05,18.30,17.70,17.90,17.85,17.95,450032,80.77,1271,177345,39.41
MTNL,EQ,2015-05-21,17.85,17.85,18.00,17.60,17.85,17.75,17.77,309746,55.03,813,157966,51.00
