Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MUKANDENGG,EQ,2014-12-04,36.10,36.10,37.00,35.70,36.50,36.60,36.61,11961,4.38,84,6780,56.68
MUKANDENGG,EQ,2014-12-05,36.60,36.50,37.50,35.45,35.90,35.90,36.09,13671,4.93,224,8608,62.97
MUKANDENGG,EQ,2014-12-08,35.90,35.90,35.90,34.65,35.00,34.80,35.30,4244,1.50,75,3737,88.05
MUKANDENGG,EQ,2014-12-09,34.80,35.05,35.30,34.25,34.30,34.40,34.83,3119,1.09,29,2479,79.48
MUKANDENGG,EQ,2014-12-10,34.40,34.10,34.95,33.95,34.70,34.30,34.41,5289,1.82,98,2766,52.30
MUKANDENGG,EQ,2014-12-11,34.30,34.40,34.40,33.55,34.05,34.10,34.01,4017,1.37,33,3399,84.62
MUKANDENGG,EQ,2014-12-12,34.10,34.95,34.95,33.55,33.55,33.85,33.99,5875,2.00,58,3633,61.84
MUKANDENGG,EQ,2014-12-15,33.85,33.50,34.50,33.40,34.10,34.35,33.99,876,0.30,22,573,65.41
MUKANDENGG,EQ,2014-12-16,34.35,33.90,33.90,32.50,32.50,33.00,33.38,2370,0.79,45,2158,91.05
MUKANDENGG,EQ,2014-12-17,33.00,32.50,32.50,31.10,31.85,32.10,31.78,6709,2.13,82,4250,63.35
MUKANDENGG,EQ,2014-12-18,32.10,32.80,34.00,32.80,33.25,33.15,33.31,3177,1.06,35,2371,74.63
MUKANDENGG,EQ,2014-12-19,33.15,33.10,34.80,32.90,32.90,32.90,33.24,2876,0.96,53,1862,64.74
MUKANDENGG,EQ,2014-12-22,32.90,32.85,33.75,32.75,33.75,33.70,33.20,1754,0.58,18,1550,88.37
MUKANDENGG,EQ,2014-12-23,33.70,36.00,38.80,35.00,36.95,37.00,37.51,164078,61.55,1239,64402,39.25
MUKANDENGG,EQ,2014-12-24,37.00,37.80,37.80,35.50,35.55,35.60,35.86,14445,5.18,144,8323,57.62
MUKANDENGG,EQ,2014-12-26,35.60,35.75,36.00,34.55,35.00,34.90,35.04,5329,1.87,115,3184,59.75
MUKANDENGG,EQ,2014-12-29,34.90,35.75,37.80,35.15,36.50,36.25,36.40,8122,2.96,248,4452,54.81
MUKANDENGG,EQ,2014-12-30,36.25,36.50,36.50,34.70,35.15,34.90,35.30,22974,8.11,153,18306,79.68
MUKANDENGG,EQ,2014-12-31,34.90,34.70,36.40,34.50,35.55,35.60,35.31,6921,2.44,139,3286,47.48
MUKANDENGG,EQ,2015-01-01,35.60,36.50,36.55,35.50,35.75,35.75,36.07,11286,4.07,87,8405,74.47
MUKANDENGG,EQ,2015-01-02,35.75,36.40,37.00,35.00,35.80,35.80,35.82,24831,8.89,259,16549,66.65
MUKANDENGG,EQ,2015-01-05,35.80,37.40,37.95,35.85,36.00,35.90,36.45,9409,3.43,122,6907,73.41
MUKANDENGG,EQ,2015-01-06,35.90,35.75,35.95,34.35,34.85,34.85,34.96,15199,5.31,113,12753,83.91
MUKANDENGG,EQ,2015-01-07,34.85,34.90,34.90,33.55,34.45,34.25,34.29,7467,2.56,92,4444,59.52
MUKANDENGG,EQ,2015-01-08,34.25,36.50,36.50,34.65,34.80,34.80,35.12,3301,1.16,72,2577,78.07
