Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MUKTAARTS,EQ,2014-12-04,28.45,28.95,29.00,28.40,28.50,28.90,28.62,8282,2.37,53,5062,61.12
MUKTAARTS,EQ,2014-12-05,28.90,28.65,29.00,28.10,28.10,28.30,28.59,4417,1.26,37,4280,96.90
MUKTAARTS,EQ,2014-12-08,28.30,28.00,28.60,27.35,28.35,28.30,28.24,1842,0.52,36,963,52.28
MUKTAARTS,EQ,2014-12-09,28.30,28.00,28.35,27.55,27.85,27.85,27.94,3098,0.87,26,2894,93.42
MUKTAARTS,EQ,2014-12-10,27.85,27.80,28.00,27.50,28.00,28.00,27.62,10108,2.79,32,9158,90.60
MUKTAARTS,EQ,2014-12-11,28.00,28.75,29.00,27.65,27.65,27.65,28.15,2032,0.57,17,1663,81.84
MUKTAARTS,EQ,2014-12-12,27.65,27.45,28.15,27.45,27.50,27.50,27.53,1402,0.39,16,1248,89.02
MUKTAARTS,EQ,2014-12-15,27.50,27.45,27.85,26.25,26.80,26.80,27.17,4783,1.30,26,3380,70.67
MUKTAARTS,EQ,2014-12-16,26.80,26.50,28.95,24.80,25.15,25.15,25.41,6459,1.64,92,5455,84.46
MUKTAARTS,EQ,2014-12-17,25.15,25.15,26.35,24.20,26.15,26.15,25.33,1586,0.40,39,1044,65.83
MUKTAARTS,EQ,2014-12-18,26.15,25.70,26.95,25.70,26.95,26.95,26.71,679,0.18,8,625,92.05
MUKTAARTS,EQ,2014-12-19,26.95,26.50,27.25,26.05,26.05,26.05,26.51,77767,20.62,23,76511,98.38
MUKTAARTS,EQ,2014-12-22,26.05,26.85,27.45,24.50,27.40,27.40,26.83,3810,1.02,70,3099,81.34
MUKTAARTS,EQ,2014-12-23,27.40,27.00,27.00,26.15,26.40,26.60,26.48,448,0.12,17,402,89.73
MUKTAARTS,EQ,2014-12-24,26.60,26.30,27.45,26.20,26.50,26.65,26.92,3549,0.96,44,1969,55.48
MUKTAARTS,EQ,2014-12-26,26.65,26.70,29.15,26.70,29.10,28.80,28.37,13647,3.87,112,11279,82.65
MUKTAARTS,EQ,2014-12-29,28.80,30.00,33.90,27.80,28.20,28.40,29.14,13715,4.00,151,9308,67.87
MUKTAARTS,EQ,2014-12-30,28.40,28.40,28.95,28.20,28.20,28.20,28.41,528,0.15,4,518,98.11
