Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MUNJALAU,EQ,2014-12-04,116.20,119.95,122.00,117.00,121.00,120.45,120.07,154241,185.20,2149,102733,66.61
MUNJALAU,EQ,2014-12-05,120.45,121.00,122.00,116.75,117.10,117.45,119.05,66863,79.60,1263,35824,53.58
MUNJALAU,EQ,2014-12-08,117.45,117.00,118.00,115.40,115.65,116.10,116.56,25464,29.68,606,17447,68.52
MUNJALAU,EQ,2014-12-09,116.10,115.20,117.50,112.00,115.90,113.25,114.47,35454,40.59,883,22919,64.64
MUNJALAU,EQ,2014-12-10,113.25,113.00,116.65,113.00,114.00,114.10,114.76,17603,20.20,603,7851,44.60
MUNJALAU,EQ,2014-12-11,114.10,114.10,114.70,111.00,112.30,112.95,112.93,24390,27.54,562,14069,57.68
MUNJALAU,EQ,2014-12-12,112.95,113.05,114.90,108.65,109.00,109.85,111.31,35895,39.95,701,22675,63.17
MUNJALAU,EQ,2014-12-15,109.85,109.00,112.45,106.80,108.90,109.00,109.30,25218,27.56,611,10734,42.56
MUNJALAU,EQ,2014-12-16,109.00,109.00,109.05,104.80,105.50,106.20,106.56,38604,41.14,694,26982,69.89
MUNJALAU,EQ,2014-12-17,106.20,105.00,107.00,101.50,105.25,105.90,104.55,32521,34.00,730,17541,53.94
MUNJALAU,EQ,2014-12-18,105.90,106.00,111.95,106.00,111.95,110.80,109.96,26750,29.41,668,15614,58.37
MUNJALAU,EQ,2014-12-19,110.80,111.95,112.80,110.05,110.95,110.60,111.12,15422,17.14,426,9399,60.95
MUNJALAU,EQ,2014-12-22,110.60,110.00,118.00,109.20,115.10,115.30,114.70,64206,73.64,1310,41935,65.31
MUNJALAU,EQ,2014-12-23,115.30,115.00,116.65,112.30,113.50,113.40,114.67,18773,21.53,533,10451,55.67
MUNJALAU,EQ,2014-12-24,113.40,113.50,115.65,110.50,111.25,111.45,111.80,15038,16.81,318,10241,68.10
MUNJALAU,EQ,2014-12-26,111.45,110.55,113.20,110.00,113.20,111.65,111.68,9032,10.09,289,3956,43.80
MUNJALAU,EQ,2014-12-29,111.65,111.50,113.75,110.15,111.00,110.85,111.49,16656,18.57,382,6865,41.22
MUNJALAU,EQ,2014-12-30,110.85,110.25,112.00,109.80,110.65,110.50,110.63,10852,12.01,208,6284,57.91
MUNJALAU,EQ,2014-12-31,110.50,110.00,116.75,109.05,113.80,113.85,114.03,78849,89.91,1451,23114,29.31
MUNJALAU,EQ,2015-01-01,113.85,113.25,117.00,112.35,114.65,114.55,114.73,25231,28.95,469,12656,50.16
MUNJALAU,EQ,2015-01-02,114.55,114.05,116.90,113.10,113.25,113.70,115.04,38341,44.11,800,18616,48.55
MUNJALAU,EQ,2015-01-05,113.70,114.70,116.50,111.15,112.15,112.15,112.78,25246,28.47,566,13712,54.31
MUNJALAU,EQ,2015-01-06,112.15,111.40,114.80,108.00,108.30,108.50,109.98,30236,33.25,634,19515,64.54
