Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
N100,EQ,2014-12-04,270.62,273.38,279.90,268.60,273.50,273.50,273.95,910,2.49,80,609,66.92
N100,EQ,2014-12-05,273.50,268.06,280.00,267.50,267.50,275.48,274.76,538,1.48,73,317,58.92
N100,EQ,2014-12-08,275.48,269.00,285.40,268.50,277.90,277.43,276.85,1163,3.22,108,1033,88.82
N100,EQ,2014-12-09,277.43,271.01,284.45,271.01,277.00,277.00,277.91,1521,4.23,93,1138,74.82
N100,EQ,2014-12-10,277.00,272.50,279.90,265.00,268.98,267.07,268.76,1327,3.57,110,807,60.81
N100,EQ,2014-12-11,267.07,268.01,274.36,256.00,259.00,259.74,261.70,2776,7.26,101,1925,69.34
N100,EQ,2014-12-12,259.74,264.65,269.95,260.01,269.95,269.95,265.93,432,1.15,40,358,82.87
N100,EQ,2014-12-15,269.95,262.01,269.90,262.01,263.00,262.46,262.93,48367,127.17,231,38706,80.03
N100,EQ,2014-12-16,262.46,264.95,264.95,254.00,257.80,256.06,256.18,17302,44.32,132,16856,97.42
N100,EQ,2014-12-17,256.06,255.50,257.00,248.10,252.85,253.67,254.01,730,1.85,35,654,89.59
N100,EQ,2014-12-18,253.67,264.00,264.00,254.41,257.50,256.62,259.75,3406,8.85,96,2737,80.36
N100,EQ,2014-12-19,256.62,262.90,269.00,258.50,260.00,259.99,260.20,3860,10.04,72,2456,63.63
N100,EQ,2014-12-22,259.99,262.00,267.20,260.51,264.00,263.89,263.88,1072,2.83,65,779,72.67
N100,EQ,2014-12-23,263.89,264.11,267.99,258.51,260.95,260.56,261.91,1542,4.04,56,1342,87.03
N100,EQ,2014-12-24,260.56,264.80,267.60,258.45,266.70,266.24,263.02,4491,11.81,62,4309,95.95
N100,EQ,2014-12-26,266.24,268.60,268.60,262.40,262.50,262.44,263.32,3363,8.86,54,3220,95.75
N100,EQ,2014-12-29,262.44,265.00,265.00,260.05,260.20,260.79,261.09,27525,71.86,95,25499,92.64
N100,EQ,2014-12-30,260.79,263.50,264.90,261.00,262.24,262.76,261.69,36585,95.74,83,34132,93.30
