Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NAHARSPING,EQ,2014-12-04,114.20,115.50,116.85,107.20,108.65,108.55,110.20,188596,207.83,2856,94116,49.90
NAHARSPING,EQ,2014-12-05,108.55,109.90,111.20,105.55,106.00,106.50,107.81,74020,79.80,1272,33485,45.24
NAHARSPING,EQ,2014-12-08,106.50,107.85,107.85,100.30,101.00,101.45,103.17,78413,80.90,1437,24732,31.54
NAHARSPING,EQ,2014-12-09,101.45,100.45,104.00,98.60,99.00,99.15,101.41,47110,47.77,891,18567,39.41
NAHARSPING,EQ,2014-12-10,99.15,97.00,99.00,96.15,98.45,98.15,98.18,47230,46.37,682,22289,47.19
NAHARSPING,EQ,2014-12-11,98.15,98.15,104.35,96.50,102.40,103.20,99.79,81327,81.16,1067,31365,38.57
NAHARSPING,EQ,2014-12-12,103.20,102.40,105.90,101.00,102.00,102.00,103.50,87933,91.01,1067,49139,55.88
NAHARSPING,EQ,2014-12-15,102.00,102.00,102.00,98.65,99.15,99.40,99.93,44584,44.55,636,15285,34.28
NAHARSPING,EQ,2014-12-16,99.40,99.00,99.50,94.00,95.30,94.50,96.33,40785,39.29,710,26347,64.60
NAHARSPING,EQ,2014-12-17,94.50,95.30,98.80,92.10,93.50,94.05,94.30,73362,69.18,912,46216,63.00
NAHARSPING,EQ,2014-12-18,94.05,100.00,104.95,98.20,103.60,103.35,101.41,128793,130.61,1898,40684,31.59
NAHARSPING,EQ,2014-12-19,103.35,105.70,106.00,95.65,97.90,98.20,101.10,112201,113.44,1510,57121,50.91
NAHARSPING,EQ,2014-12-22,98.20,98.65,98.90,95.25,95.60,95.70,96.42,33657,32.45,367,24902,73.99
NAHARSPING,EQ,2014-12-23,95.70,96.90,97.40,94.55,95.80,95.45,95.92,40146,38.51,501,25106,62.54
NAHARSPING,EQ,2014-12-24,95.45,95.90,96.90,95.00,96.30,95.90,95.77,46925,44.94,299,34747,74.05
NAHARSPING,EQ,2014-12-26,95.90,95.50,95.85,94.00,94.45,94.30,94.87,21144,20.06,267,14919,70.56
NAHARSPING,EQ,2014-12-29,94.30,95.20,97.00,94.25,94.75,95.10,95.55,84361,80.61,650,59097,70.05
NAHARSPING,EQ,2014-12-30,95.10,94.95,95.70,92.90,95.00,94.95,94.25,70775,66.71,619,52149,73.68
NAHARSPING,EQ,2014-12-31,94.95,95.50,97.00,94.10,95.55,95.85,95.50,42897,40.97,524,31130,72.57
NAHARSPING,EQ,2015-01-01,95.85,95.95,98.75,95.40,98.10,98.10,97.09,32448,31.50,338,22954,70.74
NAHARSPING,EQ,2015-01-02,98.10,100.00,100.00,98.00,99.40,99.00,98.92,20907,20.68,327,14230,68.06
NAHARSPING,EQ,2015-01-05,99.00,99.40,109.00,97.05,98.50,98.40,100.20,31494,31.56,600,19825,62.95
NAHARSPING,EQ,2015-01-06,98.40,98.85,98.90,94.40,95.50,95.85,95.60,34938,33.40,346,15133,43.31
NAHARSPING,EQ,2015-01-07,95.85,97.50,97.50,93.60,94.50,94.10,94.46,24611,23.25,377,18308,74.39
NAHARSPING,EQ,2015-01-08,94.10,96.00,97.50,94.60,96.35,96.00,95.93,15435,14.81,481,6531,42.31
NAHARSPING,EQ,2015-01-09,96.00,96.30,97.00,94.70,94.80,95.05,95.74,10240,9.80,211,6612,64.57
NAHARSPING,EQ,2015-01-12,95.05,97.45,97.45,95.25,96.50,96.25,96.24,13364,12.86,275,6578,49.22
NAHARSPING,EQ,2015-01-13,96.25,95.05,97.10,95.05,95.85,95.50,95.64,19663,18.81,200,14064,71.53
NAHARSPING,EQ,2015-01-14,95.50,95.50,96.00,93.60,93.65,93.85,94.67,12467,11.80,231,8828,70.81
NAHARSPING,EQ,2015-01-15,93.85,94.70,96.00,94.70,95.00,95.05,95.20,15990,15.22,348,7635,47.75
NAHARSPING,EQ,2015-01-16,95.05,95.25,95.60,92.20,92.80,93.10,93.94,29815,28.01,518,18679,62.65
NAHARSPING,EQ,2015-01-19,93.10,96.95,96.95,93.20,94.05,94.05,94.13,19482,18.34,377,10539,54.10
NAHARSPING,EQ,2015-01-20,94.05,94.45,95.00,93.60,94.30,94.20,94.35,35583,33.57,357,22134,62.20
NAHARSPING,EQ,2015-01-21,94.20,94.60,95.75,93.80,94.40,94.10,94.32,29188,27.53,228,18255,62.54
NAHARSPING,EQ,2015-01-22,94.10,94.45,95.80,93.60,93.70,93.95,94.63,22535,21.33,255,15131,67.14
NAHARSPING,EQ,2015-01-23,93.95,94.50,94.50,92.15,92.50,92.65,93.06,13393,12.46,366,7219,53.90
NAHARSPING,EQ,2015-01-27,92.65,92.65,94.00,92.00,92.80,93.05,93.14,29757,27.71,273,17480,58.74
NAHARSPING,EQ,2015-01-28,93.05,92.80,94.00,90.95,91.05,91.30,91.90,27943,25.68,616,15525,55.56
NAHARSPING,EQ,2015-01-29,91.30,91.00,93.90,91.00,92.40,92.10,91.98,14430,13.27,146,7631,52.88
NAHARSPING,EQ,2015-01-30,92.10,93.35,94.00,91.30,91.45,91.75,92.42,15567,14.39,379,8905,57.20
NAHARSPING,EQ,2015-02-02,91.75,92.75,93.00,91.00,93.00,92.65,91.98,9007,8.28,185,5884,65.33
NAHARSPING,EQ,2015-02-03,92.65,92.15,93.00,91.10,91.70,92.20,91.96,10125,9.31,305,2899,28.63
NAHARSPING,EQ,2015-02-04,92.20,92.00,96.50,92.00,94.20,94.25,94.50,54428,51.43,730,30984,56.93
NAHARSPING,EQ,2015-02-05,94.25,95.95,95.95,91.60,91.60,92.25,93.12,28966,26.97,467,21823,75.34
NAHARSPING,EQ,2015-02-06,92.25,92.80,93.80,89.55,90.35,90.00,90.56,21131,19.14,472,14740,69.76
NAHARSPING,EQ,2015-02-09,90.00,93.80,93.80,87.00,90.50,90.15,91.19,14446,13.17,383,9912,68.61
NAHARSPING,EQ,2015-02-10,90.15,92.90,92.90,85.50,87.00,86.95,88.43,18368,16.24,655,9941,54.12
NAHARSPING,EQ,2015-02-11,86.95,85.10,89.65,85.10,87.50,87.45,87.41,5281,4.62,210,3462,65.56
NAHARSPING,EQ,2015-02-12,87.45,90.00,92.35,88.05,92.00,91.75,90.44,30311,27.41,482,16922,55.83
NAHARSPING,EQ,2015-02-13,91.75,91.75,93.25,90.00,93.00,91.80,92.34,16395,15.14,226,12393,75.59
NAHARSPING,EQ,2015-02-16,91.80,93.90,93.90,89.50,90.25,89.90,90.90,52295,47.54,302,40245,76.96
NAHARSPING,EQ,2015-02-18,89.90,91.85,97.60,91.00,95.80,95.85,92.71,203053,188.26,920,171900,84.66
NAHARSPING,EQ,2015-02-19,95.85,96.00,96.50,93.00,95.00,95.25,94.52,21028,19.88,355,13854,65.88
NAHARSPING,EQ,2015-02-20,95.25,95.00,95.90,93.50,94.70,94.90,95.02,11691,11.11,150,8912,76.23
NAHARSPING,EQ,2015-02-23,94.90,95.50,96.40,93.50,95.95,95.90,95.61,37203,35.57,224,31175,83.80
NAHARSPING,EQ,2015-02-24,95.90,94.65,96.30,94.05,94.15,94.75,95.61,9427,9.01,130,6477,68.71
NAHARSPING,EQ,2015-02-25,94.75,94.50,98.00,94.50,97.60,97.65,96.61,33216,32.09,352,28617,86.15
NAHARSPING,EQ,2015-02-26,97.65,97.00,98.90,93.70,97.90,98.15,97.66,21426,20.92,336,13812,64.46
NAHARSPING,EQ,2015-02-27,98.15,98.95,102.90,95.60,100.00,100.15,100.37,49089,49.27,895,28139,57.32
NAHARSPING,EQ,2015-02-28,100.15,100.90,102.40,94.10,96.05,96.05,98.74,66744,65.90,639,43921,65.81
NAHARSPING,EQ,2015-03-02,96.05,97.00,98.00,94.30,96.30,95.10,95.61,35321,33.77,367,26189,74.15
NAHARSPING,EQ,2015-03-03,95.10,96.05,98.60,93.60,97.40,97.20,96.26,25868,24.90,245,19479,75.30
NAHARSPING,EQ,2015-03-04,97.20,97.50,103.00,96.50,99.40,99.15,100.16,57385,57.48,720,38483,67.06
NAHARSPING,EQ,2015-03-05,99.15,98.55,101.25,98.10,99.15,99.40,99.74,33188,33.10,343,20808,62.70
NAHARSPING,EQ,2015-03-09,99.40,97.50,101.50,97.50,98.10,98.30,99.09,14928,14.79,201,11366,76.14
NAHARSPING,EQ,2015-03-10,98.30,98.30,99.00,93.75,95.25,94.30,95.28,19297,18.39,178,16661,86.34
NAHARSPING,EQ,2015-03-11,94.30,96.00,96.85,94.00,95.00,94.45,94.95,15226,14.46,126,12406,81.48
NAHARSPING,EQ,2015-03-12,94.45,95.05,102.70,95.05,99.00,98.90,100.06,85438,85.49,1219,32711,38.29
NAHARSPING,EQ,2015-03-13,98.90,97.10,99.00,94.25,94.25,94.85,96.29,15665,15.08,305,10156,64.83
NAHARSPING,EQ,2015-03-16,94.85,93.10,97.90,91.00,91.25,91.60,93.54,31259,29.24,468,26190,83.78
NAHARSPING,EQ,2015-03-17,91.60,92.50,94.50,90.10,94.00,93.40,92.64,50736,47.00,371,31626,62.33
NAHARSPING,EQ,2015-03-18,93.40,94.95,94.95,91.60,91.65,92.45,93.07,45958,42.77,202,37163,80.86
NAHARSPING,EQ,2015-03-19,92.45,94.00,94.50,91.00,91.00,91.20,91.91,25690,23.61,189,17097,66.55
NAHARSPING,EQ,2015-03-20,91.20,91.20,91.50,88.35,88.50,89.65,90.50,13761,12.45,200,10015,72.78
NAHARSPING,EQ,2015-03-23,89.65,88.00,90.50,84.00,85.25,85.55,86.86,85067,73.89,628,73311,86.18
NAHARSPING,EQ,2015-03-24,85.55,86.00,86.00,82.05,82.05,82.90,84.21,23321,19.64,283,17605,75.49
NAHARSPING,EQ,2015-03-25,82.90,84.00,84.00,79.25,82.00,82.30,82.15,34403,28.26,397,18050,52.47
NAHARSPING,EQ,2015-03-26,82.30,80.70,82.95,80.05,82.30,82.05,82.07,23871,19.59,194,20697,86.70
NAHARSPING,EQ,2015-03-27,82.05,82.00,84.70,82.00,84.50,83.65,82.86,34399,28.50,179,29559,85.93
NAHARSPING,EQ,2015-03-30,83.65,84.50,90.00,83.25,89.50,89.30,88.60,43226,38.30,431,27044,62.56
NAHARSPING,EQ,2015-03-31,89.30,88.00,90.00,86.10,86.60,86.10,87.72,14033,12.31,189,11908,84.86
NAHARSPING,EQ,2015-04-01,86.10,86.00,92.30,86.00,92.30,92.00,89.79,24268,21.79,233,19362,79.78
NAHARSPING,EQ,2015-04-06,92.00,90.00,94.70,89.95,93.35,93.80,93.17,20447,19.05,263,15961,78.06
NAHARSPING,EQ,2015-04-07,93.80,93.90,94.70,90.00,91.90,91.05,91.64,23155,21.22,264,16803,72.57
NAHARSPING,EQ,2015-04-08,91.05,92.50,97.00,92.15,97.00,94.85,94.03,19586,18.42,302,13892,70.93
NAHARSPING,EQ,2015-04-09,94.85,96.00,101.50,96.00,99.60,99.50,98.98,62081,61.45,858,44509,71.70
NAHARSPING,EQ,2015-04-10,99.50,99.70,104.00,97.00,103.25,103.45,101.76,49659,50.53,637,35176,70.84
NAHARSPING,EQ,2015-04-13,103.45,101.90,105.50,101.00,105.45,103.85,102.97,37379,38.49,440,17727,47.43
NAHARSPING,EQ,2015-04-15,103.85,106.50,108.70,103.90,104.00,104.95,106.55,60159,64.10,842,34871,57.96
NAHARSPING,EQ,2015-04-16,104.95,103.15,105.30,101.00,102.25,103.25,103.37,32084,33.17,454,19760,61.59
NAHARSPING,EQ,2015-04-17,103.25,103.00,105.35,100.50,103.00,102.95,103.43,23774,24.59,333,15192,63.90
NAHARSPING,EQ,2015-04-20,102.95,102.00,103.00,95.70,95.70,95.95,98.51,18218,17.95,422,13378,73.43
NAHARSPING,EQ,2015-04-21,95.95,97.00,97.50,94.75,95.15,95.15,95.99,7113,6.83,197,5174,72.74
NAHARSPING,EQ,2015-04-22,95.15,96.45,97.40,93.00,93.70,94.10,94.79,20175,19.12,391,11750,58.24
NAHARSPING,EQ,2015-04-23,94.10,94.60,96.00,94.55,95.05,95.10,95.23,5589,5.32,94,3345,59.85
NAHARSPING,EQ,2015-04-24,95.10,94.05,94.55,91.70,92.85,92.50,92.85,13309,12.36,139,11652,87.55
NAHARSPING,EQ,2015-04-27,92.50,92.50,92.65,88.70,88.70,89.65,90.38,8301,7.50,159,6615,79.69
NAHARSPING,EQ,2015-04-28,89.65,90.00,91.90,90.00,91.20,91.35,90.96,3148,2.86,74,2020,64.17
NAHARSPING,EQ,2015-04-29,91.35,91.00,93.75,91.00,92.85,92.55,92.22,3055,2.82,78,2075,67.92
NAHARSPING,EQ,2015-04-30,92.55,92.00,94.80,91.00,94.60,94.30,93.66,11203,10.49,114,9310,83.10
NAHARSPING,EQ,2015-05-04,94.30,93.65,99.20,93.15,95.50,94.95,96.78,16346,15.82,366,9239,56.52
NAHARSPING,EQ,2015-05-05,94.95,95.20,96.70,94.75,95.05,95.65,96.00,12770,12.26,160,9462,74.10
NAHARSPING,EQ,2015-05-06,95.65,95.00,95.90,91.50,91.80,92.85,93.12,15645,14.57,233,9987,63.84
NAHARSPING,EQ,2015-05-07,92.85,91.65,93.45,89.00,90.00,89.50,90.43,19636,17.76,192,18028,91.81
NAHARSPING,EQ,2015-05-08,89.50,91.95,92.00,90.35,91.40,91.80,91.34,4482,4.09,74,2594,57.88
NAHARSPING,EQ,2015-05-11,91.80,90.50,92.50,90.50,92.00,91.95,91.67,12816,11.75,145,6099,47.59
NAHARSPING,EQ,2015-05-12,91.95,91.90,92.00,89.20,89.40,89.65,90.28,7896,7.13,101,5671,71.82
NAHARSPING,EQ,2015-05-13,89.65,90.00,91.50,89.75,89.80,90.80,90.60,33674,30.51,202,29972,89.01
NAHARSPING,EQ,2015-05-14,90.80,89.50,91.25,89.50,91.25,90.55,90.21,5372,4.85,108,3143,58.51
NAHARSPING,EQ,2015-05-15,90.55,91.95,92.40,89.75,90.00,90.75,90.73,43785,39.73,218,37354,85.31
NAHARSPING,EQ,2015-05-18,90.75,90.95,92.95,90.00,91.35,91.40,91.04,24930,22.70,213,19061,76.46
NAHARSPING,EQ,2015-05-19,91.40,91.45,92.45,88.60,91.45,91.40,91.19,19798,18.05,210,13019,65.76
NAHARSPING,EQ,2015-05-20,91.40,91.10,92.90,91.10,91.45,91.45,92.17,12151,11.20,137,8690,71.52
NAHARSPING,EQ,2015-05-21,91.45,91.10,92.25,91.10,92.25,92.05,91.93,4981,4.58,73,3777,75.83
NAHARSPING,EQ,2015-05-22,92.05,92.10,93.00,91.55,92.35,91.90,92.02,5680,5.23,71,4626,81.44
NAHARSPING,EQ,2015-05-25,91.90,93.70,93.70,90.80,91.00,91.10,91.45,10115,9.25,161,8579,84.81
NAHARSPING,EQ,2015-05-26,91.10,90.75,91.90,90.60,91.00,91.20,91.10,2875,2.62,45,2009,69.88
NAHARSPING,EQ,2015-05-27,91.20,90.50,91.90,89.75,90.20,90.30,90.43,9668,8.74,104,7606,78.67
NAHARSPING,EQ,2015-05-28,90.30,90.00,92.45,89.50,89.50,89.90,90.48,4331,3.92,161,1691,39.04
NAHARSPING,EQ,2015-05-29,89.90,92.00,93.00,89.70,90.00,90.10,90.33,6220,5.62,145,3540,56.91
NAHARSPING,EQ,2015-06-01,90.10,93.45,101.80,92.40,98.00,98.50,98.26,172927,169.92,2858,70293,40.65
NAHARSPING,EQ,2015-06-02,98.50,98.40,102.10,95.55,96.90,97.70,100.29,101893,102.19,1290,53567,52.57
NAHARSPING,EQ,2015-06-03,97.70,96.90,99.80,90.20,94.00,93.90,93.87,26652,25.02,470,15701,58.91
NAHARSPING,EQ,2015-06-04,93.90,95.00,95.65,91.15,91.15,92.85,93.84,14403,13.52,181,7914,54.95
NAHARSPING,EQ,2015-06-05,92.85,94.50,95.70,91.50,94.00,94.30,94.51,9889,9.35,162,6829,69.06
NAHARSPING,EQ,2015-06-08,94.30,94.00,94.90,91.20,91.25,91.45,92.49,14500,13.41,144,11064,76.30
NAHARSPING,EQ,2015-06-09,91.45,91.00,92.45,90.55,91.45,91.05,91.10,13698,12.48,183,9802,71.56
NAHARSPING,EQ,2015-06-10,91.05,92.95,92.95,91.25,91.90,92.05,92.09,8176,7.53,86,5294,64.75
NAHARSPING,EQ,2015-06-11,92.05,91.75,92.45,89.20,90.00,90.05,90.77,12590,11.43,136,10960,87.05
NAHARSPING,EQ,2015-06-12,90.05,91.40,91.40,89.10,89.10,89.40,90.05,5214,4.70,135,3441,66.00
NAHARSPING,EQ,2015-06-15,89.40,90.05,91.65,89.55,90.00,90.05,90.19,9124,8.23,128,7678,84.15
NAHARSPING,EQ,2015-06-16,90.05,89.25,91.85,88.60,89.05,89.30,89.61,11268,10.10,321,7075,62.79
NAHARSPING,EQ,2015-06-17,89.30,90.95,90.95,89.50,89.50,90.05,90.08,9783,8.81,115,7049,72.05
NAHARSPING,EQ,2015-06-18,90.05,91.10,91.55,90.40,90.70,90.85,91.05,4234,3.86,44,2175,51.37
NAHARSPING,EQ,2015-06-19,90.85,90.75,91.90,89.05,89.50,89.60,90.16,16626,14.99,233,10177,61.21
NAHARSPING,EQ,2015-06-22,89.60,89.10,93.40,87.30,92.95,92.40,91.99,28105,25.86,352,21553,76.69
NAHARSPING,EQ,2015-06-23,92.40,92.55,110.85,92.50,110.85,108.95,104.28,449670,468.90,7864,138430,30.78
NAHARSPING,EQ,2015-06-24,108.95,110.70,117.40,104.50,110.20,109.95,111.71,545465,609.32,8193,119483,21.90
NAHARSPING,EQ,2015-06-25,109.95,110.15,112.60,107.10,109.00,109.05,109.70,76579,84.01,1289,26207,34.22
NAHARSPING,EQ,2015-06-26,109.05,107.00,114.00,107.00,109.50,109.10,110.70,81630,90.36,1050,37725,46.21
NAHARSPING,EQ,2015-06-29,109.10,104.00,112.75,96.90,106.65,106.85,106.73,110324,117.75,1664,41269,37.41
NAHARSPING,EQ,2015-06-30,106.85,104.50,113.70,104.50,113.00,113.10,111.45,189917,211.66,2265,53153,27.99
NAHARSPING,EQ,2015-07-01,113.10,114.55,122.70,114.55,119.45,118.60,119.52,266539,318.57,3993,94779,35.56
NAHARSPING,EQ,2015-07-02,118.60,118.60,121.70,116.15,117.95,118.20,118.90,75256,89.48,1227,34469,45.80
NAHARSPING,EQ,2015-07-03,118.20,115.05,119.80,115.05,117.20,118.20,118.13,40238,47.53,506,22847,56.78
NAHARSPING,EQ,2015-07-06,118.20,117.55,123.50,114.25,120.10,121.05,118.17,156010,184.36,1522,79050,50.67
NAHARSPING,EQ,2015-07-07,121.05,120.05,125.30,118.00,122.00,121.15,122.14,106689,130.31,2201,46427,43.52
NAHARSPING,EQ,2015-07-08,121.15,121.00,124.00,118.00,119.60,119.90,121.10,99090,120.00,1280,40067,40.43
NAHARSPING,EQ,2015-07-09,119.90,120.00,124.40,120.00,121.00,121.20,122.37,75201,92.02,946,28015,37.25
NAHARSPING,EQ,2015-07-10,121.20,120.30,123.40,120.10,120.25,121.45,121.69,44589,54.26,590,28412,63.72
NAHARSPING,EQ,2015-07-13,121.45,121.00,123.40,119.40,122.40,122.15,121.79,41244,50.23,604,24999,60.61
NAHARSPING,EQ,2015-07-14,122.15,122.90,128.50,122.50,124.05,124.50,125.98,109165,137.53,1400,56196,51.48
NAHARSPING,EQ,2015-07-15,124.50,121.20,126.40,121.20,124.20,123.85,124.42,55225,68.71,582,30437,55.11
NAHARSPING,EQ,2015-07-16,123.85,124.70,125.40,121.65,122.00,122.60,123.57,28402,35.10,451,17256,60.76
NAHARSPING,EQ,2015-07-17,122.60,120.20,123.55,120.20,122.55,122.10,121.62,25709,31.27,468,16239,63.16
NAHARSPING,EQ,2015-07-20,122.10,120.80,123.00,117.85,119.90,119.75,120.34,19307,23.23,376,12013,62.22
NAHARSPING,EQ,2015-07-21,119.75,117.00,120.60,110.70,113.50,112.55,115.82,30536,35.37,529,16667,54.58
NAHARSPING,EQ,2015-07-22,112.55,112.00,117.00,112.00,114.00,114.15,114.14,33436,38.16,367,17505,52.35
NAHARSPING,EQ,2015-07-23,114.15,114.50,129.00,114.00,123.70,126.15,124.62,182040,226.85,2487,60102,33.02
NAHARSPING,EQ,2015-07-24,126.15,124.70,129.70,122.55,123.60,123.80,126.04,163164,205.64,2504,60220,36.91
NAHARSPING,EQ,2015-07-27,123.80,121.05,124.05,121.05,123.00,122.65,122.22,46918,57.34,367,23621,50.35
NAHARSPING,EQ,2015-07-28,122.65,123.80,128.00,123.00,124.50,125.10,125.82,72266,90.92,1079,35505,49.13
NAHARSPING,EQ,2015-07-29,125.10,126.15,130.40,124.60,125.00,125.45,127.17,119640,152.15,1322,60762,50.79
NAHARSPING,EQ,2015-07-30,125.45,126.00,132.50,124.00,131.60,130.00,129.72,185746,240.95,2787,89108,47.97
NAHARSPING,EQ,2015-07-31,130.00,130.90,134.60,127.70,128.95,128.85,130.64,181054,236.53,1704,90257,49.85
NAHARSPING,EQ,2015-08-03,128.85,128.85,142.55,128.85,139.25,139.25,137.59,358098,492.72,5566,128046,35.76
NAHARSPING,EQ,2015-08-04,139.25,139.25,145.25,137.60,141.55,141.95,142.24,217596,309.52,2866,93246,42.85
NAHARSPING,EQ,2015-08-05,141.95,143.00,144.55,123.50,125.20,127.40,132.71,296519,393.52,3504,156523,52.79
NAHARSPING,EQ,2015-08-06,127.40,136.05,152.85,132.85,152.85,152.85,146.08,979973,1431.51,12340,422422,43.11
NAHARSPING,EQ,2015-08-07,152.85,153.70,163.35,147.50,150.80,152.10,155.20,1086945,1686.90,18755,261111,24.02
