Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NAUKRI,EQ,2014-12-04,934.35,935.00,954.00,935.00,946.00,947.25,948.00,396290,3756.83,4067,370450,93.48
NAUKRI,EQ,2014-12-05,947.25,954.70,957.00,927.00,927.00,930.80,940.33,17783,167.22,1631,10451,58.77
NAUKRI,EQ,2014-12-08,930.80,938.05,965.00,931.05,940.15,939.40,949.69,69419,659.27,6400,30899,44.51
NAUKRI,EQ,2014-12-09,939.40,940.95,947.00,900.10,925.00,914.20,919.13,29692,272.91,2165,16921,56.99
NAUKRI,EQ,2014-12-10,914.20,895.00,918.50,886.60,894.00,896.20,898.11,47681,428.23,4484,27835,58.38
NAUKRI,EQ,2014-12-11,896.20,892.25,901.00,890.00,893.10,892.30,895.94,96884,868.02,4247,83915,86.61
NAUKRI,EQ,2014-12-12,892.30,906.00,906.00,880.10,899.35,892.50,894.79,26295,235.28,2265,15205,57.82
NAUKRI,EQ,2014-12-15,892.50,896.00,896.95,861.20,867.50,871.50,878.15,63812,560.37,2163,50132,78.56
NAUKRI,EQ,2014-12-16,871.50,862.80,862.80,806.35,833.60,822.10,838.22,411680,3450.80,8519,374248,90.91
NAUKRI,EQ,2014-12-17,822.10,821.00,849.95,821.00,844.80,845.30,843.01,147939,1247.15,4023,121224,81.94
NAUKRI,EQ,2014-12-18,845.30,848.00,865.00,848.00,865.00,860.25,859.72,30206,259.69,1291,23358,77.33
NAUKRI,EQ,2014-12-19,860.25,864.00,885.00,864.00,868.95,870.90,876.87,37747,330.99,3031,26771,70.92
NAUKRI,EQ,2014-12-22,870.90,877.00,883.40,855.05,870.00,869.55,871.09,52873,460.57,6471,29514,55.82
NAUKRI,EQ,2014-12-23,869.55,866.75,870.00,845.00,850.10,850.50,863.51,94860,819.12,1876,88273,93.06
NAUKRI,EQ,2014-12-24,850.50,856.00,865.80,838.00,841.20,843.00,843.69,401144,3384.40,3703,391698,97.65
NAUKRI,EQ,2014-12-26,843.00,852.95,852.95,838.00,849.00,847.95,846.39,14196,120.15,883,7554,53.21
NAUKRI,EQ,2014-12-29,847.95,847.95,853.95,838.55,840.00,843.20,843.82,520643,4393.29,5395,501250,96.28
NAUKRI,EQ,2014-12-30,843.20,847.00,856.95,838.00,843.05,842.25,846.21,12331,104.35,680,6016,48.79
NAUKRI,EQ,2014-12-31,842.25,843.50,861.00,843.50,849.00,850.40,851.04,131547,1119.51,1932,117960,89.67
NAUKRI,EQ,2015-01-01,850.40,850.40,874.00,841.55,856.00,855.75,856.54,30869,264.41,2573,11258,36.47
NAUKRI,EQ,2015-01-02,855.75,861.00,863.00,850.00,853.65,854.20,858.17,57562,493.98,974,48269,83.86
NAUKRI,EQ,2015-01-05,854.20,858.05,859.00,847.00,850.10,849.45,853.12,22590,192.72,1691,11567,51.20
NAUKRI,EQ,2015-01-06,849.45,852.00,859.00,830.00,830.10,837.45,848.66,46100,391.23,2637,28989,62.88
NAUKRI,EQ,2015-01-07,837.45,831.25,852.90,831.25,842.55,843.40,840.48,17096,143.69,3217,9157,53.56
