Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NBCC,EQ,2014-12-04,832.65,846.00,898.80,845.70,878.00,879.60,872.42,2411864,21041.70,59831,346992,14.39
NBCC,EQ,2014-12-05,879.60,886.70,922.80,873.40,877.00,879.05,903.92,1832492,16564.26,47309,293722,16.03
NBCC,EQ,2014-12-08,879.05,879.65,882.45,846.00,861.00,857.55,860.44,553058,4758.74,17318,144097,26.05
NBCC,EQ,2014-12-09,857.55,856.05,887.60,838.35,852.00,852.20,865.09,708035,6125.12,20989,117569,16.60
NBCC,EQ,2014-12-10,852.20,856.55,883.00,856.40,875.60,875.25,873.25,752658,6572.56,22456,118935,15.80
NBCC,EQ,2014-12-11,875.25,877.00,880.00,860.05,864.50,863.40,868.74,436177,3789.26,12944,84074,19.28
NBCC,EQ,2014-12-12,863.40,868.00,872.00,810.15,821.80,816.95,842.33,480869,4050.53,15030,157064,32.66
NBCC,EQ,2014-12-15,816.95,810.00,844.80,792.55,799.00,799.15,815.73,770103,6281.98,26078,201847,26.21
NBCC,EQ,2014-12-16,799.15,791.20,815.00,761.50,770.30,769.80,789.54,667710,5271.83,22184,132835,19.89
NBCC,EQ,2014-12-17,769.80,772.00,788.00,735.00,769.00,769.15,767.10,731531,5611.60,21398,115601,15.80
NBCC,EQ,2014-12-18,769.15,785.00,804.65,785.00,798.00,797.05,795.89,444179,3535.19,14412,100933,22.72
NBCC,EQ,2014-12-19,797.05,806.00,831.90,797.10,798.60,800.45,814.74,695160,5663.71,21047,147968,21.29
NBCC,EQ,2014-12-22,800.45,796.30,807.90,787.25,796.60,795.90,797.86,272239,2172.09,9371,66861,24.56
NBCC,EQ,2014-12-23,795.90,797.00,801.55,775.05,786.40,785.30,787.76,272247,2144.66,10057,70835,26.02
NBCC,EQ,2014-12-24,785.30,781.05,799.00,771.15,779.00,776.00,783.34,333083,2609.18,10872,60460,18.15
NBCC,EQ,2014-12-26,776.00,779.35,791.40,774.00,776.00,777.30,780.25,260680,2033.96,9497,67345,25.83
NBCC,EQ,2014-12-29,777.30,784.00,791.80,775.25,779.05,779.75,782.64,277068,2168.44,8827,67211,24.26
NBCC,EQ,2014-12-30,779.75,788.00,826.00,786.10,810.00,810.00,812.23,1342392,10903.30,36913,227110,16.92
NBCC,EQ,2014-12-31,810.00,814.00,831.45,808.80,818.35,817.85,821.70,633064,5201.90,16864,118259,18.68
NBCC,EQ,2015-01-01,817.85,820.10,830.90,808.30,823.00,821.80,820.91,419328,3442.31,12886,65815,15.70
NBCC,EQ,2015-01-02,821.80,825.00,842.45,821.40,825.15,827.30,832.76,639234,5323.29,16625,136780,21.40
NBCC,EQ,2015-01-05,827.30,834.90,841.70,821.10,827.90,827.60,831.40,371994,3092.75,12144,83674,22.49
NBCC,EQ,2015-01-06,827.60,818.00,818.00,782.25,787.55,787.00,799.66,390123,3119.64,12700,157170,40.29
NBCC,EQ,2015-01-07,787.00,789.90,801.50,778.05,790.45,788.90,790.16,342063,2702.84,11571,58747,17.17
NBCC,EQ,2015-01-08,788.90,802.55,821.50,798.10,805.00,805.20,809.66,694312,5621.55,18664,101184,14.57
NBCC,EQ,2015-01-09,805.20,835.00,847.50,822.30,826.05,829.10,833.31,731393,6094.75,22664,193707,26.48
NBCC,EQ,2015-01-12,829.10,831.40,831.40,815.25,825.00,823.05,822.17,269900,2219.03,8874,67300,24.94
NBCC,EQ,2015-01-13,823.05,828.10,843.00,815.00,822.00,822.50,829.38,450423,3735.72,13017,86256,19.15
NBCC,EQ,2015-01-14,822.50,824.90,825.30,806.60,815.40,814.15,814.64,239635,1952.17,8057,59402,24.79
NBCC,EQ,2015-01-15,814.15,825.00,827.85,815.00,820.10,819.60,820.67,283651,2327.85,8229,73303,25.84
NBCC,EQ,2015-01-16,819.60,819.80,841.60,810.00,828.40,827.95,829.77,468780,3889.78,14092,102648,21.90
NBCC,EQ,2015-01-19,827.95,828.20,832.95,815.05,821.50,821.35,824.82,234021,1930.24,7097,65034,27.79
NBCC,EQ,2015-01-20,821.35,823.50,840.00,818.10,824.50,824.70,829.70,498821,4138.72,13436,105806,21.21
NBCC,EQ,2015-01-21,824.70,829.90,837.00,822.00,826.30,826.60,828.37,253269,2098.02,7497,51378,20.29
NBCC,EQ,2015-01-22,826.60,829.10,843.10,826.30,831.95,831.85,834.68,456952,3814.08,11521,121087,26.50
NBCC,EQ,2015-01-23,831.85,840.00,840.00,816.40,820.00,820.45,825.50,216347,1785.95,6287,73355,33.91
NBCC,EQ,2015-01-27,820.45,825.40,825.40,810.00,814.05,812.70,813.79,162471,1322.18,5355,61433,37.81
NBCC,EQ,2015-01-28,812.70,812.00,874.00,805.00,863.00,865.75,850.24,1441065,12252.52,35760,357443,24.80
NBCC,EQ,2015-01-29,865.75,867.50,879.00,846.00,868.00,868.95,865.01,1043118,9023.04,26041,188709,18.09
NBCC,EQ,2015-01-30,868.95,873.50,885.90,861.85,879.00,880.35,874.92,756668,6620.27,20023,163997,21.67
NBCC,EQ,2015-02-02,880.35,872.35,909.00,867.00,892.00,892.25,890.53,777344,6922.48,20975,148186,19.06
NBCC,EQ,2015-02-03,892.25,894.00,898.40,872.70,875.00,878.15,884.12,376100,3325.16,10608,96691,25.71
NBCC,EQ,2015-02-04,878.15,880.95,881.00,851.45,854.00,856.75,864.83,234785,2030.49,7006,61621,26.25
NBCC,EQ,2015-02-05,856.75,855.00,869.30,834.30,840.80,838.85,853.50,184313,1573.12,5709,45819,24.86
NBCC,EQ,2015-02-06,838.85,836.00,840.70,801.10,806.00,807.00,817.94,270657,2213.80,9740,101100,37.35
NBCC,EQ,2015-02-09,807.00,800.00,800.00,683.10,710.00,709.30,739.39,677900,5012.31,22940,271539,40.06
NBCC,EQ,2015-02-10,709.30,705.10,762.20,699.20,730.00,726.50,738.55,1098011,8109.37,33012,361619,32.93
NBCC,EQ,2015-02-11,726.50,743.30,762.00,736.40,743.80,741.40,746.50,647820,4836.00,16864,229146,35.37
