Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NELCO,EQ,2014-12-04,88.80,88.10,95.60,87.45,91.40,91.80,92.27,465486,429.51,5026,103305,22.19
NELCO,EQ,2014-12-05,91.80,92.00,95.20,88.60,89.00,89.35,92.38,244132,225.52,2860,75467,30.91
NELCO,EQ,2014-12-08,89.35,89.50,90.80,84.50,85.75,85.85,87.30,102543,89.52,1394,52993,51.68
NELCO,EQ,2014-12-09,85.85,86.40,88.10,83.85,84.90,84.60,85.84,97164,83.40,1451,35391,36.42
NELCO,EQ,2014-12-10,84.60,85.40,86.25,83.20,84.70,84.30,84.95,62033,52.70,1032,26076,42.04
NELCO,EQ,2014-12-11,84.30,84.60,89.50,83.55,86.75,86.55,86.89,269864,234.48,3393,61522,22.80
NELCO,EQ,2014-12-12,86.55,86.05,88.80,82.70,83.20,83.30,85.96,122328,105.15,1687,38702,31.64
NELCO,EQ,2014-12-15,83.30,82.75,85.90,81.30,82.10,81.85,83.18,89131,74.14,1532,30398,34.10
NELCO,EQ,2014-12-16,81.85,81.00,82.65,72.55,73.70,73.40,76.81,106590,81.87,1632,57224,53.69
NELCO,EQ,2014-12-17,73.40,72.10,75.80,68.00,70.70,71.25,71.54,127261,91.04,1992,43608,34.27
NELCO,EQ,2014-12-18,71.25,73.50,77.75,73.50,76.80,75.65,75.57,79317,59.94,1207,39315,49.57
NELCO,EQ,2014-12-19,75.65,76.00,80.00,76.00,78.00,77.50,78.55,116553,91.56,1618,34447,29.55
NELCO,EQ,2014-12-22,77.50,79.40,79.90,77.60,78.95,78.75,78.70,47076,37.05,826,14779,31.39
NELCO,EQ,2014-12-23,78.75,79.30,81.85,77.75,78.50,78.80,80.15,96752,77.55,1466,42101,43.51
NELCO,EQ,2014-12-24,78.80,79.15,82.00,77.80,78.80,78.55,79.89,93986,75.08,1297,20633,21.95
NELCO,EQ,2014-12-26,78.55,79.95,79.95,77.40,77.80,78.10,78.67,44697,35.16,687,16932,37.88
NELCO,EQ,2014-12-29,78.10,78.65,81.00,76.05,77.70,77.35,79.00,103412,81.70,1248,40380,39.05
NELCO,EQ,2014-12-30,77.35,78.85,79.90,77.60,77.95,78.10,78.57,67402,52.96,972,22810,33.84
NELCO,EQ,2014-12-31,78.10,78.25,84.00,78.15,81.50,81.40,81.07,241757,195.99,2833,62929,26.03
NELCO,EQ,2015-01-01,81.40,79.55,92.00,79.55,89.20,89.20,88.44,867015,766.76,8274,133703,15.42
NELCO,EQ,2015-01-02,89.20,89.80,91.55,86.20,87.90,87.25,89.39,185016,165.39,2450,68671,37.12
NELCO,EQ,2015-01-05,87.25,87.00,90.35,86.40,87.75,87.10,88.38,94109,83.18,1558,35280,37.49
NELCO,EQ,2015-01-06,87.10,86.50,86.55,81.65,82.00,82.15,83.83,107124,89.81,1765,41865,39.08
NELCO,EQ,2015-01-07,82.15,82.60,87.40,80.60,85.50,85.80,85.13,189420,161.25,2677,45338,23.94
NELCO,EQ,2015-01-08,85.80,87.85,89.70,86.10,86.85,86.85,87.71,188197,165.08,2286,43287,23.00
NELCO,EQ,2015-01-09,86.85,88.00,89.15,85.45,86.00,86.25,87.50,115509,101.07,1589,42790,37.04
NELCO,EQ,2015-01-12,86.25,84.55,94.20,84.55,93.75,93.10,91.02,483811,440.38,6218,153867,31.80
