Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NEPCMICON,BE,2014-12-03,2.60,2.50,2.70,2.50,2.70,2.70,2.65,21020,0.56,29,-,-
NEPCMICON,BE,2014-12-04,2.70,2.70,2.80,2.70,2.70,2.70,2.77,13302,0.37,22,-,-
NEPCMICON,BE,2014-12-05,2.70,2.80,2.80,2.65,2.75,2.80,2.79,21847,0.61,43,-,-
NEPCMICON,BE,2014-12-08,2.80,2.70,2.90,2.70,2.90,2.90,2.87,24108,0.69,56,-,-
NEPCMICON,BE,2014-12-09,2.90,3.00,3.00,2.80,3.00,2.80,2.87,48742,1.40,53,-,-
NEPCMICON,BE,2014-12-10,2.80,2.90,2.90,2.75,2.90,2.90,2.88,11162,0.32,13,-,-
NEPCMICON,BE,2014-12-11,2.90,2.80,2.95,2.80,2.95,2.95,2.89,23337,0.67,25,-,-
NEPCMICON,BE,2014-12-12,2.95,3.05,3.05,2.85,2.85,2.85,2.94,4601,0.14,13,-,-
NEPCMICON,BE,2014-12-15,2.85,2.85,2.90,2.75,2.75,2.75,2.76,18563,0.51,30,-,-
NEPCMICON,BE,2014-12-16,2.75,2.65,2.75,2.65,2.65,2.65,2.67,11525,0.31,25,-,-
NEPCMICON,BE,2014-12-17,2.65,2.70,2.70,2.55,2.55,2.65,2.60,17218,0.45,40,-,-
NEPCMICON,BE,2014-12-18,2.65,2.55,2.75,2.55,2.70,2.70,2.62,8950,0.23,25,-,-
NEPCMICON,BE,2014-12-19,2.70,2.75,2.75,2.60,2.70,2.65,2.65,19224,0.51,38,-,-
NEPCMICON,BE,2014-12-22,2.65,2.75,2.75,2.55,2.70,2.65,2.65,8896,0.24,26,-,-
NEPCMICON,BE,2014-12-23,2.65,2.55,2.60,2.55,2.55,2.55,2.58,8450,0.22,11,-,-
NEPCMICON,BE,2014-12-24,2.55,2.45,2.55,2.45,2.55,2.55,2.51,3500,0.09,8,-,-
NEPCMICON,BE,2014-12-26,2.55,2.55,2.65,2.55,2.65,2.65,2.62,10556,0.28,34,-,-
NEPCMICON,BE,2014-12-29,2.65,2.65,2.75,2.55,2.55,2.60,2.62,30804,0.81,30,-,-
NEPCMICON,BE,2014-12-30,2.60,2.65,2.70,2.50,2.50,2.50,2.55,24442,0.62,26,-,-
NEPCMICON,BE,2014-12-31,2.50,2.40,2.55,2.40,2.45,2.45,2.41,18188,0.44,65,-,-
NEPCMICON,BE,2015-01-01,2.45,2.40,2.55,2.40,2.50,2.50,2.54,10585,0.27,44,-,-
NEPCMICON,BE,2015-01-02,2.50,2.40,2.60,2.40,2.50,2.55,2.52,20796,0.53,32,-,-
NEPCMICON,BE,2015-01-05,2.55,2.50,2.60,2.50,2.55,2.55,2.53,4305,0.11,7,-,-
NEPCMICON,BE,2015-01-06,2.55,2.60,2.60,2.45,2.50,2.45,2.46,10970,0.27,17,-,-
NEPCMICON,BE,2015-01-07,2.45,2.40,2.55,2.40,2.50,2.50,2.47,21540,0.53,20,-,-
NEPCMICON,BE,2015-01-08,2.50,2.60,2.60,2.60,2.60,2.60,2.60,3300,0.09,5,-,-
NEPCMICON,BE,2015-01-09,2.60,2.70,2.70,2.70,2.70,2.70,2.70,7151,0.19,13,-,-
NEPCMICON,BE,2015-01-12,2.70,2.80,2.80,2.80,2.80,2.80,2.80,11784,0.33,46,-,-
NEPCMICON,BE,2015-01-13,2.80,2.85,2.90,2.85,2.90,2.90,2.90,6902,0.20,17,-,-
NEPCMICON,BE,2015-01-14,2.90,3.00,3.00,2.90,2.90,2.90,2.96,6110,0.18,23,-,-
NEPCMICON,BE,2015-01-15,2.90,3.00,3.00,2.80,3.00,3.00,2.99,18972,0.57,43,-,-
NEPCMICON,BE,2015-01-16,3.00,3.00,3.00,2.90,3.00,3.00,2.97,10762,0.32,24,-,-
NEPCMICON,BE,2015-01-19,3.00,3.00,3.00,2.85,3.00,3.00,2.94,2655,0.08,14,-,-
NEPCMICON,BE,2015-01-20,3.00,3.00,3.00,2.85,2.85,2.85,2.90,16457,0.48,62,-,-
NEPCMICON,BE,2015-01-21,2.85,2.85,2.85,2.75,2.80,2.80,2.76,15110,0.42,40,-,-
NEPCMICON,BE,2015-01-22,2.80,2.80,2.90,2.70,2.70,2.70,2.76,25159,0.70,58,-,-
NEPCMICON,BE,2015-01-23,2.70,2.60,2.80,2.60,2.80,2.80,2.77,40113,1.11,56,-,-
NEPCMICON,BE,2015-01-27,2.80,2.90,2.90,2.70,2.90,2.90,2.88,14459,0.42,33,-,-
NEPCMICON,BE,2015-01-28,2.90,2.90,3.00,2.80,3.00,2.95,2.90,9531,0.28,31,-,-
NEPCMICON,BE,2015-01-29,2.95,2.90,2.95,2.85,2.90,2.90,2.89,2845,0.08,10,-,-
NEPCMICON,BE,2015-01-30,2.90,3.00,3.00,2.80,3.00,3.00,2.98,18933,0.56,24,-,-
NEPCMICON,BE,2015-02-02,3.00,3.00,3.10,2.85,3.05,3.05,2.98,22504,0.67,43,-,-
NEPCMICON,BE,2015-02-03,3.05,3.20,3.20,3.10,3.20,3.20,3.18,30545,0.97,89,-,-
NEPCMICON,BE,2015-02-04,3.20,3.35,3.35,3.15,3.30,3.20,3.24,8610,0.28,25,-,-
NEPCMICON,BE,2015-02-05,3.20,3.30,3.30,3.05,3.05,3.05,3.09,10580,0.33,76,-,-
NEPCMICON,BE,2015-02-06,3.05,2.90,2.90,2.90,2.90,2.90,2.90,5899,0.17,13,-,-
NEPCMICON,BE,2015-02-09,2.90,2.80,2.90,2.80,2.90,2.90,2.81,1836,0.05,16,-,-
NEPCMICON,BE,2015-02-10,2.90,2.90,2.95,2.80,2.80,2.80,2.82,5871,0.17,15,-,-
NEPCMICON,BE,2015-02-11,2.80,2.70,2.80,2.70,2.75,2.75,2.71,4307,0.12,11,-,-
NEPCMICON,BE,2015-02-12,2.75,2.70,2.85,2.65,2.75,2.85,2.71,5414,0.15,24,-,-
NEPCMICON,BE,2015-02-13,2.85,2.75,2.95,2.75,2.75,2.75,2.78,9665,0.27,24,-,-
NEPCMICON,BE,2015-02-16,2.75,2.85,2.85,2.65,2.75,2.65,2.76,14671,0.40,45,-,-
NEPCMICON,BE,2015-02-18,2.65,2.75,2.75,2.75,2.75,2.75,2.75,8010,0.22,14,-,-
NEPCMICON,BE,2015-02-19,2.75,2.85,2.85,2.85,2.85,2.85,2.85,1830,0.05,9,-,-
NEPCMICON,BE,2015-02-20,2.85,2.95,2.95,2.85,2.95,2.95,2.94,16879,0.50,30,-,-
NEPCMICON,BE,2015-02-23,2.95,3.05,3.05,3.05,3.05,3.05,3.05,12520,0.38,26,-,-
NEPCMICON,BE,2015-02-24,3.05,3.20,3.20,2.95,3.15,3.05,3.12,17241,0.54,45,-,-
NEPCMICON,BE,2015-02-25,3.05,2.90,3.20,2.90,3.05,3.05,3.03,11316,0.34,68,-,-
NEPCMICON,BE,2015-02-26,3.05,2.90,3.10,2.90,3.05,3.05,3.04,6921,0.21,24,-,-
NEPCMICON,BE,2015-02-27,3.05,3.05,3.15,2.90,3.00,3.05,3.06,26399,0.81,48,-,-
NEPCMICON,BE,2015-02-28,3.05,2.95,3.10,2.90,3.00,2.95,3.02,7824,0.24,20,-,-
NEPCMICON,BE,2015-03-02,2.95,2.95,3.00,2.85,2.85,2.85,2.93,13222,0.39,29,-,-
NEPCMICON,BE,2015-03-03,2.85,2.85,2.85,2.75,2.75,2.75,2.78,18477,0.51,43,-,-
NEPCMICON,BE,2015-03-04,2.75,2.65,2.85,2.65,2.65,2.80,2.76,37433,1.03,118,-,-
NEPCMICON,BE,2015-03-05,2.80,2.85,2.90,2.70,2.70,2.70,2.75,15229,0.42,58,-,-
NEPCMICON,BE,2015-03-09,2.70,2.80,2.80,2.60,2.80,2.80,2.72,15238,0.41,48,-,-
NEPCMICON,BE,2015-03-10,2.80,2.70,2.85,2.70,2.70,2.70,2.70,17285,0.47,21,-,-
NEPCMICON,BE,2015-03-11,2.70,2.80,2.80,2.60,2.75,2.70,2.66,12030,0.32,16,-,-
NEPCMICON,BE,2015-03-12,2.70,2.65,2.70,2.60,2.60,2.60,2.64,3701,0.10,14,-,-
NEPCMICON,BE,2015-03-13,2.60,2.60,2.70,2.50,2.55,2.65,2.59,4537,0.12,16,-,-
NEPCMICON,BE,2015-03-16,2.65,2.55,2.65,2.55,2.55,2.55,2.55,7535,0.19,16,-,-
NEPCMICON,BE,2015-03-17,2.55,2.45,2.45,2.45,2.45,2.45,2.45,33014,0.81,30,-,-
NEPCMICON,BE,2015-03-18,2.45,2.45,2.55,2.35,2.55,2.40,2.44,8196,0.20,33,-,-
NEPCMICON,BE,2015-03-19,2.40,2.30,2.50,2.30,2.40,2.50,2.35,4536,0.11,19,-,-
NEPCMICON,BE,2015-03-20,2.50,2.40,2.40,2.40,2.40,2.40,2.40,6500,0.16,4,-,-
NEPCMICON,BE,2015-03-23,2.40,2.30,2.45,2.30,2.45,2.45,2.38,6516,0.15,10,-,-
NEPCMICON,BE,2015-03-24,2.45,2.50,2.55,2.35,2.50,2.50,2.47,15935,0.39,22,-,-
NEPCMICON,BE,2015-03-25,2.50,2.55,2.55,2.40,2.40,2.40,2.40,1810,0.04,7,-,-
NEPCMICON,BE,2015-03-26,2.40,2.30,2.40,2.30,2.30,2.30,2.32,6300,0.15,14,-,-
NEPCMICON,BE,2015-03-27,2.30,2.20,2.35,2.20,2.30,2.20,2.26,10376,0.23,29,-,-
NEPCMICON,BE,2015-03-30,2.20,2.15,2.30,2.15,2.30,2.30,2.29,2260,0.05,7,-,-
NEPCMICON,BE,2015-03-31,2.30,2.30,2.40,2.25,2.40,2.40,2.34,6693,0.16,21,-,-
