Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NESTLEIND,EQ,2014-12-04,6325.10,6325.15,6375.00,6290.00,6290.00,6342.90,6341.95,24684,1565.45,1988,20567,83.32
NESTLEIND,EQ,2014-12-05,6342.90,6335.00,6379.95,6260.00,6270.10,6303.10,6323.07,9393,593.93,2193,5843,62.21
NESTLEIND,EQ,2014-12-08,6303.10,6260.00,6350.00,6260.00,6336.00,6335.75,6336.47,9593,607.86,2114,6511,67.87
NESTLEIND,EQ,2014-12-09,6335.75,6300.00,6375.00,6221.10,6250.00,6305.45,6292.47,9501,597.85,2777,5744,60.46
NESTLEIND,EQ,2014-12-10,6305.45,6265.00,6350.00,6260.10,6305.10,6313.40,6311.68,14021,884.96,3357,11014,78.55
NESTLEIND,EQ,2014-12-11,6313.40,6313.40,6359.90,6225.55,6330.00,6265.75,6295.79,15757,992.03,5392,11194,71.04
NESTLEIND,EQ,2014-12-12,6265.75,6300.00,6329.20,6230.00,6230.00,6282.35,6293.31,12049,758.28,4108,8559,71.03
NESTLEIND,EQ,2014-12-15,6282.35,6290.00,6290.00,6082.25,6100.00,6118.45,6156.80,9859,607.00,2713,6757,68.54
NESTLEIND,EQ,2014-12-16,6118.45,6100.00,6199.95,5985.45,6030.00,6036.55,6054.52,16607,1005.47,5687,8963,53.97
NESTLEIND,EQ,2014-12-17,6036.55,6036.00,6139.90,5990.00,6120.00,6052.10,6048.02,8243,498.54,2487,4009,48.64
NESTLEIND,EQ,2014-12-18,6052.10,6137.90,6189.00,6055.00,6140.00,6151.50,6138.68,9283,569.85,2837,4867,52.43
NESTLEIND,EQ,2014-12-19,6151.50,6215.00,6275.00,6120.00,6180.00,6177.80,6188.01,27382,1694.40,4958,15000,54.78
NESTLEIND,EQ,2014-12-22,6177.80,6250.00,6287.75,6180.00,6255.00,6251.80,6246.65,12987,811.25,2891,6853,52.77
NESTLEIND,EQ,2014-12-23,6251.80,6207.00,6280.00,6170.00,6203.90,6201.55,6203.05,7627,473.11,2446,4308,56.48
