Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NFL,EQ,2014-12-04,37.80,38.20,38.40,37.30,37.35,37.40,37.65,207006,77.94,909,104919,50.68
NFL,EQ,2014-12-05,37.40,37.75,38.45,37.00,37.30,37.50,37.78,454671,171.79,1646,190327,41.86
NFL,EQ,2014-12-08,37.50,38.05,40.15,37.70,38.80,38.90,39.09,965389,377.39,4875,455341,47.17
NFL,EQ,2014-12-09,38.90,39.95,40.00,36.85,37.15,37.05,38.31,968778,371.11,4926,472133,48.73
NFL,EQ,2014-12-10,37.05,37.00,37.85,36.80,37.05,37.10,37.28,289854,108.05,1348,102657,35.42
NFL,EQ,2014-12-11,37.10,37.25,38.20,36.35,36.95,36.85,37.11,322075,119.53,1540,101219,31.43
NFL,EQ,2014-12-12,36.85,37.20,37.50,35.50,35.80,35.90,36.63,218632,80.09,939,100317,45.88
NFL,EQ,2014-12-15,35.90,35.50,36.80,34.90,35.90,35.95,35.82,245762,88.02,1613,90071,36.65
NFL,EQ,2014-12-16,35.95,36.30,36.30,34.00,34.20,34.20,34.99,270423,94.62,1278,146344,54.12
NFL,EQ,2014-12-17,34.20,34.25,34.90,33.00,33.80,33.90,33.89,254822,86.36,1782,111613,43.80
NFL,EQ,2014-12-18,33.90,34.55,35.70,34.30,35.55,35.45,35.07,233106,81.75,1904,122876,52.71
NFL,EQ,2014-12-19,35.45,36.00,36.35,35.40,36.00,35.90,35.82,287849,103.10,1278,112396,39.05
NFL,EQ,2014-12-22,35.90,36.25,37.20,35.50,36.00,36.05,36.37,230121,83.70,1132,79200,34.42
NFL,EQ,2014-12-23,36.05,36.10,36.50,35.00,35.25,35.20,35.55,103999,36.97,669,43813,42.13
NFL,EQ,2014-12-24,35.20,35.55,37.35,35.20,36.25,36.10,36.40,417486,151.96,2343,102124,24.46
NFL,EQ,2014-12-26,36.10,35.95,36.85,35.70,36.00,36.05,36.25,187324,67.91,952,53504,28.56
NFL,EQ,2014-12-29,36.05,36.40,36.65,35.75,36.05,35.95,36.31,145442,52.81,518,89890,61.80
NFL,EQ,2014-12-30,35.95,36.25,36.75,35.85,36.35,36.30,36.35,237353,86.27,1086,66434,27.99
NFL,EQ,2014-12-31,36.30,36.65,36.75,36.30,36.40,36.45,36.53,110613,40.41,448,51922,46.94
NFL,EQ,2015-01-01,36.45,36.80,37.35,36.20,37.10,37.15,36.96,200703,74.17,1008,81042,40.38
NFL,EQ,2015-01-02,37.15,37.50,38.20,37.20,37.55,37.65,37.74,325408,122.82,2310,129518,39.80
