Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NILKAMAL,EQ,2014-12-04,407.50,411.30,438.00,406.00,427.20,427.25,428.83,463743,1988.67,12407,112083,24.17
NILKAMAL,EQ,2014-12-05,427.25,427.80,467.50,427.80,453.30,454.65,454.06,578148,2625.13,15186,123108,21.29
NILKAMAL,EQ,2014-12-08,454.65,455.85,474.00,445.10,450.00,450.30,461.42,211716,976.91,6599,70479,33.29
NILKAMAL,EQ,2014-12-09,450.30,452.00,460.65,422.35,433.00,428.75,441.46,123909,547.01,5270,48092,38.81
NILKAMAL,EQ,2014-12-10,428.75,429.10,505.80,429.10,492.30,497.30,486.89,1324890,6450.76,37690,224261,16.93
NILKAMAL,EQ,2014-12-11,497.30,495.55,501.85,475.60,491.20,491.35,490.00,466904,2287.83,15222,97374,20.86
NILKAMAL,EQ,2014-12-12,491.35,494.60,498.45,461.25,465.00,466.40,485.15,154392,749.04,6269,51400,33.29
NILKAMAL,EQ,2014-12-15,466.40,462.90,480.00,452.10,459.20,461.65,467.20,124390,581.15,5493,30912,24.85
NILKAMAL,EQ,2014-12-16,461.65,457.00,457.00,440.00,446.25,444.05,446.25,118556,529.05,3356,49376,41.65
NILKAMAL,EQ,2014-12-17,444.05,446.95,466.30,416.00,456.80,453.05,445.88,115032,512.91,4387,30022,26.10
NILKAMAL,EQ,2014-12-18,453.05,457.65,496.25,457.65,472.60,472.25,480.23,220922,1060.93,6807,77560,35.11
NILKAMAL,EQ,2014-12-19,472.25,481.95,493.40,460.50,465.00,463.70,480.26,164627,790.64,4760,47589,28.91
NILKAMAL,EQ,2014-12-22,463.70,462.00,480.95,462.00,474.65,475.75,474.86,100378,476.65,3244,50148,49.96
NILKAMAL,EQ,2014-12-23,475.75,478.00,492.00,464.80,467.05,468.30,480.01,157954,758.19,5272,41299,26.15
NILKAMAL,EQ,2014-12-24,468.30,463.60,474.70,461.05,466.00,463.30,466.59,49864,232.66,2058,16145,32.38
NILKAMAL,EQ,2014-12-26,463.30,465.00,498.00,453.00,479.30,479.45,482.60,255345,1232.30,9468,55529,21.75
NILKAMAL,EQ,2014-12-29,479.45,484.00,494.20,472.30,475.50,474.55,484.33,138148,669.10,4376,59784,43.28
NILKAMAL,EQ,2014-12-30,474.55,474.00,478.85,463.65,468.00,467.05,471.24,70967,334.42,2158,32825,46.25
NILKAMAL,EQ,2014-12-31,467.05,464.00,476.15,464.00,467.85,466.05,470.70,120295,566.23,3282,39159,32.55
NILKAMAL,EQ,2015-01-01,466.05,464.00,471.10,464.00,468.65,469.35,468.85,42688,200.14,2684,16833,39.43
NILKAMAL,EQ,2015-01-02,469.35,471.95,471.95,456.25,466.00,463.85,467.18,81990,383.04,3100,53155,64.83
NILKAMAL,EQ,2015-01-05,463.85,465.00,485.70,465.00,477.50,477.30,477.06,186539,889.91,5767,61829,33.15
NILKAMAL,EQ,2015-01-06,477.30,473.00,474.90,451.10,455.00,453.80,462.85,116594,539.66,4029,56735,48.66
NILKAMAL,EQ,2015-01-07,453.80,453.80,466.10,447.00,453.00,452.35,456.44,95857,437.53,3255,44511,46.43
NILKAMAL,EQ,2015-01-08,452.35,458.50,466.80,458.30,463.80,461.60,462.80,46663,215.96,1636,18335,39.29
NILKAMAL,EQ,2015-01-09,461.60,466.00,468.75,459.00,460.85,460.35,463.78,39872,184.92,1179,20950,52.54
NILKAMAL,EQ,2015-01-12,460.35,462.00,466.00,457.00,459.00,461.50,462.12,25249,116.68,1159,11409,45.19
NILKAMAL,EQ,2015-01-13,461.50,464.20,488.20,463.00,474.30,472.80,476.73,169503,808.06,5528,55978,33.02
NILKAMAL,EQ,2015-01-14,472.80,468.10,475.95,453.00,458.50,457.85,462.25,76147,351.99,2900,40934,53.76
NILKAMAL,EQ,2015-01-15,457.85,463.05,465.65,449.00,449.00,451.45,455.88,43996,200.57,1555,27489,62.48
NILKAMAL,EQ,2015-01-16,451.45,452.00,466.75,447.00,462.80,462.55,460.81,64010,294.96,2437,27613,43.14
NILKAMAL,EQ,2015-01-19,462.55,462.50,474.95,457.00,466.45,464.50,467.34,47909,223.90,2437,19016,39.69
NILKAMAL,EQ,2015-01-20,464.50,467.50,468.45,458.20,458.30,460.60,463.52,25750,119.36,1006,15841,61.52
NILKAMAL,EQ,2015-01-21,460.60,460.60,471.75,450.30,453.55,454.35,462.41,43535,201.31,2227,16432,37.74
NILKAMAL,EQ,2015-01-22,454.35,452.20,461.45,452.00,454.00,454.10,455.98,26927,122.78,1241,15538,57.70
NILKAMAL,EQ,2015-01-23,454.10,459.70,460.95,442.00,444.50,444.80,449.36,46090,207.11,1771,27146,58.90
NILKAMAL,EQ,2015-01-27,444.80,449.05,453.65,445.00,450.10,450.30,449.28,23923,107.48,970,15076,63.02
NILKAMAL,EQ,2015-01-28,450.30,448.00,470.00,448.00,457.00,456.25,459.57,81057,372.51,3184,29012,35.79
NILKAMAL,EQ,2015-01-29,456.25,458.60,468.35,453.00,463.00,464.40,463.84,56784,263.39,1993,23891,42.07
NILKAMAL,EQ,2015-01-30,464.40,464.40,475.85,460.00,462.00,461.50,468.88,42039,197.11,1565,23216,55.22
NILKAMAL,EQ,2015-02-02,461.50,459.90,469.00,456.60,461.95,460.00,463.13,26384,122.19,1398,14840,56.25
NILKAMAL,EQ,2015-02-03,460.00,468.60,468.60,450.10,456.10,457.10,458.44,35427,162.41,1155,18442,52.06
NILKAMAL,EQ,2015-02-04,457.10,460.00,460.00,435.50,439.95,440.15,443.15,51431,227.92,1954,27250,52.98
NILKAMAL,EQ,2015-02-05,440.15,440.00,454.00,435.00,438.25,438.30,444.66,43199,192.09,1935,19430,44.98
NILKAMAL,EQ,2015-02-06,438.30,441.70,441.70,420.55,422.25,423.30,428.29,31040,132.94,1297,18655,60.10
NILKAMAL,EQ,2015-02-09,423.30,424.90,424.90,405.05,411.00,411.65,413.74,37959,157.05,1606,19039,50.16
NILKAMAL,EQ,2015-02-10,411.65,411.80,428.80,410.10,418.00,418.05,421.32,41113,173.22,1581,23713,57.68
NILKAMAL,EQ,2015-02-11,418.05,422.40,423.85,415.50,421.00,419.30,419.47,23520,98.66,700,16848,71.63
NILKAMAL,EQ,2015-02-12,419.30,419.05,428.25,418.00,424.50,425.40,423.96,20670,87.63,976,9100,44.03
NILKAMAL,EQ,2015-02-13,425.40,428.70,459.90,415.00,449.50,446.80,448.85,126737,568.85,4681,36165,28.54
NILKAMAL,EQ,2015-02-16,446.80,455.35,464.20,450.00,454.00,452.45,456.85,80966,369.89,3737,27453,33.91
NILKAMAL,EQ,2015-02-18,452.45,455.90,457.70,437.45,449.00,446.60,449.02,36237,162.71,2692,17741,48.96
