Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NITINFIRE,EQ,2014-12-04,32.90,32.80,34.00,32.00,33.35,33.70,33.07,445589,147.37,2356,77267,17.34
NITINFIRE,EQ,2014-12-05,33.70,34.00,34.00,32.20,32.45,32.95,33.24,313877,104.33,1471,131816,42.00
NITINFIRE,EQ,2014-12-08,32.95,32.70,32.90,31.35,31.75,31.85,32.16,301160,96.84,1605,64960,21.57
NITINFIRE,EQ,2014-12-09,31.85,31.65,32.80,31.10,31.60,31.65,32.01,277805,88.91,1164,85608,30.82
NITINFIRE,EQ,2014-12-10,31.65,31.30,31.90,31.00,31.00,31.15,31.36,119312,37.42,704,63679,53.37
NITINFIRE,EQ,2014-12-11,31.15,31.40,32.80,30.60,31.75,31.95,31.72,309454,98.17,1517,95724,30.93
NITINFIRE,EQ,2014-12-12,31.95,31.60,32.90,30.60,32.80,32.40,31.91,362824,115.78,2274,159627,44.00
NITINFIRE,EQ,2014-12-15,32.40,33.00,33.30,32.20,32.95,32.90,32.86,475236,156.19,1460,345240,72.65
NITINFIRE,EQ,2014-12-16,32.90,32.55,34.35,32.05,32.80,32.65,32.93,662334,218.09,1831,294417,44.45
NITINFIRE,EQ,2014-12-17,32.65,32.55,33.45,31.35,31.90,31.75,31.89,406354,129.57,867,355723,87.54
NITINFIRE,EQ,2014-12-18,31.75,31.60,33.25,31.60,32.50,32.50,32.45,409306,132.82,705,328807,80.33
NITINFIRE,EQ,2014-12-19,32.50,32.95,33.10,31.80,31.80,32.05,32.66,476405,155.60,625,436444,91.61
NITINFIRE,EQ,2014-12-22,32.05,32.25,32.50,31.25,31.80,31.95,31.90,62080,19.80,395,31013,49.96
NITINFIRE,EQ,2014-12-23,31.95,32.00,32.45,31.50,31.50,31.65,31.87,57369,18.28,355,33077,57.66
NITINFIRE,EQ,2014-12-24,31.65,31.40,31.85,31.10,31.30,31.25,31.45,46811,14.72,308,29867,63.80
NITINFIRE,EQ,2014-12-26,31.25,31.25,31.80,31.00,31.10,31.15,31.29,37391,11.70,332,21383,57.19
NITINFIRE,EQ,2014-12-29,31.15,30.85,31.75,30.20,31.25,31.15,31.23,81336,25.40,583,37510,46.12
NITINFIRE,EQ,2014-12-30,31.15,31.00,31.60,30.75,30.90,31.00,31.22,48896,15.26,369,26952,55.12
NITINFIRE,EQ,2014-12-31,31.00,30.85,31.40,30.75,31.25,31.10,31.20,63017,19.66,365,31173,49.47
NITINFIRE,EQ,2015-01-01,31.10,31.00,31.85,31.00,31.70,31.60,31.51,52893,16.67,389,26761,50.59
NITINFIRE,EQ,2015-01-02,31.60,31.50,32.50,31.50,32.10,32.20,32.22,69924,22.53,537,35521,50.80
NITINFIRE,EQ,2015-01-05,32.20,32.40,33.45,32.05,32.90,32.80,32.83,137812,45.24,945,71256,51.71
NITINFIRE,EQ,2015-01-06,32.80,32.80,32.85,31.75,31.90,31.95,32.27,67640,21.83,608,32205,47.61
NITINFIRE,EQ,2015-01-07,31.95,32.00,32.40,31.20,31.35,31.45,31.62,42525,13.44,458,19163,45.06
NITINFIRE,EQ,2015-01-08,31.45,31.65,32.35,31.20,31.40,31.45,31.70,69073,21.90,556,41371,59.89
NITINFIRE,EQ,2015-01-09,31.45,31.60,31.95,31.30,31.50,31.50,31.55,125356,39.55,418,97433,77.73
NITINFIRE,EQ,2015-01-12,31.50,31.90,32.90,31.40,32.50,32.40,32.39,110994,35.95,704,55053,49.60
NITINFIRE,EQ,2015-01-13,32.40,32.70,37.70,32.45,36.95,36.75,36.47,1599707,583.47,9108,368396,23.03
NITINFIRE,EQ,2015-01-14,36.75,38.00,39.95,37.95,38.75,38.55,38.82,1028885,399.45,6335,327221,31.80
NITINFIRE,EQ,2015-01-15,38.55,38.80,39.15,36.20,36.90,36.80,37.09,202974,75.28,1857,93631,46.13
NITINFIRE,EQ,2015-01-16,36.80,36.20,37.80,35.55,36.50,36.45,36.52,231340,84.50,1915,63283,27.35
NITINFIRE,EQ,2015-01-19,36.45,36.40,38.30,36.20,36.85,36.95,37.22,162085,60.33,1114,74109,45.72
NITINFIRE,EQ,2015-01-20,36.95,37.40,37.40,36.15,36.30,36.30,36.57,91652,33.52,601,59070,64.45
NITINFIRE,EQ,2015-01-21,36.30,36.30,38.00,36.25,37.00,36.70,37.16,146927,54.60,1101,73888,50.29
NITINFIRE,EQ,2015-01-22,36.70,36.20,37.45,36.00,36.05,36.30,36.69,84709,31.08,672,46977,55.46
NITINFIRE,EQ,2015-01-23,36.30,36.00,36.90,34.60,34.80,34.90,35.54,130688,46.44,953,64096,49.05
NITINFIRE,EQ,2015-01-27,34.90,34.90,35.40,34.10,34.15,34.20,34.67,82099,28.46,606,40427,49.24
NITINFIRE,EQ,2015-01-28,34.20,34.05,34.20,33.10,33.50,33.50,33.77,134944,45.57,804,63476,47.04
NITINFIRE,EQ,2015-01-29,33.50,33.55,34.00,33.30,34.00,33.85,33.69,49954,16.83,372,25938,51.92
NITINFIRE,EQ,2015-01-30,33.85,34.30,34.35,33.50,33.70,33.70,33.92,66607,22.60,483,36166,54.30
NITINFIRE,EQ,2015-02-02,33.70,34.00,35.85,33.45,35.65,35.20,34.59,173491,60.01,1043,63800,36.77
NITINFIRE,EQ,2015-02-03,35.20,36.50,36.85,35.65,35.80,35.95,36.09,492902,177.90,2311,286376,58.10
NITINFIRE,EQ,2015-02-04,35.95,35.80,36.00,34.35,35.00,34.70,35.17,146925,51.67,788,69749,47.47
NITINFIRE,EQ,2015-02-05,34.70,34.70,35.45,33.70,33.90,33.85,34.73,140094,48.65,572,72095,51.46
NITINFIRE,EQ,2015-02-06,33.85,34.05,35.10,33.50,35.10,34.90,34.39,240942,82.87,815,143893,59.72
NITINFIRE,EQ,2015-02-09,34.90,34.70,34.75,33.60,33.75,33.95,34.05,89399,30.44,487,58249,65.16
NITINFIRE,EQ,2015-02-10,33.95,33.55,34.50,32.95,33.20,33.25,33.63,107839,36.26,624,53670,49.77
NITINFIRE,EQ,2015-02-11,33.25,33.40,34.00,33.30,33.85,33.90,33.74,68803,23.22,460,33151,48.18
NITINFIRE,EQ,2015-02-12,33.90,34.25,40.65,33.90,40.45,40.45,39.71,3427757,1361.01,13862,914947,26.69
NITINFIRE,EQ,2015-02-13,40.45,42.30,43.80,39.20,40.00,39.65,41.74,2037495,850.36,12260,727438,35.70
NITINFIRE,EQ,2015-02-16,39.65,39.75,40.70,38.30,38.60,38.70,38.97,318427,124.10,2157,122425,38.45
NITINFIRE,EQ,2015-02-18,38.70,38.70,39.10,38.30,38.75,38.80,38.74,236362,91.56,1303,116131,49.13
NITINFIRE,EQ,2015-02-19,38.80,38.80,39.45,37.10,38.00,38.05,38.45,205117,78.87,1269,88675,43.23
NITINFIRE,EQ,2015-02-20,38.05,38.00,40.50,37.80,39.45,39.35,39.44,668467,263.65,4223,172961,25.87
NITINFIRE,EQ,2015-02-23,39.35,43.05,44.55,41.65,43.10,43.50,43.43,2112146,917.29,12267,782930,37.07
NITINFIRE,EQ,2015-02-24,43.50,43.60,44.50,41.40,41.75,41.75,42.94,1850669,794.63,13766,401869,21.71
NITINFIRE,EQ,2015-02-25,41.75,41.80,43.80,40.90,42.50,42.45,42.68,954258,407.26,7063,335793,35.19
NITINFIRE,EQ,2015-02-26,42.45,43.15,43.90,41.20,41.70,41.70,42.77,1602733,685.55,11348,407535,25.43
NITINFIRE,EQ,2015-02-27,41.70,41.80,42.05,40.30,41.15,41.25,41.39,492460,203.81,2593,157765,32.04
NITINFIRE,EQ,2015-02-28,41.25,41.70,42.25,39.95,40.30,40.45,41.09,416830,171.26,2015,165055,39.60
NITINFIRE,EQ,2015-03-02,40.45,40.65,41.00,39.05,40.05,40.05,40.06,465073,186.33,2422,190178,40.89
NITINFIRE,EQ,2015-03-03,40.05,40.05,43.65,39.95,41.15,41.25,41.99,1777779,746.46,11193,429862,24.18
NITINFIRE,EQ,2015-03-04,41.25,41.20,41.75,39.90,40.50,40.20,40.90,552999,226.20,2836,263000,47.56
NITINFIRE,EQ,2015-03-05,40.20,40.15,42.60,39.55,40.85,41.15,41.32,808549,334.10,4994,254128,31.43
NITINFIRE,EQ,2015-03-09,41.15,40.50,42.50,40.20,41.20,41.20,41.25,822997,339.52,4975,220443,26.79
NITINFIRE,EQ,2015-03-10,41.20,41.60,42.30,40.75,41.10,41.00,41.38,453160,187.53,2549,217046,47.90
NITINFIRE,EQ,2015-03-11,41.00,40.90,41.65,39.75,40.35,40.30,40.75,380023,154.85,2198,174189,45.84
NITINFIRE,EQ,2015-03-12,40.30,40.60,41.20,39.90,40.00,40.10,40.52,319865,129.60,1681,126724,39.62
NITINFIRE,EQ,2015-03-13,40.10,40.45,40.75,38.70,38.90,38.85,39.60,331340,131.23,1637,142117,42.89
NITINFIRE,EQ,2015-03-16,38.85,38.95,38.95,37.40,37.50,37.65,38.25,264856,101.32,2061,128894,48.67
NITINFIRE,EQ,2015-03-17,37.65,37.40,38.45,36.80,36.90,37.00,37.43,280523,104.99,1435,123596,44.06
NITINFIRE,EQ,2015-03-18,37.00,37.20,37.25,36.40,36.70,36.60,36.74,218396,80.24,1424,86383,39.55
NITINFIRE,EQ,2015-03-19,36.60,37.00,37.40,35.65,35.75,35.95,36.64,216958,79.50,1386,92877,42.81
NITINFIRE,EQ,2015-03-20,35.95,36.05,36.05,34.65,34.70,34.90,35.34,202100,71.43,1270,87580,43.33
NITINFIRE,EQ,2015-03-23,34.90,34.15,35.90,34.15,34.40,34.40,34.88,251375,87.68,1632,109937,43.73
NITINFIRE,EQ,2015-03-24,34.40,34.30,34.80,34.00,34.25,34.25,34.24,237387,81.28,1225,81506,34.33
NITINFIRE,EQ,2015-03-25,34.25,34.45,34.50,33.50,33.65,33.80,34.16,178109,60.85,796,96722,54.30
NITINFIRE,EQ,2015-03-26,33.80,33.75,34.00,32.70,32.90,32.90,33.15,197032,65.32,976,97248,49.36
NITINFIRE,EQ,2015-03-27,32.90,33.85,33.85,31.00,32.15,31.80,32.27,413734,133.51,1476,244991,59.21
