Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NITINSPIN,EQ,2014-12-04,31.75,31.50,32.20,31.10,31.30,31.30,31.64,273409,86.52,884,189863,69.44
NITINSPIN,EQ,2014-12-05,31.30,31.95,31.95,30.15,30.25,30.25,30.74,86130,26.47,696,64374,74.74
NITINSPIN,EQ,2014-12-08,30.25,30.25,30.95,29.60,29.65,29.80,30.17,95548,28.83,513,65958,69.03
NITINSPIN,EQ,2014-12-09,29.80,30.60,30.60,28.75,28.95,28.85,29.26,131993,38.62,746,88549,67.09
NITINSPIN,EQ,2014-12-10,28.85,28.95,29.55,28.75,28.90,28.95,29.08,111895,32.54,406,82458,73.69
NITINSPIN,EQ,2014-12-11,28.95,29.50,29.50,28.55,29.25,29.00,28.99,97500,28.27,406,56703,58.16
NITINSPIN,EQ,2014-12-12,29.00,29.65,30.05,28.40,28.65,28.55,28.87,63091,18.21,667,30198,47.86
NITINSPIN,EQ,2014-12-15,28.55,28.90,28.90,27.85,28.00,28.00,28.16,43090,12.13,395,32134,74.57
NITINSPIN,EQ,2014-12-16,28.00,28.00,28.00,26.20,26.90,26.60,26.89,127219,34.21,537,104757,82.34
NITINSPIN,EQ,2014-12-17,26.60,26.20,26.95,25.25,26.85,26.70,26.32,91352,24.04,360,64668,70.79
NITINSPIN,EQ,2014-12-18,26.70,26.80,27.90,26.80,27.10,27.20,27.17,135579,36.84,534,83042,61.25
NITINSPIN,EQ,2014-12-19,27.20,27.50,28.00,27.20,27.20,27.40,27.63,31145,8.61,196,20975,67.35
NITINSPIN,EQ,2014-12-22,27.40,27.90,28.70,27.25,28.25,28.30,28.04,44828,12.57,210,30384,67.78
NITINSPIN,EQ,2014-12-23,28.30,28.80,28.80,27.75,28.00,27.95,28.19,32811,9.25,174,25282,77.05
NITINSPIN,EQ,2014-12-24,27.95,28.50,28.50,27.15,27.50,27.40,27.40,50387,13.81,177,26853,53.29
NITINSPIN,EQ,2014-12-26,27.40,27.55,28.15,27.25,27.65,27.70,27.60,20426,5.64,127,13423,65.72
NITINSPIN,EQ,2014-12-29,27.70,28.20,28.20,27.55,28.00,28.00,27.95,38967,10.89,132,34468,88.45
NITINSPIN,EQ,2014-12-30,28.00,27.80,28.00,27.55,27.65,27.65,27.73,15779,4.38,117,11239,71.23
NITINSPIN,EQ,2014-12-31,27.65,27.90,28.25,27.65,27.90,27.90,27.93,35038,9.79,142,28690,81.88
NITINSPIN,EQ,2015-01-01,27.90,27.80,28.40,27.15,27.85,27.95,27.88,45531,12.69,168,28986,63.66
NITINSPIN,EQ,2015-01-02,27.95,27.80,29.30,27.80,28.75,28.60,28.59,104602,29.91,334,64154,61.33
NITINSPIN,EQ,2015-01-05,28.60,28.05,29.00,28.05,28.30,28.40,28.55,37472,10.70,131,23764,63.42
NITINSPIN,EQ,2015-01-06,28.40,28.05,28.50,27.55,27.90,27.75,27.96,90422,25.28,250,52345,57.89
NITINSPIN,EQ,2015-01-07,27.75,27.75,28.80,27.60,28.65,28.60,28.33,57487,16.28,244,33861,58.90
NITINSPIN,EQ,2015-01-08,28.60,28.90,29.70,28.50,29.30,29.30,29.28,105519,30.89,373,76616,72.61
NITINSPIN,EQ,2015-01-09,29.30,29.90,30.30,29.00,29.75,29.85,29.88,85090,25.43,530,66446,78.09
NITINSPIN,EQ,2015-01-12,29.85,29.60,30.80,29.30,30.60,30.50,30.21,122810,37.10,800,70675,57.55
NITINSPIN,EQ,2015-01-13,30.50,30.50,31.25,30.05,30.05,30.10,30.38,65593,19.93,249,55366,84.41
NITINSPIN,EQ,2015-01-14,30.10,30.70,30.70,29.25,29.60,29.35,29.69,47100,13.99,262,29238,62.08
NITINSPIN,EQ,2015-01-15,29.35,30.85,30.85,29.00,29.55,29.45,29.64,54592,16.18,240,38099,69.79
NITINSPIN,EQ,2015-01-16,29.45,29.50,30.45,28.75,29.00,28.90,29.28,55793,16.34,229,41965,75.22
NITINSPIN,EQ,2015-01-19,28.90,30.00,30.00,28.50,28.75,28.90,29.08,27147,7.89,213,16434,60.54
NITINSPIN,EQ,2015-01-20,28.90,29.00,29.45,28.60,28.80,28.85,28.97,30325,8.79,149,24502,80.80
NITINSPIN,EQ,2015-01-21,28.85,29.30,30.00,28.80,28.95,28.95,29.19,41478,12.11,241,28396,68.46
NITINSPIN,EQ,2015-01-22,28.95,29.65,29.65,28.55,28.80,28.70,28.81,47118,13.58,179,35598,75.55
NITINSPIN,EQ,2015-01-23,28.70,28.75,29.70,28.40,29.10,29.15,28.86,66478,19.19,246,52159,78.46
NITINSPIN,EQ,2015-01-27,29.15,29.70,30.50,29.00,29.35,29.20,29.32,59920,17.57,231,47959,80.04
NITINSPIN,EQ,2015-01-28,29.20,29.30,29.90,28.55,28.55,28.60,28.89,16077,4.64,136,11512,71.61
NITINSPIN,EQ,2015-01-29,28.60,29.30,29.40,28.35,29.00,29.05,28.88,19508,5.63,121,10871,55.73
NITINSPIN,EQ,2015-01-30,29.05,29.80,29.80,28.30,28.95,28.80,28.78,32343,9.31,146,20408,63.10
NITINSPIN,EQ,2015-02-02,28.80,29.20,29.20,28.55,28.75,28.70,28.77,40429,11.63,113,19047,47.11
NITINSPIN,EQ,2015-02-03,28.70,28.60,29.10,28.35,28.55,28.55,28.58,36515,10.43,155,21984,60.21
NITINSPIN,EQ,2015-02-04,28.55,28.65,29.85,28.55,29.75,29.55,29.24,79232,23.17,362,58650,74.02
NITINSPIN,EQ,2015-02-05,29.55,30.50,31.40,29.55,30.00,29.90,30.65,399895,122.56,1720,173528,43.39
NITINSPIN,EQ,2015-02-06,29.90,30.25,30.50,29.05,29.50,29.30,29.67,90885,26.97,534,52042,57.26
NITINSPIN,EQ,2015-02-09,29.30,29.00,32.00,28.60,30.70,30.75,30.61,377486,115.54,1684,257520,68.22
NITINSPIN,EQ,2015-02-10,30.75,30.80,31.40,29.75,30.05,30.10,30.62,134069,41.05,734,79956,59.64
