Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NOIDATOLL,EQ,2014-12-04,33.80,33.95,33.95,33.40,33.50,33.45,33.62,141782,47.67,523,89543,63.16
NOIDATOLL,EQ,2014-12-05,33.45,33.60,35.00,33.60,33.80,33.85,34.25,209791,71.86,738,103255,49.22
NOIDATOLL,EQ,2014-12-08,33.85,33.60,34.30,33.60,34.10,34.05,33.98,241655,82.11,543,193912,80.24
NOIDATOLL,EQ,2014-12-09,34.05,34.20,34.75,33.40,33.40,33.45,33.97,219573,74.58,650,146631,66.78
NOIDATOLL,EQ,2014-12-10,33.45,33.55,33.70,33.25,33.30,33.35,33.40,92280,30.83,416,60925,66.02
NOIDATOLL,EQ,2014-12-11,33.35,33.40,33.75,32.90,33.10,33.15,33.06,326892,108.07,502,282103,86.30
NOIDATOLL,EQ,2014-12-12,33.15,33.20,33.25,32.20,32.50,32.45,32.66,162473,53.07,743,112892,69.48
NOIDATOLL,EQ,2014-12-15,32.45,32.15,32.50,31.70,31.75,31.85,32.09,158957,51.02,599,122584,77.12
NOIDATOLL,EQ,2014-12-16,31.85,31.60,32.35,31.50,32.00,31.90,31.81,245661,78.14,1012,181857,74.03
NOIDATOLL,EQ,2014-12-17,31.90,31.90,32.20,31.20,31.85,31.80,31.73,224393,71.20,753,138733,61.83
NOIDATOLL,EQ,2014-12-18,31.80,32.00,32.60,31.85,32.25,32.40,32.14,266625,85.69,648,198249,74.35
NOIDATOLL,EQ,2014-12-19,32.40,32.50,35.40,32.40,33.75,33.65,34.09,2153240,733.97,6411,488888,22.70
NOIDATOLL,EQ,2014-12-22,33.65,33.75,34.10,33.00,34.00,33.90,33.58,334696,112.41,874,199082,59.48
NOIDATOLL,EQ,2014-12-23,33.90,33.80,34.65,33.70,33.85,34.00,34.12,202068,68.94,806,113182,56.01
NOIDATOLL,EQ,2014-12-24,34.00,34.10,34.65,33.55,33.85,33.85,34.17,215741,73.71,1278,146817,68.05
NOIDATOLL,EQ,2014-12-26,33.85,34.00,34.20,33.35,33.40,33.50,33.70,132061,44.50,367,105326,79.76
NOIDATOLL,EQ,2014-12-29,33.50,33.40,34.00,32.90,33.00,33.00,33.24,286936,95.38,663,232123,80.90
NOIDATOLL,EQ,2014-12-30,33.00,32.70,33.60,32.70,33.60,33.50,33.13,178150,59.02,496,141727,79.55
NOIDATOLL,EQ,2014-12-31,33.50,33.50,35.40,33.35,34.90,35.00,34.73,417122,144.87,2175,305025,73.13
NOIDATOLL,EQ,2015-01-01,35.00,35.10,35.35,34.80,35.00,34.95,35.09,133238,46.75,499,86758,65.12
NOIDATOLL,EQ,2015-01-02,34.95,35.25,35.40,34.60,34.60,34.75,35.01,129001,45.16,510,91644,71.04
NOIDATOLL,EQ,2015-01-05,34.75,34.50,34.95,33.40,33.45,33.55,33.97,248686,84.48,784,189238,76.10
NOIDATOLL,EQ,2015-01-06,33.55,33.80,34.90,32.90,33.35,33.60,33.69,336823,113.49,929,169268,50.25
NOIDATOLL,EQ,2015-01-07,33.60,33.40,34.50,33.20,33.75,33.80,33.95,395294,134.21,1266,248004,62.74
NOIDATOLL,EQ,2015-01-08,33.80,34.05,34.40,33.70,33.80,33.75,33.86,862133,291.89,719,809348,93.88
NOIDATOLL,EQ,2015-01-09,33.75,34.40,34.60,33.80,33.80,33.85,34.07,230306,78.47,628,165462,71.84
NOIDATOLL,EQ,2015-01-12,33.85,34.00,34.15,33.60,33.65,33.65,33.83,77176,26.11,325,56898,73.72
NOIDATOLL,EQ,2015-01-13,33.65,33.70,34.30,33.40,34.25,34.10,33.83,473073,160.03,833,406192,85.86
NOIDATOLL,EQ,2015-01-14,34.10,34.25,34.70,34.00,34.10,34.05,34.35,106362,36.54,466,69576,65.41
NOIDATOLL,EQ,2015-01-15,34.05,34.85,34.90,34.00,34.20,34.25,34.42,215380,74.13,754,151198,70.20
NOIDATOLL,EQ,2015-01-16,34.25,34.25,35.80,34.10,35.00,35.00,34.97,313516,109.63,1512,190695,60.82
NOIDATOLL,EQ,2015-01-19,35.00,35.05,35.60,34.90,35.20,35.00,35.18,161892,56.96,1155,118287,73.07
