Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
OBEROIRLTY,EQ,2014-12-04,268.05,269.20,279.30,268.25,274.75,274.10,273.66,432016,1182.25,9332,266168,61.61
OBEROIRLTY,EQ,2014-12-05,274.10,275.95,279.55,270.50,273.10,273.25,273.42,194776,532.55,3014,131121,67.32
OBEROIRLTY,EQ,2014-12-08,273.25,273.25,284.90,270.00,273.00,272.55,275.59,381954,1052.63,7644,200551,52.51
OBEROIRLTY,EQ,2014-12-09,272.55,274.60,279.90,258.95,269.80,267.55,272.42,372238,1014.06,13618,249365,66.99
OBEROIRLTY,EQ,2014-12-10,267.55,269.55,272.90,265.55,266.05,268.30,268.90,32239,86.69,955,11870,36.82
OBEROIRLTY,EQ,2014-12-11,268.30,266.10,270.00,261.10,262.00,263.45,265.26,32940,87.38,912,13267,40.28
OBEROIRLTY,EQ,2014-12-12,263.45,263.65,265.85,255.15,256.20,257.00,258.81,42741,110.62,1076,19575,45.80
OBEROIRLTY,EQ,2014-12-15,257.00,253.80,255.65,250.00,255.00,254.75,254.36,65782,167.32,968,50012,76.03
OBEROIRLTY,EQ,2014-12-16,254.75,253.90,254.00,238.00,244.00,242.45,245.09,49662,121.72,1184,23027,46.37
OBEROIRLTY,EQ,2014-12-17,242.45,244.00,249.65,233.75,244.75,246.25,240.47,92395,222.19,2558,46130,49.93
OBEROIRLTY,EQ,2014-12-18,246.25,247.95,259.70,241.10,254.50,253.55,249.58,271246,676.99,7284,189767,69.96
OBEROIRLTY,EQ,2014-12-19,253.55,253.55,267.00,253.55,265.00,264.65,263.46,181778,478.92,5907,134346,73.91
OBEROIRLTY,EQ,2014-12-22,264.65,269.35,283.40,263.20,277.50,279.40,271.67,253593,688.93,5522,171595,67.67
OBEROIRLTY,EQ,2014-12-23,279.40,281.50,288.05,276.95,280.70,280.45,281.79,214241,603.71,6998,127220,59.38
OBEROIRLTY,EQ,2014-12-24,280.45,277.80,298.00,275.20,289.80,290.85,290.00,562653,1631.71,9558,372947,66.28
OBEROIRLTY,EQ,2014-12-26,290.85,290.85,293.70,278.50,280.00,279.75,283.37,93613,265.27,2526,45175,48.26
OBEROIRLTY,EQ,2014-12-29,279.75,282.00,285.85,270.00,274.00,274.55,279.50,61673,172.38,1544,37961,61.55
OBEROIRLTY,EQ,2014-12-30,274.55,275.10,283.05,273.30,278.00,280.15,279.85,176472,493.86,2670,133208,75.48
OBEROIRLTY,EQ,2014-12-31,280.15,280.00,284.95,278.30,284.70,280.20,281.00,117383,329.85,3266,89953,76.63
OBEROIRLTY,EQ,2015-01-01,280.20,282.00,284.60,278.05,281.25,280.10,281.21,21580,60.69,607,7197,33.35
OBEROIRLTY,EQ,2015-01-02,280.10,280.50,292.90,280.50,287.00,288.50,287.76,205106,590.22,3577,131534,64.13
OBEROIRLTY,EQ,2015-01-05,288.50,289.45,289.50,284.35,284.40,286.20,286.81,94331,270.55,2602,54252,57.51
OBEROIRLTY,EQ,2015-01-06,286.20,284.00,284.00,276.55,278.00,278.05,279.01,100455,280.28,3245,70662,70.34
OBEROIRLTY,EQ,2015-01-07,278.05,281.30,281.30,265.30,272.00,268.45,270.02,84567,228.35,2323,51670,61.10
OBEROIRLTY,EQ,2015-01-08,268.45,274.95,275.75,269.00,271.00,271.50,270.85,271966,736.63,4739,212414,78.10
OBEROIRLTY,EQ,2015-01-09,271.50,272.55,275.05,261.65,270.00,269.20,271.10,353732,958.95,5312,248561,70.27
OBEROIRLTY,EQ,2015-01-12,269.20,270.15,273.85,265.85,269.75,270.65,271.19,137086,371.77,3620,54550,39.79
OBEROIRLTY,EQ,2015-01-13,270.65,271.40,278.30,265.25,269.00,267.35,271.56,130680,354.88,4466,69316,53.04
OBEROIRLTY,EQ,2015-01-14,267.35,266.20,275.10,263.20,266.85,266.45,269.10,140135,377.11,3779,77567,55.35
OBEROIRLTY,EQ,2015-01-15,266.45,274.00,283.40,267.30,269.60,270.05,274.87,1182482,3250.26,18799,943426,79.78
OBEROIRLTY,EQ,2015-01-16,270.05,270.00,277.05,267.00,269.70,268.10,272.46,279435,761.34,9190,123136,44.07
OBEROIRLTY,EQ,2015-01-19,268.10,277.90,281.15,272.50,276.25,277.00,277.80,580642,1613.03,10423,231052,39.79
OBEROIRLTY,EQ,2015-01-20,277.00,282.00,284.65,278.00,278.60,280.35,279.52,1277904,3571.94,6846,1067725,83.55
OBEROIRLTY,EQ,2015-01-21,280.35,280.00,292.80,277.40,291.00,289.90,282.62,1109980,3136.98,8542,824028,74.24
OBEROIRLTY,EQ,2015-01-22,289.90,292.00,294.50,280.30,285.00,283.60,288.66,231703,668.83,4951,158645,68.47
OBEROIRLTY,EQ,2015-01-23,283.60,288.70,291.85,277.45,290.00,286.00,284.31,339812,966.12,8960,248960,73.26
OBEROIRLTY,EQ,2015-01-27,286.00,286.35,289.00,281.20,285.00,285.00,286.13,598427,1712.27,15669,510774,85.35
OBEROIRLTY,EQ,2015-01-28,285.00,288.85,288.85,272.20,281.80,283.95,283.33,427406,1210.98,12143,318247,74.46
OBEROIRLTY,EQ,2015-01-29,283.95,283.00,285.70,279.55,280.00,281.55,282.76,104681,295.99,3534,57728,55.15
OBEROIRLTY,EQ,2015-01-30,281.55,281.95,291.90,279.00,284.00,283.25,285.73,716393,2046.93,7078,524801,73.26
OBEROIRLTY,EQ,2015-02-02,283.25,284.80,285.75,278.20,279.00,279.05,282.02,87633,247.14,3671,45173,51.55
OBEROIRLTY,EQ,2015-02-03,279.05,284.35,284.35,276.60,278.00,278.45,280.32,114717,321.57,4639,73364,63.95
OBEROIRLTY,EQ,2015-02-04,278.45,280.10,283.25,276.00,279.05,279.95,280.00,978809,2740.63,3381,931911,95.21
OBEROIRLTY,EQ,2015-02-05,279.95,280.50,284.00,276.35,278.20,278.50,280.11,162440,455.01,8643,118664,73.05
OBEROIRLTY,EQ,2015-02-06,278.50,278.50,281.95,272.10,272.25,274.25,278.77,1162373,3240.35,5579,1074271,92.42
OBEROIRLTY,EQ,2015-02-09,274.25,274.25,277.70,268.30,269.55,270.60,272.55,66772,181.99,2036,34935,52.32
OBEROIRLTY,EQ,2015-02-10,270.60,269.00,279.60,268.00,274.25,274.60,275.19,151078,415.76,4072,116006,76.79
OBEROIRLTY,EQ,2015-02-11,274.60,276.00,279.45,273.25,275.00,275.70,275.11,64018,176.12,1717,41415,64.69
OBEROIRLTY,EQ,2015-02-12,275.70,274.00,281.10,274.00,277.50,278.40,278.67,723918,2017.34,6685,629570,86.97
OBEROIRLTY,EQ,2015-02-13,278.40,280.00,283.00,271.80,273.10,273.15,279.11,2094336,5845.50,9664,1898246,90.64
OBEROIRLTY,EQ,2015-02-16,273.15,274.00,279.80,266.25,266.70,267.15,271.89,1503053,4086.65,10906,1326368,88.24
