Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
OFSS,EQ,2014-12-04,3446.65,3440.00,3565.00,3435.00,3512.45,3521.15,3515.66,70408,2475.31,4667,33555,47.66
OFSS,EQ,2014-12-05,3521.15,3524.80,3565.05,3431.05,3435.00,3450.55,3503.81,45160,1582.32,3921,22736,50.35
OFSS,EQ,2014-12-08,3450.55,3430.00,3449.90,3325.00,3329.95,3336.70,3369.33,15123,509.54,1573,5974,39.50
OFSS,EQ,2014-12-09,3336.70,3350.00,3389.00,3285.05,3290.00,3293.50,3311.55,14549,481.80,2006,7452,51.22
OFSS,EQ,2014-12-10,3293.50,3315.00,3315.00,3285.00,3310.00,3300.70,3298.31,11066,364.99,1470,7626,68.91
OFSS,EQ,2014-12-11,3300.70,3281.30,3325.00,3256.25,3280.30,3288.75,3295.59,14731,485.47,2014,6964,47.27
OFSS,EQ,2014-12-12,3288.75,3282.95,3320.00,3250.00,3256.60,3256.30,3275.50,7749,253.82,1281,4188,54.05
OFSS,EQ,2014-12-15,3256.30,3256.40,3295.40,3231.00,3265.25,3254.35,3260.79,13761,448.72,1711,7122,51.75
OFSS,EQ,2014-12-16,3254.35,3224.00,3315.95,3224.00,3252.10,3272.05,3275.17,27308,894.38,2233,14676,53.74
OFSS,EQ,2014-12-17,3272.05,3253.95,3289.00,3162.60,3216.25,3225.90,3217.60,15593,501.72,2518,9672,62.03
OFSS,EQ,2014-12-18,3225.90,3212.00,3269.95,3200.00,3241.15,3239.80,3238.94,10637,344.53,1383,7317,68.79
OFSS,EQ,2014-12-19,3239.80,3296.95,3362.00,3270.00,3326.10,3323.60,3328.22,271233,9027.24,2601,258457,95.29
OFSS,EQ,2014-12-22,3323.60,3327.05,3390.40,3327.05,3374.00,3363.25,3362.55,12258,412.18,2008,5740,46.83
OFSS,EQ,2014-12-23,3363.25,3343.00,3380.00,3308.50,3335.40,3347.40,3350.75,10597,355.08,1546,5743,54.19
OFSS,EQ,2014-12-24,3347.40,3332.05,3373.90,3310.50,3318.40,3334.40,3339.57,46796,1562.78,4026,39347,84.08
OFSS,EQ,2014-12-26,3334.40,3318.80,3358.00,3305.00,3330.00,3333.60,3329.54,5852,194.84,527,3820,65.28
OFSS,EQ,2014-12-29,3333.60,3313.00,3430.00,3313.00,3385.00,3395.15,3395.19,13665,463.95,2028,7989,58.46
OFSS,EQ,2014-12-30,3395.15,3378.90,3397.95,3348.00,3370.00,3361.80,3365.73,13969,470.16,1607,11036,79.00
OFSS,EQ,2014-12-31,3361.80,3372.00,3405.00,3353.05,3357.45,3362.55,3376.87,9614,324.65,1095,5670,58.98
OFSS,EQ,2015-01-01,3362.55,3358.00,3389.70,3335.00,3360.00,3357.65,3354.12,10782,361.64,1135,6669,61.85
OFSS,EQ,2015-01-02,3357.65,3341.00,3435.95,3341.00,3420.00,3411.15,3377.83,343426,11600.34,2707,324088,94.37
OFSS,EQ,2015-01-05,3411.15,3395.50,3479.50,3395.50,3410.00,3405.60,3446.19,35442,1221.40,2881,16770,47.32
OFSS,EQ,2015-01-06,3405.60,3395.00,3395.00,3282.00,3300.00,3300.60,3318.94,17425,578.32,2354,10040,57.62
OFSS,EQ,2015-01-07,3300.60,3305.00,3324.60,3280.00,3301.00,3300.70,3301.49,15052,496.94,1823,12092,80.33
OFSS,EQ,2015-01-08,3300.70,3302.00,3399.00,3302.00,3315.00,3325.15,3336.11,21107,704.15,2545,10450,49.51
OFSS,EQ,2015-01-09,3325.15,3312.65,3330.00,3258.15,3293.75,3289.20,3285.57,30759,1010.61,5507,15987,51.98
