Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
OMKARCHEM,EQ,2014-12-04,157.95,157.50,159.80,153.00,153.50,154.10,157.21,107831,169.53,1603,22178,20.57
OMKARCHEM,EQ,2014-12-05,154.10,155.00,158.90,153.50,158.00,157.35,155.91,100566,156.80,1530,10926,10.86
OMKARCHEM,EQ,2014-12-08,157.35,159.00,160.00,154.50,155.00,155.20,156.38,98109,153.42,1065,9098,9.27
OMKARCHEM,EQ,2014-12-09,155.20,157.00,157.80,152.40,154.70,153.10,154.89,92717,143.61,1428,11990,12.93
OMKARCHEM,EQ,2014-12-10,153.10,155.10,156.00,153.15,155.80,155.15,154.52,89133,137.73,746,4536,5.09
OMKARCHEM,EQ,2014-12-11,155.15,157.00,157.15,153.60,157.15,156.30,154.72,84672,131.01,614,6609,7.81
OMKARCHEM,EQ,2014-12-12,156.30,157.00,158.00,154.00,154.00,154.50,155.69,83789,130.46,770,3632,4.33
OMKARCHEM,EQ,2014-12-15,154.50,156.00,156.00,153.50,153.50,154.15,154.77,81077,125.48,629,1799,2.22
OMKARCHEM,EQ,2014-12-16,154.15,156.00,156.00,147.00,150.00,149.35,151.03,93826,141.71,1392,19117,20.37
OMKARCHEM,EQ,2014-12-17,149.35,149.00,150.00,138.55,146.00,143.75,142.80,192886,275.44,2248,86458,44.82
OMKARCHEM,EQ,2014-12-18,143.75,145.00,148.45,141.30,143.90,144.45,145.03,102624,148.84,980,11595,11.30
OMKARCHEM,EQ,2014-12-19,144.45,148.00,148.00,138.00,139.40,138.70,142.86,107887,154.12,1237,23759,22.02
OMKARCHEM,EQ,2014-12-22,138.70,144.90,144.90,139.55,140.50,140.95,140.42,85913,120.64,938,6720,7.82
OMKARCHEM,EQ,2014-12-23,140.95,146.00,146.00,140.65,143.80,142.60,142.04,88186,125.26,838,4839,5.49
OMKARCHEM,EQ,2014-12-24,142.60,144.00,145.75,142.00,143.30,144.50,143.88,95399,137.26,1770,2585,2.71
OMKARCHEM,EQ,2014-12-26,144.50,146.00,149.85,143.70,149.60,148.65,146.46,97159,142.30,1394,5816,5.99
OMKARCHEM,EQ,2014-12-29,148.65,151.00,155.00,148.50,154.95,154.50,151.16,113235,171.17,1627,22608,19.97
OMKARCHEM,EQ,2014-12-30,154.50,156.75,156.90,153.65,156.90,155.45,154.63,98229,151.89,2025,10061,10.24
OMKARCHEM,EQ,2014-12-31,155.45,157.00,159.50,155.00,159.35,158.85,157.11,85804,134.81,1404,6202,7.23
OMKARCHEM,EQ,2015-01-01,158.85,159.95,162.50,158.10,162.50,162.35,159.93,100604,160.89,866,16262,16.16
OMKARCHEM,EQ,2015-01-02,162.35,164.00,164.50,159.70,160.20,162.05,161.99,110520,179.04,1359,26447,23.93
OMKARCHEM,EQ,2015-01-05,162.05,163.00,170.00,160.30,167.70,166.30,165.07,115910,191.33,2149,28977,25.00
OMKARCHEM,EQ,2015-01-06,166.30,167.50,167.50,161.25,163.30,162.75,163.69,100852,165.09,1485,13556,13.44
OMKARCHEM,EQ,2015-01-07,162.75,163.00,167.50,163.00,166.50,165.40,164.63,93481,153.90,1665,7724,8.26
OMKARCHEM,EQ,2015-01-08,165.40,166.10,169.80,166.10,167.60,168.15,168.55,107624,181.40,1749,9470,8.80
OMKARCHEM,EQ,2015-01-09,168.15,169.90,170.35,168.30,169.05,169.50,169.18,88367,149.50,1648,6606,7.48
OMKARCHEM,EQ,2015-01-12,169.50,171.00,171.00,166.65,168.00,167.70,168.10,87503,147.09,1282,8355,9.55
OMKARCHEM,EQ,2015-01-13,167.70,169.00,169.20,166.25,168.90,166.95,168.08,15539,26.12,303,2340,15.06
OMKARCHEM,EQ,2015-01-14,166.95,169.85,170.00,166.05,168.10,168.95,167.81,98529,165.35,1529,5723,5.81
OMKARCHEM,EQ,2015-01-15,168.95,165.50,170.45,165.50,169.00,170.00,169.78,119797,203.39,1107,35495,29.63
OMKARCHEM,EQ,2015-01-16,170.00,171.00,175.50,168.00,175.40,173.50,171.14,107935,184.72,1550,16507,15.29
OMKARCHEM,EQ,2015-01-19,173.50,176.95,179.50,173.00,173.00,174.00,174.85,125997,220.30,1463,34113,27.07
OMKARCHEM,EQ,2015-01-20,174.00,176.80,176.80,167.90,170.00,170.35,171.39,130433,223.55,2086,37057,28.41
OMKARCHEM,EQ,2015-01-21,170.35,171.00,186.00,168.95,175.00,172.40,170.69,239285,408.44,2142,131189,54.83
OMKARCHEM,EQ,2015-01-22,172.40,177.00,179.00,169.70,170.10,171.55,172.02,114318,196.66,2848,26269,22.98
OMKARCHEM,EQ,2015-01-23,171.55,174.90,174.90,168.70,170.05,169.85,169.94,84159,143.02,1716,9795,11.64
OMKARCHEM,EQ,2015-01-27,169.85,169.00,174.00,166.20,166.20,166.85,170.03,94378,160.48,794,14972,15.86
OMKARCHEM,EQ,2015-01-28,166.85,169.90,171.50,166.55,170.00,169.80,167.99,87148,146.40,725,13204,15.15
OMKARCHEM,EQ,2015-01-29,169.80,170.00,174.50,167.10,168.50,168.15,169.49,113419,192.24,1566,18162,16.01
OMKARCHEM,EQ,2015-01-30,168.15,170.00,170.60,166.00,170.05,168.25,168.45,101858,171.57,1118,12214,11.99
OMKARCHEM,EQ,2015-02-02,168.25,168.25,170.05,163.70,169.95,169.55,168.18,94012,158.10,1433,11583,12.32
OMKARCHEM,EQ,2015-02-03,169.55,174.80,175.35,168.60,170.00,170.00,170.30,467892,796.83,1599,31411,6.71
OMKARCHEM,EQ,2015-02-04,170.00,171.80,171.80,165.10,166.00,166.35,167.87,105971,177.90,1065,20405,19.26
OMKARCHEM,EQ,2015-02-05,166.35,164.05,167.50,161.60,167.00,165.25,164.40,105461,173.38,1261,16178,15.34
OMKARCHEM,EQ,2015-02-06,165.25,168.05,170.45,164.05,166.20,167.25,166.81,114796,191.49,2335,10022,8.73
OMKARCHEM,EQ,2015-02-09,167.25,168.00,169.70,164.10,164.10,166.45,167.31,135887,227.35,1710,29881,21.99
OMKARCHEM,EQ,2015-02-10,166.45,167.00,169.90,162.00,167.00,167.30,165.57,131481,217.69,1928,25369,19.29
OMKARCHEM,EQ,2015-02-11,167.30,169.00,169.00,163.55,164.15,164.60,165.63,102986,170.57,1586,5631,5.47
OMKARCHEM,EQ,2015-02-12,164.60,167.00,167.00,164.35,164.60,166.70,165.68,25356,42.01,741,8913,35.15
OMKARCHEM,EQ,2015-02-13,166.70,166.60,167.50,162.75,164.05,164.75,164.92,19436,32.05,764,9777,50.30
OMKARCHEM,EQ,2015-02-16,164.75,166.40,166.50,163.80,164.00,164.55,164.95,7957,13.12,315,2857,35.91
OMKARCHEM,EQ,2015-02-18,164.55,165.20,165.95,161.05,165.00,164.45,162.65,131374,213.68,744,40607,30.91
OMKARCHEM,EQ,2015-02-19,164.45,164.10,166.80,162.75,164.00,163.80,164.09,40858,67.04,702,5598,13.70
OMKARCHEM,EQ,2015-02-20,163.80,160.60,164.90,157.50,161.40,161.95,161.32,98865,159.49,1776,32546,32.92
OMKARCHEM,EQ,2015-02-23,161.95,163.00,164.60,160.15,160.15,161.10,163.32,37885,61.87,516,4457,11.76
OMKARCHEM,EQ,2015-02-24,161.10,160.85,165.00,158.05,165.00,163.40,161.35,92967,150.00,977,33840,36.40
