Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ONMOBILE,EQ,2014-12-04,72.05,72.50,72.75,68.60,69.20,69.10,70.20,1369503,961.34,7720,637233,46.53
ONMOBILE,EQ,2014-12-05,69.10,69.55,70.20,66.50,66.90,66.75,67.87,1380879,937.16,7109,654916,47.43
ONMOBILE,EQ,2014-12-08,66.75,67.25,69.75,66.00,66.35,66.50,68.00,1389131,944.65,8822,726950,52.33
ONMOBILE,EQ,2014-12-09,66.50,69.80,69.80,69.80,69.80,69.80,69.80,362338,252.91,866,362285,99.99
ONMOBILE,EQ,2014-12-10,69.80,72.00,73.25,70.55,71.80,71.75,72.31,2683970,1940.83,11436,1110660,41.38
ONMOBILE,EQ,2014-12-11,71.75,72.40,73.50,68.20,68.20,69.45,71.46,1754700,1253.96,11698,701387,39.97
ONMOBILE,EQ,2014-12-12,69.45,72.40,72.90,72.00,72.90,72.90,72.74,660487,480.41,1630,368691,55.82
ONMOBILE,EQ,2014-12-15,72.90,74.95,75.90,73.30,75.40,75.25,75.11,2028451,1523.56,17558,1117371,55.08
ONMOBILE,EQ,2014-12-16,75.25,75.30,75.50,71.50,71.50,71.50,72.11,1336998,964.17,7387,869489,65.03
ONMOBILE,EQ,2014-12-17,71.50,69.40,70.00,67.95,67.95,67.95,68.43,501353,343.06,3723,295191,58.88
ONMOBILE,EQ,2014-12-18,67.95,67.55,70.75,67.55,68.15,68.35,69.26,909813,630.12,4609,460310,50.59
ONMOBILE,EQ,2014-12-19,68.35,68.45,70.50,66.85,69.00,68.80,69.23,884865,612.60,4285,428510,48.43
ONMOBILE,EQ,2014-12-22,68.80,69.10,70.50,67.25,69.80,69.70,69.32,918267,636.51,4728,350406,38.16
ONMOBILE,EQ,2014-12-23,69.70,70.00,71.45,69.45,70.55,70.50,70.44,1282684,903.56,4227,744951,58.08
ONMOBILE,EQ,2014-12-24,70.50,70.20,71.35,70.00,71.00,70.80,70.67,691804,488.86,2832,290152,41.94
ONMOBILE,EQ,2014-12-26,70.80,70.80,71.75,70.65,71.60,71.35,71.11,1285610,914.18,2671,727672,56.60
ONMOBILE,EQ,2014-12-29,71.35,71.95,72.80,71.30,72.40,72.55,72.18,609794,440.15,2857,277177,45.45
ONMOBILE,EQ,2014-12-30,72.55,71.70,73.70,71.15,72.00,72.80,72.35,840502,608.07,2692,360604,42.90
ONMOBILE,EQ,2014-12-31,72.80,72.80,73.95,72.40,73.60,73.55,73.28,759127,556.32,2894,313923,41.35
ONMOBILE,EQ,2015-01-01,73.55,73.10,74.25,69.90,71.60,71.60,71.97,670121,482.27,2910,385324,57.50
ONMOBILE,EQ,2015-01-02,71.60,71.20,73.85,71.20,73.25,73.20,72.92,829625,604.99,2847,460594,55.52
ONMOBILE,EQ,2015-01-05,73.20,72.50,76.20,72.25,73.55,73.45,73.87,1030013,760.90,4134,462871,44.94
ONMOBILE,EQ,2015-01-06,73.45,72.90,76.20,71.00,74.70,73.25,73.58,1581321,1163.47,5394,724074,45.79
ONMOBILE,EQ,2015-01-07,73.25,73.25,75.75,73.05,75.00,74.60,74.24,1232018,914.67,5694,543028,44.08
ONMOBILE,EQ,2015-01-08,74.60,75.00,81.10,74.90,80.85,80.40,79.04,3136895,2479.51,13443,1250380,39.86
ONMOBILE,EQ,2015-01-09,80.40,83.50,88.40,81.50,88.40,88.40,85.78,4098442,3515.84,19049,1935196,47.22
ONMOBILE,EQ,2015-01-12,88.40,90.80,93.00,83.90,85.85,85.90,88.31,3167217,2796.89,19573,1013200,31.99
ONMOBILE,EQ,2015-01-13,85.90,85.70,87.00,85.00,85.70,85.55,85.73,1259846,1080.04,9309,731521,58.06
ONMOBILE,EQ,2015-01-14,85.55,86.00,86.55,79.15,79.75,80.20,82.87,1140117,944.80,10300,558454,48.98
ONMOBILE,EQ,2015-01-15,80.20,81.30,87.20,77.70,83.95,83.75,84.83,3054147,2590.79,21231,1208388,39.57
ONMOBILE,EQ,2015-01-16,83.75,84.00,84.95,80.40,80.95,81.10,82.04,948906,778.52,7285,380345,40.08
ONMOBILE,EQ,2015-01-19,81.10,81.85,83.00,78.45,78.80,78.70,79.99,838816,670.96,5281,405890,48.39
ONMOBILE,EQ,2015-01-20,78.70,78.70,80.85,76.70,77.05,77.10,78.66,682795,537.07,4754,266883,39.09
ONMOBILE,EQ,2015-01-21,77.10,77.00,78.55,71.65,73.50,73.45,74.66,1033178,771.35,6250,469762,45.47
ONMOBILE,EQ,2015-01-22,73.45,73.10,78.75,73.10,77.50,77.30,76.87,1301779,1000.67,8977,482669,37.08
ONMOBILE,EQ,2015-01-23,77.30,78.40,78.80,74.60,75.25,75.85,75.97,686966,521.88,4910,365815,53.25
ONMOBILE,EQ,2015-01-27,75.85,76.00,77.35,73.20,73.50,73.80,75.08,659534,495.20,4924,332465,50.41
ONMOBILE,EQ,2015-01-28,73.80,74.45,75.50,72.50,73.65,73.10,73.43,1300719,955.09,8059,793597,61.01
ONMOBILE,EQ,2015-01-29,73.10,73.50,80.40,69.50,80.40,80.40,77.96,2769532,2159.04,13291,882382,31.86
ONMOBILE,EQ,2015-01-30,80.40,82.45,85.85,78.70,82.95,83.50,82.98,2256225,1872.26,17277,794757,35.23
ONMOBILE,EQ,2015-02-02,83.50,83.65,87.75,81.00,85.90,85.95,85.25,1589603,1355.15,16700,702393,44.19
