Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ORIENTCEM,EQ,2014-12-04,148.50,148.85,151.45,145.00,147.00,147.05,148.24,97001,143.79,1505,54077,55.75
ORIENTCEM,EQ,2014-12-05,147.05,149.00,150.55,147.00,148.00,149.15,149.14,64171,95.71,1350,34602,53.92
ORIENTCEM,EQ,2014-12-08,149.15,149.75,154.80,147.00,150.00,149.45,150.73,70535,106.32,1880,35609,50.48
ORIENTCEM,EQ,2014-12-09,149.45,150.95,150.95,146.15,148.50,148.40,147.71,64045,94.60,1475,36771,57.41
ORIENTCEM,EQ,2014-12-10,148.40,148.05,148.90,146.50,147.00,147.05,147.46,133894,197.44,1118,120513,90.01
ORIENTCEM,EQ,2014-12-11,147.05,147.10,151.90,142.20,150.10,147.60,145.31,82646,120.09,1551,52189,63.15
ORIENTCEM,EQ,2014-12-12,147.60,147.00,152.00,147.00,150.80,150.75,149.98,115914,173.84,1761,86102,74.28
ORIENTCEM,EQ,2014-12-15,150.75,153.95,158.80,148.55,155.55,156.30,155.01,137591,213.28,3285,70677,51.37
ORIENTCEM,EQ,2014-12-16,156.30,156.80,156.80,143.50,149.10,149.25,148.92,214817,319.90,1747,169316,78.82
ORIENTCEM,EQ,2014-12-17,149.25,148.05,154.90,135.00,154.00,151.95,148.38,170142,252.45,3148,91028,53.50
ORIENTCEM,EQ,2014-12-18,151.95,153.00,156.80,148.25,150.00,150.20,151.32,81142,122.78,1369,48169,59.36
ORIENTCEM,EQ,2014-12-19,150.20,152.00,153.00,146.10,149.00,147.85,148.59,133169,197.88,1528,88607,66.54
ORIENTCEM,EQ,2014-12-22,147.85,149.00,151.85,147.00,149.00,149.10,149.80,74356,111.38,507,63609,85.55
ORIENTCEM,EQ,2014-12-23,149.10,150.00,153.00,147.50,149.00,149.15,150.04,82427,123.67,1263,52825,64.09
ORIENTCEM,EQ,2014-12-24,149.15,148.00,152.45,147.10,149.20,150.25,149.77,84757,126.94,1410,64498,76.10
ORIENTCEM,EQ,2014-12-26,150.25,152.00,152.00,147.65,148.25,149.05,148.61,59396,88.27,1509,48369,81.43
ORIENTCEM,EQ,2014-12-29,149.05,151.80,151.80,147.70,148.00,148.70,149.77,103049,154.33,832,74461,72.26
ORIENTCEM,EQ,2014-12-30,148.70,149.80,150.80,146.20,149.90,150.05,148.94,64245,95.69,1879,39977,62.23
ORIENTCEM,EQ,2014-12-31,150.05,152.70,154.65,150.05,151.05,153.45,153.10,97008,148.52,1589,68477,70.59
ORIENTCEM,EQ,2015-01-01,153.45,152.00,152.80,149.25,150.05,150.10,150.17,88027,132.19,782,76425,86.82
ORIENTCEM,EQ,2015-01-02,150.10,151.90,154.70,150.25,153.20,153.10,152.83,100819,154.08,1160,59533,59.05
ORIENTCEM,EQ,2015-01-05,153.10,154.85,170.80,154.65,168.50,168.90,163.48,300235,490.82,5037,161386,53.75
ORIENTCEM,EQ,2015-01-06,168.90,165.00,173.95,159.50,167.70,162.90,164.70,547478,901.69,6726,325252,59.41
ORIENTCEM,EQ,2015-01-07,162.90,165.05,174.50,159.90,160.75,161.60,166.86,440858,735.61,5134,291794,66.19
ORIENTCEM,EQ,2015-01-08,161.60,162.80,169.00,161.25,168.50,168.55,166.38,254463,423.39,1631,207737,81.64
ORIENTCEM,EQ,2015-01-09,168.55,169.95,173.50,166.15,170.00,169.35,171.12,257368,440.41,2292,195131,75.82
ORIENTCEM,EQ,2015-01-12,169.35,169.70,179.70,167.40,176.50,175.85,174.54,178970,312.38,2799,117257,65.52
ORIENTCEM,EQ,2015-01-13,175.85,178.00,184.00,177.00,183.90,183.25,180.97,176679,319.73,3701,100509,56.89
ORIENTCEM,EQ,2015-01-14,183.25,184.00,189.00,183.50,187.60,188.25,187.44,421964,790.93,2705,364992,86.50
ORIENTCEM,EQ,2015-01-15,188.25,189.90,195.30,187.25,193.50,192.35,191.53,188248,360.55,2085,126514,67.21
ORIENTCEM,EQ,2015-01-16,192.35,193.90,195.85,190.45,190.60,192.00,193.21,88866,171.70,1226,72516,81.60
ORIENTCEM,EQ,2015-01-19,192.00,191.00,193.85,182.10,186.45,186.65,185.76,187561,348.41,1826,145354,77.50
ORIENTCEM,EQ,2015-01-20,186.65,186.50,192.15,184.15,190.50,190.35,188.79,161232,304.39,2604,107893,66.92
ORIENTCEM,EQ,2015-01-21,190.35,191.00,195.00,187.55,192.20,192.00,190.93,109404,208.89,2972,73551,67.23
ORIENTCEM,EQ,2015-01-22,192.00,195.00,199.00,188.00,188.20,190.20,193.94,582159,1129.03,7980,123453,21.21
ORIENTCEM,EQ,2015-01-23,190.20,194.00,195.00,182.55,183.10,184.15,189.04,816201,1542.99,2512,742271,90.94
ORIENTCEM,EQ,2015-01-27,184.15,188.90,188.90,181.20,184.25,185.75,186.15,109739,204.28,2536,66853,60.92
ORIENTCEM,EQ,2015-01-28,185.75,185.00,187.00,182.75,183.50,183.30,184.54,56523,104.31,981,39911,70.61
ORIENTCEM,EQ,2015-01-29,183.30,181.55,189.55,181.15,189.50,188.80,186.90,207798,388.37,1599,174608,84.03
ORIENTCEM,EQ,2015-01-30,188.80,190.85,190.85,183.15,189.90,189.35,187.14,107449,201.08,1199,75083,69.88
ORIENTCEM,EQ,2015-02-02,189.35,189.95,189.95,184.00,185.55,185.05,186.88,39686,74.16,1432,28049,70.68
ORIENTCEM,EQ,2015-02-03,185.05,184.15,190.05,181.80,189.40,188.80,184.72,309023,570.84,2420,263208,85.17
ORIENTCEM,EQ,2015-02-04,188.80,187.55,194.85,185.10,189.00,187.30,186.79,454722,849.38,2016,409164,89.98
ORIENTCEM,EQ,2015-02-05,187.30,186.95,188.85,185.55,186.60,186.90,186.61,295917,552.22,1416,268741,90.82
ORIENTCEM,EQ,2015-02-06,186.90,186.65,190.05,182.75,188.25,186.85,186.13,640090,1191.37,1317,600986,93.89
ORIENTCEM,EQ,2015-02-09,186.85,187.55,187.55,178.20,181.00,180.25,180.78,241069,435.81,1181,208851,86.64
ORIENTCEM,EQ,2015-02-10,180.25,177.45,182.05,173.25,179.00,178.35,178.54,118646,211.83,1560,89897,75.77
ORIENTCEM,EQ,2015-02-11,178.35,178.55,179.50,172.45,176.00,176.40,174.77,124114,216.91,1752,85048,68.52
ORIENTCEM,EQ,2015-02-12,176.40,175.35,176.95,172.50,174.00,175.05,174.34,81097,141.38,1070,50800,62.64
ORIENTCEM,EQ,2015-02-13,175.05,176.50,177.90,172.55,176.90,175.55,174.69,94595,165.24,1350,57712,61.01
ORIENTCEM,EQ,2015-02-16,175.55,175.00,176.00,172.70,174.55,174.45,174.88,90178,157.71,2351,61223,67.89
ORIENTCEM,EQ,2015-02-18,174.45,175.00,175.20,169.75,170.05,170.20,171.47,104958,179.97,2411,72703,69.27
ORIENTCEM,EQ,2015-02-19,170.20,169.80,173.80,168.00,169.25,171.40,171.26,79094,135.46,6179,51486,65.09
ORIENTCEM,EQ,2015-02-20,171.40,171.05,179.50,170.55,173.55,174.80,174.56,264824,462.27,4792,179530,67.79
ORIENTCEM,EQ,2015-02-23,174.80,174.80,176.95,171.90,174.00,174.60,174.32,99412,173.30,5560,64868,65.25
ORIENTCEM,EQ,2015-02-24,174.60,175.90,175.90,168.50,169.50,170.20,172.56,75726,130.67,2237,52300,69.06
ORIENTCEM,EQ,2015-02-25,170.20,170.00,173.60,168.80,171.00,171.60,171.96,83150,142.99,828,65111,78.31
ORIENTCEM,EQ,2015-02-26,171.60,170.40,173.85,162.30,173.65,172.65,170.33,104821,178.54,2075,68414,65.27
ORIENTCEM,EQ,2015-02-27,172.65,172.65,178.95,170.10,176.00,175.80,174.79,90775,158.66,1331,50818,55.98
ORIENTCEM,EQ,2015-02-28,175.80,176.00,179.25,170.75,175.70,172.70,173.90,73503,127.82,1282,46631,63.44
ORIENTCEM,EQ,2015-03-02,172.70,172.05,187.00,171.95,186.50,185.20,182.87,279863,511.79,3480,125054,44.68
ORIENTCEM,EQ,2015-03-03,185.20,180.40,191.80,180.40,186.90,186.50,188.86,99780,188.44,1500,55001,55.12
ORIENTCEM,EQ,2015-03-04,186.50,186.05,194.00,184.15,188.00,185.70,190.04,210910,400.81,3155,115101,54.57
ORIENTCEM,EQ,2015-03-05,185.70,186.45,189.95,180.00,184.00,183.45,183.21,114692,210.13,4364,63407,55.28
ORIENTCEM,EQ,2015-03-09,183.45,182.00,186.25,173.90,183.00,179.10,177.76,180016,320.00,2112,107813,59.89
ORIENTCEM,EQ,2015-03-10,179.10,178.00,181.95,175.20,177.50,176.60,178.46,52917,94.44,900,29050,54.90
ORIENTCEM,EQ,2015-03-11,176.60,176.00,178.30,174.05,175.00,174.95,175.95,219900,386.90,820,208993,95.04
ORIENTCEM,EQ,2015-03-12,174.95,173.55,177.35,173.55,175.30,175.75,175.87,138814,244.13,574,123021,88.62
ORIENTCEM,EQ,2015-03-13,175.75,173.05,177.00,170.10,177.00,173.05,173.72,135594,235.55,768,114697,84.59
ORIENTCEM,EQ,2015-03-16,173.05,175.00,175.05,171.20,171.80,171.75,172.42,19172,33.06,389,10318,53.82
ORIENTCEM,EQ,2015-03-17,171.75,173.45,173.65,168.50,169.10,169.75,171.47,145882,250.14,1244,123402,84.59
ORIENTCEM,EQ,2015-03-18,169.75,170.50,170.75,167.55,169.05,169.05,168.87,72203,121.93,1165,51621,71.49
ORIENTCEM,EQ,2015-03-19,169.05,170.75,172.00,167.30,168.50,168.85,171.03,44554,76.20,682,30677,68.85
ORIENTCEM,EQ,2015-03-20,168.85,167.10,171.40,161.45,166.85,166.15,165.79,114729,190.21,1716,77886,67.89
ORIENTCEM,EQ,2015-03-23,166.15,169.95,169.95,162.00,162.55,164.10,164.12,82156,134.83,688,65891,80.20
ORIENTCEM,EQ,2015-03-24,164.10,164.05,164.35,162.10,163.00,162.85,163.02,71259,116.17,1314,59575,83.60
ORIENTCEM,EQ,2015-03-25,162.85,162.50,164.95,160.00,162.65,163.00,161.59,169741,274.28,877,145674,85.82
ORIENTCEM,EQ,2015-03-26,163.00,163.45,163.45,158.55,162.40,160.80,160.20,94843,151.94,1191,70848,74.70
ORIENTCEM,EQ,2015-03-27,160.80,160.05,162.90,159.40,162.00,162.05,160.47,95275,152.89,1246,77222,81.05
ORIENTCEM,EQ,2015-03-30,162.05,162.35,168.85,161.45,167.00,167.05,165.36,41068,67.91,573,22500,54.79
ORIENTCEM,EQ,2015-03-31,167.05,169.00,188.65,167.20,179.00,178.05,176.11,248266,437.23,1900,214138,86.25
ORIENTCEM,EQ,2015-04-01,178.05,178.00,185.85,175.95,178.00,179.50,181.27,100335,181.87,1331,63600,63.39
ORIENTCEM,EQ,2015-04-06,179.50,179.50,189.80,177.45,185.90,186.35,181.71,685759,1246.07,2333,631379,92.07
ORIENTCEM,EQ,2015-04-07,186.35,186.00,189.15,178.95,180.80,180.85,182.10,189439,344.96,2318,152778,80.65
ORIENTCEM,EQ,2015-04-08,180.85,179.25,193.25,179.25,193.25,191.00,188.08,150653,283.34,1687,117142,77.76
ORIENTCEM,EQ,2015-04-09,191.00,190.45,192.00,186.15,191.00,188.95,187.99,76038,142.94,1153,40555,53.34
ORIENTCEM,EQ,2015-04-10,188.95,188.95,193.15,185.00,186.40,186.15,187.47,47263,88.61,1190,29334,62.07
ORIENTCEM,EQ,2015-04-13,186.15,186.10,187.00,181.80,182.20,182.95,183.27,85324,156.37,1395,57599,67.51
ORIENTCEM,EQ,2015-04-15,182.95,183.30,183.60,179.00,181.00,181.05,181.04,133718,242.08,4406,106564,79.69
ORIENTCEM,EQ,2015-04-16,181.05,181.00,185.00,174.95,183.00,182.75,178.62,104914,187.40,1807,71812,68.45
ORIENTCEM,EQ,2015-04-17,182.75,182.00,182.90,176.75,181.65,181.50,179.12,103442,185.29,1995,57230,55.33
ORIENTCEM,EQ,2015-04-20,181.50,177.25,182.55,175.25,177.00,177.50,178.93,389535,697.01,5931,302294,77.60
ORIENTCEM,EQ,2015-04-21,177.50,176.25,183.00,175.25,180.70,180.70,178.69,188410,336.67,3505,146405,77.71
ORIENTCEM,EQ,2015-04-22,180.70,181.15,181.95,178.05,181.70,180.55,180.68,80201,144.91,938,63158,78.75
ORIENTCEM,EQ,2015-04-23,180.55,180.60,180.90,176.10,180.00,180.00,178.70,100986,180.47,1707,63822,63.20
ORIENTCEM,EQ,2015-04-24,180.00,179.45,180.05,174.00,174.00,175.00,176.77,57591,101.80,1021,44104,76.58
ORIENTCEM,EQ,2015-04-27,175.00,171.40,176.30,167.10,174.50,172.30,170.91,57138,97.65,929,33225,58.15
ORIENTCEM,EQ,2015-04-28,172.30,171.00,177.85,171.00,174.05,175.75,174.24,67382,117.40,1156,41836,62.09
ORIENTCEM,EQ,2015-04-29,175.75,177.00,178.00,164.40,167.00,168.95,171.20,48047,82.26,670,35699,74.30
ORIENTCEM,EQ,2015-04-30,168.95,168.80,171.20,166.85,170.00,170.00,169.31,24335,41.20,662,14708,60.44
ORIENTCEM,EQ,2015-05-04,170.00,171.00,173.75,169.50,172.50,172.25,171.45,40558,69.54,1071,22697,55.96
ORIENTCEM,EQ,2015-05-05,172.25,172.25,180.75,170.00,179.90,179.25,176.02,86396,152.07,1351,61921,71.67
ORIENTCEM,EQ,2015-05-06,179.25,176.00,181.85,171.10,173.00,174.50,175.61,88385,155.21,1457,50572,57.22
ORIENTCEM,EQ,2015-05-07,174.50,174.10,174.90,166.95,173.00,171.45,170.98,132256,226.13,2049,96474,72.94
ORIENTCEM,EQ,2015-05-08,171.45,173.05,178.80,171.50,172.60,175.10,175.33,94060,164.92,2868,43268,46.00
ORIENTCEM,EQ,2015-05-11,175.10,183.70,195.40,173.05,174.20,174.45,179.00,822932,1473.05,8135,572332,69.55
ORIENTCEM,EQ,2015-05-12,174.45,175.85,177.40,172.00,172.80,172.55,176.41,325336,573.92,2561,271826,83.55
ORIENTCEM,EQ,2015-05-13,172.55,173.85,176.95,172.25,174.10,174.10,175.43,337993,592.94,4066,291353,86.20
ORIENTCEM,EQ,2015-05-14,174.10,174.10,176.90,170.55,176.50,176.00,175.38,192702,337.95,1588,161768,83.95
ORIENTCEM,EQ,2015-05-15,176.00,177.50,179.25,174.05,174.80,174.50,176.15,61490,108.31,1389,42380,68.92
ORIENTCEM,EQ,2015-05-18,174.50,177.95,177.95,170.15,171.70,171.60,173.28,94981,164.59,2854,58334,61.42
