Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PALREDTEC,EQ,2016-05-09,121.90,121.90,133.55,112.10,117.00,116.35,115.59,7531,8.71,171,4714,62.59
PALREDTEC,EQ,2016-05-10,116.35,116.00,116.10,104.75,104.75,104.75,107.24,5823,6.24,110,4737,81.35
PALREDTEC,EQ,2016-05-11,104.75,94.40,98.10,94.30,94.30,94.70,95.33,9366,8.93,161,6130,65.45
PALREDTEC,EQ,2016-05-12,94.70,90.20,94.90,90.00,94.00,92.55,91.64,8300,7.61,109,5004,60.29
PALREDTEC,EQ,2016-05-13,92.55,88.35,96.80,87.95,96.00,95.40,92.95,5997,5.57,137,4010,66.87
PALREDTEC,EQ,2016-05-16,95.40,99.00,99.00,90.70,90.70,93.55,95.20,3087,2.94,53,2037,65.99
PALREDTEC,EQ,2016-05-17,93.55,91.50,95.00,91.10,92.00,92.00,92.13,1941,1.79,47,1881,96.91
PALREDTEC,EQ,2016-05-18,92.00,94.30,94.30,90.00,90.50,90.55,90.78,1534,1.39,45,1434,93.48
PALREDTEC,EQ,2016-05-19,90.55,88.30,90.65,87.60,89.00,89.00,89.15,4890,4.36,78,4039,82.60
PALREDTEC,EQ,2016-05-20,89.00,90.90,90.90,86.65,88.00,88.05,87.88,523,0.46,18,473,90.44
PALREDTEC,EQ,2016-05-23,88.05,91.65,91.65,85.60,87.00,85.85,87.72,3124,2.74,79,2738,87.64
PALREDTEC,EQ,2016-05-24,85.85,84.00,87.90,83.10,83.25,83.60,84.79,1637,1.39,74,1100,67.20
PALREDTEC,EQ,2016-05-25,83.60,87.75,87.75,87.75,87.75,87.75,87.75,554,0.49,14,554,100.00
PALREDTEC,EQ,2016-05-26,87.75,92.10,92.10,92.10,92.10,92.10,92.10,1095,1.01,23,1095,100.00
PALREDTEC,EQ,2016-05-27,92.10,96.50,96.70,90.00,90.00,90.80,93.44,4601,4.30,87,3888,84.50
PALREDTEC,EQ,2016-05-30,90.80,90.00,90.00,86.30,86.30,86.30,86.41,5484,4.74,120,4954,90.34
PALREDTEC,EQ,2016-05-31,86.30,82.25,83.80,82.00,82.00,82.00,82.04,7838,6.43,73,7057,90.04
PALREDTEC,EQ,2016-06-01,82.00,80.00,80.00,77.90,77.90,77.90,78.31,7116,5.57,70,6616,92.97
PALREDTEC,EQ,2016-06-02,77.90,74.10,79.90,74.05,78.00,78.00,76.23,10826,8.25,137,6824,63.03
PALREDTEC,EQ,2016-06-03,78.00,79.90,83.00,79.90,81.25,82.10,82.30,4355,3.58,87,3362,77.20
PALREDTEC,EQ,2016-06-06,82.10,77.10,81.00,77.10,79.15,79.05,78.75,841,0.66,23,759,90.25
PALREDTEC,EQ,2016-06-07,79.05,79.15,80.20,76.60,76.60,77.40,78.32,3625,2.84,33,3419,94.32
PALREDTEC,EQ,2016-06-08,77.40,79.00,79.00,74.15,78.70,77.15,76.06,1868,1.42,32,1370,73.34
PALREDTEC,EQ,2016-06-09,77.15,76.10,79.70,74.10,78.90,78.55,77.76,2374,1.85,44,1756,73.97
PALREDTEC,EQ,2016-06-10,78.55,74.60,81.35,74.60,76.75,78.40,79.15,3443,2.73,89,2180,63.32
PALREDTEC,EQ,2016-06-13,78.40,77.00,77.40,73.70,75.00,74.30,75.12,7741,5.82,79,4775,61.68
PALREDTEC,EQ,2016-06-14,74.30,74.00,74.00,71.45,73.30,72.90,72.80,8641,6.29,98,5960,68.97
PALREDTEC,EQ,2016-06-15,72.90,73.00,79.80,65.80,70.10,70.60,71.96,12919,9.30,119,5160,39.94
PALREDTEC,EQ,2016-06-16,70.60,72.00,76.35,69.00,72.60,72.45,72.53,17374,12.60,98,14806,85.22
PALREDTEC,EQ,2016-06-17,72.45,73.95,74.00,71.65,74.00,73.70,73.38,1855,1.36,29,1161,62.59
PALREDTEC,EQ,2016-06-20,73.70,74.00,74.00,70.00,70.05,71.15,71.50,4689,3.35,84,2761,58.88
PALREDTEC,EQ,2016-06-21,71.15,70.00,73.85,68.30,68.40,69.30,70.04,7114,4.98,99,4874,68.51
PALREDTEC,EQ,2016-06-22,69.30,74.35,74.35,67.40,67.40,68.35,69.75,5018,3.50,92,3125,62.28
PALREDTEC,EQ,2016-06-23,68.35,68.00,75.00,68.00,74.90,72.85,70.83,18010,12.76,163,11557,64.17
PALREDTEC,EQ,2016-06-24,72.85,67.40,72.90,67.40,69.40,70.80,70.14,4650,3.26,65,2358,50.71
PALREDTEC,EQ,2016-06-27,70.80,67.45,73.60,67.45,69.95,70.25,70.90,3730,2.64,71,2171,58.20
PALREDTEC,EQ,2016-06-28,70.25,69.95,73.70,69.95,73.70,72.70,72.39,5647,4.09,133,4069,72.06
PALREDTEC,EQ,2016-06-29,72.70,72.65,75.00,71.00,75.00,74.55,73.37,5003,3.67,46,3805,76.05
PALREDTEC,EQ,2016-06-30,74.55,74.35,74.35,71.50,73.00,73.05,72.56,8103,5.88,72,5063,62.48
PALREDTEC,EQ,2016-07-01,73.05,74.00,74.25,70.15,70.15,71.35,72.90,6951,5.07,82,4532,65.20
PALREDTEC,EQ,2016-07-04,71.35,70.50,85.60,70.50,85.60,85.60,81.55,12112,9.88,149,9512,78.53
PALREDTEC,EQ,2016-07-05,85.60,92.50,98.50,89.10,89.20,90.75,94.14,71061,66.90,1203,23933,33.68
PALREDTEC,EQ,2016-07-07,90.75,91.00,106.50,90.50,101.50,101.70,101.03,215832,218.06,3516,27304,12.65
PALREDTEC,EQ,2016-07-08,101.70,103.70,104.10,93.00,95.10,95.50,96.97,39100,37.92,927,14335,36.66
PALREDTEC,EQ,2016-07-11,95.50,97.10,100.85,95.55,96.00,97.20,98.50,11390,11.22,240,5723,50.25
PALREDTEC,EQ,2016-07-12,97.20,96.10,96.10,89.10,94.65,93.50,91.63,30052,27.54,436,14806,49.27
PALREDTEC,EQ,2016-07-13,93.50,91.20,95.85,90.20,90.20,91.00,92.04,5125,4.72,113,3314,64.66
PALREDTEC,EQ,2016-07-14,91.00,90.00,92.90,86.10,86.10,86.45,87.83,13168,11.57,180,10885,82.66
PALREDTEC,EQ,2016-07-15,86.45,93.40,93.40,85.60,85.60,86.40,86.92,6885,5.98,137,5231,75.98
PALREDTEC,EQ,2016-07-18,86.40,86.25,86.25,82.05,82.20,82.70,84.04,4766,4.01,107,3815,80.05
PALREDTEC,EQ,2016-07-19,82.70,81.00,84.00,79.55,80.30,80.75,80.62,5404,4.36,121,3633,67.23
PALREDTEC,EQ,2016-07-20,80.75,81.00,81.35,79.20,80.20,80.85,80.40,2266,1.82,69,1604,70.79
PALREDTEC,EQ,2016-07-21,80.85,79.00,80.05,75.30,79.30,78.30,79.03,3916,3.09,107,2340,59.75
PALREDTEC,EQ,2016-07-22,78.30,77.00,80.60,77.00,79.00,79.80,79.08,2336,1.85,47,1403,60.06
PALREDTEC,EQ,2016-07-25,79.80,82.80,83.95,78.00,83.25,81.95,81.37,4307,3.50,111,1501,34.85
PALREDTEC,EQ,2016-07-26,81.95,86.95,86.95,80.05,80.20,80.40,81.71,1979,1.62,49,1126,56.90
PALREDTEC,EQ,2016-07-27,80.40,81.00,81.95,76.50,76.50,77.25,78.32,4624,3.62,79,3462,74.87
PALREDTEC,EQ,2016-07-28,77.25,80.00,80.00,75.05,75.15,75.50,76.87,6608,5.08,83,4425,66.96
