Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PANAMAPET,EQ,2014-12-04,60.75,60.00,63.80,59.00,62.40,62.10,62.59,12680,7.94,96,10021,79.03
PANAMAPET,EQ,2014-12-05,62.10,61.00,63.50,60.45,63.00,62.75,61.75,24947,15.40,409,6577,26.36
PANAMAPET,EQ,2014-12-08,62.75,61.00,63.35,60.00,60.70,61.00,61.94,3939,2.44,35,1061,26.94
PANAMAPET,EQ,2014-12-09,61.00,62.85,67.50,62.45,64.20,64.15,64.70,24193,15.65,349,9114,37.67
PANAMAPET,EQ,2014-12-10,64.15,64.00,64.55,63.25,64.00,64.15,64.08,9391,6.02,55,8326,88.66
PANAMAPET,EQ,2014-12-11,64.15,64.00,64.45,62.60,63.25,63.00,63.83,2456,1.57,42,1771,72.11
PANAMAPET,EQ,2014-12-12,63.00,63.00,63.00,61.50,61.50,61.50,62.03,1760,1.09,30,1591,90.40
PANAMAPET,EQ,2014-12-15,61.50,61.00,62.90,57.10,57.10,57.50,59.87,12075,7.23,81,11689,96.80
PANAMAPET,EQ,2014-12-16,57.50,59.50,59.95,56.50,59.85,58.75,58.39,15677,9.15,90,13919,88.79
PANAMAPET,EQ,2014-12-17,58.75,58.00,65.45,56.25,63.10,60.40,59.90,7295,4.37,31,6819,93.47
PANAMAPET,EQ,2014-12-18,60.40,60.50,62.15,60.40,62.15,61.40,60.95,6526,3.98,46,6091,93.33
PANAMAPET,EQ,2014-12-19,61.40,62.00,64.95,62.00,63.70,63.25,63.58,9315,5.92,58,7166,76.93
PANAMAPET,EQ,2014-12-22,63.25,62.00,62.85,60.15,62.00,62.05,61.50,9448,5.81,67,5642,59.72
PANAMAPET,EQ,2014-12-23,62.05,61.50,61.95,61.05,61.20,61.25,61.38,4949,3.04,16,4891,98.83
PANAMAPET,EQ,2014-12-24,61.25,60.60,63.00,60.20,62.85,62.10,61.89,1501,0.93,17,1320,87.94
PANAMAPET,EQ,2014-12-26,62.10,63.45,63.45,60.75,60.75,60.80,61.19,970,0.59,26,830,85.57
PANAMAPET,EQ,2014-12-29,60.80,61.80,62.60,59.60,60.10,60.90,60.83,6165,3.75,79,5509,89.36
PANAMAPET,EQ,2014-12-30,60.90,60.00,60.00,59.05,60.00,60.00,59.33,255,0.15,9,251,98.43
PANAMAPET,EQ,2014-12-31,60.00,62.90,62.95,58.10,58.15,58.60,59.77,12302,7.35,111,10695,86.94
PANAMAPET,EQ,2015-01-01,58.60,58.65,59.70,58.50,59.00,59.00,58.82,2010,1.18,25,1920,95.52
PANAMAPET,EQ,2015-01-02,59.00,60.70,60.70,59.00,60.15,60.15,59.81,12285,7.35,93,9395,76.48
PANAMAPET,EQ,2015-01-05,60.15,60.50,60.50,58.00,59.60,59.60,59.64,9555,5.70,57,6477,67.79
PANAMAPET,EQ,2015-01-06,59.60,61.00,61.00,59.50,59.80,59.80,59.80,810,0.48,13,780,96.30
PANAMAPET,EQ,2015-01-07,59.80,59.00,59.00,55.65,56.10,56.20,56.81,5218,2.96,51,4749,91.01
PANAMAPET,EQ,2015-01-08,56.20,55.15,58.95,55.15,57.60,57.80,57.20,4352,2.49,67,3208,73.71
PANAMAPET,EQ,2015-01-09,57.80,57.00,57.70,56.80,56.80,56.80,57.07,3702,2.11,27,3545,95.76
PANAMAPET,EQ,2015-01-12,56.80,58.90,59.50,53.10,56.55,56.55,57.84,6179,3.57,38,2101,34.00
PANAMAPET,EQ,2015-01-13,56.55,56.50,56.70,55.10,55.20,55.20,56.32,502,0.28,11,350,69.72
PANAMAPET,EQ,2015-01-14,55.20,54.00,55.50,53.60,53.75,53.80,54.31,8099,4.40,57,5310,65.56
PANAMAPET,EQ,2015-01-15,53.80,53.30,56.95,53.30,56.60,56.70,56.26,3297,1.85,24,3134,95.06
PANAMAPET,EQ,2015-01-16,56.70,56.00,56.50,54.00,54.60,54.90,55.39,7854,4.35,63,3891,49.54
PANAMAPET,EQ,2015-01-19,54.90,54.10,59.80,54.05,58.90,58.25,57.29,5947,3.41,74,4205,70.71
PANAMAPET,EQ,2015-01-20,58.25,58.45,60.50,57.65,57.65,57.90,59.08,4654,2.75,19,4300,92.39
PANAMAPET,EQ,2015-01-21,57.90,57.35,57.40,55.80,57.00,56.65,56.92,1181,0.67,28,686,58.09
PANAMAPET,EQ,2015-01-22,56.65,56.00,60.85,55.80,60.85,58.65,58.61,4210,2.47,14,4138,98.29
PANAMAPET,EQ,2015-01-23,58.65,58.00,59.90,56.65,58.00,58.00,58.39,5911,3.45,32,5702,96.46
PANAMAPET,EQ,2015-01-27,58.00,59.80,59.95,57.20,59.10,59.35,58.88,14674,8.64,57,8442,57.53
PANAMAPET,EQ,2015-01-28,59.35,58.15,60.85,58.15,60.85,60.50,60.04,9913,5.95,38,7659,77.26
PANAMAPET,EQ,2015-01-29,60.50,60.00,60.00,58.05,60.00,59.75,59.36,7913,4.70,27,3390,42.84
PANAMAPET,EQ,2015-01-30,59.75,60.05,61.00,57.80,60.00,59.80,60.04,20770,12.47,67,12260,59.03
PANAMAPET,EQ,2015-02-02,59.80,59.50,60.00,58.30,60.00,59.60,59.19,5838,3.46,109,768,13.16
PANAMAPET,EQ,2015-02-03,59.60,61.00,61.00,57.60,59.80,60.40,59.79,9101,5.44,38,2900,31.86
PANAMAPET,EQ,2015-02-04,60.40,59.80,60.50,59.05,59.25,59.25,59.47,2622,1.56,7,2561,97.67
PANAMAPET,EQ,2015-02-05,59.25,60.80,60.90,60.00,60.35,60.15,60.18,878,0.53,9,810,92.26
PANAMAPET,EQ,2015-02-06,60.15,59.75,60.25,58.70,60.25,60.25,59.92,642,0.38,10,568,88.47
PANAMAPET,EQ,2015-02-09,60.25,60.40,62.50,57.65,61.00,60.85,60.81,9161,5.57,57,8250,90.06
PANAMAPET,EQ,2015-02-10,60.85,64.95,65.00,58.10,60.50,60.10,61.67,20512,12.65,101,17599,85.80
PANAMAPET,EQ,2015-02-11,60.10,60.50,61.50,59.25,60.50,60.55,60.40,12986,7.84,47,5827,44.87
PANAMAPET,EQ,2015-02-12,60.55,59.00,60.60,58.00,59.45,59.90,60.19,11708,7.05,50,6376,54.46
PANAMAPET,EQ,2015-02-13,59.90,60.90,60.90,49.20,56.50,56.75,56.34,38900,21.92,263,26621,68.43
PANAMAPET,EQ,2015-02-16,56.75,56.00,56.25,52.05,56.00,56.00,54.72,3625,1.98,37,2982,82.26
PANAMAPET,EQ,2015-02-18,56.00,60.30,60.30,53.45,57.00,56.45,55.95,2754,1.54,29,2050,74.44
PANAMAPET,EQ,2015-02-19,56.45,62.00,62.00,53.60,56.40,56.20,56.50,7972,4.50,100,420,5.27
PANAMAPET,EQ,2015-02-20,56.20,55.00,58.90,53.40,57.00,57.30,56.83,12042,6.84,169,3191,26.50
PANAMAPET,EQ,2015-02-23,57.30,58.90,58.95,56.10,58.95,58.20,57.76,8327,4.81,29,3074,36.92
PANAMAPET,EQ,2015-02-24,58.20,57.55,60.00,57.50,58.00,58.00,58.14,24824,14.43,48,7527,30.32
PANAMAPET,EQ,2015-02-25,58.00,62.00,62.00,57.50,58.55,59.25,59.42,22742,13.51,59,11164,49.09
