Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PARRYSUGAR,EQ,2014-12-04,22.55,21.60,21.60,21.60,21.60,21.60,21.60,87,0.02,3,87,100.00
PARRYSUGAR,EQ,2014-12-05,21.60,20.10,22.00,20.10,22.00,21.95,21.20,552,0.12,10,552,100.00
PARRYSUGAR,EQ,2014-12-08,21.95,20.55,20.55,20.55,20.55,20.55,20.55,186,0.04,3,186,100.00
PARRYSUGAR,EQ,2014-12-09,20.55,19.15,22.45,19.15,22.25,22.25,21.53,414,0.09,6,414,100.00
PARRYSUGAR,EQ,2014-12-11,22.25,21.05,21.05,21.00,21.00,21.00,21.02,500,0.11,2,500,100.00
PARRYSUGAR,EQ,2014-12-12,21.00,20.90,22.20,20.60,20.60,20.85,20.94,430,0.09,6,330,76.74
PARRYSUGAR,EQ,2014-12-15,20.85,20.85,20.85,20.10,20.10,20.30,20.68,540,0.11,9,539,99.81
PARRYSUGAR,EQ,2014-12-16,20.30,20.00,21.80,20.00,21.70,21.70,20.12,88,0.02,4,88,100.00
PARRYSUGAR,EQ,2014-12-17,21.70,21.40,21.45,21.40,21.45,21.45,21.40,53,0.01,2,53,100.00
PARRYSUGAR,EQ,2014-12-18,21.45,21.40,21.40,20.10,20.10,20.10,20.50,65,0.01,2,65,100.00
PARRYSUGAR,EQ,2014-12-19,20.10,22.10,22.10,19.70,19.75,19.90,20.09,247,0.05,6,247,100.00
PARRYSUGAR,EQ,2014-12-22,19.90,21.00,21.00,21.00,21.00,21.00,21.00,12,0.00,1,12,100.00
PARRYSUGAR,EQ,2014-12-23,21.00,19.10,20.00,19.00,20.00,20.00,19.23,150,0.03,9,144,96.00
PARRYSUGAR,EQ,2014-12-24,20.00,18.15,19.25,18.15,19.25,19.25,19.08,1200,0.23,3,1100,91.67
PARRYSUGAR,EQ,2014-12-26,19.25,19.70,21.15,19.70,21.15,21.15,21.12,102,0.02,3,101,99.02
PARRYSUGAR,EQ,2014-12-29,21.15,21.15,22.05,20.50,21.25,21.25,21.43,2953,0.63,13,753,25.50
PARRYSUGAR,EQ,2014-12-30,21.25,20.85,22.00,20.85,21.00,21.00,21.62,733,0.16,10,472,64.39
PARRYSUGAR,EQ,2014-12-31,21.00,22.75,22.75,22.75,22.75,22.75,22.75,100,0.02,1,100,100.00
PARRYSUGAR,EQ,2015-01-01,22.75,24.95,24.95,21.25,23.80,23.35,23.44,1283,0.30,20,802,62.51
PARRYSUGAR,EQ,2015-01-02,23.35,21.40,28.00,20.40,22.80,22.90,24.23,1167,0.28,28,534,45.76
PARRYSUGAR,EQ,2015-01-05,22.90,21.70,24.90,21.70,22.10,22.10,23.73,160,0.04,7,134,83.75
PARRYSUGAR,EQ,2015-01-06,22.10,21.50,24.50,21.50,22.80,22.85,23.65,1466,0.35,33,1080,73.67
PARRYSUGAR,EQ,2015-01-07,22.85,22.00,22.00,21.50,21.50,21.50,21.81,853,0.19,13,851,99.77
PARRYSUGAR,EQ,2015-01-08,21.50,21.00,24.75,21.00,22.05,22.05,23.99,646,0.16,8,125,19.35
PARRYSUGAR,EQ,2015-01-09,22.05,25.00,25.00,22.55,23.80,23.55,23.38,5812,1.36,46,3721,64.02
PARRYSUGAR,EQ,2015-01-12,23.55,23.55,23.55,20.60,21.75,21.75,22.60,361,0.08,10,242,67.04
PARRYSUGAR,EQ,2015-01-13,21.75,26.00,26.00,22.00,22.30,22.30,22.65,683,0.15,20,502,73.50
PARRYSUGAR,EQ,2015-01-14,22.30,22.25,23.35,22.25,23.10,23.10,22.52,207,0.05,5,207,100.00
PARRYSUGAR,EQ,2015-01-15,23.10,22.10,24.20,21.30,24.20,23.60,22.72,3547,0.81,28,342,9.64
PARRYSUGAR,EQ,2015-01-16,23.60,22.20,24.80,22.20,24.75,24.40,24.30,976,0.24,16,775,79.41
PARRYSUGAR,EQ,2015-01-19,24.40,24.40,25.85,24.00,25.85,25.30,25.31,1876,0.47,12,1312,69.94
