Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PBAINFRA,EQ,2014-12-04,17.20,18.90,18.90,17.15,18.90,18.85,18.59,4699,0.87,41,3897,82.93
PBAINFRA,EQ,2014-12-05,18.85,18.10,19.00,17.60,18.95,18.95,18.40,2556,0.47,30,2056,80.44
PBAINFRA,EQ,2014-12-08,18.95,18.50,19.00,17.55,18.65,18.65,18.24,668,0.12,29,348,52.10
PBAINFRA,EQ,2014-12-09,18.65,18.00,18.00,17.35,17.50,17.50,17.57,1196,0.21,16,1094,91.47
PBAINFRA,EQ,2014-12-10,17.50,17.30,17.75,17.15,17.20,17.20,17.58,588,0.10,15,476,80.95
PBAINFRA,EQ,2014-12-11,17.20,17.50,17.55,17.40,17.40,17.45,17.48,2012,0.35,11,2012,100.00
PBAINFRA,EQ,2014-12-12,17.45,17.05,17.45,17.05,17.40,17.45,17.37,2655,0.46,11,2655,100.00
PBAINFRA,EQ,2014-12-15,17.45,16.30,17.50,16.00,16.45,16.45,16.99,388,0.07,10,386,99.48
PBAINFRA,EQ,2014-12-16,16.45,17.70,17.70,15.30,15.85,15.70,15.96,3011,0.48,18,2310,76.72
PBAINFRA,EQ,2014-12-17,15.70,14.35,17.40,14.35,15.45,16.70,14.62,4551,0.67,10,4500,98.88
PBAINFRA,EQ,2014-12-18,16.70,15.70,16.05,15.70,16.00,16.05,15.83,250,0.04,4,175,70.00
PBAINFRA,EQ,2014-12-19,16.05,15.85,16.50,15.15,16.30,16.30,15.92,1850,0.29,36,1200,64.86
PBAINFRA,EQ,2014-12-22,16.30,15.55,16.20,15.30,15.50,15.50,15.53,1264,0.20,19,908,71.84
PBAINFRA,EQ,2014-12-23,15.50,15.50,15.70,15.20,15.30,15.30,15.49,1250,0.19,15,1150,92.00
PBAINFRA,EQ,2014-12-24,15.30,15.15,15.35,14.50,15.35,15.35,15.07,4813,0.73,26,3112,64.66
PBAINFRA,EQ,2014-12-26,15.35,16.00,17.50,16.00,17.00,16.95,16.62,1071,0.18,14,643,60.04
PBAINFRA,EQ,2014-12-29,16.95,16.30,16.50,16.00,16.30,16.00,16.16,4822,0.78,20,4815,99.85
PBAINFRA,EQ,2014-12-30,16.00,16.00,16.90,15.60,16.30,16.30,16.40,765,0.13,19,634,82.88
PBAINFRA,EQ,2014-12-31,16.30,15.70,16.90,15.45,16.35,16.35,16.45,3362,0.55,26,2562,76.20
PBAINFRA,EQ,2015-01-01,16.35,17.95,18.35,16.60,17.00,17.30,17.39,1961,0.34,18,1430,72.92
PBAINFRA,EQ,2015-01-02,17.30,16.80,18.00,16.80,18.00,18.00,17.68,2713,0.48,23,2063,76.04
PBAINFRA,EQ,2015-01-05,18.00,18.20,19.00,18.20,18.50,18.60,18.59,2149,0.40,19,2029,94.42
PBAINFRA,EQ,2015-01-06,18.60,18.50,18.50,17.60,17.75,18.05,18.20,2634,0.48,14,2115,80.30
PBAINFRA,EQ,2015-01-07,18.05,18.80,18.90,17.75,18.20,18.25,17.99,2206,0.40,20,2156,97.73
PBAINFRA,EQ,2015-01-08,18.25,17.60,18.20,17.60,18.00,17.75,17.84,5815,1.04,24,5055,86.93
PBAINFRA,EQ,2015-01-09,17.75,17.80,18.00,17.80,17.80,17.80,17.81,360,0.06,4,360,100.00
PBAINFRA,EQ,2015-01-12,17.80,17.00,17.75,17.00,17.20,17.20,17.20,1009,0.17,13,780,77.30
PBAINFRA,EQ,2015-01-13,17.20,17.45,17.45,17.10,17.10,17.10,17.25,478,0.08,5,478,100.00
PBAINFRA,EQ,2015-01-14,17.10,17.85,18.60,17.10,17.50,17.50,17.66,686,0.12,14,316,46.06
PBAINFRA,EQ,2015-01-15,17.50,17.20,20.00,17.15,18.90,18.50,18.69,12527,2.34,84,10394,82.97
PBAINFRA,EQ,2015-01-16,18.50,19.50,19.50,17.65,18.20,17.95,18.19,4146,0.75,46,2306,55.62
PBAINFRA,EQ,2015-01-19,17.95,18.20,19.85,18.20,19.05,19.45,19.02,4652,0.88,58,2387,51.31
PBAINFRA,EQ,2015-01-20,19.45,18.35,19.65,18.30,18.45,18.45,18.99,3783,0.72,32,2850,75.34
PBAINFRA,EQ,2015-01-21,18.45,18.50,19.20,18.30,19.20,18.65,18.55,1607,0.30,13,1605,99.88
PBAINFRA,EQ,2015-01-22,18.65,18.00,19.20,16.60,17.50,17.75,18.05,2392,0.43,41,1659,69.36
PBAINFRA,EQ,2015-01-23,17.75,18.50,19.00,16.60,17.10,17.10,17.29,1374,0.24,17,1317,95.85
PBAINFRA,EQ,2015-01-27,17.10,17.00,17.00,15.50,16.60,16.25,16.30,8159,1.33,53,6121,75.02
PBAINFRA,EQ,2015-01-28,16.25,16.00,16.10,15.60,16.00,16.00,16.00,1371,0.22,29,1050,76.59
PBAINFRA,EQ,2015-01-29,16.00,15.30,19.20,15.30,19.20,19.20,18.40,24077,4.43,104,21693,90.10
PBAINFRA,EQ,2015-01-30,19.20,23.00,23.00,23.00,23.00,23.00,23.00,18704,4.30,48,18704,100.00
PBAINFRA,EQ,2015-02-02,23.00,27.60,27.60,24.00,27.60,27.35,26.89,196835,52.93,1459,91321,46.39
PBAINFRA,EQ,2015-02-03,27.35,27.80,28.90,24.70,25.60,25.95,26.62,63375,16.87,504,27470,43.35
PBAINFRA,EQ,2015-02-04,25.95,25.50,25.95,23.40,23.40,23.40,23.82,23689,5.64,242,16770,70.79
PBAINFRA,EQ,2015-02-05,23.40,23.50,23.95,21.10,21.60,21.50,22.18,21247,4.71,259,13988,65.84
